 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Opuntia ficus-indica is a species of cactus that has long been a domesticated crop plant important in agricultural economies throughout arid and semiarid parts of the world . It is thought to possibly be native to Mexico . [ 1 ] Some of the common English names for the plant and its fruit are Indian fig opuntia , barbary fig , cactus pear , spineless cactus , and prickly pear , although this last name has also been applied to other less common Opuntia species
1-1	Opuntia	B-NC|B-NC	Hypernym|Hypernym	1-53|1-7	
1-2	ficus-indica	I-NC|B-NC	_	_	
1-3	is	O	_	_	
1-4	a	O	_	_	
1-5	species	B-NC	_	_	
1-6	of	O	_	_	
1-7	cactus	B-NC	Hypernym|Hypernym|Hypernym	1-5|1-50|1-14	
1-8	that	O	_	_	
1-9	has	O	_	_	
1-10	long	O	_	_	
1-11	been	O	_	_	
1-12	a	O	_	_	
1-13	domesticated	O	_	_	
1-14	crop	B-NC|B-NC	_	_	
1-15	plant	I-NC|B-NC	_	_	
1-16	important	O	_	_	
1-17	in	O	_	_	
1-18	agricultural	O	_	_	
1-19	economies	B-NC	_	_	
1-20	throughout	O	_	_	
1-21	arid	O	_	_	
1-22	and	O	_	_	
1-23	semiarid	O	_	_	
1-24	parts	B-NC	_	_	
1-25	of	O	_	_	
1-26	the	O	_	_	
1-27	world	B-NC	_	_	
1-28	.	O	_	_	
1-29	It	O	_	_	
1-30	is	O	_	_	
1-31	thought	O	_	_	
1-32	to	O	_	_	
1-33	possibly	O	_	_	
1-34	be	O	_	_	
1-35	native	O	_	_	
1-36	to	O	_	_	
1-37	Mexico	B-NC	_	_	
1-38	.	O	_	_	
1-39	[	O	_	_	
1-40	1	O	_	_	
1-41	]	O	_	_	
1-42	Some	O	_	_	
1-43	of	O	_	_	
1-44	the	O	_	_	
1-45	common	O	_	_	
1-46	English	O	_	_	
1-47	names	B-NC	_	_	
1-48	for	O	_	_	
1-49	the	O	_	_	
1-50	plant	B-NC	_	_	
1-51	and	O	_	_	
1-52	its	O	_	_	
1-53	fruit	B-NC	Holonym	1-50	
1-54	are	O	_	_	
1-55	Indian	O	_	_	
1-56	fig	B-NC|B-NC	Synonym	1-1	
1-57	opuntia	I-NC|B-NC	_	_	
1-58	,	O	_	_	
1-59	barbary	B-NC	Synonym	1-1	
1-60	fig	I-NC|B-NC	_	_	
1-61	,	O	_	_	
1-62	cactus	B-NC|B-NC	Synonym	1-1	
1-63	pear	I-NC|B-NC	_	_	
1-64	,	O	_	_	
1-65	spineless	B-NC	Synonym	1-1	
1-66	cactus	I-NC|B-NC	_	_	
1-67	,	O	_	_	
1-68	and	O	_	_	
1-69	prickly	B-NC	Synonym	1-1	
1-70	pear	I-NC|B-NC	_	_	
1-71	,	O	_	_	
1-72	although	O	_	_	
1-73	this	O	_	_	
1-74	last	O	_	_	
1-75	name	B-NC	_	_	
1-76	has	O	_	_	
1-77	also	O	_	_	
1-78	been	O	_	_	
1-79	applied	O	_	_	
1-80	to	O	_	_	
1-81	other	O	_	_	
1-82	less	O	_	_	
1-83	common	O	_	_	
1-84	Opuntia	B-NC|B-NC	Hypernym	1-5	
1-85	species	I-NC|B-NC	_	_	

