 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Das Wort Kilt kommt aus dem Schottischen und bezeichnet seit dem 18 . Jahrhundert einen knielangen Rock . Der moderne Kilt ( auf Deutsch auch „ Schottenrock “ ) ist ein aus Wolle gewebter , hinten aufwendig gefalteter Wickelrock , der in Schottland von Männern getragen wird . Die Länge eines Kilts wird so gewählt , dass er dem Träger bis an die Knie reicht und beim Knien nicht den Boden berührt . Traditionell ist der Kilt Männern vorbehalten , Frauen tragen dagegen die so genannten kilted Skirts , das sind kiltähnliche Röcke , die auch länger oder kürzer sein können als echte Kilts
1-1	Das	O	_	_	
1-2	Wort	B-NC	_	_	
1-3	Kilt	B-NC	Hypernym	1-17	
1-4	kommt	O	_	_	
1-5	aus	O	_	_	
1-6	dem	O	_	_	
1-7	Schottischen	B-NC	_	_	
1-8	und	O	_	_	
1-9	bezeichnet	O	_	_	
1-10	seit	O	_	_	
1-11	dem	O	_	_	
1-12	18	O	_	_	
1-13	.	O	_	_	
1-14	Jahrhundert	B-NC	_	_	
1-15	einen	O	_	_	
1-16	knielangen	O	_	_	
1-17	Rock	B-NC	_	_	
1-18	.	O	_	_	
1-19	Der	O	_	_	
1-20	moderne	O	_	_	
1-21	Kilt	B-NC	Hypernym	1-39	
1-22	(	O	_	_	
1-23	auf	O	_	_	
1-24	Deutsch	B-NC	_	_	
1-25	auch	O	_	_	
1-26	„	O	_	_	
1-27	Schottenrock	B-NC	Synonym	1-21	
1-28	“	O	_	_	
1-29	)	O	_	_	
1-30	ist	O	_	_	
1-31	ein	O	_	_	
1-32	aus	O	_	_	
1-33	Wolle	B-NC	Holonym	1-21	
1-34	gewebter	O	_	_	
1-35	,	O	_	_	
1-36	hinten	O	_	_	
1-37	aufwendig	O	_	_	
1-38	gefalteter	O	_	_	
1-39	Wickelrock	B-NC	Hypernym	1-17	
1-40	,	O	_	_	
1-41	der	O	_	_	
1-42	in	O	_	_	
1-43	Schottland	B-NC	_	_	
1-44	von	O	_	_	
1-45	Männern	B-NC	_	_	
1-46	getragen	O	_	_	
1-47	wird	O	_	_	
1-48	.	O	_	_	
1-49	Die	O	_	_	
1-50	Länge	B-NC	_	_	
1-51	eines	O	_	_	
1-52	Kilts	B-NC	_	_	
1-53	wird	O	_	_	
1-54	so	O	_	_	
1-55	gewählt	O	_	_	
1-56	,	O	_	_	
1-57	dass	O	_	_	
1-58	er	O	_	_	
1-59	dem	O	_	_	
1-60	Träger	B-NC	Hypernym	1-45	
1-61	bis	O	_	_	
1-62	an	O	_	_	
1-63	die	O	_	_	
1-64	Knie	B-NC	Holonym	1-45	
1-65	reicht	O	_	_	
1-66	und	O	_	_	
1-67	beim	O	_	_	
1-68	Knien	B-NC	_	_	
1-69	nicht	O	_	_	
1-70	den	O	_	_	
1-71	Boden	B-NC	_	_	
1-72	berührt	O	_	_	
1-73	.	O	_	_	
1-74	Traditionell	O	_	_	
1-75	ist	O	_	_	
1-76	der	O	_	_	
1-77	Kilt	B-NC	_	_	
1-78	Männern	B-NC	_	_	
1-79	vorbehalten	O	_	_	
1-80	,	O	_	_	
1-81	Frauen	B-NC	Co-Hyponym	1-78	
1-82	tragen	O	_	_	
1-83	dagegen	O	_	_	
1-84	die	O	_	_	
1-85	so	O	_	_	
1-86	genannten	O	_	_	
1-87	kilted	O	_	_	
1-88	Skirts	B-NC	Hypernym	1-93	
1-89	,	O	_	_	
1-90	das	O	_	_	
1-91	sind	O	_	_	
1-92	kiltähnliche	O	_	_	
1-93	Röcke	B-NC	_	_	
1-94	,	O	_	_	
1-95	die	O	_	_	
1-96	auch	O	_	_	
1-97	länger	O	_	_	
1-98	oder	O	_	_	
1-99	kürzer	O	_	_	
1-100	sein	O	_	_	
1-101	können	O	_	_	
1-102	als	O	_	_	
1-103	echte	O	_	_	
1-104	Kilts	B-NC	_	_	

