 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The kilt is a knee-length garment with pleats at the rear , originating in the traditional dress of men and boys in the Scottish Highlands of the 16th century . Since the 19th century it has become associated with the wider culture of Scotland in general , or with Celtic ( and more specifically Gaelic ) heritage even more broadly . It is most often made of woollen cloth in a tartan pattern 
1-1	The	O	_	_	
1-2	kilt	B-NC	Hypernym	1-6	
1-3	is	O	_	_	
1-4	a	O	_	_	
1-5	knee-length	O	_	_	
1-6	garment	B-NC	_	_	
1-7	with	O	_	_	
1-8	pleats	B-NC	Holonym	1-2	
1-9	at	O	_	_	
1-10	the	O	_	_	
1-11	rear	B-NC	Holonym	1-6	
1-12	,	O	_	_	
1-13	originating	O	_	_	
1-14	in	O	_	_	
1-15	the	O	_	_	
1-16	traditional	O	_	_	
1-17	dress	B-NC	Hypernym	1-6	
1-18	of	O	_	_	
1-19	men	B-NC	_	_	
1-20	and	O	_	_	
1-21	boys	B-NC	Co-Hyponym	1-19	
1-22	in	O	_	_	
1-23	the	O	_	_	
1-24	Scottish	B-NC	_	_	
1-25	Highlands	I-NC	_	_	
1-26	of	O	_	_	
1-27	the	O	_	_	
1-28	16th	O	_	_	
1-29	century	B-NC	_	_	
1-30	.	O	_	_	
1-31	Since	O	_	_	
1-32	the	O	_	_	
1-33	19th	O	_	_	
1-34	century	B-NC	_	_	
1-35	it	O	_	_	
1-36	has	O	_	_	
1-37	become	O	_	_	
1-38	associated	O	_	_	
1-39	with	O	_	_	
1-40	the	O	_	_	
1-41	wider	O	_	_	
1-42	culture	B-NC	Hypernym	1-57	
1-43	of	O	_	_	
1-44	Scotland	B-NC	_	_	
1-45	in	O	_	_	
1-46	general	O	_	_	
1-47	,	O	_	_	
1-48	or	O	_	_	
1-49	with	O	_	_	
1-50	Celtic	B-NC	_	_	
1-51	(	O	_	_	
1-52	and	O	_	_	
1-53	more	O	_	_	
1-54	specifically	O	_	_	
1-55	Gaelic	O	_	_	
1-56	)	O	_	_	
1-57	heritage	B-NC	_	_	
1-58	even	O	_	_	
1-59	more	O	_	_	
1-60	broadly	O	_	_	
1-61	.	O	_	_	
1-62	It	O	_	_	
1-63	is	O	_	_	
1-64	most	O	_	_	
1-65	often	O	_	_	
1-66	made	O	_	_	
1-67	of	O	_	_	
1-68	woollen	O	_	_	
1-69	cloth	B-NC	Holonym	1-6	
1-70	in	O	_	_	
1-71	a	O	_	_	
1-72	tartan	B-NC	_	_	
1-73	pattern	I-NC	_	_	

#id=2
#text=Although the kilt is most often worn on formal occasions and at Highland games and sports events , it has also been adapted as an item of fashionable informal male clothing in recent years , returning to its roots as an everyday garment 
2-1	Although	O	_	_	
2-2	the	O	_	_	
2-3	kilt	B-NC	Hypernym	2-31	
2-4	is	O	_	_	
2-5	most	O	_	_	
2-6	often	O	_	_	
2-7	worn	O	_	_	
2-8	on	O	_	_	
2-9	formal	O	_	_	
2-10	occasions	B-NC	_	_	
2-11	and	O	_	_	
2-12	at	O	_	_	
2-13	Highland	B-NC	_	_	
2-14	games	I-NC	_	_	
2-15	and	O	_	_	
2-16	sports	B-NC	Hypernym	2-10	
2-17	events	I-NC	_	_	
2-18	,	O	_	_	
2-19	it	O	_	_	
2-20	has	O	_	_	
2-21	also	O	_	_	
2-22	been	O	_	_	
2-23	adapted	O	_	_	
2-24	as	O	_	_	
2-25	an	O	_	_	
2-26	item	B-NC	_	_	
2-27	of	O	_	_	
2-28	fashionable	O	_	_	
2-29	informal	O	_	_	
2-30	male	O	_	_	
2-31	clothing	B-NC	Hypernym	2-26	
2-32	in	O	_	_	
2-33	recent	O	_	_	
2-34	years	B-NC	_	_	
2-35	,	O	_	_	
2-36	returning	O	_	_	
2-37	to	O	_	_	
2-38	its	O	_	_	
2-39	roots	B-NC	_	_	
2-40	as	O	_	_	
2-41	an	O	_	_	
2-42	everyday	O	_	_	
2-43	garment	B-NC	Synonym	2-31	
