 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Килт ( англ . Kilt ) — предмет мужской национальной шотландской одежды , традиционная одежда горцев Шотландии . Килт представляет собой кусок ткани , обёрнутый вокруг талии , плиссированный ( собранный складками ) сзади и закреплённый с помощью 2—3 пряжек и ремешков ; обычно килт носится вместе со специальной сумочкой для мелких вещей , называемой «спорран» . Килт ведёт свою историю от «большого пледа»[en ] ( Great plaid , belted plaid ) и , по сути , представляет собой его нижнюю часть . Исторически большой плед был достаточно длинным и широким , чтобы его можно было закинуть на плечо или укрыться под ним в плохую погоду . Килт изготавливается из шерстяной ткани с традиционным шотландским рисунком из клеток и полос — тартаном ( в России такой материал известен как «шотландка» )
1-1	Килт	B-NC	Hypernym	1-12	
1-2	(	O	_	_	
1-3	англ	O	_	_	
1-4	.	O	_	_	
1-5	Kilt	O	_	_	
1-6	)	O	_	_	
1-7	—	O	_	_	
1-8	предмет	B-NC	_	_	
1-9	мужской	O	_	_	
1-10	национальной	O	_	_	
1-11	шотландской	O	_	_	
1-12	одежды	B-NC	_	_	
1-13	,	O	_	_	
1-14	традиционная	O	_	_	
1-15	одежда	B-NC	_	_	
1-16	горцев	B-NC	_	_	
1-17	Шотландии	B-NC	_	_	
1-18	.	O	_	_	
1-19	Килт	B-NC	Hypernym	1-15	
1-20	представляет	O	_	_	
1-21	собой	O	_	_	
1-22	кусок	B-NC	_	_	
1-23	ткани	B-NC	Holonym	1-19	
1-24	,	O	_	_	
1-25	обёрнутый	O	_	_	
1-26	вокруг	O	_	_	
1-27	талии	B-NC	Holonym	1-16	
1-28	,	O	_	_	
1-29	плиссированный	O	_	_	
1-30	(	O	_	_	
1-31	собранный	O	_	_	
1-32	складками	B-NC	_	_	
1-33	)	O	_	_	
1-34	сзади	O	_	_	
1-35	и	O	_	_	
1-36	закреплённый	O	_	_	
1-37	с	O	_	_	
1-38	помощью	B-NC	_	_	
1-39	2—3	O	_	_	
1-40	пряжек	B-NC	Holonym	1-45	
1-41	и	O	_	_	
1-42	ремешков	B-NC	Holonym	1-45	
1-43	;	O	_	_	
1-44	обычно	O	_	_	
1-45	килт	B-NC	_	_	
1-46	носится	O	_	_	
1-47	вместе	O	_	_	
1-48	со	O	_	_	
1-49	специальной	O	_	_	
1-50	сумочкой	B-NC	Co-Hyponym	1-45	
1-51	для	O	_	_	
1-52	мелких	O	_	_	
1-53	вещей	B-NC	Synonym	1-8	
1-54	,	O	_	_	
1-55	называемой	O	_	_	
1-56	«спорран»	B-Text mistake	Hypernym	1-50	
1-57	.	O	_	_	
1-58	Килт	B-NC	_	_	
1-59	ведёт	O	_	_	
1-60	свою	O	_	_	
1-61	историю	B-NC	_	_	
1-62	от	O	_	_	
1-63	«большого	O	_	_	
1-64	пледа»[en	O	_	_	
1-65	]	O	_	_	
1-66	(	O	_	_	
1-67	Great	O	_	_	
1-68	plaid	O	_	_	
1-69	,	O	_	_	
1-70	belted	O	_	_	
1-71	plaid	O	_	_	
1-72	)	O	_	_	
1-73	и	O	_	_	
1-74	,	O	_	_	
1-75	по	O	_	_	
1-76	сути	B-NC	_	_	
1-77	,	O	_	_	
1-78	представляет	O	_	_	
1-79	собой	O	_	_	
1-80	его	O	_	_	
1-81	нижнюю	O	_	_	
1-82	часть	B-NC	_	_	
1-83	.	O	_	_	
1-84	Исторически	O	_	_	
1-85	большой	O	_	_	
1-86	плед	B-NC	Co-Hyponym	1-58	
1-87	был	O	_	_	
1-88	достаточно	O	_	_	
1-89	длинным	O	_	_	
1-90	и	O	_	_	
1-91	широким	O	_	_	
1-92	,	O	_	_	
1-93	чтобы	O	_	_	
1-94	его	O	_	_	
1-95	можно	O	_	_	
1-96	было	O	_	_	
1-97	закинуть	O	_	_	
1-98	на	O	_	_	
1-99	плечо	B-NC	Holonym|Co-Hyponym	1-16|1-27	
1-100	или	O	_	_	
1-101	укрыться	O	_	_	
1-102	под	O	_	_	
1-103	ним	O	_	_	
1-104	в	O	_	_	
1-105	плохую	O	_	_	
1-106	погоду	B-NC	_	_	
1-107	.	O	_	_	
1-108	Килт	B-NC	_	_	
1-109	изготавливается	O	_	_	
1-110	из	O	_	_	
1-111	шерстяной	O	_	_	
1-112	ткани	B-NC	Hypernym	1-127	
1-113	с	O	_	_	
1-114	традиционным	O	_	_	
1-115	шотландским	O	_	_	
1-116	рисунком	B-NC	_	_	
1-117	из	O	_	_	
1-118	клеток	B-NC	_	_	
1-119	и	O	_	_	
1-120	полос	B-NC	Co-Hyponym	1-118	
1-121	—	O	_	_	
1-122	тартаном	O	_	_	
1-123	(	O	_	_	
1-124	в	O	_	_	
1-125	России	B-NC	_	_	
1-126	такой	O	_	_	
1-127	материал	B-NC	_	_	
1-128	известен	O	_	_	
1-129	как	O	_	_	
1-130	«шотландка»	O	_	_	
1-131	)	O	_	_	

#id=2
#text=Сегодня большинство шотландцев используют килт как часть официального или свадебного костюма , повседневно его носит достаточно малое количество людей . Во многих местах Шотландии килты можно увидеть во время спортивных соревнований горцев , а также музыкальных и танцевальных выступлений . В британской армии , равно как и в армиях некоторых других стран Британского содружества , килт до сих пор является частью военной формы ( чаще всего для смотров и парадов ) , в боевых действиях он не использовался со времён Второй мировой войны . Последним полком , носившим килты во время боевых действий в 1940 году , был британский полк «Её Величества кэмеронские горцы»
2-1	Сегодня	O	_	_	
2-2	большинство	B-NC	_	_	
2-3	шотландцев	B-NC	_	_	
2-4	используют	O	_	_	
2-5	килт	B-NC	_	_	
2-6	как	O	_	_	
2-7	часть	B-NC	_	_	
2-8	официального	O	_	_	
2-9	или	O	_	_	
2-10	свадебного	O	_	_	
2-11	костюма	B-NC	_	_	
2-12	,	O	_	_	
2-13	повседневно	O	_	_	
2-14	его	O	_	_	
2-15	носит	O	_	_	
2-16	достаточно	O	_	_	
2-17	малое	O	_	_	
2-18	количество	B-NC	_	_	
2-19	людей	B-NC	_	_	
2-20	.	O	_	_	
2-21	Во	O	_	_	
2-22	многих	O	_	_	
2-23	местах	B-NC	_	_	
2-24	Шотландии	B-NC	_	_	
2-25	килты	B-NC	_	_	
2-26	можно	O	_	_	
2-27	увидеть	O	_	_	
2-28	во	O	_	_	
2-29	время	B-NC	_	_	
2-30	спортивных	O	_	_	
2-31	соревнований	B-NC	_	_	
2-32	горцев	B-NC	Hypernym	2-19	
2-33	,	O	_	_	
2-34	а	O	_	_	
2-35	также	O	_	_	
2-36	музыкальных	O	_	_	
2-37	и	O	_	_	
2-38	танцевальных	O	_	_	
2-39	выступлений	B-NC	_	_	
2-40	.	O	_	_	
2-41	В	O	_	_	
2-42	британской	O	_	_	
2-43	армии	B-NC	_	_	
2-44	,	O	_	_	
2-45	равно	O	_	_	
2-46	как	O	_	_	
2-47	и	O	_	_	
2-48	в	O	_	_	
2-49	армиях	B-NC	_	_	
2-50	некоторых	O	_	_	
2-51	других	O	_	_	
2-52	стран	B-NC	_	_	
2-53	Британского	O	_	_	
2-54	содружества	B-NC	_	_	
2-55	,	O	_	_	
2-56	килт	B-NC	_	_	
2-57	до	O	_	_	
2-58	сих	O	_	_	
2-59	пор	B-NC	_	_	
2-60	является	O	_	_	
2-61	частью	B-NC	_	_	
2-62	военной	O	_	_	
2-63	формы	B-NC	_	_	
2-64	(	O	_	_	
2-65	чаще	O	_	_	
2-66	всего	O	_	_	
2-67	для	O	_	_	
2-68	смотров	B-NC	_	_	
2-69	и	O	_	_	
2-70	парадов	B-NC	_	_	
2-71	)	O	_	_	
2-72	,	O	_	_	
2-73	в	O	_	_	
2-74	боевых	O	_	_	
2-75	действиях	B-NC	_	_	
2-76	он	O	_	_	
2-77	не	O	_	_	
2-78	использовался	O	_	_	
2-79	со	O	_	_	
2-80	времён	B-NC	_	_	
2-81	Второй	O	_	_	
2-82	мировой	O	_	_	
2-83	войны	B-NC	_	_	
2-84	.	O	_	_	
2-85	Последним	O	_	_	
2-86	полком	B-NC	Holonym	2-49	
2-87	,	O	_	_	
2-88	носившим	O	_	_	
2-89	килты	B-NC	_	_	
2-90	во	O	_	_	
2-91	время	B-NC	_	_	
2-92	боевых	O	_	_	
2-93	действий	B-NC	_	_	
2-94	в	O	_	_	
2-95	1940	O	_	_	
2-96	году	B-NC	_	_	
2-97	,	O	_	_	
2-98	был	O	_	_	
2-99	британский	O	_	_	
2-100	полк	B-NC	_	_	
2-101	«Её	B-NC	_	_	
2-102	Величества	B-NC	_	_	
2-103	кэмеронские	O	_	_	
2-104	горцы»	B-NC	_	_	

