 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Als sie zum Lager zurückkehrten , war es Zeit zum Abendessen . Petersen Sahib nahm sein Mahl allein in seinem Zelte , aber er gab Befehl , daß man den Leuten zwei Schafe und einige Hühner zum Schmause geben solle und außerdem eine doppelte Ration von Mehl , Reis und Salz , denn er wußte , daß man ein Fest feiern werde . Der große Toomai war herbeigekommen , um nach seinem Sohne und dem Elefanten zu suchen , und jetzt , nachdem er sie gefunden hatte , glotzte er sie an , als fürchte er sich vor ihnen beiden
1-1	Als	O	_	_	
1-2	sie	O	_	_	
1-3	zum	O	_	_	
1-4	Lager	B-NC	_	_	
1-5	zurückkehrten	O	_	_	
1-6	,	O	_	_	
1-7	war	O	_	_	
1-8	es	O	_	_	
1-9	Zeit	B-NC	_	_	
1-10	zum	O	_	_	
1-11	Abendessen	B-NC	Hypernym	1-17	
1-12	.	O	_	_	
1-13	Petersen	B-NC	_	_	
1-14	Sahib	B-NC	_	_	
1-15	nahm	O	_	_	
1-16	sein	O	_	_	
1-17	Mahl	B-NC	_	_	
1-18	allein	O	_	_	
1-19	in	O	_	_	
1-20	seinem	O	_	_	
1-21	Zelte	B-NC	Holonym	1-4	
1-22	,	O	_	_	
1-23	aber	O	_	_	
1-24	er	O	_	_	
1-25	gab	O	_	_	
1-26	Befehl	B-NC	_	_	
1-27	,	O	_	_	
1-28	daß	O	_	_	
1-29	man	O	_	_	
1-30	den	O	_	_	
1-31	Leuten	B-NC	_	_	
1-32	zwei	O	_	_	
1-33	Schafe	B-NC	_	_	
1-34	und	O	_	_	
1-35	einige	O	_	_	
1-36	Hühner	B-NC	Co-Hyponym	1-33	
1-37	zum	O	_	_	
1-38	Schmause	B-NC	Hypernym	1-17	
1-39	geben	O	_	_	
1-40	solle	O	_	_	
1-41	und	O	_	_	
1-42	außerdem	O	_	_	
1-43	eine	O	_	_	
1-44	doppelte	O	_	_	
1-45	Ration	B-NC	Hypernym	1-17	
1-46	von	O	_	_	
1-47	Mehl	B-NC	_	_	
1-48	,	O	_	_	
1-49	Reis	B-NC	Co-Hyponym	1-47	
1-50	und	O	_	_	
1-51	Salz	B-NC	Co-Hyponym	1-47	
1-52	,	O	_	_	
1-53	denn	O	_	_	
1-54	er	O	_	_	
1-55	wußte	O	_	_	
1-56	,	O	_	_	
1-57	daß	O	_	_	
1-58	man	O	_	_	
1-59	ein	O	_	_	
1-60	Fest	B-NC	_	_	
1-61	feiern	O	_	_	
1-62	werde	O	_	_	
1-63	.	O	_	_	
1-64	Der	O	_	_	
1-65	große	O	_	_	
1-66	Toomai	B-NC	_	_	
1-67	war	O	_	_	
1-68	herbeigekommen	O	_	_	
1-69	,	O	_	_	
1-70	um	O	_	_	
1-71	nach	O	_	_	
1-72	seinem	O	_	_	
1-73	Sohne	B-NC	Hypernym	1-31	
1-74	und	O	_	_	
1-75	dem	O	_	_	
1-76	Elefanten	B-NC	Co-Hyponym	1-33	
1-77	zu	O	_	_	
1-78	suchen	O	_	_	
1-79	,	O	_	_	
1-80	und	O	_	_	
1-81	jetzt	O	_	_	
1-82	,	O	_	_	
1-83	nachdem	O	_	_	
1-84	er	O	_	_	
1-85	sie	O	_	_	
1-86	gefunden	O	_	_	
1-87	hatte	O	_	_	
1-88	,	O	_	_	
1-89	glotzte	O	_	_	
1-90	er	O	_	_	
1-91	sie	O	_	_	
1-92	an	O	_	_	
1-93	,	O	_	_	
1-94	als	O	_	_	
1-95	fürchte	O	_	_	
1-96	er	O	_	_	
1-97	sich	O	_	_	
1-98	vor	O	_	_	
1-99	ihnen	O	_	_	
1-100	beiden	O	_	_	

#id=2
