 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=When they got back to camp it was time for the evening meal . Petersen Sahib ate alone in his tent , but he gave orders that the camp should have two sheep and some fowls , as well as a double ration of flour and rice and salt , for he knew that there would be a feast
1-1	When	O	_	_	
1-2	they	O	_	_	
1-3	got	O	_	_	
1-4	back	O	_	_	
1-5	to	O	_	_	
1-6	camp	O	_	_	
1-7	it	O	_	_	
1-8	was	O	_	_	
1-9	time	B-NC	_	_	
1-10	for	O	_	_	
1-11	the	O	_	_	
1-12	evening	B-NC|B-NC	_	_	
1-13	meal	I-NC|B-NC	_	_	
1-14	.	O	_	_	
1-15	Petersen	B-NC	_	_	
1-16	Sahib	B-NC	_	_	
1-17	ate	O	_	_	
1-18	alone	O	_	_	
1-19	in	O	_	_	
1-20	his	O	_	_	
1-21	tent	B-NC	_	_	
1-22	,	O	_	_	
1-23	but	O	_	_	
1-24	he	O	_	_	
1-25	gave	O	_	_	
1-26	orders	B-NC	_	_	
1-27	that	O	_	_	
1-28	the	O	_	_	
1-29	camp	B-NC	_	_	
1-30	should	O	_	_	
1-31	have	O	_	_	
1-32	two	O	_	_	
1-33	sheep	B-NC	Holonym	1-59	
1-34	and	O	_	_	
1-35	some	O	_	_	
1-36	fowls	B-NC	Co-Hyponym|Holonym	1-33|1-59	
1-37	,	O	_	_	
1-38	as	O	_	_	
1-39	well	O	_	_	
1-40	as	O	_	_	
1-41	a	O	_	_	
1-42	double	O	_	_	
1-43	ration	B-NC	_	_	
1-44	of	O	_	_	
1-45	flour	B-NC	Holonym	1-59	
1-46	and	O	_	_	
1-47	rice	B-NC	Holonym	1-59	
1-48	and	O	_	_	
1-49	salt	B-NC	Holonym	1-59	
1-50	,	O	_	_	
1-51	for	O	_	_	
1-52	he	O	_	_	
1-53	knew	O	_	_	
1-54	that	O	_	_	
1-55	there	O	_	_	
1-56	would	O	_	_	
1-57	be	O	_	_	
1-58	a	O	_	_	
1-59	feast	B-NC	Co-Hyponym	1-12	

#id=2
#text=Big Toomai had come up hotfoot from the camp in the plains to search for his son and his elephant , and now that he had found them he looked at them as though he were afraid of them both . And there was a feast by the blazing campfires in front of the lines of picketed elephants , and Little Toomai was the hero of it all . And the big brown elephant catchers , the trackers and drivers and ropers , and the men who know all the secrets of breaking the wildest elephants , passed him from one to the other , and they marked his forehead with blood from the breast of a newly killed jungle-cock , to show that he was a forester , initiated and free of all the jungles
2-1	Big	B-NC	_	_	
2-2	Toomai	B-NC	_	_	
2-3	had	O	_	_	
2-4	come	O	_	_	
2-5	up	O	_	_	
2-6	hotfoot	O	_	_	
2-7	from	O	_	_	
2-8	the	O	_	_	
2-9	camp	B-NC	_	_	
2-10	in	O	_	_	
2-11	the	O	_	_	
2-12	plains	B-NC	_	_	
2-13	to	O	_	_	
2-14	search	O	_	_	
2-15	for	O	_	_	
2-16	his	O	_	_	
2-17	son	B-NC	Hypernym	2-86	
2-18	and	O	_	_	
2-19	his	O	_	_	
2-20	elephant	B-NC	_	_	
2-21	,	O	_	_	
2-22	and	O	_	_	
2-23	now	O	_	_	
2-24	that	O	_	_	
2-25	he	O	_	_	
2-26	had	O	_	_	
2-27	found	O	_	_	
2-28	them	O	_	_	
2-29	he	O	_	_	
2-30	looked	O	_	_	
2-31	at	O	_	_	
2-32	them	O	_	_	
2-33	as	O	_	_	
2-34	though	O	_	_	
2-35	he	O	_	_	
2-36	were	O	_	_	
2-37	afraid	O	_	_	
2-38	of	O	_	_	
2-39	them	O	_	_	
2-40	both	O	_	_	
2-41	.	O	_	_	
2-42	And	O	_	_	
2-43	there	O	_	_	
2-44	was	O	_	_	
2-45	a	O	_	_	
2-46	feast	B-NC	_	_	
2-47	by	O	_	_	
2-48	the	O	_	_	
2-49	blazing	O	_	_	
2-50	campfires	B-NC	_	_	
2-51	in	O	_	_	
2-52	front	B-NC	_	_	
2-53	of	O	_	_	
2-54	the	O	_	_	
2-55	lines	B-NC	_	_	
2-56	of	O	_	_	
2-57	picketed	O	_	_	
2-58	elephants	B-NC	_	_	
2-59	,	O	_	_	
2-60	and	O	_	_	
2-61	Little	B-NC	_	_	
2-62	Toomai	B-NC	_	_	
2-63	was	O	_	_	
2-64	the	O	_	_	
2-65	hero	B-NC	Hypernym	2-86	
2-66	of	O	_	_	
2-67	it	O	_	_	
2-68	all	O	_	_	
2-69	.	O	_	_	
2-70	And	O	_	_	
2-71	the	O	_	_	
2-72	big	O	_	_	
2-73	brown	O	_	_	
2-74	elephant	B-NC|B-NC	Hypernym	2-86	
2-75	catchers	I-NC|B-NC	_	_	
2-76	,	O	_	_	
2-77	the	O	_	_	
2-78	trackers	B-NC	Hypernym	2-86	
2-79	and	O	_	_	
2-80	drivers	B-NC	Hypernym	2-86	
2-81	and	O	_	_	
2-82	ropers	B-NC	Hypernym	2-86	
2-83	,	O	_	_	
2-84	and	O	_	_	
2-85	the	O	_	_	
2-86	men	B-NC	_	_	
2-87	who	O	_	_	
2-88	know	O	_	_	
2-89	all	O	_	_	
2-90	the	O	_	_	
2-91	secrets	B-NC	_	_	
2-92	of	O	_	_	
2-93	breaking	O	_	_	
2-94	the	O	_	_	
2-95	wildest	O	_	_	
2-96	elephants	B-NC	_	_	
2-97	,	O	_	_	
2-98	passed	O	_	_	
2-99	him	O	_	_	
2-100	from	O	_	_	
2-101	one	O	_	_	
2-102	to	O	_	_	
2-103	the	O	_	_	
2-104	other	O	_	_	
2-105	,	O	_	_	
2-106	and	O	_	_	
2-107	they	O	_	_	
2-108	marked	O	_	_	
2-109	his	O	_	_	
2-110	forehead	B-NC	Holonym	2-17	
2-111	with	O	_	_	
2-112	blood	B-NC	Holonym	2-120	
2-113	from	O	_	_	
2-114	the	O	_	_	
2-115	breast	B-NC	Holonym	2-120	
2-116	of	O	_	_	
2-117	a	O	_	_	
2-118	newly	O	_	_	
2-119	killed	O	_	_	
2-120	jungle-cock	B-NC	_	_	
2-121	,	O	_	_	
2-122	to	O	_	_	
2-123	show	O	_	_	
2-124	that	O	_	_	
2-125	he	O	_	_	
2-126	was	O	_	_	
2-127	a	O	_	_	
2-128	forester	B-NC	Hypernym	2-86	
2-129	,	O	_	_	
2-130	initiated	O	_	_	
2-131	and	O	_	_	
2-132	free	O	_	_	
2-133	of	O	_	_	
2-134	all	O	_	_	
2-135	the	O	_	_	
2-136	jungles	B-NC	_	_	

#id=3
