 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Они вернулись в лагерь ; подходило время ужина . Петерсен сахиб закусил один в своей палатке , но приказал дать в лагерь двух овец и несколько кур , а также отпустить каждому служащему двойную порцию муки , риса и соли ; он знал , что они будут пировать
1-1	Они	O	_	_	
1-2	вернулись	O	_	_	
1-3	в	O	_	_	
1-4	лагерь	B-NC	_	_	
1-5	;	O	_	_	
1-6	подходило	O	_	_	
1-7	время	B-NC	_	_	
1-8	ужина	B-NC	_	_	
1-9	.	O	_	_	
1-10	Петерсен	B-NC	_	_	
1-11	сахиб	B-NC	_	_	
1-12	закусил	O	_	_	
1-13	один	O	_	_	
1-14	в	O	_	_	
1-15	своей	O	_	_	
1-16	палатке	B-NC	Holonym	1-22	
1-17	,	O	_	_	
1-18	но	O	_	_	
1-19	приказал	O	_	_	
1-20	дать	O	_	_	
1-21	в	O	_	_	
1-22	лагерь	B-NC	_	_	
1-23	двух	O	_	_	
1-24	овец	B-NC	_	_	
1-25	и	O	_	_	
1-26	несколько	O	_	_	
1-27	кур	B-NC	Co-Hyponym	1-24	
1-28	,	O	_	_	
1-29	а	O	_	_	
1-30	также	O	_	_	
1-31	отпустить	O	_	_	
1-32	каждому	O	_	_	
1-33	служащему	B-NC	_	_	
1-34	двойную	O	_	_	
1-35	порцию	B-NC	_	_	
1-36	муки	B-NC	_	_	
1-37	,	O	_	_	
1-38	риса	B-NC	Co-Hyponym	1-36	
1-39	и	O	_	_	
1-40	соли	B-NC	Co-Hyponym	1-36	
1-41	;	O	_	_	
1-42	он	O	_	_	
1-43	знал	O	_	_	
1-44	,	O	_	_	
1-45	что	O	_	_	
1-46	они	O	_	_	
1-47	будут	O	_	_	
1-48	пировать	O	_	_	

#id=2
#text=Большой Тумаи поспешно пришел из долины в лагерь сахиба за своим сыном и за своим слоном и теперь смотрел на них , точно боясь их обоих . Начался праздник при свете пылающих костров , зажженных против стойл слонов , и Маленький Тумаи был героем дня . Крупные коричневые ловцы , охотники , разведчики , карнаки , канатчики и люди , знающие тайные способы укрощения самых диких слонов , передавали мальчика из рук в руки и мазали ему лоб кровью из груди только что убитого петушка джунглей в знак того , что он свободный житель леса , посвященный во все тайны джунглей и имеющий право проникать куда ему угодно
2-1	Большой	O	_	_	
2-2	Тумаи	B-NC	_	_	
2-3	поспешно	O	_	_	
2-4	пришел	O	_	_	
2-5	из	O	_	_	
2-6	долины	B-NC	_	_	
2-7	в	O	_	_	
2-8	лагерь	B-NC	_	_	
2-9	сахиба	B-NC	_	_	
2-10	за	O	_	_	
2-11	своим	O	_	_	
2-12	сыном	B-NC	Hypernym	2-59	
2-13	и	O	_	_	
2-14	за	O	_	_	
2-15	своим	O	_	_	
2-16	слоном	B-NC	_	_	
2-17	и	O	_	_	
2-18	теперь	O	_	_	
2-19	смотрел	O	_	_	
2-20	на	O	_	_	
2-21	них	O	_	_	
2-22	,	O	_	_	
2-23	точно	O	_	_	
2-24	боясь	O	_	_	
2-25	их	O	_	_	
2-26	обоих	O	_	_	
2-27	.	O	_	_	
2-28	Начался	O	_	_	
2-29	праздник	B-NC	_	_	
2-30	при	O	_	_	
2-31	свете	B-NC	Holonym	2-33	
2-32	пылающих	O	_	_	
2-33	костров	B-NC	_	_	
2-34	,	O	_	_	
2-35	зажженных	O	_	_	
2-36	против	O	_	_	
2-37	стойл	O	_	_	
2-38	слонов	B-NC	_	_	
2-39	,	O	_	_	
2-40	и	O	_	_	
2-41	Маленький	O	_	_	
2-42	Тумаи	B-NC	_	_	
2-43	был	O	_	_	
2-44	героем	B-NC	Hypernym	2-59	
2-45	дня	B-NC	_	_	
2-46	.	O	_	_	
2-47	Крупные	O	_	_	
2-48	коричневые	O	_	_	
2-49	ловцы	B-NC	Hypernym	2-59	
2-50	,	O	_	_	
2-51	охотники	B-NC	Hypernym	2-59	
2-52	,	O	_	_	
2-53	разведчики	B-NC	Hypernym	2-59	
2-54	,	O	_	_	
2-55	карнаки	B-NC	Hypernym	2-59	
2-56	,	O	_	_	
2-57	канатчики	B-NC	Hypernym	2-59	
2-58	и	O	_	_	
2-59	люди	B-NC	Hypernym	2-94	
2-60	,	O	_	_	
2-61	знающие	O	_	_	
2-62	тайные	O	_	_	
2-63	способы	B-NC	_	_	
2-64	укрощения	B-NC	_	_	
2-65	самых	O	_	_	
2-66	диких	O	_	_	
2-67	слонов	B-NC	Co-Hyponym	2-59	
2-68	,	O	_	_	
2-69	передавали	O	_	_	
2-70	мальчика	B-NC	Hypernym	2-59	
2-71	из	O	_	_	
2-72	рук	B-NC	_	_	
2-73	в	O	_	_	
2-74	руки	B-NC	_	_	
2-75	и	O	_	_	
2-76	мазали	O	_	_	
2-77	ему	O	_	_	
2-78	лоб	B-NC	Holonym|Co-Hyponym	2-70|2-74	
2-79	кровью	B-NC	Holonym|Holonym	2-85|2-81	
2-80	из	O	_	_	
2-81	груди	B-NC	Co-Hyponym|Holonym	2-74|2-85	
2-82	только	O	_	_	
2-83	что	O	_	_	
2-84	убитого	O	_	_	
2-85	петушка	B-NC	Co-Hyponym	2-59	
2-86	джунглей	B-NC	_	_	
2-87	в	O	_	_	
2-88	знак	B-NC	_	_	
2-89	того	O	_	_	
2-90	,	O	_	_	
2-91	что	O	_	_	
2-92	он	O	_	_	
2-93	свободный	O	_	_	
2-94	житель	B-NC	_	_	
2-95	леса	B-NC	Co-Hyponym	2-6	
2-96	,	O	_	_	
2-97	посвященный	O	_	_	
2-98	во	O	_	_	
2-99	все	O	_	_	
2-100	тайны	B-NC	_	_	
2-101	джунглей	B-NC	Hypernym	2-95	
2-102	и	O	_	_	
2-103	имеющий	O	_	_	
2-104	право	B-NC	_	_	
2-105	проникать	O	_	_	
2-106	куда	O	_	_	
2-107	ему	O	_	_	
2-108	угодно	O	_	_	

#id=3
#text=Наконец пламя костра потухло , и красный свет головешек придал коже слонов такой оттенок , точно их тоже погрузили в кровь . Мачуа Аппа , глава всех загонщиков во всех кеддахах ; Мачуа Аппа , второе " я " Петерсен сахиба ; человек , за сорок лет не видавший ни разу дороги , сделанной руками людей ; Мачуа Аппа , настолько великий , что у него было только одно имя -- Мачуа Аппа , -- поднялся на ноги , держа высоко над своей головой Маленького Тумаи и закричал
3-1	Наконец	O	_	_	
3-2	пламя	B-NC	Holonym	3-3	
3-3	костра	B-NC	_	_	
3-4	потухло	O	_	_	
3-5	,	O	_	_	
3-6	и	O	_	_	
3-7	красный	O	_	_	
3-8	свет	B-NC	_	_	
3-9	головешек	B-NC	_	_	
3-10	придал	O	_	_	
3-11	коже	B-NC	Holonym	3-12	
3-12	слонов	B-NC	_	_	
3-13	такой	O	_	_	
3-14	оттенок	B-NC	_	_	
3-15	,	O	_	_	
3-16	точно	O	_	_	
3-17	их	O	_	_	
3-18	тоже	O	_	_	
3-19	погрузили	O	_	_	
3-20	в	O	_	_	
3-21	кровь	B-NC	_	_	
3-22	.	O	_	_	
3-23	Мачуа	B-NC	_	_	
3-24	Аппа	B-NC	_	_	
3-25	,	O	_	_	
3-26	глава	B-NC	_	_	
3-27	всех	O	_	_	
3-28	загонщиков	B-NC	Hypernym	3-43	
3-29	во	O	_	_	
3-30	всех	O	_	_	
3-31	кеддахах	B-NC	_	_	
3-32	;	O	_	_	
3-33	Мачуа	B-NC	_	_	
3-34	Аппа	B-NC	_	_	
3-35	,	O	_	_	
3-36	второе	O	_	_	
3-37	"	O	_	_	
3-38	я	O	_	_	
3-39	"	O	_	_	
3-40	Петерсен	B-NC	_	_	
3-41	сахиба	B-NC	_	_	
3-42	;	O	_	_	
3-43	человек	B-NC	_	_	
3-44	,	O	_	_	
3-45	за	O	_	_	
3-46	сорок	O	_	_	
3-47	лет	B-NC	_	_	
3-48	не	O	_	_	
3-49	видавший	O	_	_	
3-50	ни	O	_	_	
3-51	разу	B-NC	_	_	
3-52	дороги	B-NC	_	_	
3-53	,	O	_	_	
3-54	сделанной	O	_	_	
3-55	руками	B-NC	_	_	
3-56	людей	B-NC	Synonym	3-43	
3-57	;	O	_	_	
3-58	Мачуа	B-NC	_	_	
3-59	Аппа	B-NC	_	_	
3-60	,	O	_	_	
3-61	настолько	O	_	_	
3-62	великий	O	_	_	
3-63	,	O	_	_	
3-64	что	O	_	_	
3-65	у	O	_	_	
3-66	него	O	_	_	
3-67	было	O	_	_	
3-68	только	O	_	_	
3-69	одно	O	_	_	
3-70	имя	B-NC	_	_	
3-71	--	O	_	_	
3-72	Мачуа	B-NC	_	_	
3-73	Аппа	B-NC	_	_	
3-74	,	O	_	_	
3-75	--	O	_	_	
3-76	поднялся	O	_	_	
3-77	на	O	_	_	
3-78	ноги	B-NC	Holonym	3-43	
3-79	,	O	_	_	
3-80	держа	O	_	_	
3-81	высоко	O	_	_	
3-82	над	O	_	_	
3-83	своей	O	_	_	
3-84	головой	B-NC	Holonym	3-43	
3-85	Маленького	O	_	_	
3-86	Тумаи	B-NC	_	_	
3-87	и	O	_	_	
3-88	закричал	O	_	_	

#id=4
#text=- Слушайте , мои братья ! Слушайте и вы , мои господа , привязанные к столбам , потому что говорю я , Мачуа Аппа . Этого мальчика не будут больше называть Маленький Тумаи ; отныне он Слоновый Тумаи , как называли перед ним его прадеда . Целую долгую ночь он созерцал то , чего никогда не видал ни один человек , и милость народа слонов и любовь богов джунглей -- покоятся на нем . Он сделается великим охотником , станет выше меня , да , даже выше меня , Мачуа Аппы . Своим ясным взглядом он будет без труда распознавать новые следы , старые следы , смешанные следы . Ему не причинят вреда в кеддах , когда ему придется пробегать между слонами , чтобы накинуть веревку на дикаря , и если он проскользнет перед ногами несущегося одинокого слона , этот одинокий слон узнает , кто он такой и не раздавит его . Ай-ай ! Мои господа в цепях ! -- он повернулся к ряду слонов . -- Смотрите : этот мальчик видел ваши пляски в ваших тайниках -- зрелище , которое никогда еще не открывалось зрению ни одного человека . Почтите его , мои господа ! Салаам Каро , дети ! Салютуйте Слоновому Тумаи ! Гунга Першад ! Ахаа ! Хира Гудж . Бирчи Гудж , Куттар Гудж ! Ахаа ! Пудмини , ты видела его во время пляски , и ты тоже , Кала Наг , моя жемчужина среди слонов ! Ахаа ! Ну , все вместе ! Слоновому Тумаи Баррао
4-1	-	O	_	_	
4-2	Слушайте	O	_	_	
4-3	,	O	_	_	
4-4	мои	O	_	_	
4-5	братья	B-NC	Hypernym	4-60	
4-6	!	O	_	_	
4-7	Слушайте	O	_	_	
4-8	и	O	_	_	
4-9	вы	O	_	_	
4-10	,	O	_	_	
4-11	мои	O	_	_	
4-12	господа	B-NC	Hypernym	4-60	
4-13	,	O	_	_	
4-14	привязанные	O	_	_	
4-15	к	O	_	_	
4-16	столбам	B-NC	_	_	
4-17	,	O	_	_	
4-18	потому	O	_	_	
4-19	что	O	_	_	
4-20	говорю	O	_	_	
4-21	я	O	_	_	
4-22	,	O	_	_	
4-23	Мачуа	B-NC	_	_	
4-24	Аппа	B-NC	_	_	
4-25	.	O	_	_	
4-26	Этого	O	_	_	
4-27	мальчика	B-NC	Hypernym	4-60	
4-28	не	O	_	_	
4-29	будут	O	_	_	
4-30	больше	O	_	_	
