 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=It was seven o'clock of a very warm evening in the Seeonee hills when Father Wolf woke up from his day 's rest , scratched himself , yawned , and spread out his paws one after the other to get rid of the sleepy feeling in their tips . Mother Wolf lay with her big gray nose dropped across her four tumbling , squealing cubs , and the moon shone into the mouth of the cave where they all lived . " Augrh ! " said Father Wolf . " It is time to hunt again . " He was going to spring down hill when a little shadow with a bushy tail crossed the threshold and whined : " Good luck go with you , O Chief of the Wolves . And good luck and strong white teeth go with noble children that they may never forget the hungry in this world .
1-1	It	O	_	_	
1-2	was	O	_	_	
1-3	seven	O	_	_	
1-4	o'clock	O	_	_	
1-5	of	O	_	_	
1-6	a	O	_	_	
1-7	very	O	_	_	
1-8	warm	O	_	_	
1-9	evening	B-NC	_	_	
1-10	in	O	_	_	
1-11	the	O	_	_	
1-12	Seeonee	B-NC	_	_	
1-13	hills	B-NC	_	_	
1-14	when	O	_	_	
1-15	Father	B-NC	_	_	
1-16	Wolf	B-NC	_	_	
1-17	woke	O	_	_	
1-18	up	O	_	_	
1-19	from	O	_	_	
1-20	his	O	_	_	
1-21	day	B-NC	_	_	
1-22	's	O	_	_	
1-23	rest	B-NC	_	_	
1-24	,	O	_	_	
1-25	scratched	O	_	_	
1-26	himself	O	_	_	
1-27	,	O	_	_	
1-28	yawned	O	_	_	
1-29	,	O	_	_	
1-30	and	O	_	_	
1-31	spread	O	_	_	
1-32	out	O	_	_	
1-33	his	O	_	_	
1-34	paws	B-NC	_	_	
1-35	one	O	_	_	
1-36	after	O	_	_	
1-37	the	O	_	_	
1-38	other	O	_	_	
1-39	to	O	_	_	
1-40	get	O	_	_	
1-41	rid	O	_	_	
1-42	of	O	_	_	
1-43	the	O	_	_	
1-44	sleepy	O	_	_	
1-45	feeling	B-NC	_	_	
1-46	in	O	_	_	
1-47	their	O	_	_	
1-48	tips	B-NC	Holonym	1-34	
1-49	.	O	_	_	
1-50	Mother	B-NC	_	_	
1-51	Wolf	B-NC	_	_	
1-52	lay	O	_	_	
1-53	with	O	_	_	
1-54	her	O	_	_	
1-55	big	O	_	_	
1-56	gray	O	_	_	
1-57	nose	B-NC	Co-Hyponym	1-34	
1-58	dropped	O	_	_	
1-59	across	O	_	_	
1-60	her	O	_	_	
1-61	four	O	_	_	
1-62	tumbling	O	_	_	
1-63	,	O	_	_	
1-64	squealing	O	_	_	
1-65	cubs	B-NC	_	_	
1-66	,	O	_	_	
1-67	and	O	_	_	
1-68	the	O	_	_	
1-69	moon	B-NC	_	_	
1-70	shone	O	_	_	
1-71	into	O	_	_	
1-72	the	O	_	_	
1-73	mouth	B-NC	Holonym	1-76	
1-74	of	O	_	_	
1-75	the	O	_	_	
1-76	cave	B-NC	_	_	
1-77	where	O	_	_	
1-78	they	O	_	_	
1-79	all	O	_	_	
1-80	lived	O	_	_	
1-81	.	O	_	_	
1-82	"	O	_	_	
1-83	Augrh	B-NC	_	_	
1-84	!	O	_	_	
1-85	"	O	_	_	
1-86	said	O	_	_	
1-87	Father	B-NC	_	_	
1-88	Wolf	B-NC	_	_	
1-89	.	O	_	_	
1-90	"	O	_	_	
1-91	It	O	_	_	
1-92	is	O	_	_	
1-93	time	B-NC	_	_	
1-94	to	O	_	_	
1-95	hunt	O	_	_	
1-96	again	O	_	_	
1-97	.	O	_	_	
1-98	"	O	_	_	
1-99	He	O	_	_	
1-100	was	O	_	_	
1-101	going	O	_	_	
1-102	to	O	_	_	
1-103	spring	O	_	_	
1-104	down	O	_	_	
1-105	hill	B-NC	_	_	
1-106	when	O	_	_	
1-107	a	O	_	_	
1-108	little	O	_	_	
1-109	shadow	B-NC	_	_	
1-110	with	O	_	_	
1-111	a	O	_	_	
1-112	bushy	O	_	_	
1-113	tail	B-NC	Co-Hyponym	1-34	
1-114	crossed	O	_	_	
1-115	the	O	_	_	
1-116	threshold	B-NC	_	_	
1-117	and	O	_	_	
1-118	whined	O	_	_	
1-119	:	O	_	_	
1-120	"	O	_	_	
1-121	Good	O	_	_	
1-122	luck	B-NC	_	_	
1-123	go	O	_	_	
1-124	with	O	_	_	
1-125	you	O	_	_	
1-126	,	O	_	_	
1-127	O	B-NC	_	_	
1-128	Chief	B-NC	_	_	
1-129	of	O	_	_	
1-130	the	O	_	_	
1-131	Wolves	B-NC	_	_	
1-132	.	O	_	_	
1-133	And	O	_	_	
1-134	good	O	_	_	
1-135	luck	B-NC	_	_	
1-136	and	O	_	_	
1-137	strong	O	_	_	
1-138	white	O	_	_	
1-139	teeth	B-NC	Co-Hyponym|Holonym	1-34|1-143	
1-140	go	O	_	_	
1-141	with	O	_	_	
1-142	noble	O	_	_	
1-143	children	B-NC	_	_	
1-144	that	O	_	_	
1-145	they	O	_	_	
1-146	may	O	_	_	
1-147	never	O	_	_	
1-148	forget	O	_	_	
1-149	the	O	_	_	
1-150	hungry	O	_	_	
1-151	in	O	_	_	
1-152	this	O	_	_	
1-153	world	B-NC	_	_	
1-154	.	O	_	_	

#id=2
#text=It was the jackal - - Tabaqui , the Dish - licker - - and the wolves of India despise Tabaqui because he runs about making mischief , and telling tales , and eating rags and pieces of leather from the village rubbish - heaps . But they are afraid of him too , because Tabaqui , more than anyone else in the jungle , is apt to go mad , and then he forgets that he was ever afraid of anyone , and runs through the forest biting everything in his way . Even the tiger runs and hides when little Tabaqui goes mad , for madness is the most disgraceful thing that can overtake a wild creature . We call it hydrophobia , but they call it dewanee - - the madness - - and run
2-1	It	O	_	_	
2-2	was	O	_	_	
2-3	the	O	_	_	
2-4	jackal	B-NC	Hypernym	2-119	
2-5	-	O	_	_	
2-6	-	O	_	_	
2-7	Tabaqui	B-NC	_	_	
2-8	,	O	_	_	
2-9	the	O	_	_	
2-10	Dish	B-NC	_	_	
2-11	-	O	_	_	
2-12	licker	B-NC	_	_	
2-13	-	O	_	_	
2-14	-	O	_	_	
2-15	and	O	_	_	
2-16	the	O	_	_	
2-17	wolves	B-NC	Hypernym	2-119	
2-18	of	O	_	_	
2-19	India	B-NC	_	_	
2-20	despise	O	_	_	
2-21	Tabaqui	B-NC	_	_	
2-22	because	O	_	_	
2-23	he	O	_	_	
2-24	runs	O	_	_	
2-25	about	O	_	_	
2-26	making	O	_	_	
2-27	mischief	B-NC	_	_	
2-28	,	O	_	_	
2-29	and	O	_	_	
2-30	telling	O	_	_	
2-31	tales	B-NC	_	_	
2-32	,	O	_	_	
