 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=В Сионийских горах наступил очень жаркий вечер . Отец Волк проснулся после дневного отдыха , зевнул , почесался и одну за другой вытянул свои передние лапы , чтобы прогнать из них остаток тяжести . Волчица Мать лежала , прикрыв своей большой серой мордой четверых барахтавшихся , повизгивавших волчат , а в отверстие их пещеры светила луна
1-1	В	O	_	_	
1-2	Сионийских	O	_	_	
1-3	горах	B-NC	_	_	
1-4	наступил	O	_	_	
1-5	очень	O	_	_	
1-6	жаркий	O	_	_	
1-7	вечер	B-NC	_	_	
1-8	.	O	_	_	
1-9	Отец	B-NC	_	_	
1-10	Волк	B-NC	_	_	
1-11	проснулся	O	_	_	
1-12	после	O	_	_	
1-13	дневного	O	_	_	
1-14	отдыха	B-NC	_	_	
1-15	,	O	_	_	
1-16	зевнул	O	_	_	
1-17	,	O	_	_	
1-18	почесался	O	_	_	
1-19	и	O	_	_	
1-20	одну	O	_	_	
1-21	за	O	_	_	
1-22	другой	O	_	_	
1-23	вытянул	O	_	_	
1-24	свои	O	_	_	
1-25	передние	O	_	_	
1-26	лапы	B-NC	_	_	
1-27	,	O	_	_	
1-28	чтобы	O	_	_	
1-29	прогнать	O	_	_	
1-30	из	O	_	_	
1-31	них	O	_	_	
1-32	остаток	B-NC	_	_	
1-33	тяжести	B-NC	_	_	
1-34	.	O	_	_	
1-35	Волчица	B-NC	_	_	
1-36	Мать	B-NC	_	_	
1-37	лежала	O	_	_	
1-38	,	O	_	_	
1-39	прикрыв	O	_	_	
1-40	своей	O	_	_	
1-41	большой	O	_	_	
1-42	серой	O	_	_	
1-43	мордой	B-NC	Co-Hyponym	1-26	
1-44	четверых	O	_	_	
1-45	барахтавшихся	B-NC	_	_	
1-46	,	O	_	_	
1-47	повизгивавших	O	_	_	
1-48	волчат	O	_	_	
1-49	,	O	_	_	
1-50	а	O	_	_	
1-51	в	O	_	_	
1-52	отверстие	B-NC	Holonym	1-54	
1-53	их	O	_	_	
1-54	пещеры	B-NC	Holonym	1-3	
1-55	светила	O	_	_	
1-56	луна	B-NC	_	_	

#id=2
#text=- - Огур ! . . - - сказал Отец Волк . - - Пора мне идти на охоту
2-1	-	O	_	_	
2-2	-	O	_	_	
2-3	Огур	B-NC	_	_	
2-4	!	O	_	_	
2-5	.	O	_	_	
2-6	.	O	_	_	
2-7	-	O	_	_	
2-8	-	O	_	_	
2-9	сказал	O	_	_	
2-10	Отец	B-NC	_	_	
2-11	Волк	B-NC	_	_	
2-12	.	O	_	_	
2-13	-	O	_	_	
2-14	-	O	_	_	
2-15	Пора	O	_	_	
2-16	мне	O	_	_	
2-17	идти	O	_	_	
2-18	на	O	_	_	
2-19	охоту	B-NC	_	_	

#id=3
#text=И он уже готовился пуститься по откосу горы , когда маленькая тень с пушистым хвостом показалась подле входа в пещеру и жалобно провизжала
3-1	И	O	_	_	
3-2	он	O	_	_	
3-3	уже	O	_	_	
3-4	готовился	O	_	_	
3-5	пуститься	O	_	_	
3-6	по	O	_	_	
3-7	откосу	B-NC	Holonym	3-8	
3-8	горы	B-NC	_	_	
3-9	,	O	_	_	
3-10	когда	O	_	_	
3-11	маленькая	O	_	_	
3-12	тень	B-NC	_	_	
3-13	с	O	_	_	
3-14	пушистым	O	_	_	
3-15	хвостом	B-NC	_	_	
3-16	показалась	O	_	_	
3-17	подле	O	_	_	
3-18	входа	B-NC	Holonym	3-20	
3-19	в	O	_	_	
3-20	пещеру	B-NC	Holonym	3-8	
3-21	и	O	_	_	
3-22	жалобно	O	_	_	
3-23	провизжала	O	_	_	

#id=4
#text=- - Пусть тебе сопутствует удача , о вождь волков , пусть судьба даст твоим благородным детям сильные , белые зубы ; пусть счастье улыбается им . И да не забывают они голодных
4-1	-	O	_	_	
4-2	-	O	_	_	
4-3	Пусть	O	_	_	
4-4	тебе	O	_	_	
4-5	сопутствует	O	_	_	
4-6	удача	B-NC	_	_	
4-7	,	O	_	_	
4-8	о	O	_	_	
4-9	вождь	B-NC	_	_	
4-10	волков	B-NC	_	_	
4-11	,	O	_	_	
4-12	пусть	O	_	_	
4-13	судьба	B-NC	_	_	
4-14	даст	O	_	_	
4-15	твоим	O	_	_	
4-16	благородным	O	_	_	
4-17	детям	B-NC	_	_	
4-18	сильные	O	_	_	
4-19	,	O	_	_	
4-20	белые	O	_	_	
4-21	зубы	B-NC	_	_	
4-22	;	O	_	_	
4-23	пусть	O	_	_	
4-24	счастье	B-NC	_	_	
4-25	улыбается	O	_	_	
4-26	им	O	_	_	
4-27	.	O	_	_	
4-28	И	O	_	_	
4-29	да	O	_	_	
4-30	не	O	_	_	
4-31	забывают	O	_	_	
4-32	они	O	_	_	
4-33	голодных	B-NC	_	_	

#id=5
#text=Говорил шакал Табаки , лизоблюд . Волки Индии презирали Табаки за то , что он всем причинял неприятности , сплетничал и поедал тряпье и лоскутья кожи на сельских свалках мусора . Вместе с тем , в джунглях боялись его , потому что шакалы способны сходить с ума , а в таком состоянии они забывают всякий страх , бегают по лесам и кусают всех , кого встречают . Когда маленький шакал сходит с ума , даже тигр прячется от него . Ведь для дикого создания безумие величайший позор ! Мы называем эту болезнь водобоязнью , в джунглях же ее считают дивани - - безумием
5-1	Говорил	O	_	_	
5-2	шакал	B-NC	_	_	
5-3	Табаки	B-NC	_	_	
5-4	,	O	_	_	
5-5	лизоблюд	B-NC	_	_	
5-6	.	O	_	_	
5-7	Волки	B-NC	Co-Hyponym	5-2	
5-8	Индии	B-NC	_	_	
5-9	презирали	O	_	_	
5-10	Табаки	B-NC	_	_	
5-11	за	O	_	_	
5-12	то	O	_	_	
5-13	,	O	_	_	
5-14	что	O	_	_	
5-15	он	O	_	_	
5-16	всем	O	_	_	
5-17	причинял	O	_	_	
5-18	неприятности	B-NC	_	_	
5-19	,	O	_	_	
5-20	сплетничал	O	_	_	
5-21	и	O	_	_	
5-22	поедал	O	_	_	
5-23	тряпье	B-NC	_	_	
5-24	и	O	_	_	
5-25	лоскутья	B-NC	Synonym	5-23	
5-26	кожи	B-NC	_	_	
5-27	на	O	_	_	
5-28	сельских	O	_	_	
5-29	свалках	B-NC	_	_	
5-30	мусора	B-NC	_	_	
5-31	.	O	_	_	
5-32	Вместе	O	_	_	
5-33	с	O	_	_	
5-34	тем	O	_	_	
5-35	,	O	_	_	
5-36	в	O	_	_	
5-37	джунглях	B-NC	Hypernym	5-60	
5-38	боялись	O	_	_	
5-39	его	O	_	_	
5-40	,	O	_	_	
5-41	потому	O	_	_	
5-42	что	O	_	_	
5-43	шакалы	B-NC	_	_	
5-44	способны	O	_	_	
5-45	сходить	O	_	_	
5-46	с	O	_	_	
5-47	ума	B-NC	Holonym	5-43	
5-48	,	O	_	_	
5-49	а	O	_	_	
5-50	в	O	_	_	
5-51	таком	O	_	_	
5-52	состоянии	B-NC	_	_	
5-53	они	O	_	_	
5-54	забывают	O	_	_	
5-55	всякий	O	_	_	
5-56	страх	B-NC	_	_	
5-57	,	O	_	_	
5-58	бегают	O	_	_	
5-59	по	O	_	_	
5-60	лесам	B-NC	_	_	
5-61	и	O	_	_	
5-62	кусают	O	_	_	
5-63	всех	O	_	_	
5-64	,	O	_	_	
5-65	кого	O	_	_	
5-66	встречают	O	_	_	
5-67	.	O	_	_	
5-68	Когда	O	_	_	
5-69	маленький	O	_	_	
5-70	шакал	B-NC	_	_	
5-71	сходит	O	_	_	
5-72	с	O	_	_	
5-73	ума	B-NC	_	_	
5-74	,	O	_	_	
5-75	даже	O	_	_	
5-76	тигр	B-NC	Co-Hyponym	5-70	
5-77	прячется	O	_	_	
5-78	от	O	_	_	
5-79	него	O	_	_	
5-80	.	O	_	_	
5-81	Ведь	O	_	_	
5-82	для	O	_	_	
5-83	дикого	O	_	_	
5-84	создания	B-NC	_	_	
5-85	безумие	B-NC	Hypernym	5-92	
5-86	величайший	O	_	_	
5-87	позор	B-NC	_	_	
5-88	!	O	_	_	
5-89	Мы	O	_	_	
5-90	называем	O	_	_	
5-91	эту	O	_	_	
5-92	болезнь	B-NC	_	_	
5-93	водобоязнью	B-NC	Hypernym	5-85	
5-94	,	O	_	_	
5-95	в	O	_	_	
5-96	джунглях	B-NC	_	_	
5-97	же	O	_	_	
5-98	ее	O	_	_	
5-99	считают	O	_	_	
5-100	дивани	B-NC	_	_	
5-101	-	O	_	_	
5-102	-	O	_	_	
5-103	безумием	B-NC	_	_	

#id=6
#text=- - Войди же и посмотри , - - сухо сказал ему Волк , - - только в пещере нет ничего съедобного
6-1	-	O	_	_	
6-2	-	O	_	_	
6-3	Войди	O	_	_	
6-4	же	O	_	_	
6-5	и	O	_	_	
6-6	посмотри	O	_	_	
6-7	,	O	_	_	
6-8	-	O	_	_	
6-9	-	O	_	_	
6-10	сухо	O	_	_	
6-11	сказал	O	_	_	
6-12	ему	O	_	_	
6-13	Волк	B-NC	_	_	
6-14	,	O	_	_	
6-15	-	O	_	_	
6-16	-	O	_	_	
6-17	только	O	_	_	
6-18	в	O	_	_	
6-19	пещере	B-NC	_	_	
6-20	нет	O	_	_	
6-21	ничего	O	_	_	
6-22	съедобного	O	_	_	

#id=7
#text=- - Для волка - - нет , - - ответил Табаки , - - но для такого скромного создания , как я , даже обглоданная кость - - великолепный пир . Что такое мы , Джидур лог - - племя шакалов , - - чтобы выбирать и пробовать
7-1	-	O	_	_	
7-2	-	O	_	_	
7-3	Для	O	_	_	
7-4	волка	B-NC	_	_	
7-5	-	O	_	_	
7-6	-	O	_	_	
7-7	нет	O	_	_	
7-8	,	O	_	_	
7-9	-	O	_	_	
7-10	-	O	_	_	
7-11	ответил	O	_	_	
7-12	Табаки	B-NC	_	_	
7-13	,	O	_	_	
7-14	-	O	_	_	
7-15	-	O	_	_	
7-16	но	O	_	_	
7-17	для	O	_	_	
7-18	такого	O	_	_	
7-19	скромного	O	_	_	
7-20	создания	B-NC	_	_	
7-21	,	O	_	_	
7-22	как	O	_	_	
7-23	я	O	_	_	
7-24	,	O	_	_	
7-25	даже	O	_	_	
7-26	обглоданная	O	_	_	
7-27	кость	B-NC	_	_	
7-28	-	O	_	_	
7-29	-	O	_	_	
7-30	великолепный	O	_	_	
7-31	пир	B-NC	_	_	
7-32	.	O	_	_	
7-33	Что	O	_	_	
7-34	такое	O	_	_	
7-35	мы	O	_	_	
7-36	,	O	_	_	
7-37	Джидур	B-NC	_	_	
7-38	лог	B-NC	_	_	
7-39	-	O	_	_	
7-40	-	O	_	_	
7-41	племя	B-NC	_	_	
7-42	шакалов	B-NC	Co-Hyponym	7-4	
7-43	,	O	_	_	
7-44	-	O	_	_	
7-45	-	O	_	_	
7-46	чтобы	O	_	_	
7-47	выбирать	O	_	_	
7-48	и	O	_	_	
7-49	пробовать	O	_	_	

#id=8
#text=Мелкими шажками он вбежал в самую глубь пещеры , отыскал там оленью кость с остатками мяса , присел и принялся с наслаждением ее грызть
8-1	Мелкими	O	_	_	
8-2	шажками	B-NC	_	_	
8-3	он	O	_	_	
8-4	вбежал	O	_	_	
8-5	в	O	_	_	
8-6	самую	O	_	_	
8-7	глубь	B-NC	_	_	
8-8	пещеры	B-NC	_	_	
8-9	,	O	_	_	
8-10	отыскал	O	_	_	
8-11	там	O	_	_	
