 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Zu derselben Zeit brannte im Schlafzimmer von Nikolai Bolkonsky , wie immer , eine Nachtlampe , weil er sich in der Dunkelheit fürchtete . Desalles schlief auf seinen vier Kissen , und seine römische Nase ließ ein gleichmäßiges Schnarchen hören . Nikolai war in kaltem Schweiß erwacht und saß mit weit geöffneten Augen auf seinem Bette . Ein schrecklicher Traum hatte ihn erweckt . Er sah sich selbst und Onkel Peter mit Helmen , wie er sie in einer Ausgabe von Plutarch abgebildet gesehen hatte . Er ging mit Onkel Peter einer ungeheuren Masse Truppen voraus . Diese Truppen bestanden aus weißen , schiefen Linien , welche die Luft erfüllten wie jene Fäden , die im Herbst in der Luft umherfliegen . Vor ihnen lag der Ruhm , ebenso wie diese Fäden , nur etwas stärker . Er und Onkel Peter schwebten freudig näher und näher zum Ziel . Plötzlich wurden die Fäden , die sie fortbewegten , schwächer und verwirrten sich , und Onkel Nikolai stand vor ihnen mit drohender , strenger Gebärde
1-1	Zu	O	_	_	
1-2	derselben	O	_	_	
1-3	Zeit	B-NC	_	_	
1-4	brannte	O	_	_	
1-5	im	O	_	_	
1-6	Schlafzimmer	B-NC	_	_	
1-7	von	O	_	_	
1-8	Nikolai	B-NC	_	_	
1-9	Bolkonsky	B-NC	_	_	
1-10	,	O	_	_	
1-11	wie	O	_	_	
1-12	immer	O	_	_	
1-13	,	O	_	_	
1-14	eine	O	_	_	
1-15	Nachtlampe	B-NC	_	_	
1-16	,	O	_	_	
1-17	weil	O	_	_	
1-18	er	O	_	_	
1-19	sich	O	_	_	
1-20	in	O	_	_	
1-21	der	O	_	_	
1-22	Dunkelheit	B-NC	_	_	
1-23	fürchtete	O	_	_	
1-24	.	O	_	_	
1-25	Desalles	B-NC	_	_	
1-26	schlief	O	_	_	
1-27	auf	O	_	_	
1-28	seinen	O	_	_	
1-29	vier	O	_	_	
1-30	Kissen	B-NC	_	_	
1-31	,	O	_	_	
1-32	und	O	_	_	
1-33	seine	O	_	_	
1-34	römische	O	_	_	
1-35	Nase	B-NC	_	_	
1-36	ließ	O	_	_	
1-37	ein	O	_	_	
1-38	gleichmäßiges	O	_	_	
1-39	Schnarchen	B-NC	_	_	
1-40	hören	O	_	_	
1-41	.	O	_	_	
1-42	Nikolai	B-NC	_	_	
1-43	war	O	_	_	
1-44	in	O	_	_	
