 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Meanwhile downstairs in young Nicholas Bolkonski 's bedroom a little lamp was burning as usual . ( The boy was afraid of the dark and they could not cure him of it . ) Dessalles slept propped up on four pillows and his Roman nose emitted sounds of rhythmic snoring . Little Nicholas , who had just waked up in a cold perspiration , sat up in bed and gazed before him with wide-open eyes . He had awaked from a terrible dream . He had dreamed that he and Uncle Pierre , wearing helmets such as were depicted in his Plutarch , were leading a huge army . The army was made up of white slanting lines that filled the air like the cobwebs that float about in autumn and which Dessalles called les fils de la Vierge . In front was Glory , which was similar to those threads but rather thicker . He and Pierre were borne along lightly and joyously , nearer and nearer to their goal . Suddenly the threads that moved them began to slacken and become entangled and it grew difficult to move . And Uncle Nicholas stood before them in a stern and threatening attitude
1-1	Meanwhile	O	_	_	
1-2	downstairs	O	_	_	
1-3	in	O	_	_	
1-4	young	O	_	_	
1-5	Nicholas	B-NC	_	_	
1-6	Bolkonski	B-NC	_	_	
1-7	's	O	_	_	
1-8	bedroom	B-NC	_	_	
1-9	a	O	_	_	
1-10	little	O	_	_	
1-11	lamp	B-NC	_	_	
1-12	was	O	_	_	
1-13	burning	O	_	_	
1-14	as	O	_	_	
1-15	usual	O	_	_	
1-16	.	O	_	_	
1-17	(	O	_	_	
1-18	The	O	_	_	
1-19	boy	B-NC	_	_	
1-20	was	O	_	_	
1-21	afraid	O	_	_	
1-22	of	O	_	_	
1-23	the	O	_	_	
1-24	dark	B-NC	_	_	
1-25	and	O	_	_	
1-26	they	O	_	_	
1-27	could	O	_	_	
1-28	not	O	_	_	
1-29	cure	O	_	_	
1-30	him	O	_	_	
1-31	of	O	_	_	
1-32	it	O	_	_	
1-33	.	O	_	_	
1-34	)	O	_	_	
1-35	Dessalles	B-NC	_	_	
1-36	slept	O	_	_	
1-37	propped	O	_	_	
1-38	up	O	_	_	
1-39	on	O	_	_	
1-40	four	O	_	_	
1-41	pillows	B-NC	_	_	
1-42	and	O	_	_	
1-43	his	O	_	_	
1-44	Roman	B-NC	_	_	
1-45	nose	B-NC	Holonym	1-19	
1-46	emitted	O	_	_	
1-47	sounds	B-NC	_	_	
1-48	of	O	_	_	
1-49	rhythmic	O	_	_	
1-50	snoring	B-NC	Hypernym	1-47	
1-51	.	O	_	_	
1-52	Little	B-NC	_	_	
1-53	Nicholas	B-NC	_	_	
1-54	,	O	_	_	
1-55	who	O	_	_	
