 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=В это же время внизу , в отделении Николеньки Болконского , в его спальне , как всегда , горела лампадка ( мальчик боялся темноты , и его не могли отучить от этого недостатка ) . Десаль спал высоко на своих четырех подушках , и его римский нос издавал равномерные звуки храпенья . Николенька , только что проснувшись , в холодном поту , с широко раскрытыми глазами , сидел на своей постели и смотрел перед собой . Страшный сон разбудил его . Он видел во сне себя и Пьера в касках — таких , которые были нарисованы в издании Плутарха . Они с дядей Пьером шли впереди огромного войска . Войско это было составлено из белых косых линий , наполнявших воздух подобно тем паутинам , которые летают осенью и которые Десаль называл нитями Богородицы . Впереди была слава , такая же , как и эти нити , но только несколько плотнее . Они — он и Пьер — неслись легко и радостно все ближе и ближе к цели . Вдруг нити , которые двигали их , стали ослабевать , путаться ; стало тяжело . И дядя Николай Ильич остановился перед ними в грозной и строгой позе
1-1	В	O	_	_	
1-2	это	O	_	_	
1-3	же	O	_	_	
1-4	время	B-NC	_	_	
1-5	внизу	O	_	_	
1-6	,	O	_	_	
1-7	в	O	_	_	
1-8	отделении	B-NC	_	_	
1-9	Николеньки	B-NC	_	_	
1-10	Болконского	B-NC	_	_	
1-11	,	O	_	_	
1-12	в	O	_	_	
1-13	его	O	_	_	
1-14	спальне	B-NC	_	_	
1-15	,	O	_	_	
1-16	как	O	_	_	
1-17	всегда	O	_	_	
1-18	,	O	_	_	
1-19	горела	O	_	_	
1-20	лампадка	B-NC	_	_	
1-21	(	O	_	_	
1-22	мальчик	B-NC	_	_	
1-23	боялся	O	_	_	
1-24	темноты	B-NC	_	_	
1-25	,	O	_	_	
1-26	и	O	_	_	
1-27	его	O	_	_	
1-28	не	O	_	_	
1-29	могли	O	_	_	
1-30	отучить	O	_	_	
1-31	от	O	_	_	
1-32	этого	O	_	_	
1-33	недостатка	B-NC	_	_	
1-34	)	O	_	_	
1-35	.	O	_	_	
1-36	Десаль	B-NC	_	_	
1-37	спал	O	_	_	
1-38	высоко	O	_	_	
1-39	на	O	_	_	
1-40	своих	O	_	_	
1-41	четырех	O	_	_	
1-42	подушках	B-NC	_	_	
1-43	,	O	_	_	
1-44	и	O	_	_	
1-45	его	O	_	_	
1-46	римский	O	_	_	
1-47	нос	B-NC	_	_	
1-48	издавал	O	_	_	
1-49	равномерные	O	_	_	
1-50	звуки	B-NC	_	_	
1-51	храпенья	B-NC	Hypernym	1-50	
1-52	.	O	_	_	
1-53	Николенька	B-NC	_	_	
1-54	,	O	_	_	
1-55	только	O	_	_	
1-56	что	O	_	_	
1-57	проснувшись	O	_	_	
1-58	,	O	_	_	
1-59	в	O	_	_	
1-60	холодном	O	_	_	
1-61	поту	B-NC	_	_	
1-62	,	O	_	_	
1-63	с	O	_	_	
1-64	широко	O	_	_	
1-65	раскрытыми	O	_	_	
1-66	глазами	B-NC	Co-Hyponym	1-47	
1-67	,	O	_	_	
1-68	сидел	O	_	_	
1-69	на	O	_	_	
1-70	своей	O	_	_	
1-71	постели	B-NC	_	_	
1-72	и	O	_	_	
1-73	смотрел	O	_	_	
1-74	перед	O	_	_	
1-75	собой	O	_	_	
1-76	.	O	_	_	
1-77	Страшный	O	_	_	
1-78	сон	B-NC	_	_	
1-79	разбудил	O	_	_	
1-80	его	O	_	_	
1-81	.	O	_	_	
1-82	Он	O	_	_	
1-83	видел	O	_	_	
1-84	во	O	_	_	
1-85	сне	B-NC	_	_	
1-86	себя	O	_	_	
1-87	и	O	_	_	
1-88	Пьера	B-NC	_	_	
1-89	в	O	_	_	
1-90	касках	B-NC	_	_	
1-91	—	O	_	_	
1-92	таких	O	_	_	
1-93	,	O	_	_	
1-94	которые	O	_	_	
1-95	были	O	_	_	
1-96	нарисованы	O	_	_	
1-97	в	O	_	_	
1-98	издании	B-NC	_	_	
1-99	Плутарха	B-NC	_	_	
1-100	.	O	_	_	
1-101	Они	O	_	_	
1-102	с	O	_	_	
1-103	дядей	B-NC	_	_	
1-104	Пьером	B-NC	_	_	
1-105	шли	O	_	_	
1-106	впереди	O	_	_	
1-107	огромного	O	_	_	
1-108	войска	B-NC	_	_	
1-109	.	O	_	_	
1-110	Войско	B-NC	_	_	
1-111	это	O	_	_	
1-112	было	O	_	_	
1-113	составлено	O	_	_	
1-114	из	O	_	_	
1-115	белых	O	_	_	
1-116	косых	O	_	_	
1-117	линий	B-NC	_	_	
1-118	,	O	_	_	
1-119	наполнявших	O	_	_	
1-120	воздух	B-NC	_	_	
1-121	подобно	O	_	_	
1-122	тем	O	_	_	
1-123	паутинам	B-NC	_	_	
1-124	,	O	_	_	
1-125	которые	O	_	_	
1-126	летают	O	_	_	
1-127	осенью	B-NC	_	_	
1-128	и	O	_	_	
1-129	которые	O	_	_	
1-130	Десаль	B-NC	_	_	
1-131	называл	O	_	_	
1-132	нитями	B-NC	Holonym	1-123	
1-133	Богородицы	B-NC	_	_	
1-134	.	O	_	_	
1-135	Впереди	O	_	_	
1-136	была	O	_	_	
1-137	слава	B-NC	_	_	
1-138	,	O	_	_	
1-139	такая	O	_	_	
1-140	же	O	_	_	
1-141	,	O	_	_	
1-142	как	O	_	_	
1-143	и	O	_	_	
1-144	эти	O	_	_	
1-145	нити	B-NC	_	_	
1-146	,	O	_	_	
1-147	но	O	_	_	
1-148	только	O	_	_	
1-149	несколько	O	_	_	
1-150	плотнее	O	_	_	
1-151	.	O	_	_	
1-152	Они	O	_	_	
1-153	—	O	_	_	
1-154	он	O	_	_	
1-155	и	O	_	_	
1-156	Пьер	B-NC	_	_	
1-157	—	O	_	_	
1-158	неслись	O	_	_	
1-159	легко	O	_	_	
1-160	и	O	_	_	
1-161	радостно	O	_	_	
1-162	все	O	_	_	
1-163	ближе	O	_	_	
1-164	и	O	_	_	
1-165	ближе	O	_	_	
1-166	к	O	_	_	
1-167	цели	B-NC	_	_	
1-168	.	O	_	_	
1-169	Вдруг	O	_	_	
1-170	нити	B-NC	_	_	
1-171	,	O	_	_	
1-172	которые	O	_	_	
1-173	двигали	O	_	_	
1-174	их	O	_	_	
1-175	,	O	_	_	
1-176	стали	O	_	_	
1-177	ослабевать	O	_	_	
1-178	,	O	_	_	
1-179	путаться	O	_	_	
1-180	;	O	_	_	
1-181	стало	O	_	_	
1-182	тяжело	O	_	_	
1-183	.	O	_	_	
1-184	И	O	_	_	
1-185	дядя	B-NC	_	_	
1-186	Николай	B-NC	_	_	
1-187	Ильич	B-NC	_	_	
1-188	остановился	O	_	_	
1-189	перед	O	_	_	
1-190	ними	O	_	_	
1-191	в	O	_	_	
1-192	грозной	O	_	_	
1-193	и	O	_	_	
1-194	строгой	O	_	_	
1-195	позе	B-NC	_	_	

#id=2
#text=— Это вы сделали ? — сказал он , указывая на поломанные сургучи и перья . — Я любил вас , но Аракчеев велел мне , и я убью первого , кто двинется вперед . — Николенька оглянулся на Пьера ; но Пьера уже не было . Пьер был отец — князь Андрей , и отец не имел образа и формы , но он был , и , видя его , Николенька почувствовал слабость любви ; он почувствовал себя бессильным , бескостным и жидким . Отец ласкал и жалел его . Но дядя Николай Ильич все ближе и ближе надвигался на них . Ужас обхватил Николеньку , и он проснулся
2-1	—	O	_	_	
2-2	Это	O	_	_	
2-3	вы	O	_	_	
2-4	сделали	O	_	_	
2-5	?	O	_	_	
2-6	—	O	_	_	
2-7	сказал	O	_	_	
2-8	он	O	_	_	
