 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=»Nun , Fürst , hat die Familie Bonaparte auch Genua und Lucca in Besitz genommen ? Ich sage Ihnen , Sie sind nicht mehr mein Freund , mein getreuer Sklave , wie Sie sagen , wenn Sie noch ferner die Notwendigkeit des Krieges leugnen und noch länger die Greuel verteidigen wollen , welche dieser Antichrist begeht , denn es ist der Antichrist selbst , davon bin ich überzeugt . Setzen Sie sich hierher und erzählen Sie .
1-1	»Nun	B-NC	_	_	
1-2	,	O	_	_	
1-3	Fürst	B-NC	_	_	
1-4	,	O	_	_	
1-5	hat	O	_	_	
1-6	die	O	_	_	
1-7	Familie	B-NC	_	_	
1-8	Bonaparte	B-NC	_	_	
1-9	auch	O	_	_	
1-10	Genua	B-NC	_	_	
1-11	und	O	_	_	
1-12	Lucca	B-NC	_	_	
1-13	in	O	_	_	
1-14	Besitz	B-NC	_	_	
1-15	genommen	O	_	_	
1-16	?	O	_	_	
1-17	Ich	O	_	_	
1-18	sage	O	_	_	
1-19	Ihnen	O	_	_	
1-20	,	O	_	_	
1-21	Sie	O	_	_	
1-22	sind	O	_	_	
1-23	nicht	O	_	_	
1-24	mehr	O	_	_	
1-25	mein	O	_	_	
1-26	Freund	B-NC	Co-Hyponym	1-3	
1-27	,	O	_	_	
1-28	mein	O	_	_	
1-29	getreuer	O	_	_	
1-30	Sklave	B-NC	Co-Hyponym	1-3	
1-31	,	O	_	_	
1-32	wie	O	_	_	
1-33	Sie	O	_	_	
1-34	sagen	O	_	_	
1-35	,	O	_	_	
1-36	wenn	O	_	_	
1-37	Sie	O	_	_	
1-38	noch	O	_	_	
1-39	ferner	O	_	_	
1-40	die	O	_	_	
1-41	Notwendigkeit	B-NC	_	_	
1-42	des	O	_	_	
1-43	Krieges	B-NC	_	_	
1-44	leugnen	O	_	_	
1-45	und	O	_	_	
1-46	noch	O	_	_	
1-47	länger	O	_	_	
1-48	die	O	_	_	
1-49	Greuel	B-NC	_	_	
1-50	verteidigen	O	_	_	
1-51	wollen	O	_	_	
1-52	,	O	_	_	
1-53	welche	O	_	_	
1-54	dieser	O	_	_	
1-55	Antichrist	B-NC	Co-Hyponym	1-3	
1-56	begeht	O	_	_	
1-57	,	O	_	_	
1-58	denn	O	_	_	
1-59	es	O	_	_	
1-60	ist	O	_	_	
1-61	der	O	_	_	
1-62	Antichrist	B-NC	_	_	
1-63	selbst	O	_	_	
1-64	,	O	_	_	
1-65	davon	O	_	_	
1-66	bin	O	_	_	
1-67	ich	O	_	_	
1-68	überzeugt	O	_	_	
1-69	.	O	_	_	
1-70	Setzen	O	_	_	
1-71	Sie	O	_	_	
1-72	sich	O	_	_	
1-73	hierher	O	_	_	
1-74	und	O	_	_	
1-75	erzählen	O	_	_	
1-76	Sie	O	_	_	
1-77	.	O	_	_	

#id=2
#text=Es war im Juni 1805 , als Anna Pawlowna Scherer diese Worte sprach . Sie war Hofdame der Kaiserin Maria Feodorowna und gehörte sogar zu dem vertrauten Kreis Ihrer Majestät . Sie sprach mit dem Fürsten Wassil , welcher zuerst zu ihrer Abendgesellschaft eingetroffen war
2-1	Es	B-NC	_	_	
2-2	war	O	_	_	
2-3	im	O	_	_	
2-4	Juni	B-NC	_	_	
2-5	1805	O	_	_	
2-6	,	O	_	_	
2-7	als	O	_	_	
2-8	Anna	B-NC	_	_	
2-9	Pawlowna	B-NC	_	_	
2-10	Scherer	B-NC	_	_	
2-11	diese	O	_	_	
2-12	Worte	B-NC	_	_	
2-13	sprach	O	_	_	
2-14	.	O	_	_	
2-15	Sie	O	_	_	
2-16	war	O	_	_	
2-17	Hofdame	B-NC	_	_	
2-18	der	O	_	_	
2-19	Kaiserin	B-NC	Co-Hyponym	2-17	
2-20	Maria	B-NC	_	_	
2-21	Feodorowna	B-NC	_	_	
2-22	und	O	_	_	
2-23	gehörte	O	_	_	
2-24	sogar	O	_	_	
2-25	zu	O	_	_	
2-26	dem	O	_	_	
2-27	vertrauten	O	_	_	
2-28	Kreis	B-NC	_	_	
2-29	Ihrer	O	_	_	
2-30	Majestät	B-NC	Synonym	2-19	
2-31	.	O	_	_	
2-32	Sie	O	_	_	
2-33	sprach	O	_	_	
2-34	mit	O	_	_	
2-35	dem	O	_	_	
2-36	Fürsten	B-NC	Co-Hyponym	2-17	
2-37	Wassil	B-NC	_	_	
2-38	,	O	_	_	
2-39	welcher	O	_	_	
2-40	zuerst	O	_	_	
2-41	zu	O	_	_	
2-42	ihrer	O	_	_	
2-43	Abendgesellschaft	B-NC	_	_	
2-44	eingetroffen	O	_	_	
2-45	war	O	_	_	

#id=3
#text=Ein Diener in roter , kaiserlicher Livree hatte am Morgen in der ganzen Stadt Einladungsbriefe zu dieser Abendgesellschaft umhergetragen
3-1	Ein	O	_	_	
3-2	Diener	B-NC	_	_	
3-3	in	O	_	_	
3-4	roter	O	_	_	
3-5	,	O	_	_	
3-6	kaiserlicher	O	_	_	
3-7	Livree	B-NC	_	_	
3-8	hatte	O	_	_	
3-9	am	O	_	_	
3-10	Morgen	B-NC	_	_	
3-11	in	O	_	_	
3-12	der	O	_	_	
3-13	ganzen	O	_	_	
3-14	Stadt	B-NC	_	_	
3-15	Einladungsbriefe	B-NC	_	_	
3-16	zu	O	_	_	
3-17	dieser	O	_	_	
3-18	Abendgesellschaft	B-NC	_	_	
3-19	umhergetragen	O	_	_	

#id=4
