 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=— Ну , князь , Генуя и Лукка — поместья фамилии Бонапарте . Нет , я вам вперед говорю , если вы мне не скажете , что у нас война , если вы еще позволите себе защищать все гадости , все ужасы этого Антихриста ( право , я верю , что он Антихрист ) , — я вас больше не знаю , вы уж не друг мой , вы уж не мой верный раб , как вы говорите . Ну , здравствуйте , здравствуйте . Я вижу , что я вас пугаю , садитесь и рассказывайте
1-1	—	O	_	_	
1-2	Ну	O	_	_	
1-3	,	O	_	_	
1-4	князь	B-NC	_	_	
1-5	,	O	_	_	
1-6	Генуя	B-NC	_	_	
1-7	и	O	_	_	
1-8	Лукка	B-NC	_	_	
1-9	—	O	_	_	
1-10	поместья	B-NC	_	_	
1-11	фамилии	B-NC	_	_	
1-12	Бонапарте	B-NC	_	_	
1-13	.	O	_	_	
1-14	Нет	O	_	_	
1-15	,	O	_	_	
1-16	я	O	_	_	
1-17	вам	O	_	_	
1-18	вперед	O	_	_	
1-19	говорю	O	_	_	
1-20	,	O	_	_	
1-21	если	O	_	_	
1-22	вы	O	_	_	
1-23	мне	O	_	_	
1-24	не	O	_	_	
1-25	скажете	O	_	_	
1-26	,	O	_	_	
1-27	что	O	_	_	
1-28	у	O	_	_	
1-29	нас	O	_	_	
1-30	война	B-NC	_	_	
1-31	,	O	_	_	
1-32	если	O	_	_	
1-33	вы	O	_	_	
1-34	еще	O	_	_	
1-35	позволите	O	_	_	
1-36	себе	O	_	_	
1-37	защищать	O	_	_	
1-38	все	O	_	_	
1-39	гадости	B-NC	_	_	
1-40	,	O	_	_	
1-41	все	O	_	_	
1-42	ужасы	B-NC	_	_	
1-43	этого	O	_	_	
1-44	Антихриста	B-NC	_	_	
1-45	(	O	_	_	
1-46	право	B-NC	_	_	
1-47	,	O	_	_	
1-48	я	O	_	_	
1-49	верю	O	_	_	
1-50	,	O	_	_	
1-51	что	O	_	_	
1-52	он	O	_	_	
1-53	Антихрист	B-NC	_	_	
1-54	)	O	_	_	
1-55	,	O	_	_	
1-56	—	O	_	_	
1-57	я	O	_	_	
1-58	вас	O	_	_	
1-59	больше	O	_	_	
1-60	не	O	_	_	
1-61	знаю	O	_	_	
1-62	,	O	_	_	
1-63	вы	O	_	_	
1-64	уж	O	_	_	
1-65	не	O	_	_	
1-66	друг	B-NC	_	_	
1-67	мой	O	_	_	
1-68	,	O	_	_	
1-69	вы	O	_	_	
1-70	уж	O	_	_	
1-71	не	O	_	_	
1-72	мой	O	_	_	
1-73	верный	O	_	_	
1-74	раб	B-NC	_	_	
1-75	,	O	_	_	
1-76	как	O	_	_	
1-77	вы	O	_	_	
1-78	говорите	O	_	_	
1-79	.	O	_	_	
1-80	Ну	O	_	_	
1-81	,	O	_	_	
1-82	здравствуйте	O	_	_	
1-83	,	O	_	_	
1-84	здравствуйте	O	_	_	
