 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Zuckermelone oder Melone ( Cucumis melo ) ist eine aus den Tropen und Subtropen stammende Pflanzenart , deren Beerenfrüchte als Obst genutzt werden
1-1	Die	O	_	_	
1-2	Zuckermelone	B-NC	_	_	
1-3	oder	O	_	_	
1-4	Melone	B-NC	Synonym|Hypernym|Hypernym	1-2|1-20|1-17	
1-5	(	O	_	_	
1-6	Cucumis	B-NC	_	_	
1-7	melo	B-NC	_	_	
1-8	)	O	_	_	
1-9	ist	O	_	_	
1-10	eine	O	_	_	
1-11	aus	O	_	_	
1-12	den	O	_	_	
1-13	Tropen	B-NC	_	_	
1-14	und	O	_	_	
1-15	Subtropen	B-NC	Co-Hyponym	1-13	
1-16	stammende	O	_	_	
1-17	Pflanzenart	B-NC	_	_	
1-18	,	O	_	_	
1-19	deren	O	_	_	
1-20	Beerenfrüchte	B-NC	Hypernym	1-22	
1-21	als	O	_	_	
1-22	Obst	B-NC	_	_	
1-23	genutzt	O	_	_	
1-24	werden	O	_	_	

#id=2
#text=Sie ist eine Art aus der Gattung der Gurken ( Cucumis ) , daher mit der Gurke näher verwandt als mit der Wassermelone , die jedoch wie die Zuckermelone zur Familie der Kürbisgewächse ( Cucurbitaceae ) gehört . Die Zuckermelone ist sehr variabel , es gibt sehr viele Zuchtformen . Süße Formen werden als Dessertmelonen verwendet , nicht süße Formen ähnlich der Gurke als Gemüse
2-1	Sie	O	_	_	
2-2	ist	O	_	_	
2-3	eine	O	_	_	
2-4	Art	B-NC	Hypernym	2-7	
2-5	aus	O	_	_	
2-6	der	O	_	_	
2-7	Gattung	B-NC	_	_	
2-8	der	O	_	_	
2-9	Gurken	B-NC	_	_	
2-10	(	O	_	_	
2-11	Cucumis	B-NC	_	_	
2-12	)	O	_	_	
2-13	,	O	_	_	
2-14	daher	O	_	_	
2-15	mit	O	_	_	
2-16	der	O	_	_	
2-17	Gurke	B-NC	Hypernym	2-33	
2-18	näher	O	_	_	
2-19	verwandt	O	_	_	
2-20	als	O	_	_	
2-21	mit	O	_	_	
2-22	der	O	_	_	
2-23	Wassermelone	B-NC	Hypernym	2-33	
2-24	,	O	_	_	
2-25	die	O	_	_	
2-26	jedoch	O	_	_	
2-27	wie	O	_	_	
2-28	die	O	_	_	
2-29	Zuckermelone	B-NC	Hypernym	2-33	
2-30	zur	O	_	_	
2-31	Familie	B-NC	Hypernym	2-4	
2-32	der	O	_	_	
2-33	Kürbisgewächse	B-NC	_	_	
2-34	(	O	_	_	
2-35	Cucurbitaceae	B-NC	_	_	
2-36	)	O	_	_	
2-37	gehört	O	_	_	
2-38	.	O	_	_	
2-39	Die	O	_	_	
2-40	Zuckermelone	B-NC	Hypernym	2-55	
2-41	ist	O	_	_	
2-42	sehr	O	_	_	
2-43	variabel	O	_	_	
2-44	,	O	_	_	
2-45	es	O	_	_	
2-46	gibt	O	_	_	
2-47	sehr	O	_	_	
2-48	viele	O	_	_	
2-49	Zuchtformen	B-NC	Hypernym	2-52	
2-50	.	O	_	_	
2-51	Süße	O	_	_	
2-52	Formen	B-NC	_	_	
2-53	werden	O	_	_	
2-54	als	O	_	_	
2-55	Dessertmelonen	B-NC	_	_	
2-56	verwendet	O	_	_	
2-57	,	O	_	_	
2-58	nicht	O	_	_	
2-59	süße	O	_	_	
2-60	Formen	B-NC	_	_	
2-61	ähnlich	O	_	_	
2-62	der	O	_	_	
2-63	Gurke	B-NC	Hypernym	2-65	
2-64	als	O	_	_	
2-65	Gemüse	B-NC	_	_	

