 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ды́ня ( лат . Cucumis melo ) — растение семейства Тыквенные ( Cucurbitaceae ) , вид рода Огурец ( Cucumis ) , бахчевая культура
1-1	Ды́ня	B-NC	Hypernym	1-9	
1-2	(	O	_	_	
1-3	лат	O	_	_	
1-4	.	O	_	_	
1-5	Cucumis	O	_	_	
1-6	melo	O	_	_	
1-7	)	O	_	_	
1-8	—	O	_	_	
1-9	растение	B-NC	_	_	
1-10	семейства	B-NC	_	_	
1-11	Тыквенные	B-NC	_	_	
1-12	(	O	_	_	
1-13	Cucurbitaceae	O	_	_	
1-14	)	O	_	_	
1-15	,	O	_	_	
1-16	вид	B-NC	Hypernym	1-17	
1-17	рода	B-NC	Hypernym	1-10	
1-18	Огурец	B-NC	Co-Hyponym	1-1	
1-19	(	O	_	_	
1-20	Cucumis	O	_	_	
1-21	)	O	_	_	
1-22	,	O	_	_	
1-23	бахчевая	O	_	_	
1-24	культура	B-NC	Hypernym	1-10	

#id=2
#text=Родиной дыни считается Средняя Азия и Малая Азия . Дыня тепло- и светолюбивое растение , устойчивое к засолению почвы и засухе , плохо переносит повышенную влажность воздуха . На одном растении в зависимости от сорта и места возделывания может сформироваться от двух до восьми плодов , массой от 1,5 до 10 кг . Плод дыни — тыквина — имеет шаровидную или цилиндрическую форму , зелёной , жёлтой , коричневой или белой окраски , как правило с зелёными полосками . Период вызревания от двух до шести месяцев
2-1	Родиной	B-NC	_	_	
2-2	дыни	B-NC	_	_	
2-3	считается	O	_	_	
2-4	Средняя	O	_	_	
2-5	Азия	B-NC	_	_	
2-6	и	O	_	_	
2-7	Малая	O	_	_	
2-8	Азия	B-NC	_	_	
2-9	.	O	_	_	
2-10	Дыня	B-NC	Hypernym	2-14	
2-11	тепло-	O	_	_	
2-12	и	O	_	_	
2-13	светолюбивое	O	_	_	
2-14	растение	B-NC	_	_	
2-15	,	O	_	_	
2-16	устойчивое	O	_	_	
2-17	к	O	_	_	
2-18	засолению	B-NC	_	_	
2-19	почвы	B-NC	_	_	
2-20	и	O	_	_	
2-21	засухе	B-NC	_	_	
2-22	,	O	_	_	
2-23	плохо	O	_	_	
2-24	переносит	O	_	_	
2-25	повышенную	O	_	_	
2-26	влажность	B-NC	Co-Hyponym	2-21	
2-27	воздуха	B-NC	_	_	
2-28	.	O	_	_	
2-29	На	O	_	_	
2-30	одном	O	_	_	
2-31	растении	B-NC	_	_	
2-32	в	O	_	_	
2-33	зависимости	B-NC	_	_	
2-34	от	O	_	_	
2-35	сорта	B-NC	_	_	
2-36	и	O	_	_	
2-37	места	B-NC	_	_	
2-38	возделывания	B-NC	_	_	
2-39	может	O	_	_	
2-40	сформироваться	O	_	_	
2-41	от	O	_	_	
2-42	двух	O	_	_	
2-43	до	O	_	_	
2-44	восьми	O	_	_	
2-45	плодов	B-NC	Holonym	2-31	
2-46	,	O	_	_	
2-47	массой	B-NC	_	_	
2-48	от	O	_	_	
2-49	1,5	O	_	_	
2-50	до	O	_	_	
2-51	10	O	_	_	
2-52	кг	B-NC	_	_	
2-53	.	O	_	_	
2-54	Плод	B-NC	Holonym	2-55	
2-55	дыни	B-NC	_	_	
2-56	—	O	_	_	
2-57	тыквина	B-NC	Hypernym	2-54	
2-58	—	O	_	_	
2-59	имеет	O	_	_	
2-60	шаровидную	O	_	_	
2-61	или	O	_	_	
2-62	цилиндрическую	O	_	_	
2-63	форму	B-NC	Co-Hyponym	2-47	
2-64	,	O	_	_	
2-65	зелёной	O	_	_	
2-66	,	O	_	_	
2-67	жёлтой	O	_	_	
2-68	,	O	_	_	
2-69	коричневой	O	_	_	
2-70	или	O	_	_	
2-71	белой	O	_	_	
2-72	окраски	B-NC	Co-Hyponym	2-47	
2-73	,	O	_	_	
2-74	как	O	_	_	
2-75	правило	B-NC	_	_	
2-76	с	O	_	_	
2-77	зелёными	O	_	_	
2-78	полосками	B-NC	_	_	
2-79	.	O	_	_	
2-80	Период	B-NC	_	_	
2-81	вызревания	B-NC	_	_	
2-82	от	O	_	_	
2-83	двух	O	_	_	
2-84	до	O	_	_	
2-85	шести	O	_	_	
2-86	месяцев	B-NC	_	_	

