 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Wissenschaftler der NASA berichten in der jüngsten Ausgabe der Fachzeitschrift „ Geophysical Research Letters “ , dass die Eisdecke der Arktis mit einer deutlich höheren Geschwindigkeit abnimmt , als bisher bekannt war
1-1	Wissenschaftler	B-NC	_	_	
1-2	der	O	_	_	
1-3	NASA	B-NC	_	_	
1-4	berichten	O	_	_	
1-5	in	O	_	_	
1-6	der	O	_	_	
1-7	jüngsten	O	_	_	
1-8	Ausgabe	B-NC	_	_	
1-9	der	O	_	_	
1-10	Fachzeitschrift	B-NC	_	_	
1-11	„	O	_	_	
1-12	Geophysical	B-NC	_	_	
1-13	Research	B-NC	_	_	
1-14	Letters	B-NC	_	_	
1-15	“	O	_	_	
1-16	,	O	_	_	
1-17	dass	O	_	_	
1-18	die	O	_	_	
1-19	Eisdecke	B-NC	_	_	
1-20	der	O	_	_	
1-21	Arktis	B-NC	_	_	
1-22	mit	O	_	_	
1-23	einer	O	_	_	
1-24	deutlich	O	_	_	
1-25	höheren	O	_	_	
1-26	Geschwindigkeit	B-NC	_	_	
1-27	abnimmt	O	_	_	
1-28	,	O	_	_	
1-29	als	O	_	_	
1-30	bisher	O	_	_	
1-31	bekannt	O	_	_	
1-32	war	O	_	_	

#id=2
#text=Nach einer Auswertung von Bildern des Satelliten QuikSCAT hat die Arktis allein zwischen 2004 und 2005 14 Prozent ihres „ ewigen Eises “ verloren , eine Fläche , die ungefähr der Größe Pakistans oder der Türkei entspricht . Die ständige Eisdecke ( perennial ice ) , deren dramatischer Rückgang nun ermittelt wurde , ist eine bis zu drei Meter dicke Eisschicht , die auch die Sommermonate in gefrorenem Zustand überdauert . Dieses Eis ist deutlich unterscheidbar , da es einen geringeren Salzgehalt hat und mehr Lufteinschlüsse enthält als das saisonale Eis
2-1	Nach	O	_	_	
2-2	einer	O	_	_	
2-3	Auswertung	B-NC	_	_	
2-4	von	O	_	_	
2-5	Bildern	B-NC	_	_	
2-6	des	O	_	_	
2-7	Satelliten	B-NC	_	_	
2-8	QuikSCAT	B-NC	_	_	
2-9	hat	O	_	_	
2-10	die	O	_	_	
2-11	Arktis	B-NC	_	_	
2-12	allein	O	_	_	
2-13	zwischen	O	_	_	
2-14	2004	O	_	_	
2-15	und	O	_	_	
2-16	2005	O	_	_	
2-17	14	O	_	_	
2-18	Prozent	B-NC	_	_	
2-19	ihres	O	_	_	
2-20	„	O	_	_	
2-21	ewigen	O	_	_	
2-22	Eises	B-NC	_	_	
2-23	“	O	_	_	
2-24	verloren	O	_	_	
2-25	,	O	_	_	
2-26	eine	O	_	_	
2-27	Fläche	B-NC	_	_	
2-28	,	O	_	_	
2-29	die	O	_	_	
2-30	ungefähr	O	_	_	
2-31	der	O	_	_	
2-32	Größe	B-NC	Co-Hyponym	2-27	
2-33	Pakistans	B-NC	_	_	
2-34	oder	O	_	_	
2-35	der	O	_	_	
2-36	Türkei	B-NC	_	_	
2-37	entspricht	O	_	_	
2-38	.	O	_	_	
2-39	Die	O	_	_	
2-40	ständige	O	_	_	
2-41	Eisdecke	B-NC	Hypernym	2-61	
2-42	(	O	_	_	
2-43	perennial	O	_	_	
2-44	ice	O	_	_	
2-45	)	O	_	_	
2-46	,	O	_	_	
2-47	deren	O	_	_	
2-48	dramatischer	O	_	_	
2-49	Rückgang	B-NC	_	_	
2-50	nun	O	_	_	
2-51	ermittelt	O	_	_	
2-52	wurde	O	_	_	
2-53	,	O	_	_	
2-54	ist	O	_	_	
2-55	eine	O	_	_	
2-56	bis	O	_	_	
2-57	zu	O	_	_	
2-58	drei	O	_	_	
2-59	Meter	B-NC	_	_	
2-60	dicke	O	_	_	
2-61	Eisschicht	B-NC	_	_	
2-62	,	O	_	_	
2-63	die	O	_	_	
2-64	auch	O	_	_	
2-65	die	O	_	_	
2-66	Sommermonate	B-NC	_	_	
