 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Etwa 100 Eisberge befinden sich auf dem Weg nach Neuseeland . Grund genug , nun eine Warnung für Schiffe im Südlichen Ozean herauszugeben . Die Eisberge wurden unweit der Südinsel Neuseelands von einem Flugzeug der Königlich-neuseeländischen Luftwaffe vom Typ „ Orion “ entdeckt . Jedoch werden sie wahrscheinlich vor Erreichen Neuseelands abschmelzen , aber von Stewart Island aus zu sehen sein . Die Piloten des Flugzeugs entdeckten die Eisberge , als sie auf einer Routine-Fischerei-Patrouille südlich der Auckland-Inseln , zirka 260 Kilometer von Southland entfernt , unterwegs waren
1-1	Etwa	O	_	_	
1-2	100	O	_	_	
1-3	Eisberge	B-NC	_	_	
1-4	befinden	O	_	_	
1-5	sich	O	_	_	
1-6	auf	O	_	_	
1-7	dem	O	_	_	
1-8	Weg	B-NC	_	_	
1-9	nach	O	_	_	
1-10	Neuseeland	B-NC	_	_	
1-11	.	O	_	_	
1-12	Grund	B-NC	_	_	
1-13	genug	O	_	_	
1-14	,	O	_	_	
1-15	nun	O	_	_	
1-16	eine	O	_	_	
1-17	Warnung	B-NC	_	_	
1-18	für	O	_	_	
1-19	Schiffe	B-NC	_	_	
1-20	im	O	_	_	
1-21	Südlichen	O	_	_	
1-22	Ozean	B-NC	_	_	
1-23	herauszugeben	O	_	_	
1-24	.	O	_	_	
1-25	Die	O	_	_	
1-26	Eisberge	B-NC	_	_	
1-27	wurden	O	_	_	
1-28	unweit	O	_	_	
1-29	der	O	_	_	
1-30	Südinsel	B-NC	_	_	
1-31	Neuseelands	B-NC	_	_	
1-32	von	O	_	_	
1-33	einem	O	_	_	
1-34	Flugzeug	B-NC	Co-Hyponym|Holonym	1-19|1-37	
1-35	der	O	_	_	
1-36	Königlich-neuseeländischen	O	_	_	
1-37	Luftwaffe	B-NC	_	_	
1-38	vom	O	_	_	
1-39	Typ	B-NC	_	_	
1-40	„	O	_	_	
1-41	Orion	B-NC	_	_	
1-42	“	O	_	_	
1-43	entdeckt	O	_	_	
1-44	.	O	_	_	
1-45	Jedoch	O	_	_	
1-46	werden	O	_	_	
1-47	sie	O	_	_	
1-48	wahrscheinlich	O	_	_	
1-49	vor	O	_	_	
1-50	Erreichen	B-NC	_	_	
1-51	Neuseelands	B-NC	_	_	
1-52	abschmelzen	O	_	_	
1-53	,	O	_	_	
1-54	aber	O	_	_	
1-55	von	O	_	_	
1-56	Stewart	B-NC	_	_	
1-57	Island	B-NC	_	_	
1-58	aus	O	_	_	
1-59	zu	O	_	_	
1-60	sehen	O	_	_	
1-61	sein	O	_	_	
1-62	.	O	_	_	
1-63	Die	O	_	_	
1-64	Piloten	B-NC	_	_	
1-65	des	O	_	_	
