 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Pjöngjang ( Nordkorea ) , 09.10.2006 – Die offizielle nordkoreanische Nachrichtenagentur KCNA gab den ersten Atomwaffentest des Landes bekannt . Der unterirdische Test sei erfolgreich verlaufen , es sei keine Radioaktivität ausgetreten . Unter Berufung auf südkoreanische Verteidigungsexperten gab die südkoreanische Nachrichtenagentur Yonhap als Zeitpunkt 10:36 Uhr Ortszeit ( 3:36 Uhr MESZ ) an . Der südkoreanische Präsident Roh Moo Hyun berief eine Krisensitzung mit den zuständigen Ministern ein , die Alarmbereitschaft der südkoreanischen Truppen wurde erhöht
1-1	Pjöngjang	B-NC	_	_	
1-2	(	O	_	_	
1-3	Nordkorea	B-NC	_	_	
1-4	)	O	_	_	
1-5	,	O	_	_	
1-6	09.10.2006	O	_	_	
1-7	–	B-NC	_	_	
1-8	Die	O	_	_	
1-9	offizielle	O	_	_	
1-10	nordkoreanische	O	_	_	
1-11	Nachrichtenagentur	B-NC	_	_	
1-12	KCNA	B-NC	_	_	
1-13	gab	O	_	_	
1-14	den	O	_	_	
1-15	ersten	O	_	_	
1-16	Atomwaffentest	B-NC	Hypernym	1-23	
1-17	des	O	_	_	
1-18	Landes	B-NC	_	_	
1-19	bekannt	O	_	_	
1-20	.	O	_	_	
1-21	Der	O	_	_	
1-22	unterirdische	O	_	_	
1-23	Test	B-NC	_	_	
1-24	sei	O	_	_	
1-25	erfolgreich	O	_	_	
1-26	verlaufen	O	_	_	
1-27	,	O	_	_	
1-28	es	O	_	_	
1-29	sei	O	_	_	
1-30	keine	O	_	_	
1-31	Radioaktivität	B-NC	_	_	
1-32	ausgetreten	O	_	_	
1-33	.	O	_	_	
1-34	Unter	O	_	_	
1-35	Berufung	B-NC	_	_	
1-36	auf	O	_	_	
1-37	südkoreanische	O	_	_	
1-38	Verteidigungsexperten	B-NC	_	_	
1-39	gab	O	_	_	
1-40	die	O	_	_	
1-41	südkoreanische	O	_	_	
1-42	Nachrichtenagentur	B-NC	_	_	
1-43	Yonhap	B-NC	_	_	
1-44	als	O	_	_	
1-45	Zeitpunkt	B-NC	_	_	
1-46	10:36	O	_	_	
1-47	Uhr	B-NC	_	_	
1-48	Ortszeit	B-NC	_	_	
1-49	(	O	_	_	
1-50	3:36	O	_	_	
1-51	Uhr	B-NC	_	_	
1-52	MESZ	B-NC	_	_	
1-53	)	O	_	_	
1-54	an	O	_	_	
1-55	.	O	_	_	
1-56	Der	O	_	_	
1-57	südkoreanische	O	_	_	
1-58	Präsident	B-NC	Holonym	1-18	
1-59	Roh	O	_	_	
1-60	Moo	B-NC	_	_	
1-61	Hyun	B-NC	_	_	
1-62	berief	O	_	_	
1-63	eine	O	_	_	
1-64	Krisensitzung	B-NC	_	_	
1-65	mit	O	_	_	
1-66	den	O	_	_	
1-67	zuständigen	O	_	_	
1-68	Ministern	B-NC	Holonym|Co-Hyponym|Holonym	1-18|1-58|1-64	
1-69	ein	O	_	_	
1-70	,	O	_	_	
1-71	die	O	_	_	
1-72	Alarmbereitschaft	B-NC	_	_	
1-73	der	O	_	_	
1-74	südkoreanischen	O	_	_	
1-75	Truppen	B-NC	Holonym	1-18	
1-76	wurde	O	_	_	
1-77	erhöht	O	_	_	

#id=2
#text=Der südkoreanische Geheimdienst registrierte einen Erdstoß der Stärke 4,2 etwa 385 Kilometer nordöstlich von Pjöngjang im Nordosten Nordkoreas , der vermutlich durch den Atomwaffentest ausgelöst wurde . Der USGS ( U. S. Geological Survey ) bestätigt diese Daten . Eine weitere Bestätigung kam vom russischen Verteidigungsministerium laut Interfax . Allerdings ist bisher noch nicht sicher , dass der Auslöser tatsächlich eine Nuklearexplosion war
2-1	Der	O	_	_	
2-2	südkoreanische	O	_	_	
2-3	Geheimdienst	B-NC	_	_	
2-4	registrierte	O	_	_	
2-5	einen	O	_	_	
2-6	Erdstoß	B-NC	_	_	
2-7	der	O	_	_	
2-8	Stärke	B-NC	_	_	
2-9	4,2	O	_	_	
2-10	etwa	O	_	_	
2-11	385	O	_	_	
2-12	Kilometer	B-NC	_	_	
2-13	nordöstlich	O	_	_	
2-14	von	O	_	_	
2-15	Pjöngjang	B-NC	_	_	
2-16	im	O	_	_	
2-17	Nordosten	B-NC	_	_	
2-18	Nordkoreas	B-NC	_	_	
2-19	,	O	_	_	
2-20	der	O	_	_	
2-21	vermutlich	O	_	_	
2-22	durch	O	_	_	
2-23	den	O	_	_	
2-24	Atomwaffentest	B-NC	Hypernym	2-62	
2-25	ausgelöst	O	_	_	
2-26	wurde	O	_	_	
2-27	.	O	_	_	
2-28	Der	O	_	_	
2-29	USGS	B-NC	_	_	
2-30	(	O	_	_	
2-31	U.	B-NC	_	_	
2-32	S.	B-NC	_	_	
2-33	Geological	B-NC	_	_	
2-34	Survey	B-NC	_	_	
2-35	)	O	_	_	
2-36	bestätigt	O	_	_	
2-37	diese	O	_	_	
2-38	Daten	B-NC	_	_	
2-39	.	O	_	_	
2-40	Eine	O	_	_	
2-41	weitere	O	_	_	
2-42	Bestätigung	B-NC	_	_	
2-43	kam	O	_	_	
2-44	vom	O	_	_	
2-45	russischen	O	_	_	
2-46	Verteidigungsministerium	B-NC	Co-Hyponym	2-3	
2-47	laut	O	_	_	
2-48	Interfax	B-NC	_	_	
2-49	.	O	_	_	
2-50	Allerdings	O	_	_	
2-51	ist	O	_	_	
2-52	bisher	O	_	_	
2-53	noch	O	_	_	
2-54	nicht	O	_	_	
2-55	sicher	O	_	_	
2-56	,	O	_	_	
2-57	dass	O	_	_	
2-58	der	O	_	_	
2-59	Auslöser	B-NC	_	_	
2-60	tatsächlich	O	_	_	
2-61	eine	O	_	_	
2-62	Nuklearexplosion	B-NC	_	_	
2-63	war	O	_	_	

#id=3
#text=Die kommunistische Führung in Pjöngjang hatte einen Test am vergangenen Dienstag angekündigt . Unmittelbar vor dem Test , laut CNN unter Berufung auf einen US-amerikanischen Regierungsbeamten etwa 20 Minuten , hat Nordkorea die chinesische Führung von dem bevorstehenden Test informiert . China habe die Information an die USA , Japan und Südkorea weitergegeben
3-1	Die	O	_	_	
3-2	kommunistische	O	_	_	
3-3	Führung	B-NC	_	_	
3-4	in	O	_	_	
