 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=According to South Korea-based Yonhap News service , and the Associated Press , North Korea has announced that it has successfully conducted its first nuclear test
1-1	According	O	_	_	
1-2	to	O	_	_	
1-3	South	B-NC	_	_	
1-4	Korea-based	O	_	_	
1-5	Yonhap	B-NC	_	_	
1-6	News	B-NC	Hypernym	1-12	
1-7	service	B-NC	_	_	
1-8	,	O	_	_	
1-9	and	O	_	_	
1-10	the	O	_	_	
1-11	Associated	B-NC	_	_	
1-12	Press	B-NC	_	_	
1-13	,	O	_	_	
1-14	North	B-NC	_	_	
1-15	Korea	B-NC	_	_	
1-16	has	O	_	_	
1-17	announced	O	_	_	
1-18	that	O	_	_	
1-19	it	O	_	_	
1-20	has	O	_	_	
1-21	successfully	O	_	_	
1-22	conducted	O	_	_	
1-23	its	O	_	_	
1-24	first	O	_	_	
1-25	nuclear	O	_	_	
1-26	test	B-NC	_	_	

#id=2
#text=North Korea first announced it possessed nuclear weapons in 2005 , though because it had not conducted a nuclear test its nuclear capability remained ambiguous . The United States , Japan , China , and South Korea have all urged North Korea to abandon its nuclear program . North Korea released a statement on October 3 saying that it would soon conduct a nuclear test , and also emphasized that it would neither use nuclear weapons first nor aid other countries in nuclear proliferation . The state claimed that it would only use the weapons as a deterrent against the United States and its allies . In 2003 , U. S. President George W. Bush and South Korean President Roh Moo-hyun said that they " would not tolerate " a nuclear North Korea . China and Japan have also expressed concern
2-1	North	B-NC	_	_	
2-2	Korea	B-NC	_	_	
2-3	first	O	_	_	
2-4	announced	O	_	_	
2-5	it	O	_	_	
2-6	possessed	O	_	_	
2-7	nuclear	O	_	_	
2-8	weapons	B-NC	_	_	
2-9	in	O	_	_	
2-10	2005	O	_	_	
2-11	,	O	_	_	
2-12	though	O	_	_	
2-13	because	O	_	_	
2-14	it	O	_	_	
2-15	had	O	_	_	
2-16	not	O	_	_	
2-17	conducted	O	_	_	
2-18	a	O	_	_	
2-19	nuclear	O	_	_	
2-20	test	B-NC	_	_	
2-21	its	O	_	_	
2-22	nuclear	O	_	_	
2-23	capability	B-NC	_	_	
2-24	remained	O	_	_	
2-25	ambiguous	O	_	_	
2-26	.	O	_	_	
2-27	The	O	_	_	
2-28	United	B-NC	_	_	
2-29	States	B-NC	_	_	
2-30	,	O	_	_	
2-31	Japan	B-NC	_	_	
2-32	,	O	_	_	
2-33	China	B-NC	_	_	
2-34	,	O	_	_	
2-35	and	O	_	_	
2-36	South	B-NC	_	_	
2-37	Korea	B-NC	_	_	
2-38	have	O	_	_	
2-39	all	O	_	_	
2-40	urged	O	_	_	
2-41	North	B-NC	_	_	
2-42	Korea	B-NC	_	_	
2-43	to	O	_	_	
2-44	abandon	O	_	_	
