 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Северная Корея заявила , что она провела успешное испытание ядерного оружия
1-1	Северная	O	_	_	
1-2	Корея	B-NC	_	_	
1-3	заявила	O	_	_	
1-4	,	O	_	_	
1-5	что	O	_	_	
1-6	она	O	_	_	
1-7	провела	O	_	_	
1-8	успешное	O	_	_	
1-9	испытание	B-NC	_	_	
1-10	ядерного	O	_	_	
1-11	оружия	B-NC	_	_	

#id=2
#text=Северная Корея заявляет , что её ядерная программа направлена сугубо на оборонительные цели , в связи с агрессивной политикой США
2-1	Северная	O	_	_	
2-2	Корея	B-NC	_	_	
2-3	заявляет	O	_	_	
2-4	,	O	_	_	
2-5	что	O	_	_	
2-6	её	O	_	_	
2-7	ядерная	O	_	_	
2-8	программа	B-NC	_	_	
2-9	направлена	O	_	_	
2-10	сугубо	O	_	_	
2-11	на	O	_	_	
2-12	оборонительные	O	_	_	
2-13	цели	B-NC	_	_	
2-14	,	O	_	_	
2-15	в	O	_	_	
2-16	связи	B-NC	_	_	
2-17	с	O	_	_	
2-18	агрессивной	O	_	_	
2-19	политикой	B-NC	_	_	
2-20	США	B-NC	_	_	

#id=3
#text=В 2005 году Северная Корея объявила себя ядерной державой . Сегодня это заявление получило фактическое подтверждения . 3 октября Северная Корея сделала предварительное объявление о предстоящем испытании . Большинство стран мира призывали Северную Корею отказаться от этих планов
3-1	В	O	_	_	
3-2	2005	O	_	_	
3-3	году	B-NC	_	_	
3-4	Северная	O	_	_	
3-5	Корея	B-NC	_	_	
3-6	объявила	O	_	_	
3-7	себя	O	_	_	
3-8	ядерной	O	_	_	
3-9	державой	B-NC	_	_	
3-10	.	O	_	_	
3-11	Сегодня	O	_	_	
3-12	это	O	_	_	
3-13	заявление	B-NC	_	_	
3-14	получило	O	_	_	
3-15	фактическое	O	_	_	
3-16	подтверждения	B-NC	_	_	
3-17	.	O	_	_	
3-18	3	O	_	_	
3-19	октября	B-NC	_	_	
3-20	Северная	O	_	_	
3-21	Корея	B-NC	_	_	
3-22	сделала	O	_	_	
3-23	предварительное	O	_	_	
3-24	объявление	B-NC	Co-Hyponym	3-13	
3-25	о	O	_	_	
3-26	предстоящем	O	_	_	
3-27	испытании	B-NC	_	_	
3-28	.	O	_	_	
3-29	Большинство	B-NC	_	_	
3-30	стран	B-NC	Synonym	3-9	
3-31	мира	B-NC	_	_	
3-32	призывали	O	_	_	
3-33	Северную	O	_	_	
3-34	Корею	B-NC	_	_	
3-35	отказаться	O	_	_	
3-36	от	O	_	_	
3-37	этих	O	_	_	
3-38	планов	B-NC	_	_	

#id=4
#text=Президент США Джордж Буш и Президент Южной Кореи Но Му Хён , что они не приемлют ядерных амбиций Северной Кореи
4-1	Президент	B-NC	_	_	
4-2	США	B-NC	_	_	
4-3	Джордж	B-NC	_	_	
4-4	Буш	B-NC	_	_	
4-5	и	O	_	_	
4-6	Президент	B-NC	_	_	
4-7	Южной	O	_	_	
4-8	Кореи	B-NC	_	_	
4-9	Но	O	_	_	
4-10	Му	B-NC	_	_	
4-11	Хён	O	_	_	
4-12	,	O	_	_	
4-13	что	O	_	_	
4-14	они	O	_	_	
4-15	не	O	_	_	
4-16	приемлют	O	_	_	
4-17	ядерных	O	_	_	
4-18	амбиций	B-NC	_	_	
4-19	Северной	O	_	_	
4-20	Кореи	B-NC	_	_	

#id=5
#text=Согласно заявлению Агентства новостей Северной Кореи , подземное испытание ядерной бомбы было успешным и не произошло никаких выбросов радиоактивности . Это было первое испытание ядерного оружия с 1998 года , когда такие испытания провели Индия и Пакистан
5-1	Согласно	O	_	_	
5-2	заявлению	B-NC	_	_	
5-3	Агентства	B-NC	_	_	
5-4	новостей	B-NC	_	_	
5-5	Северной	O	_	_	
5-6	Кореи	B-NC	_	_	
5-7	,	O	_	_	
5-8	подземное	O	_	_	
5-9	испытание	B-NC	_	_	
5-10	ядерной	O	_	_	
5-11	бомбы	B-NC	Hypernym	5-26	
5-12	было	O	_	_	
5-13	успешным	O	_	_	
5-14	и	O	_	_	
5-15	не	O	_	_	
5-16	произошло	O	_	_	
5-17	никаких	O	_	_	
5-18	выбросов	B-NC	_	_	
5-19	радиоактивности	B-NC	_	_	
5-20	.	O	_	_	
5-21	Это	O	_	_	
5-22	было	O	_	_	
5-23	первое	O	_	_	
5-24	испытание	B-NC	_	_	
5-25	ядерного	O	_	_	
5-26	оружия	B-NC	_	_	
5-27	с	O	_	_	
5-28	1998	O	_	_	
5-29	года	B-NC	_	_	
5-30	,	O	_	_	
5-31	когда	O	_	_	
5-32	такие	O	_	_	
5-33	испытания	B-NC	_	_	
5-34	провели	O	_	_	
5-35	Индия	B-NC	_	_	
5-36	и	O	_	_	
5-37	Пакистан	B-NC	_	_	

#id=6
#text=Сейсмостанции США зафиксировали подземный толчок , который связывается с ядерным испытанием , в 01:35:27 ( UTC )
6-1	Сейсмостанции	B-NC	_	_	
6-2	США	B-NC	_	_	
6-3	зафиксировали	O	_	_	
6-4	подземный	O	_	_	
6-5	толчок	B-NC	_	_	
6-6	,	O	_	_	
6-7	который	O	_	_	
6-8	связывается	O	_	_	
6-9	с	O	_	_	
6-10	ядерным	O	_	_	
6-11	испытанием	B-NC	_	_	
6-12	,	O	_	_	
6-13	в	O	_	_	
6-14	01:35:27	O	_	_	
6-15	(	O	_	_	
6-16	UTC	O	_	_	
6-17	)	O	_	_	

#id=7
#text=По оценкам , мощность подорванного заряда составляет 5 — 15 килотонн
7-1	По	O	_	_	
7-2	оценкам	B-NC	_	_	
7-3	,	O	_	_	
7-4	мощность	B-NC	_	_	
7-5	подорванного	O	_	_	
7-6	заряда	B-NC	_	_	
7-7	составляет	O	_	_	
7-8	5	O	_	_	
7-9	—	O	_	_	
7-10	15	O	_	_	
7-11	килотонн	B-NC	_	_	

#id=8
#text=Официальными обладателями ядерного оружия являются США , Россия , Великобритания , Франция и Китай . Индия , Пакистан и Израиль — неофициальные ядерные державы . Четвёртой неофициальной ядерной державой стала Северная Корея
8-1	Официальными	O	_	_	
8-2	обладателями	B-NC	_	_	
8-3	ядерного	O	_	_	
8-4	оружия	B-NC	_	_	
8-5	являются	O	_	_	
8-6	США	B-NC	_	_	
8-7	,	O	_	_	
8-8	Россия	B-NC	_	_	
8-9	,	O	_	_	
8-10	Великобритания	B-NC	_	_	
8-11	,	O	_	_	
8-12	Франция	B-NC	_	_	
8-13	и	O	_	_	
8-14	Китай	B-NC	_	_	
8-15	.	O	_	_	
8-16	Индия	B-NC	_	_	
8-17	,	O	_	_	
8-18	Пакистан	B-NC	_	_	
8-19	и	O	_	_	
8-20	Израиль	B-NC	_	_	
8-21	—	O	_	_	
8-22	неофициальные	O	_	_	
8-23	ядерные	O	_	_	
8-24	державы	B-NC	_	_	
8-25	.	O	_	_	
8-26	Четвёртой	O	_	_	
8-27	неофициальной	O	_	_	
8-28	ядерной	O	_	_	
8-29	державой	B-NC	_	_	
8-30	стала	O	_	_	
8-31	Северная	O	_	_	
8-32	Корея	B-NC	_	_	

