 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Berlin ( Deutschland ) / Brüssel ( Belgien ) / Washington , D. C. ( USA ) , 02.07.2013 – Nachdem bekannt wurde , dass der US-amerikanische Geheimdienst NSA auch die Büros von EU-Einrichtungen und deutsche Netzknoten abhört , reagierten Politiker empört . Mittlerweile hat sich auch die Bundesanwaltschaft eingeschaltet
1-1	Berlin	B-NC	_	_	
1-2	(	O	_	_	
1-3	Deutschland	B-NC	_	_	
1-4	)	O	_	_	
1-5	/	O	_	_	
1-6	Brüssel	B-NC	_	_	
1-7	(	O	_	_	
1-8	Belgien	B-NC	_	_	
1-9	)	O	_	_	
1-10	/	O	_	_	
1-11	Washington	B-NC	_	_	
1-12	,	O	_	_	
1-13	D.	B-NC	_	_	
1-14	C.	B-NC	_	_	
1-15	(	O	_	_	
1-16	USA	B-NC	_	_	
1-17	)	O	_	_	
1-18	,	O	_	_	
1-19	02.07.2013	O	_	_	
1-20	–	B-NC	_	_	
1-21	Nachdem	O	_	_	
1-22	bekannt	O	_	_	
1-23	wurde	O	_	_	
1-24	,	O	_	_	
1-25	dass	O	_	_	
1-26	der	O	_	_	
1-27	US-amerikanische	O	_	_	
1-28	Geheimdienst	B-NC	_	_	
1-29	NSA	B-NC	_	_	
1-30	auch	O	_	_	
1-31	die	O	_	_	
1-32	Büros	B-NC	_	_	
1-33	von	O	_	_	
1-34	EU-Einrichtungen	B-NC	_	_	
1-35	und	O	_	_	
1-36	deutsche	O	_	_	
1-37	Netzknoten	B-NC	_	_	
1-38	abhört	O	_	_	
1-39	,	O	_	_	
1-40	reagierten	O	_	_	
1-41	Politiker	B-NC	_	_	
1-42	empört	O	_	_	
1-43	.	O	_	_	
1-44	Mittlerweile	O	_	_	
1-45	hat	O	_	_	
1-46	sich	O	_	_	
1-47	auch	O	_	_	
1-48	die	O	_	_	
1-49	Bundesanwaltschaft	B-NC	_	_	
1-50	eingeschaltet	O	_	_	

#id=2
#text=Nach Informationen , die dem Nachrichtenmagazin „ Der Spiegel “ vorgelegt wurden , hat die NSA im Rahmen des PRISM-Programms die diplomatische Vertretung der EU in Washington und die EU-Vertretung bei den Vereinten Nationen mit Wanzen abgehört . US-amerikanische Geheimdienste sollen auch für einen Lauschangriff in Brüssel verantwortlich sein . Dieser galt offenbar einer Fernwartungsanlage im Justus-Lipsius-Gebäude des EU-Ministerrats und des Europäischen Rats
2-1	Nach	O	_	_	
2-2	Informationen	B-NC	_	_	
2-3	,	O	_	_	
2-4	die	O	_	_	
2-5	dem	O	_	_	
2-6	Nachrichtenmagazin	B-NC	_	_	
2-7	„	B-NC	_	_	
2-8	Der	O	_	_	
2-9	Spiegel	B-NC	_	_	
2-10	“	O	_	_	
2-11	vorgelegt	O	_	_	
2-12	wurden	O	_	_	
2-13	,	O	_	_	
2-14	hat	O	_	_	
2-15	die	O	_	_	
2-16	NSA	B-NC	_	_	
2-17	im	O	_	_	
2-18	Rahmen	B-NC	_	_	
2-19	des	O	_	_	
2-20	PRISM-Programms	B-NC	_	_	
2-21	die	O	_	_	
2-22	diplomatische	O	_	_	
2-23	Vertretung	B-NC	_	_	
2-24	der	O	_	_	
2-25	EU	B-NC	_	_	
2-26	in	O	_	_	
2-27	Washington	B-NC	_	_	
2-28	und	O	_	_	
2-29	die	O	_	_	
2-30	EU-Vertretung	B-NC	_	_	
2-31	bei	O	_	_	
2-32	den	O	_	_	
2-33	Vereinten	O	_	_	
2-34	Nationen	B-NC	_	_	
2-35	mit	O	_	_	
2-36	Wanzen	B-NC	_	_	
2-37	abgehört	O	_	_	
2-38	.	O	_	_	
2-39	US-amerikanische	O	_	_	
2-40	Geheimdienste	B-NC	_	_	
2-41	sollen	O	_	_	
2-42	auch	O	_	_	
2-43	für	O	_	_	
2-44	einen	O	_	_	
2-45	Lauschangriff	B-NC	_	_	
2-46	in	O	_	_	
2-47	Brüssel	B-NC	_	_	
2-48	verantwortlich	O	_	_	
2-49	sein	O	_	_	
2-50	.	O	_	_	
2-51	Dieser	O	_	_	
2-52	galt	O	_	_	
2-53	offenbar	O	_	_	
2-54	einer	O	_	_	
2-55	Fernwartungsanlage	B-NC	_	_	
2-56	im	O	_	_	
2-57	Justus-Lipsius-Gebäude	B-NC	_	_	
2-58	des	O	_	_	
2-59	EU-Ministerrats	B-NCpart	Hypernym	2-63	
2-60	und	O	_	_	
2-61	des	O	_	_	
2-62	Europäischen	O	_	_	
2-63	Rats	B-NC	_	_	

#id=3
#text=Am 30 . Juni 2013 hat der deutsche Generalbundesanwalt Ermittlungen aufgenommen , um zu klären , ob es Anhaltspunkte für staatsschutzrelevante Delikte gibt . Unterdessen hat die Washington Post PowerPoint-Folien der NSA veröffentlicht , die zeigen , dass mit PRISM die Anwender der Onlinedienste von Microsoft , Google , Facebook , YouTube , Skype und anderen in Echtzeit überwacht werden können
3-1	Am	O	_	_	
3-2	30	O	_	_	
3-3	.	O	_	_	
3-4	Juni	B-NC	_	_	
3-5	2013	O	_	_	
3-6	hat	O	_	_	
3-7	der	O	_	_	
3-8	deutsche	O	_	_	
3-9	Generalbundesanwalt	B-NC	_	_	
3-10	Ermittlungen	B-NC	_	_	
3-11	aufgenommen	O	_	_	
3-12	,	O	_	_	
3-13	um	O	_	_	
3-14	zu	O	_	_	
3-15	klären	O	_	_	
3-16	,	O	_	_	
3-17	ob	O	_	_	
3-18	es	O	_	_	
3-19	Anhaltspunkte	B-NC	_	_	
3-20	für	O	_	_	
3-21	staatsschutzrelevante	O	_	_	
3-22	Delikte	B-NC	_	_	
3-23	gibt	O	_	_	
3-24	.	O	_	_	
3-25	Unterdessen	O	_	_	
3-26	hat	O	_	_	
3-27	die	O	_	_	
3-28	Washington	B-NC	_	_	
3-29	Post	B-NC	_	_	
3-30	PowerPoint-Folien	B-NC	_	_	
3-31	der	O	_	_	
3-32	NSA	B-NC	_	_	
3-33	veröffentlicht	O	_	_	
3-34	,	O	_	_	
3-35	die	O	_	_	
3-36	zeigen	O	_	_	
3-37	,	O	_	_	
3-38	dass	O	_	_	
3-39	mit	O	_	_	
3-40	PRISM	B-NC	_	_	
3-41	die	O	_	_	
3-42	Anwender	B-NC	_	_	
3-43	der	O	_	_	
3-44	Onlinedienste	B-NC	_	_	
3-45	von	O	_	_	
3-46	Microsoft	B-NC	_	_	
3-47	,	O	_	_	
3-48	Google	B-NC	_	_	
3-49	,	O	_	_	
3-50	Facebook	B-NC	_	_	
3-51	,	O	_	_	
3-52	YouTube	B-NC	_	_	
3-53	,	O	_	_	
3-54	Skype	B-NC	_	_	
3-55	und	O	_	_	
3-56	anderen	O	_	_	
3-57	in	O	_	_	
3-58	Echtzeit	B-NC	_	_	
3-59	überwacht	O	_	_	
3-60	werden	O	_	_	
3-61	können	O	_	_	

#id=4
#text=„ Wenn die Medienberichte zutreffen , erinnert das an das Vorgehen unter Feinden während des Kalten Krieges “ , so die Bundesjustizministerin Sabine Leutheusser-Schnarrenberger ( FDP ) . Vizekanzler Philipp Rösler ( FDP ) forderte von Amerikanern und Briten Aufklärung , ob die Handlungen auch Wirtschaftsspionage einschlossen . „ Als Bundesminister für Wirtschaft und Technologie sei mir der Hinweis gestattet : Ich gehe davon aus , dass die Informationsbeschaffung ausschließlich das Ziel hat , den Terrorismus zu bekämpfen “ , so Rösler . Es erscheine jedoch fraglich , wie Verwanzungen und flächendeckende Lauschangriffe in Partnerländern mit Terrorabwehr gerechtfertigt werden sollen , so der Spiegel
4-1	„	B-NC	_	_	
4-2	Wenn	O	_	_	
4-3	die	O	_	_	
4-4	Medienberichte	B-NC	_	_	
4-5	zutreffen	O	_	_	
4-6	,	O	_	_	
4-7	erinnert	O	_	_	
4-8	das	O	_	_	
4-9	an	O	_	_	
4-10	das	O	_	_	
4-11	Vorgehen	B-NC	_	_	
4-12	unter	O	_	_	
4-13	Feinden	B-NC	_	_	
4-14	während	O	_	_	
4-15	des	O	_	_	
4-16	Kalten	O	_	_	
4-17	Krieges	B-NC	_	_	
4-18	“	O	_	_	
4-19	,	O	_	_	
4-20	so	O	_	_	
4-21	die	O	_	_	
4-22	Bundesjustizministerin	B-NC	_	_	
4-23	Sabine	B-NC	_	_	
4-24	Leutheusser-Schnarrenberger	B-NC	_	_	
4-25	(	O	_	_	
4-26	FDP	B-NC	_	_	
4-27	)	O	_	_	
4-28	.	O	_	_	
4-29	Vizekanzler	B-NC	Co-Hyponym	4-22	
4-30	Philipp	B-NC	_	_	
4-31	Rösler	B-NC	_	_	
4-32	(	O	_	_	
4-33	FDP	B-NC	_	_	
4-34	)	O	_	_	
4-35	forderte	O	_	_	
4-36	von	O	_	_	
4-37	Amerikanern	B-NC	_	_	
4-38	und	O	_	_	
4-39	Briten	B-NC	_	_	
4-40	Aufklärung	B-NC	_	_	
4-41	,	O	_	_	
4-42	ob	O	_	_	
4-43	die	O	_	_	
4-44	Handlungen	B-NC	Synonym	4-11	
4-45	auch	O	_	_	
4-46	Wirtschaftsspionage	B-NC	_	_	
4-47	einschlossen	O	_	_	
4-48	.	O	_	_	
4-49	„	O	_	_	
4-50	Als	O	_	_	
4-51	Bundesminister	B-NC	Co-Hyponym	4-22	
4-52	für	O	_	_	
4-53	Wirtschaft	B-NC	_	_	
4-54	und	O	_	_	
4-55	Technologie	B-NC	_	_	
4-56	sei	O	_	_	
4-57	mir	O	_	_	
4-58	der	O	_	_	
4-59	Hinweis	B-NC	_	_	
4-60	gestattet	O	_	_	
4-61	:	O	_	_	
4-62	Ich	O	_	_	
4-63	gehe	O	_	_	
4-64	davon	O	_	_	
4-65	aus	O	_	_	
4-66	,	O	_	_	
4-67	dass	O	_	_	
4-68	die	O	_	_	
4-69	Informationsbeschaffung	B-NC	_	_	
4-70	ausschließlich	O	_	_	
4-71	das	O	_	_	
4-72	Ziel	B-NC	_	_	
4-73	hat	O	_	_	
4-74	,	O	_	_	
4-75	den	O	_	_	
4-76	Terrorismus	B-NC	_	_	
4-77	zu	O	_	_	
4-78	bekämpfen	O	_	_	
4-79	“	O	_	_	
4-80	,	O	_	_	
4-81	so	O	_	_	
4-82	Rösler	B-NC	_	_	
4-83	.	O	_	_	
4-84	Es	O	_	_	
4-85	erscheine	O	_	_	
4-86	jedoch	O	_	_	
4-87	fraglich	O	_	_	
4-88	,	O	_	_	
4-89	wie	O	_	_	
4-90	Verwanzungen	B-NC	_	_	
4-91	und	O	_	_	
4-92	flächendeckende	O	_	_	
4-93	Lauschangriffe	B-NC	_	_	
4-94	in	O	_	_	
4-95	Partnerländern	B-NC	_	_	
4-96	mit	O	_	_	
4-97	Terrorabwehr	B-NC	_	_	
4-98	gerechtfertigt	O	_	_	
4-99	werden	O	_	_	
4-100	sollen	O	_	_	
4-101	,	O	_	_	
4-102	so	O	_	_	
4-103	der	O	_	_	
4-104	Spiegel	B-NC	_	_	

#id=5
#text=Die NSA ist in Deutschland aktiver als in anderen europäischen Ländern . Bis zum Jahre 2004 betrieb sie in Bad Aibling eine große Abhöranlage ( Field Station 81 ) , die erst auf Druck der Europäischen Union geschlossen wurde . Die Anlagen wurden dann nach Griesheim , Menwith Hill in Großbritannien und die Türkei verlegt . Nach einer vertraulichen Klassifikation betrachtet die NSA die Bundesrepublik zwar als Partner , zugleich aber auch als Angriffsziel . Deutschland gehört damit zu den „ Partnern dritter Klasse “ . Monatlich sollen in der Bundesrepublik rund eine halbe Milliarde Kommunikationsverbindungen wie Ferngespräche , E-Mails , SMS oder Chats überwacht werden
5-1	Die	O	_	_	
5-2	NSA	B-NC	_	_	
5-3	ist	O	_	_	
5-4	in	O	_	_	
5-5	Deutschland	B-NC	_	_	
5-6	aktiver	O	_	_	
5-7	als	O	_	_	
5-8	in	O	_	_	
5-9	anderen	O	_	_	
5-10	europäischen	O	_	_	
5-11	Ländern	B-NC	_	_	
5-12	.	O	_	_	
5-13	Bis	O	_	_	
5-14	zum	O	_	_	
5-15	Jahre	B-NC	_	_	
5-16	2004	O	_	_	
5-17	betrieb	O	_	_	
5-18	sie	O	_	_	
5-19	in	O	_	_	
5-20	Bad	B-NC	_	_	
5-21	Aibling	B-NC	_	_	
5-22	eine	O	_	_	
5-23	große	O	_	_	
5-24	Abhöranlage	B-NC	_	_	
5-25	(	O	_	_	
5-26	Field	B-NC	_	_	
5-27	Station	B-NC	_	_	
5-28	81	O	_	_	
5-29	)	O	_	_	
5-30	,	O	_	_	
5-31	die	O	_	_	
5-32	erst	O	_	_	
5-33	auf	O	_	_	
5-34	Druck	B-NC	_	_	
5-35	der	O	_	_	
5-36	Europäischen	O	_	_	
5-37	Union	B-NC	_	_	
5-38	geschlossen	O	_	_	
5-39	wurde	O	_	_	
5-40	.	O	_	_	
5-41	Die	O	_	_	
5-42	Anlagen	B-NC	_	_	
5-43	wurden	O	_	_	
5-44	dann	O	_	_	
5-45	nach	O	_	_	
5-46	Griesheim	B-NC	_	_	
5-47	,	O	_	_	
5-48	Menwith	B-NC	_	_	
5-49	Hill	B-NC	_	_	
5-50	in	O	_	_	
5-51	Großbritannien	B-NC	_	_	
5-52	und	O	_	_	
5-53	die	O	_	_	
5-54	Türkei	B-NC	_	_	
5-55	verlegt	O	_	_	
5-56	.	O	_	_	
5-57	Nach	O	_	_	
5-58	einer	O	_	_	
5-59	vertraulichen	O	_	_	
5-60	Klassifikation	B-NC	_	_	
5-61	betrachtet	O	_	_	
5-62	die	O	_	_	
5-63	NSA	B-NC	_	_	
5-64	die	O	_	_	
5-65	Bundesrepublik	B-NC	Hypernym	5-11	
5-66	zwar	O	_	_	
5-67	als	O	_	_	
5-68	Partner	B-NC	_	_	
5-69	,	O	_	_	
5-70	zugleich	O	_	_	
5-71	aber	O	_	_	
5-72	auch	O	_	_	
5-73	als	O	_	_	
5-74	Angriffsziel	B-NC	_	_	
5-75	.	O	_	_	
5-76	Deutschland	B-NC	_	_	
5-77	gehört	O	_	_	
5-78	damit	O	_	_	
5-79	zu	O	_	_	
5-80	den	O	_	_	
5-81	„	O	_	_	
5-82	Partnern	B-NC	_	_	
5-83	dritter	O	_	_	
5-84	Klasse	B-NC	_	_	
5-85	“	O	_	_	
5-86	.	O	_	_	
