 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=По сообщению германского журнала Der Spiegel , американские спецслужбы прослушивали ряд представительств Евросоюза и получили доступ к внутренним компьютерным сетям ЕС . Заявления журнала стали очередным сообщением о программах электронной слежки , которую якобы ведёт правительство США . Страны ЕС потребовали объяснений от США . По мнению экспертов мир может стоять на пороге крупного международного скандала
1-1	По	O	_	_	
1-2	сообщению	B-NC	Holonym	1-4	
1-3	германского	O	_	_	
1-4	журнала	B-NC	_	_	
1-5	Der	O	_	_	
1-6	Spiegel	O	_	_	
1-7	,	O	_	_	
1-8	американские	O	_	_	
1-9	спецслужбы	B-NC	_	_	
1-10	прослушивали	O	_	_	
1-11	ряд	B-NC	_	_	
1-12	представительств	B-NC	_	_	
1-13	Евросоюза	B-NC	_	_	
1-14	и	O	_	_	
1-15	получили	O	_	_	
1-16	доступ	B-NC	_	_	
1-17	к	O	_	_	
1-18	внутренним	O	_	_	
1-19	компьютерным	O	_	_	
1-20	сетям	B-NC	_	_	
1-21	ЕС	B-NC	_	_	
1-22	.	O	_	_	
1-23	Заявления	B-NC	Hypernym	1-27	
1-24	журнала	B-NC	_	_	
1-25	стали	O	_	_	
1-26	очередным	O	_	_	
1-27	сообщением	B-NC	Holonym	1-24	
1-28	о	O	_	_	
1-29	программах	B-NC	_	_	
1-30	электронной	O	_	_	
1-31	слежки	B-NC	_	_	
1-32	,	O	_	_	
1-33	которую	O	_	_	
1-34	якобы	O	_	_	
1-35	ведёт	O	_	_	
1-36	правительство	B-NC	Co-Hyponym|Holonym	1-12|1-39	
1-37	США	B-NC	_	_	
1-38	.	O	_	_	
1-39	Страны	B-NC	Holonym	1-49	
1-40	ЕС	B-NC	_	_	
1-41	потребовали	O	_	_	
1-42	объяснений	B-NC	Hypernym	1-27	
1-43	от	O	_	_	
1-44	США	B-NC	_	_	
1-45	.	O	_	_	
1-46	По	O	_	_	
1-47	мнению	B-NC	_	_	
1-48	экспертов	B-NC	_	_	
1-49	мир	B-NC	_	_	
1-50	может	O	_	_	
1-51	стоять	O	_	_	
1-52	на	O	_	_	
1-53	пороге	B-NC	_	_	
1-54	крупного	O	_	_	
1-55	международного	O	_	_	
1-56	скандала	B-NC	_	_	

#id=2
#text=Der Spiegel сообщает , что опубликованная в воскресенье статья основана на секретном документе Агентства национальной безопасности США ( АНБ ) , полученном от его беглого экс-сотрудника Эдварда Сноудена
2-1	Der	O	_	_	
2-2	Spiegel	O	_	_	
2-3	сообщает	O	_	_	
2-4	,	O	_	_	
2-5	что	O	_	_	
2-6	опубликованная	O	_	_	
2-7	в	O	_	_	
2-8	воскресенье	B-NC	_	_	
2-9	статья	B-NC	_	_	
2-10	основана	O	_	_	
2-11	на	O	_	_	
2-12	секретном	O	_	_	
2-13	документе	B-NC	_	_	
2-14	Агентства	B-NC	_	_	
2-15	национальной	O	_	_	
2-16	безопасности	B-NC	_	_	
2-17	США	B-NC	_	_	
2-18	(	O	_	_	
2-19	АНБ	B-NC	_	_	
2-20	)	O	_	_	
2-21	,	O	_	_	
2-22	полученном	O	_	_	
2-23	от	O	_	_	
2-24	его	O	_	_	
2-25	беглого	O	_	_	
2-26	экс-сотрудника	B-NC	_	_	
2-27	Эдварда	B-NC	_	_	
2-28	Сноудена	B-NC	_	_	

#id=3
#text=В документе под грифом «совершенно секретно» , датированном сентябрём 2010 года , сообщается о том , как АНБ установило микрофоны в представительствах ЕС в Вашингтоне , Нью-Йорке , ООН и Брюсселе , а также детали проникновения американской спецслужбы в компьютерную сеть ЕС и получения доступа к электронной переписке и документам
3-1	В	O	_	_	
3-2	документе	B-NC	_	_	
3-3	под	O	_	_	
3-4	грифом	B-NC	_	_	
3-5	«совершенно	O	_	_	
3-6	секретно»	O	_	_	
3-7	,	O	_	_	
3-8	датированном	O	_	_	
3-9	сентябрём	B-NC	_	_	
3-10	2010	O	_	_	
3-11	года	B-NC	_	_	
3-12	,	O	_	_	
3-13	сообщается	O	_	_	
3-14	о	O	_	_	
3-15	том	O	_	_	
3-16	,	O	_	_	
3-17	как	O	_	_	
3-18	АНБ	B-NC	_	_	
3-19	установило	O	_	_	
3-20	микрофоны	B-NC	_	_	
3-21	в	O	_	_	
3-22	представительствах	B-NC	_	_	
3-23	ЕС	B-NC	_	_	
3-24	в	O	_	_	
3-25	Вашингтоне	B-NC	_	_	
3-26	,	O	_	_	
3-27	Нью-Йорке	B-NC	_	_	
3-28	,	O	_	_	
3-29	ООН	B-NC	_	_	
3-30	и	O	_	_	
3-31	Брюсселе	B-NC	_	_	
3-32	,	O	_	_	
3-33	а	O	_	_	
3-34	также	O	_	_	
3-35	детали	B-NC	_	_	
3-36	проникновения	B-NC	_	_	
3-37	американской	O	_	_	
3-38	спецслужбы	B-NC	_	_	
