 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Das Ohr ( latein . auris altgr . οὖς , Genitiv ὠτός ; „ us , otos “ ) ist ein Sinnesorgan , mit dem Schall , also Töne , Klänge oder Geräusche aufgenommen werden . Zum Ohr als Organ gehört auch das Gleichgewichtsorgan
1-1	Das	O	_	_	
1-2	Ohr	B-NC	Hypernym	1-22	
1-3	(	O	_	_	
1-4	latein	O	_	_	
1-5	.	O	_	_	
1-6	auris	B-NC	_	_	
1-7	altgr	B-NC	_	_	
1-8	.	O	_	_	
1-9	οὖς	B-NC	_	_	
1-10	,	O	_	_	
1-11	Genitiv	B-NC	_	_	
1-12	ὠτός	O	_	_	
1-13	;	O	_	_	
1-14	„	O	_	_	
1-15	us	O	_	_	
1-16	,	O	_	_	
1-17	otos	O	_	_	
1-18	“	O	_	_	
1-19	)	O	_	_	
1-20	ist	O	_	_	
1-21	ein	O	_	_	
1-22	Sinnesorgan	B-NC	Hypernym	1-40	
1-23	,	O	_	_	
1-24	mit	O	_	_	
1-25	dem	O	_	_	
1-26	Schall	B-NC	_	_	
1-27	,	O	_	_	
1-28	also	O	_	_	
1-29	Töne	B-NC	Hypernym	1-26	
1-30	,	O	_	_	
1-31	Klänge	B-NC	Hypernym	1-26	
1-32	oder	O	_	_	
1-33	Geräusche	B-NC	Hypernym	1-26	
1-34	aufgenommen	O	_	_	
1-35	werden	O	_	_	
1-36	.	O	_	_	
1-37	Zum	O	_	_	
1-38	Ohr	B-NC	_	_	
1-39	als	O	_	_	
1-40	Organ	B-NC	_	_	
1-41	gehört	O	_	_	
1-42	auch	O	_	_	
1-43	das	O	_	_	
1-44	Gleichgewichtsorgan	B-NC	Holonym|Hypernym	1-38|1-40	

#id=2
#text=Zum Hörsystem , das die auditive Wahrnehmung ermöglicht , gehören außer Außen- , Mittel- und Innenohr auch der Hörnerv und die Umschalt- und Verarbeitungsstationen im zentralen Nervensystem , bei Säugetieren also einige Areale im Hirnstamm und Zwischenhirn , bis hinauf zur auditiven Hirnrinde
2-1	Zum	O	_	_	
2-2	Hörsystem	B-NC	_	_	
2-3	,	O	_	_	
2-4	das	O	_	_	
2-5	die	O	_	_	
2-6	auditive	O	_	_	
2-7	Wahrnehmung	B-NC	_	_	
2-8	ermöglicht	O	_	_	
2-9	,	O	_	_	
2-10	gehören	O	_	_	
2-11	außer	O	_	_	
2-12	Außen-	B-NCpart	Holonym	2-2	
2-13	,	O	_	_	
2-14	Mittel-	B-NCpart	Holonym	2-2	
2-15	und	O	_	_	
2-16	Innenohr	B-NC	Holonym	2-2	
2-17	auch	O	_	_	
2-18	der	O	_	_	
2-19	Hörnerv	B-NC	Holonym	2-2	
2-20	und	O	_	_	
2-21	die	O	_	_	
2-22	Umschalt-	B-NCpart	Holonym|Holonym	2-2|2-27	
2-23	und	O	_	_	
2-24	Verarbeitungsstationen	B-NC	Holonym|Holonym	2-2|2-27	
2-25	im	O	_	_	
2-26	zentralen	O	_	_	
2-27	Nervensystem	B-NC	Co-Hyponym	2-2	
2-28	,	O	_	_	
2-29	bei	O	_	_	
2-30	Säugetieren	B-NC	_	_	
2-31	also	O	_	_	
2-32	einige	O	_	_	
2-33	Areale	B-NC	_	_	
2-34	im	O	_	_	
2-35	Hirnstamm	B-NC	Holonym	2-30	
2-36	und	O	_	_	
2-37	Zwischenhirn	B-NC	Holonym	2-30	
2-38	,	O	_	_	
2-39	bis	O	_	_	
2-40	hinauf	O	_	_	
2-41	zur	O	_	_	
2-42	auditiven	O	_	_	
2-43	Hirnrinde	B-NC	Holonym	2-30	

