 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The ear is the organ that detects sound . It not only receives sound , but also aids in balance and body position . The ear is part of the auditory system 
1-1	The	O	_	_	
1-2	ear	B-NC	Hypernym	1-5	
1-3	is	O	_	_	
1-4	the	O	_	_	
1-5	organ	B-NC	_	_	
1-6	that	O	_	_	
1-7	detects	O	_	_	
1-8	sound	B-NC	_	_	
1-9	.	O	_	_	
1-10	It	O	_	_	
1-11	not	O	_	_	
1-12	only	O	_	_	
1-13	receives	O	_	_	
1-14	sound	O	_	_	
1-15	,	O	_	_	
1-16	but	O	_	_	
1-17	also	O	_	_	
1-18	aids	O	_	_	
1-19	in	O	_	_	
1-20	balance	B-NC	_	_	
1-21	and	O	_	_	
1-22	body	B-NC	_	_	
1-23	position	I-NC	_	_	
1-24	.	O	_	_	
1-25	The	O	_	_	
1-26	ear	B-NC	Holonym	1-31	
1-27	is	O	_	_	
1-28	part	B-NC	_	_	
1-29	of	O	_	_	
1-30	the	O	_	_	
1-31	auditory	B-NC	_	_	
1-32	system	I-NC|B-NC	_	_	

#id=2
#text=Often the entire organ is considered the ear , though it may also be considered just the visible portion . In most mammals , the visible ear is a flap of tissue that is also called the pinna ( or auricle in humans ) and is the first of many steps in hearing . Vertebrates have a pair of ears placed somewhat symmetrically on opposite sides of the head . This arrangement aids in the ability to localize sound sources 
2-1	Often	O	_	_	
2-2	the	O	_	_	
2-3	entire	O	_	_	
2-4	organ	B-NC	Holonym	2-55	
2-5	is	O	_	_	
2-6	considered	O	_	_	
2-7	the	O	_	_	
2-8	ear	B-NC	Hypernym	2-4	
2-9	,	O	_	_	
2-10	though	O	_	_	
2-11	it	O	_	_	
2-12	may	O	_	_	
2-13	also	O	_	_	
2-14	be	O	_	_	
2-15	considered	O	_	_	
2-16	just	O	_	_	
2-17	the	O	_	_	
2-18	visible	O	_	_	
2-19	portion	B-NC	_	_	
2-20	.	O	_	_	
2-21	In	O	_	_	
2-22	most	O	_	_	
2-23	mammals	B-NC	Hypernym	2-55	
2-24	,	O	_	_	
2-25	the	O	_	_	
2-26	visible	O	_	_	
2-27	ear	B-NC	_	_	
2-28	is	O	_	_	
2-29	a	O	_	_	
2-30	flap	B-NC	_	_	
2-31	of	O	_	_	
2-32	tissue	B-NC	Holonym	2-27	
2-33	that	O	_	_	
2-34	is	O	_	_	
2-35	also	O	_	_	
2-36	called	O	_	_	
2-37	the	O	_	_	
2-38	pinna	B-NC	Holonym|Holonym	2-27|2-43	
2-39	(	O	_	_	
2-40	or	O	_	_	
2-41	auricle	B-NC	Synonym	2-38	
2-42	in	O	_	_	
2-43	humans	B-NC	Hypernym	2-23	
2-44	)	O	_	_	
2-45	and	O	_	_	
2-46	is	O	_	_	
2-47	the	O	_	_	
2-48	first	O	_	_	
2-49	of	O	_	_	
2-50	many	O	_	_	
2-51	steps	B-NC	_	_	
2-52	in	O	_	_	
2-53	hearing	B-NC	_	_	
2-54	.	O	_	_	
2-55	Vertebrates	B-NC	_	_	
2-56	have	O	_	_	
2-57	a	O	_	_	
2-58	pair	B-NC	_	_	
2-59	of	O	_	_	
2-60	ears	B-NC	Holonym	2-69	
2-61	placed	O	_	_	
2-62	somewhat	O	_	_	
2-63	symmetrically	O	_	_	
2-64	on	O	_	_	
2-65	opposite	O	_	_	
2-66	sides	B-NC	_	_	
2-67	of	O	_	_	
2-68	the	O	_	_	
2-69	head	B-NC	Holonym	2-55	
2-70	.	O	_	_	
2-71	This	O	_	_	
2-72	arrangement	B-NC	_	_	
2-73	aids	O	_	_	
2-74	in	O	_	_	
2-75	the	O	_	_	
2-76	ability	B-NC	_	_	
2-77	to	O	_	_	
2-78	localize	O	_	_	
2-79	sound	O	_	_	
2-80	sources	B-NC	_	_	
