 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=У́хо — сложный орган животных , предназначенный для восприятия звуковых колебаний . У большинства хордовых он , кроме восприятия звука , выполняет ещё одну функцию : отвечает за положение тела в пространстве и способность удерживать равновесие . Ухо позвоночных — парный орган , который размещается в височных костях черепа . У млекопитающих ( в том числе у человека ) ухо ограничивается снаружи ушными раковинами
1-1	У́хо	B-NC	Hypernym	1-4	
1-2	—	O	_	_	
1-3	сложный	O	_	_	
1-4	орган	B-NC	Holonym	1-5	
1-5	животных	B-NC	_	_	
1-6	,	O	_	_	
1-7	предназначенный	O	_	_	
1-8	для	O	_	_	
1-9	восприятия	B-NC	_	_	
1-10	звуковых	O	_	_	
1-11	колебаний	B-NC	_	_	
1-12	.	O	_	_	
1-13	У	O	_	_	
1-14	большинства	B-NC	_	_	
1-15	хордовых	B-NC	Hypernym	1-5	
1-16	он	O	_	_	
1-17	,	O	_	_	
1-18	кроме	O	_	_	
1-19	восприятия	B-NC	_	_	
1-20	звука	B-NC	_	_	
1-21	,	O	_	_	
1-22	выполняет	O	_	_	
1-23	ещё	B-NC	_	_	
1-24	одну	O	_	_	
1-25	функцию	B-NC	_	_	
1-26	:	O	_	_	
1-27	отвечает	O	_	_	
1-28	за	O	_	_	
1-29	положение	B-NC	_	_	
1-30	тела	B-NC	Holonym	1-5	
1-31	в	O	_	_	
1-32	пространстве	B-NC	_	_	
1-33	и	O	_	_	
1-34	способность	B-NC	_	_	
1-35	удерживать	O	_	_	
1-36	равновесие	B-NC	_	_	
1-37	.	O	_	_	
1-38	Ухо	B-NC	Holonym|Hypernym	1-49|1-42	
1-39	позвоночных	B-NC	Hypernym	1-15	
1-40	—	O	_	_	
1-41	парный	O	_	_	
1-42	орган	B-NC	_	_	
1-43	,	O	_	_	
1-44	который	O	_	_	
1-45	размещается	O	_	_	
1-46	в	O	_	_	
1-47	височных	O	_	_	
1-48	костях	B-NC	Holonym	1-49	
1-49	черепа	B-NC	Holonym	1-39	
1-50	.	O	_	_	
1-51	У	O	_	_	
1-52	млекопитающих	B-NC	Hypernym	1-39	
1-53	(	O	_	_	
1-54	в	O	_	_	
1-55	том	O	_	_	
1-56	числе	B-NC	_	_	
1-57	у	O	_	_	
1-58	человека	B-NC	Hypernym	1-52	
1-59	)	O	_	_	
1-60	ухо	B-NC	_	_	
1-61	ограничивается	O	_	_	
1-62	снаружи	O	_	_	
1-63	ушными	O	_	_	
1-64	раковинами	B-NC	Holonym	1-60	

#id=2
#text=Ухо человека воспринимает звуковые волны частотой примерно от 16 до 20 000 Гц ( колебаний в секунду ) , что соответствует длине волны ( в воздухе при нормальных условиях ) от 20,6 м до 1,7 см
2-1	Ухо	B-NC	Holonym	2-2	
2-2	человека	B-NC	_	_	
2-3	воспринимает	O	_	_	
2-4	звуковые	O	_	_	
2-5	волны	B-NC	_	_	
2-6	частотой	B-NC	_	_	
2-7	примерно	O	_	_	
2-8	от	O	_	_	
2-9	16	O	_	_	
2-10	до	O	_	_	
2-11	20	O	_	_	
2-12	000	O	_	_	
2-13	Гц	B-NC	_	_	
2-14	(	O	_	_	
2-15	колебаний	B-NC	_	_	
2-16	в	O	_	_	
2-17	секунду	B-NC	_	_	
2-18	)	O	_	_	
2-19	,	O	_	_	
2-20	что	O	_	_	
2-21	соответствует	O	_	_	
2-22	длине	B-NC	_	_	
2-23	волны	B-NC	_	_	
2-24	(	O	_	_	
2-25	в	O	_	_	
2-26	воздухе	B-NC	_	_	
2-27	при	O	_	_	
2-28	нормальных	O	_	_	
2-29	условиях	B-NC	_	_	
2-30	)	O	_	_	
2-31	от	O	_	_	
2-32	20,6	O	_	_	
2-33	м	B-NC	_	_	
2-34	до	O	_	_	
2-35	1,7	O	_	_	
2-36	см	B-NC	_	_	

#id=3
#text=В процессе эволюционного развития ухо возникло у первичноводных предков позвоночных из особых кожных органов чувств ( боковые органы )
3-1	В	O	_	_	
3-2	процессе	B-NC	_	_	
3-3	эволюционного	O	_	_	
3-4	развития	B-NC	Hypernym	3-2	
3-5	ухо	B-NC	Hypernym	3-14	
3-6	возникло	O	_	_	
3-7	у	O	_	_	
3-8	первичноводных	O	_	_	
3-9	предков	B-NC	_	_	
3-10	позвоночных	B-NC	_	_	
3-11	из	O	_	_	
3-12	особых	O	_	_	
3-13	кожных	O	_	_	
3-14	органов	B-NC|B-NC	Holonym|Hypernym	3-10|3-18	
3-15	чувств	I-NC|B-NC	_	_	
3-16	(	O	_	_	
3-17	боковые	O	_	_	
3-18	органы	B-NC	_	_	
3-19	)	O	_	_	

