 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Orange ( Aussprache : [ oˈʁaŋʒə ] oder [ oˈʁɑ̃ːʒə ] ) , nördlich der Speyerer Linie auch Apfelsine ( von niederdeutsch appelsina , wörtlich „ Apfel aus China/Sina “ ) genannt , ist ein immergrüner Baum , im Speziellen wird auch dessen Frucht so genannt . [ 1 ] Der gültige botanische Name der Orange ist Citrus × sinensis L. , damit gehört sie zur Gattung der Zitruspflanzen ( Citrus ) in der Familie der Rautengewächse ( Rutaceae ) . Sie stammt aus China oder Südostasien , wo sie aus einer Kreuzung von Mandarine ( Citrus reticulata ) und Pampelmuse ( Citrus maxima ) entstanden ist . [
1-1	Die	O	_	_	
1-2	Orange	B-NC	Hypernym|Hypernym	1-45|1-38	
1-3	(	O	_	_	
1-4	Aussprache	B-NC	_	_	
1-5	:	O	_	_	
1-6	[	O	_	_	
1-7	oˈʁaŋʒə	O	_	_	
1-8	]	O	_	_	
1-9	oder	O	_	_	
1-10	[	O	_	_	
1-11	oˈʁɑ̃ːʒə	O	_	_	
1-12	]	O	_	_	
1-13	)	O	_	_	
1-14	,	O	_	_	
1-15	nördlich	O	_	_	
1-16	der	O	_	_	
1-17	Speyerer	B-NC	_	_	
1-18	Linie	B-NC	_	_	
1-19	auch	O	_	_	
1-20	Apfelsine	B-NC	Synonym	1-2	
1-21	(	O	_	_	
1-22	von	O	_	_	
1-23	niederdeutsch	O	_	_	
1-24	appelsina	B-NC	Synonym	1-2	
1-25	,	O	_	_	
1-26	wörtlich	O	_	_	
1-27	„	O	_	_	
1-28	Apfel	B-NC	Hypernym	1-45	
1-29	aus	O	_	_	
1-30	China/Sina	B-NC	_	_	
1-31	“	B-NC	_	_	
1-32	)	O	_	_	
1-33	genannt	O	_	_	
1-34	,	O	_	_	
1-35	ist	O	_	_	
1-36	ein	O	_	_	
1-37	immergrüner	O	_	_	
1-38	Baum	B-NC	_	_	
1-39	,	O	_	_	
1-40	im	O	_	_	
1-41	Speziellen	B-NC	_	_	
1-42	wird	O	_	_	
1-43	auch	O	_	_	
1-44	dessen	O	_	_	
1-45	Frucht	B-NC	Holonym	1-38	
1-46	so	O	_	_	
1-47	genannt	O	_	_	
1-48	.	O	_	_	
1-49	[	O	_	_	
1-50	1	O	_	_	
1-51	]	O	_	_	
1-52	Der	O	_	_	
1-53	gültige	O	_	_	
1-54	botanische	O	_	_	
1-55	Name	B-NC	_	_	
1-56	der	O	_	_	
1-57	Orange	B-NC	Hypernym	1-70	
1-58	ist	O	_	_	
1-59	Citrus	B-NC	_	_	
1-60	×	O	_	_	
1-61	sinensis	B-NC	_	_	
1-62	L.	B-NC	_	_	
1-63	,	O	_	_	
1-64	damit	O	_	_	
1-65	gehört	O	_	_	
1-66	sie	O	_	_	
1-67	zur	O	_	_	
1-68	Gattung	B-NC	_	_	
1-69	der	O	_	_	
1-70	Zitruspflanzen	B-NC	Hypernym	1-78	
1-71	(	O	_	_	
1-72	Citrus	B-NC	_	_	
1-73	)	O	_	_	
1-74	in	O	_	_	
1-75	der	O	_	_	
1-76	Familie	B-NC	_	_	
1-77	der	O	_	_	
1-78	Rautengewächse	B-NC	_	_	
1-79	(	O	_	_	
1-80	Rutaceae	B-NC	_	_	
1-81	)	O	_	_	
1-82	.	O	_	_	
1-83	Sie	O	_	_	
1-84	stammt	O	_	_	
1-85	aus	O	_	_	
1-86	China	B-NC	_	_	
1-87	oder	O	_	_	
1-88	Südostasien	B-NC	_	_	
1-89	,	O	_	_	
1-90	wo	O	_	_	
1-91	sie	O	_	_	
1-92	aus	O	_	_	
1-93	einer	O	_	_	
1-94	Kreuzung	B-NC	_	_	
1-95	von	O	_	_	
1-96	Mandarine	B-NC	Hypernym	1-45	
