 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The orange ( specifically , the sweet orange ) is the fruit of the citrus species Citrus × sinensis in the family Rutaceae . [ 2 ] The fruit of the Citrus sinensis is considered a sweet orange , whereas the fruit of the Citrus aurantium is considered a bitter orange . The orange is a hybrid , possibly between pomelo ( Citrus maxima ) and mandarin ( Citrus reticulata ) , which has been cultivated since ancient times
1-1	The	O	_	_	
1-2	orange	B-NC	Hypernym|Hypernym	1-15|1-12	
1-3	(	O	_	_	
1-4	specifically	O	_	_	
1-5	,	O	_	_	
1-6	the	O	_	_	
1-7	sweet	B-NC	Hypernym	1-2	
1-8	orange	I-NC|B-NC	Hypernym	1-12	
1-9	)	O	_	_	
1-10	is	O	_	_	
1-11	the	O	_	_	
1-12	fruit	B-NC	_	_	
1-13	of	O	_	_	
1-14	the	O	_	_	
1-15	citrus	B-NC	_	_	
1-16	species	I-NC|B-NC	_	_	
1-17	Citrus	B-NC	_	_	
1-18	×	B-NC	_	_	
1-19	sinensis	B-NC	_	_	
1-20	in	O	_	_	
1-21	the	O	_	_	
1-22	family	B-NC	_	_	
1-23	Rutaceae	B-NC	_	_	
1-24	.	O	_	_	
1-25	[	O	_	_	
1-26	2	O	_	_	
1-27	]	O	_	_	
1-28	The	O	_	_	
1-29	fruit	B-NC	_	_	
1-30	of	O	_	_	
1-31	the	O	_	_	
1-32	Citrus	B-NC	_	_	
1-33	sinensis	B-NC	_	_	
1-34	is	O	_	_	
1-35	considered	O	_	_	
1-36	a	O	_	_	
1-37	sweet	B-NC	Hypernym	1-54	
1-38	orange	I-NC|B-NC	_	_	
1-39	,	O	_	_	
1-40	whereas	O	_	_	
1-41	the	O	_	_	
1-42	fruit	B-NC	_	_	
1-43	of	O	_	_	
1-44	the	O	_	_	
1-45	Citrus	B-NC	_	_	
1-46	aurantium	B-NC	_	_	
1-47	is	O	_	_	
1-48	considered	O	_	_	
1-49	a	O	_	_	
1-50	bitter	B-NC	Hypernym|Hypernym	1-42|1-54	
1-51	orange	I-NC|B-NC	_	_	
1-52	.	O	_	_	
1-53	The	O	_	_	
1-54	orange	B-NC	Hypernym	1-57	
1-55	is	O	_	_	
1-56	a	O	_	_	
1-57	hybrid	B-NC	_	_	
1-58	,	O	_	_	
1-59	possibly	O	_	_	
1-60	between	O	_	_	
1-61	pomelo	B-NC	Hypernym|Holonym	1-42|1-54	
1-62	(	O	_	_	
1-63	Citrus	B-NC	_	_	
1-64	maxima	B-NC	_	_	
1-65	)	O	_	_	
1-66	and	O	_	_	
1-67	mandarin	B-NC	Hypernym|Holonym	1-42|1-54	
1-68	(	O	_	_	
1-69	Citrus	B-NC	_	_	
1-70	reticulata	B-NC	_	_	
1-71	)	O	_	_	
1-72	,	O	_	_	
1-73	which	O	_	_	
1-74	has	O	_	_	
1-75	been	O	_	_	
1-76	cultivated	O	_	_	
1-77	since	O	_	_	
1-78	ancient	O	_	_	
1-79	times	B-NC	_	_	

#id=2
#text=As of 1987 , orange trees were found to be the most cultivated fruit tree in the world . [ 4 ] Orange trees are widely grown in tropical and subtropical climates for their sweet fruit . The fruit of the orange tree can be eaten fresh , or processed for its juice or fragrant peel . [ 5 ] As of 2012 , sweet oranges accounted for approximately 70 % of citrus production . [ 6 ] In 2010 , 68.3 million metric tons of oranges were grown worldwide , production being particularly prevalent in Brazil and the U. S. states of California[7 ] and Florida . [ 8
2-1	As	O	_	_	
2-2	of	O	_	_	
2-3	1987	O	_	_	
2-4	,	O	_	_	
2-5	orange	B-NC	Hypernym	2-14	
2-6	trees	I-NC|B-NC	_	_	
2-7	were	O	_	_	
2-8	found	O	_	_	
2-9	to	O	_	_	
2-10	be	O	_	_	
2-11	the	O	_	_	
2-12	most	O	_	_	
2-13	cultivated	O	_	_	
2-14	fruit	B-NC|B-NC	_	_	
2-15	tree	I-NC|B-NC	_	_	
2-16	in	O	_	_	
2-17	the	O	_	_	
2-18	world	B-NC	_	_	
2-19	.	O	_	_	
2-20	[	O	_	_	
2-21	4	O	_	_	
2-22	]	O	_	_	
2-23	Orange	B-NC|B-NC	_	_	
2-24	trees	I-NC|B-NC	_	_	
2-25	are	O	_	_	
2-26	widely	O	_	_	
2-27	grown	O	_	_	
2-28	in	O	_	_	
2-29	tropical	O	_	_	
2-30	and	O	_	_	
2-31	subtropical	O	_	_	
2-32	climates	B-NC	_	_	
2-33	for	O	_	_	
2-34	their	O	_	_	
2-35	sweet	O	_	_	
2-36	fruit	B-NC	Holonym	2-23	
2-37	.	O	_	_	
2-38	The	O	_	_	
2-39	fruit	B-NC	Holonym	2-42	
2-40	of	O	_	_	
2-41	the	O	_	_	
2-42	orange	B-NC	_	_	
2-43	tree	I-NC|B-NC	_	_	
2-44	can	O	_	_	
2-45	be	O	_	_	
2-46	eaten	O	_	_	
2-47	fresh	O	_	_	
2-48	,	O	_	_	
2-49	or	O	_	_	
2-50	processed	O	_	_	
2-51	for	O	_	_	
2-52	its	O	_	_	
2-53	juice	B-NC	Holonym	2-87	
2-54	or	O	_	_	
2-55	fragrant	O	_	_	
2-56	peel	B-NC	Holonym	2-87	
2-57	.	O	_	_	
2-58	[	O	_	_	
2-59	5	O	_	_	
2-60	]	O	_	_	
2-61	As	O	_	_	
2-62	of	O	_	_	
2-63	2012	O	_	_	
2-64	,	O	_	_	
2-65	sweet	B-NC	Hypernym	2-87	
2-66	oranges	I-NC|B-NC	_	_	
2-67	accounted	O	_	_	
2-68	for	O	_	_	
2-69	approximately	O	_	_	
2-70	70	O	_	_	
2-71	%	O	_	_	
2-72	of	O	_	_	
2-73	citrus	B-NC	Hypernym	2-92	
2-74	production	I-NC|B-NC	_	_	
2-75	.	O	_	_	
2-76	[	O	_	_	
2-77	6	O	_	_	
2-78	]	O	_	_	
2-79	In	O	_	_	
2-80	2010	O	_	_	
2-81	,	O	_	_	
2-82	68.3	O	_	_	
2-83	million	O	_	_	
2-84	metric	O	_	_	
2-85	tons	B-NC	_	_	
2-86	of	O	_	_	
2-87	oranges	B-NC	Hypernym|Holonym	2-39|2-42	
2-88	were	O	_	_	
2-89	grown	O	_	_	
2-90	worldwide	O	_	_	
2-91	,	O	_	_	
2-92	production	B-NC	_	_	
2-93	being	O	_	_	
2-94	particularly	O	_	_	
2-95	prevalent	O	_	_	
2-96	in	O	_	_	
2-97	Brazil	B-NC	_	_	
2-98	and	O	_	_	
2-99	the	O	_	_	
2-100	U.	B-NC	_	_	
