 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Апельси́н — плод апельсинового дерева ( Citrus sinensis ) , которое представляет собой[2 ] гибрид мандарина ( Citrus reticulata ) и помело ( Citrus maxima ) и культивировалось в Китае ещё за 2,5 тысячи лет до н . э
1-1	Апельси́н	B-NC	Hypernym|Hypernym	1-15|1-3	
1-2	—	O	_	_	
1-3	плод	B-NC	Holonym	1-4	
1-4	апельсинового	B-NC	_	_	
1-5	дерева	I-NC|B-NC	_	_	
1-6	(	O	_	_	
1-7	Citrus	O	_	_	
1-8	sinensis	O	_	_	
1-9	)	O	_	_	
1-10	,	O	_	_	
1-11	которое	O	_	_	
1-12	представляет	O	_	_	
1-13	собой[2	O	_	_	
1-14	]	O	_	_	
1-15	гибрид	B-NC	_	_	
1-16	мандарина	B-NC	Holonym|Hypernym	1-1|1-3	
1-17	(	O	_	_	
1-18	Citrus	O	_	_	
1-19	reticulata	O	_	_	
1-20	)	O	_	_	
1-21	и	O	_	_	
1-22	помело	B-NC	Holonym|Hypernym	1-1|1-3	
1-23	(	O	_	_	
1-24	Citrus	O	_	_	
1-25	maxima	O	_	_	
1-26	)	O	_	_	
1-27	и	O	_	_	
1-28	культивировалось	O	_	_	
1-29	в	O	_	_	
1-30	Китае	B-NC	_	_	
1-31	ещё	O	_	_	
1-32	за	O	_	_	
1-33	2,5	O	_	_	
1-34	тысячи	O	_	_	
1-35	лет	B-NC	Holonym	1-39	
1-36	до	O	_	_	
1-37	н	O	_	_	
1-38	.	O	_	_	
1-39	э	B-NC	_	_	

#id=2
#text=В Европу дерево было привезено португальскими мореплавателями . После этого быстро распространилась мода на выращивание апельсиновых деревьев ; для этого стали строить специальные стеклянные сооружения , названные оранжереями ( от фр . orange ‘ апельсин ’ ) . Теперь апельсиновые деревья растут по всему побережью Средиземного моря ( а также — в Центральной Америке)[3 ]
2-1	В	O	_	_	
2-2	Европу	B-NC	_	_	
2-3	дерево	B-NC	_	_	
2-4	было	O	_	_	
2-5	привезено	O	_	_	
2-6	португальскими	O	_	_	
2-7	мореплавателями	B-NC	_	_	
2-8	.	O	_	_	
2-9	После	O	_	_	
2-10	этого	O	_	_	
2-11	быстро	O	_	_	
2-12	распространилась	O	_	_	
2-13	мода	B-NC	_	_	
2-14	на	O	_	_	
2-15	выращивание	B-NC	_	_	
2-16	апельсиновых	B-NC	Hypernym	2-3	
2-17	деревьев	I-NC|B-NC	_	_	
2-18	;	O	_	_	
2-19	для	O	_	_	
2-20	этого	O	_	_	
2-21	стали	O	_	_	
2-22	строить	O	_	_	
2-23	специальные	O	_	_	
2-24	стеклянные	O	_	_	
2-25	сооружения	B-NC	_	_	
2-26	,	O	_	_	
2-27	названные	O	_	_	
2-28	оранжереями	B-NC	Hypernym	2-25	
2-29	(	O	_	_	
2-30	от	O	_	_	
2-31	фр	O	_	_	
2-32	.	O	_	_	
2-33	orange	O	_	_	
2-34	‘	O	_	_	
2-35	апельсин	B-NC	Holonym	2-16	
2-36	’	O	_	_	
2-37	)	O	_	_	
2-38	.	O	_	_	
2-39	Теперь	O	_	_	
2-40	апельсиновые	O	_	_	
2-41	деревья	O	_	_	
2-42	растут	O	_	_	
2-43	по	O	_	_	
2-44	всему	O	_	_	
2-45	побережью	B-NC	_	_	
2-46	Средиземного	O	_	_	
2-47	моря	B-NC	_	_	
2-48	(	O	_	_	
2-49	а	O	_	_	
2-50	также	O	_	_	
2-51	—	O	_	_	
2-52	в	O	_	_	
2-53	Центральной	O	_	_	
2-54	Америке)[3	B-NC	_	_	
2-55	]	O	_	_	

#id=3
#text=Слово «апельсин» заимствовано в русский язык из голландского ( нидерландского ) языка ; нидерл . appelsien ( ныне чаще употребляется форма sinaasappel ) , равно как и нем . Apfelsine , есть калька с фр . pomme de Chine ( буквально — «яблоко из Китая» ; теперь это название во французском вытеснено словом orange)[4 ]
3-1	Слово	B-NC	Holonym	3-6	
3-2	«апельсин»	B-NC	_	_	
3-3	заимствовано	O	_	_	
3-4	в	O	_	_	
3-5	русский	O	_	_	
3-6	язык	B-NC	_	_	
3-7	из	O	_	_	
3-8	голландского	O	_	_	
3-9	(	O	_	_	
3-10	нидерландского	O	_	_	
3-11	)	O	_	_	
3-12	языка	B-NC	_	_	
3-13	;	O	_	_	
3-14	нидерл	B-NC	_	_	
3-15	.	O	_	_	
3-16	appelsien	O	_	_	
3-17	(	O	_	_	
3-18	ныне	O	_	_	
3-19	чаще	O	_	_	
3-20	употребляется	O	_	_	
3-21	форма	B-NC	Holonym	3-1	
3-22	sinaasappel	O	_	_	
3-23	)	O	_	_	
3-24	,	O	_	_	
3-25	равно	O	_	_	
3-26	как	O	_	_	
3-27	и	O	_	_	
3-28	нем	O	_	_	
3-29	.	O	_	_	
3-30	Apfelsine	O	_	_	
3-31	,	O	_	_	
3-32	есть	O	_	_	
3-33	калька	B-NC	_	_	
3-34	с	O	_	_	
3-35	фр	O	_	_	
3-36	.	O	_	_	
3-37	pomme	O	_	_	
3-38	de	O	_	_	
3-39	Chine	O	_	_	
3-40	(	O	_	_	
3-41	буквально	O	_	_	
3-42	—	O	_	_	
3-43	«яблоко	B-NC	Co-Hyponym	3-2	
3-44	из	O	_	_	
3-45	Китая»	B-NC	_	_	
3-46	;	O	_	_	
3-47	теперь	O	_	_	
3-48	это	O	_	_	
3-49	название	B-NC	_	_	
3-50	во	O	_	_	
3-51	французском	O	_	_	
3-52	вытеснено	O	_	_	
3-53	словом	B-NC	_	_	
3-54	orange)[4	O	_	_	
3-55	]	O	_	_	

