 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Blasenkirschen ( Physalis ) , auch Judenkirschen genannt , sind eine Gattung aus der Familie der Nachtschattengewächse ( Solanaceae ) . Die meisten der etwa 75 bis 90 Arten sind auf dem amerikanischen Kontinent beheimatet , während in Europa nur die Lampionblume ( Physalis alkekengi ) vorkommt . Auffallend sind vor allem die Früchte , die komplett von einem sich vergrößernden , laternenförmigen Blütenkelch umschlossen werden . Einige Arten der Gattung , beispielsweise die oft nur als Physalis bezeichnete Kapstachelbeere , werden als Obst- und Gemüsepflanzen angebaut , andere für Dekorationszwecke genutzt
1-1	Die	O	_	_	
1-2	Blasenkirschen	B-NC	Hypernym|Hypernym|Hypernym	1-55|1-18|1-18	
1-3	(	O	_	_	
1-4	Physalis	B-NC	Synonym	1-2	
1-5	)	O	_	_	
1-6	,	O	_	_	
1-7	auch	O	_	_	
1-8	Judenkirschen	B-NC	Synonym	1-2	
1-9	genannt	O	_	_	
1-10	,	O	_	_	
1-11	sind	O	_	_	
1-12	eine	O	_	_	
1-13	Gattung	B-NC	Hypernym	1-16	
1-14	aus	O	_	_	
1-15	der	O	_	_	
1-16	Familie	B-NC	_	_	
1-17	der	O	_	_	
1-18	Nachtschattengewächse	B-NC	_	_	
1-19	(	O	_	_	
1-20	Solanaceae	B-NC	_	_	
1-21	)	O	_	_	
1-22	.	O	_	_	
1-23	Die	O	_	_	
1-24	meisten	O	_	_	
1-25	der	O	_	_	
1-26	etwa	O	_	_	
1-27	75	O	_	_	
1-28	bis	O	_	_	
1-29	90	O	_	_	
1-30	Arten	B-NC	Hypernym	1-13	
1-31	sind	O	_	_	
1-32	auf	O	_	_	
1-33	dem	O	_	_	
1-34	amerikanischen	O	_	_	
1-35	Kontinent	B-NC	_	_	
1-36	beheimatet	O	_	_	
1-37	,	O	_	_	
1-38	während	O	_	_	
1-39	in	O	_	_	
1-40	Europa	B-NC	_	_	
1-41	nur	O	_	_	
1-42	die	O	_	_	
1-43	Lampionblume	B-NC	Hypernym	1-2	
1-44	(	O	_	_	
1-45	Physalis	B-NC	_	_	
1-46	alkekengi	B-NC	_	_	
1-47	)	O	_	_	
1-48	vorkommt	O	_	_	
1-49	.	O	_	_	
1-50	Auffallend	O	_	_	
1-51	sind	O	_	_	
1-52	vor	O	_	_	
1-53	allem	O	_	_	
1-54	die	O	_	_	
1-55	Früchte	B-NC	Holonym	1-18	
1-56	,	O	_	_	
1-57	die	O	_	_	
1-58	komplett	O	_	_	
1-59	von	O	_	_	
1-60	einem	O	_	_	
1-61	sich	O	_	_	
1-62	vergrößernden	O	_	_	
1-63	,	O	_	_	
1-64	laternenförmigen	O	_	_	
1-65	Blütenkelch	B-NC	Holonym	1-55	
1-66	umschlossen	O	_	_	
1-67	werden	O	_	_	
1-68	.	O	_	_	
1-69	Einige	O	_	_	
1-70	Arten	B-NC	Hypernym	1-72	
1-71	der	O	_	_	
1-72	Gattung	B-NC	_	_	
1-73	,	O	_	_	
1-74	beispielsweise	O	_	_	
1-75	die	O	_	_	
1-76	oft	O	_	_	
1-77	nur	O	_	_	
1-78	als	O	_	_	
1-79	Physalis	B-NC	Hypernym|Hypernym	1-87|1-85	
1-80	bezeichnete	O	_	_	
1-81	Kapstachelbeere	B-NC	Hypernym	1-79	
1-82	,	O	_	_	
1-83	werden	O	_	_	
1-84	als	O	_	_	
1-85	Obst-	B-NCpart	Hypernym	1-18	
1-86	und	O	_	_	
1-87	Gemüsepflanzen	B-NC	Hypernym	1-18	
1-88	angebaut	O	_	_	
1-89	,	O	_	_	
1-90	andere	O	_	_	
1-91	für	O	_	_	
1-92	Dekorationszwecke	B-NC	_	_	
1-93	genutzt	O	_	_	

