 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Physalis ( /ˈfaɪsəlɪs/ , sometimes /faɪˈseɪlɪs/)[2 ] is a genus of flowering plants in the nightshade family ( Solanaceae ) , which grow in warm temperate and subtropical regions of the world . Most of the species , of which there may be 75-90 , are indigenous to the New World with one notable exception ( P. alkekengi ) . Cultivated species and weedy annuals have been introduced worldwide . A notable feature is the formation of a large papery husk derived from the calyx , which partly or fully encloses the fruit , . [ 3 ] The fruit is small and orange , similar in size , shape and structure to a small tomato
1-1	Physalis	B-NC	Hypernym|Hypernym|Hypernym|Hypernym	1-93|1-65|1-37|1-12	
1-2	(	O	_	_	
1-3	/ˈfaɪsəlɪs/	B-NC	_	_	
1-4	,	O	_	_	
1-5	sometimes	O	_	_	
1-6	/faɪˈseɪlɪs/)[2	B-NC	_	_	
1-7	]	O	_	_	
1-8	is	O	_	_	
1-9	a	O	_	_	
1-10	genus	B-NC	_	_	
1-11	of	O	_	_	
1-12	flowering	B-NC	Hypernym|Holonym	1-10|1-16	
1-13	plants	I-NC|B-NC	_	_	
1-14	in	O	_	_	
1-15	the	O	_	_	
1-16	nightshade	B-NC|B-NC	_	_	
1-17	family	I-NC|B-NC	_	_	
1-18	(	O	_	_	
1-19	Solanaceae	B-NC	_	_	
1-20	)	O	_	_	
1-21	,	O	_	_	
1-22	which	O	_	_	
1-23	grow	O	_	_	
1-24	in	O	_	_	
1-25	warm	O	_	_	
1-26	temperate	O	_	_	
1-27	and	O	_	_	
1-28	subtropical	O	_	_	
1-29	regions	B-NC	Holonym	1-32	
1-30	of	O	_	_	
1-31	the	O	_	_	
1-32	world	B-NC	_	_	
1-33	.	O	_	_	
1-34	Most	O	_	_	
1-35	of	O	_	_	
1-36	the	O	_	_	
1-37	species	B-NC	_	_	
1-38	,	O	_	_	
1-39	of	O	_	_	
1-40	which	O	_	_	
1-41	there	O	_	_	
1-42	may	O	_	_	
1-43	be	O	_	_	
1-44	75-90	O	_	_	
1-45	,	O	_	_	
1-46	are	O	_	_	
1-47	indigenous	O	_	_	
1-48	to	O	_	_	
1-49	the	O	_	_	
1-50	New	B-NC	_	_	
1-51	World	B-NC	_	_	
1-52	with	O	_	_	
1-53	one	O	_	_	
1-54	notable	O	_	_	
1-55	exception	B-NC	_	_	
1-56	(	O	_	_	
1-57	P.	B-NC	_	_	
1-58	alkekengi	B-NC|B-NC	_	_	
1-59	)	O	_	_	
1-60	.	O	_	_	
1-61	Cultivated	O	_	_	
1-62	species	B-NC	_	_	
1-63	and	O	_	_	
1-64	weedy	O	_	_	
1-65	annuals	B-NC	_	_	
1-66	have	O	_	_	
1-67	been	O	_	_	
1-68	introduced	O	_	_	
1-69	worldwide	O	_	_	
1-70	.	O	_	_	
1-71	A	O	_	_	
1-72	notable	O	_	_	
1-73	feature	B-NC	_	_	
1-74	is	O	_	_	
1-75	the	O	_	_	
1-76	formation	B-NC	_	_	
1-77	of	O	_	_	
1-78	a	O	_	_	
1-79	large	O	_	_	
1-80	papery	O	_	_	
1-81	husk	B-NC	Holonym	1-93	
1-82	derived	O	_	_	
1-83	from	O	_	_	
1-84	the	O	_	_	
1-85	calyx	B-NC	Holonym	1-93	
1-86	,	O	_	_	
1-87	which	O	_	_	
1-88	partly	O	_	_	
1-89	or	O	_	_	
1-90	fully	O	_	_	
1-91	encloses	O	_	_	
1-92	the	O	_	_	
1-93	fruit	B-NC	_	_	
1-94	,	O	_	_	
1-95	.	O	_	_	
1-96	[	O	_	_	
1-97	3	O	_	_	
1-98	]	O	_	_	
1-99	The	O	_	_	
1-100	fruit	B-NC	_	_	
1-101	is	O	_	_	
1-102	small	O	_	_	
1-103	and	O	_	_	
1-104	orange	O	_	_	
1-105	,	O	_	_	
1-106	similar	O	_	_	
1-107	in	O	_	_	
1-108	size	B-NC	_	_	
1-109	,	O	_	_	
1-110	shape	B-NC	Co-Hyponym	1-108	
1-111	and	O	_	_	
1-112	structure	B-NC	Co-Hyponym	1-108	
1-113	to	O	_	_	
1-114	a	O	_	_	
1-115	small	O	_	_	
1-116	tomato	B-NC	Hypernym	1-100	

#id=2
#text=At least 46 species are endemic to the country of Mexico . [ 4
2-1	At	O	_	_	
2-2	least	O	_	_	
2-3	46	O	_	_	
2-4	species	B-NC	_	_	
2-5	are	O	_	_	
2-6	endemic	O	_	_	
2-7	to	O	_	_	
2-8	the	O	_	_	
2-9	country	B-NC	_	_	
2-10	of	O	_	_	
2-11	Mexico	B-NC	_	_	
2-12	.	O	_	_	
2-13	[	O	_	_	
2-14	4	O	_	_	

#id=3
#text=Many Physalis species are called groundcherries . [ 5 ] One name for Physalis peruviana is Cape gooseberry , not to be confused with the true gooseberries , which are of the genus Ribes in the family Grossulariaceae . Another name used to refer to the fruit is simply golden berries . [ 6
3-1	Many	O	_	_	
3-2	Physalis	B-NC|B-NC	_	_	
3-3	species	I-NC|B-NC	Hypernym	3-33	
3-4	are	O	_	_	
3-5	called	O	_	_	
3-6	groundcherries	B-NC	Hypernym|Hypernym	3-2|3-47	
3-7	.	O	_	_	
3-8	[	O	_	_	
3-9	5	O	_	_	
3-10	]	O	_	_	
3-11	One	O	_	_	
3-12	name	B-NC	_	_	
3-13	for	O	_	_	
3-14	Physalis	B-NC|B-NC	Hypernym	3-2	
3-15	peruviana	I-NC|B-NC	_	_	
3-16	is	O	_	_	
3-17	Cape	B-NC|B-NC|B-NC	Synonym	3-14	
3-18	gooseberry	I-NC|I-NC|B-NC	_	_	
3-19	,	O	_	_	
3-20	not	O	_	_	
3-21	to	O	_	_	
3-22	be	O	_	_	
3-23	confused	O	_	_	
3-24	with	O	_	_	
3-25	the	O	_	_	
3-26	true	O	_	_	
3-27	gooseberries	B-NC	Hypernym	3-47	
3-28	,	O	_	_	
3-29	which	O	_	_	
3-30	are	O	_	_	
3-31	of	O	_	_	
3-32	the	O	_	_	
3-33	genus	B-NC	Hypernym	3-37	
3-34	Ribes	O	_	_	
3-35	in	O	_	_	
3-36	the	O	_	_	
3-37	family	B-NC	_	_	
3-38	Grossulariaceae	B-NC	_	_	
3-39	.	O	_	_	
3-40	Another	O	_	_	
3-41	name	B-NC	_	_	
3-42	used	O	_	_	
3-43	to	O	_	_	
3-44	refer	O	_	_	
3-45	to	O	_	_	
3-46	the	O	_	_	
3-47	fruit	B-NC	_	_	
3-48	is	O	_	_	
3-49	simply	O	_	_	
3-50	golden	B-NC	Synonym	3-14	
3-51	berries	I-NC|B-NC	_	_	
3-52	.	O	_	_	
3-53	[	O	_	_	
3-54	6	O	_	_	

