 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Физа́лис ( лат . Phýsalis ) — самый крупный род растений семейства Паслёновые ( Solanaceae ) , часто сравниваемый с томатами ( Solanum lycopersicum ) . В народе его называют изумрудной ягодой или земляной клюквой ( хотя к клюкве он никакого отношения не имеет ) , а также анти-семитской вишней
1-1	Физа́лис	B-NC	Hypernym	1-11	
1-2	(	O	_	_	
1-3	лат	O	_	_	
1-4	.	O	_	_	
1-5	Phýsalis	O	_	_	
1-6	)	O	_	_	
1-7	—	O	_	_	
1-8	самый	O	_	_	
1-9	крупный	O	_	_	
1-10	род	B-NC	Hypernym	1-12	
1-11	растений	B-NC	_	_	
1-12	семейства	B-NC	Hypernym	1-11	
1-13	Паслёновые	O	_	_	
1-14	(	O	_	_	
1-15	Solanaceae	O	_	_	
1-16	)	O	_	_	
1-17	,	O	_	_	
1-18	часто	O	_	_	
1-19	сравниваемый	O	_	_	
1-20	с	O	_	_	
1-21	томатами	B-NC	Hypernym	1-11	
1-22	(	O	_	_	
1-23	Solanum	O	_	_	
1-24	lycopersicum	O	_	_	
1-25	)	O	_	_	
1-26	.	O	_	_	
1-27	В	O	_	_	
1-28	народе	B-NC	_	_	
1-29	его	O	_	_	
1-30	называют	O	_	_	
1-31	изумрудной	O	_	_	
1-32	ягодой	B-NC	_	_	
1-33	или	O	_	_	
1-34	земляной	O	_	_	
1-35	клюквой	B-NC	Hypernym|Hypernym	1-11|1-32	
1-36	(	O	_	_	
1-37	хотя	O	_	_	
1-38	к	O	_	_	
1-39	клюкве	B-NC	_	_	
1-40	он	O	_	_	
1-41	никакого	O	_	_	
1-42	отношения	B-NC	_	_	
1-43	не	O	_	_	
1-44	имеет	O	_	_	
1-45	)	O	_	_	
1-46	,	O	_	_	
1-47	а	O	_	_	
1-48	также	O	_	_	
1-49	анти-семитской	O	_	_	
1-50	вишней	B-NC	Hypernym|Hypernym	1-11|1-32	

#id=2
#text=Наибольшее видовое разнообразие наблюдается в Центральной и Южной Америке
2-1	Наибольшее	O	_	_	
2-2	видовое	O	_	_	
2-3	разнообразие	B-NC	_	_	
2-4	наблюдается	O	_	_	
2-5	в	O	_	_	
2-6	Центральной	O	_	_	
2-7	и	O	_	_	
2-8	Южной	O	_	_	
2-9	Америке	B-NC	_	_	

#id=3
#text=Физалисы — многолетние ( гораздо реже однолетние ) травянистые растения с одревесневающим у основания стеблем
3-1	Физалисы	B-NC	Hypernym	3-10	
3-2	—	O	_	_	
3-3	многолетние	O	_	_	
3-4	(	O	_	_	
3-5	гораздо	O	_	_	
3-6	реже	O	_	_	
3-7	однолетние	B-NC	_	_	
3-8	)	O	_	_	
3-9	травянистые	O	_	_	
3-10	растения	B-NC	_	_	
3-11	с	O	_	_	
3-12	одревесневающим	O	_	_	
3-13	у	O	_	_	
3-14	основания	B-NC	_	_	
3-15	стеблем	B-NC	Holonym	3-10	

#id=4
#text=Характерной особенностью всех физалисов является плод-ягода , заключённый в похожую на китайский бумажный фонарик оболочку-чехлик из сросшихся чашелистиков ( отсюда название рода : φυσαλίς на греческом означает пузырь ) . Чашечка в первое время после отцветания растёт заметно быстрее плода . При полном созревании плода чашечка высыхает , и её цвет изменяется
4-1	Характерной	O	_	_	
4-2	особенностью	B-NC	_	_	
4-3	всех	O	_	_	
4-4	физалисов	B-NC	Hypernym	4-40	
4-5	является	O	_	_	
4-6	плод-ягода	B-NC	Holonym	4-4	
4-7	,	O	_	_	
4-8	заключённый	O	_	_	
4-9	в	O	_	_	
4-10	похожую	O	_	_	
4-11	на	O	_	_	
4-12	китайский	O	_	_	
4-13	бумажный	O	_	_	
4-14	фонарик	B-NC	_	_	
4-15	оболочку-чехлик	B-NC	Holonym	4-4	
4-16	из	O	_	_	
4-17	сросшихся	O	_	_	
4-18	чашелистиков	B-NC	Holonym	4-15	
4-19	(	O	_	_	
4-20	отсюда	O	_	_	
4-21	название	B-NC	_	_	
4-22	рода	B-NC	_	_	
4-23	:	O	_	_	
4-24	φυσαλίς	O	_	_	
4-25	на	O	_	_	
4-26	греческом	O	_	_	
4-27	означает	O	_	_	
4-28	пузырь	B-NC	_	_	
4-29	)	O	_	_	
4-30	.	O	_	_	
4-31	Чашечка	B-NC	Synonym	4-15	
4-32	в	O	_	_	
4-33	первое	O	_	_	
4-34	время	B-NC	_	_	
4-35	после	O	_	_	
4-36	отцветания	B-NC	_	_	
4-37	растёт	O	_	_	
4-38	заметно	O	_	_	
4-39	быстрее	O	_	_	
4-40	плода	B-NC	_	_	
4-41	.	O	_	_	
4-42	При	O	_	_	
4-43	полном	O	_	_	
4-44	созревании	B-NC	Co-Hyponym	4-36	
4-45	плода	B-NC	_	_	
4-46	чашечка	B-NC	_	_	
4-47	высыхает	O	_	_	
4-48	,	O	_	_	
4-49	и	O	_	_	
4-50	её	O	_	_	
4-51	цвет	B-NC	_	_	
4-52	изменяется	O	_	_	

#id=5
#text=Физалисы — теплолюбивые растения , большинство практически не переносят заморозков , хотя есть и исключения
5-1	Физалисы	B-NC	Hypernym	5-4	
5-2	—	O	_	_	
5-3	теплолюбивые	O	_	_	
5-4	растения	B-NC	_	_	
5-5	,	O	_	_	
5-6	большинство	B-NC	_	_	
5-7	практически	O	_	_	
5-8	не	O	_	_	
5-9	переносят	O	_	_	
5-10	заморозков	B-NC	_	_	
5-11	,	O	_	_	
5-12	хотя	O	_	_	
5-13	есть	O	_	_	
5-14	и	O	_	_	
5-15	исключения	B-NC	_	_	

