 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Durban ( Südafrika ) / Pyeongchang ( Südkorea ) , 14.07.2011 – Die Olympischen Winterspiele 2018 finden im südkoreanischen Pyeongchang statt , dies entschied am Nachmittag des 6 . Juli 2011 das Internationale Olympische Komitee ( IOC ) in Durban . Pyeongchang setzte sich per Abstimmung gegen die Mitbewerber Annecy in Frankreich und gegen München durch
1-1	Durban	B-NC	_	_	
1-2	(	O	_	_	
1-3	Südafrika	B-NC	_	_	
1-4	)	O	_	_	
1-5	/	O	_	_	
1-6	Pyeongchang	B-NC	_	_	
1-7	(	O	_	_	
1-8	Südkorea	B-NC	_	_	
1-9	)	O	_	_	
1-10	,	O	_	_	
1-11	14.07.2011	O	_	_	
1-12	–	O	_	_	
1-13	Die	O	_	_	
1-14	Olympischen	O	_	_	
1-15	Winterspiele	B-NC	_	_	
1-16	2018	O	_	_	
1-17	finden	O	_	_	
1-18	im	O	_	_	
1-19	südkoreanischen	O	_	_	
1-20	Pyeongchang	B-NC	_	_	
1-21	statt	O	_	_	
1-22	,	O	_	_	
1-23	dies	O	_	_	
1-24	entschied	O	_	_	
1-25	am	O	_	_	
1-26	Nachmittag	B-NC	_	_	
1-27	des	O	_	_	
1-28	6	O	_	_	
1-29	.	O	_	_	
1-30	Juli	B-NC	_	_	
1-31	2011	O	_	_	
1-32	das	O	_	_	
1-33	Internationale	O	_	_	
1-34	Olympische	O	_	_	
1-35	Komitee	B-NC	_	_	
1-36	(	O	_	_	
1-37	IOC	B-NC	_	_	
1-38	)	O	_	_	
1-39	in	O	_	_	
1-40	Durban	B-NC	_	_	
1-41	.	O	_	_	
1-42	Pyeongchang	B-NC	_	_	
1-43	setzte	O	_	_	
1-44	sich	O	_	_	
1-45	per	O	_	_	
1-46	Abstimmung	B-NC	Holonym	1-35	
1-47	gegen	O	_	_	
1-48	die	O	_	_	
1-49	Mitbewerber	B-NC	_	_	
1-50	Annecy	B-NC	_	_	
1-51	in	O	_	_	
1-52	Frankreich	B-NC	_	_	
1-53	und	O	_	_	
1-54	gegen	O	_	_	
1-55	München	B-NC	_	_	
1-56	durch	O	_	_	

#id=2
#text=Termin für die Austragung ist der 9 . bis 25 . Februar 2018 . Die Paralympics finden vom 9 . bis 18 . März statt . Südkorea wird die Spiele unter dem Motto „ Neue Horizonte “
2-1	Termin	B-NC	_	_	
2-2	für	O	_	_	
2-3	die	O	_	_	
2-4	Austragung	B-NC	_	_	
2-5	ist	O	_	_	
2-6	der	O	_	_	
2-7	9	O	_	_	
2-8	.	O	_	_	
2-9	bis	O	_	_	
2-10	25	O	_	_	
2-11	.	O	_	_	
2-12	Februar	B-NC	_	_	
2-13	2018	O	_	_	
2-14	.	O	_	_	
2-15	Die	O	_	_	
2-16	Paralympics	B-NC	_	_	
2-17	finden	O	_	_	
2-18	vom	O	_	_	
2-19	9	O	_	_	
2-20	.	O	_	_	
2-21	bis	O	_	_	
2-22	18	O	_	_	
2-23	.	O	_	_	
2-24	März	B-NC	Co-Hyponym	2-12	
2-25	statt	O	_	_	
2-26	.	O	_	_	
2-27	Südkorea	B-NC	_	_	
2-28	wird	O	_	_	
2-29	die	O	_	_	
2-30	Spiele	B-NC	Hypernym	2-4	
2-31	unter	O	_	_	
2-32	dem	O	_	_	
2-33	Motto	B-NC	_	_	
2-34	„	O	_	_	
2-35	Neue	O	_	_	
2-36	Horizonte	B-NC	_	_	
2-37	“	O	_	_	

