 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The International Olympic Committee ( IOC ) selected Pyeongchang , South Korea as host of the 2018 Winter Games today . The committee meeting in Durban , South Africa , made its selection in the first round of voting . The South Korean city won over Munich , Germany and Annecy , France after failing in two previous tries
1-1	The	O	_	_	
1-2	International	B-NC	_	_	
1-3	Olympic	B-NC	_	_	
1-4	Committee	B-NC	_	_	
1-5	(	O	_	_	
1-6	IOC	B-NC	_	_	
1-7	)	O	_	_	
1-8	selected	O	_	_	
1-9	Pyeongchang	B-NC	_	_	
1-10	,	O	_	_	
1-11	South	B-NC	_	_	
1-12	Korea	B-NC	_	_	
1-13	as	O	_	_	
1-14	host	B-NC	_	_	
1-15	of	O	_	_	
1-16	the	O	_	_	
1-17	2018	O	_	_	
1-18	Winter	B-NC	_	_	
1-19	Games	B-NC	_	_	
1-20	today	B-NC	_	_	
1-21	.	O	_	_	
1-22	The	O	_	_	
1-23	committee	B-NC	_	_	
1-24	meeting	B-NC	_	_	
1-25	in	O	_	_	
1-26	Durban	B-NC	_	_	
1-27	,	O	_	_	
1-28	South	B-NC	_	_	
1-29	Africa	B-NC	_	_	
1-30	,	O	_	_	
1-31	made	O	_	_	
1-32	its	O	_	_	
1-33	selection	B-NC	_	_	
1-34	in	O	_	_	
1-35	the	O	_	_	
1-36	first	O	_	_	
1-37	round	B-NC	_	_	
1-38	of	O	_	_	
1-39	voting	B-NC	Hypernym	1-33	
1-40	.	O	_	_	
1-41	The	O	_	_	
1-42	South	O	_	_	
1-43	Korean	O	_	_	
1-44	city	B-NC	_	_	
1-45	won	O	_	_	
1-46	over	O	_	_	
1-47	Munich	B-NC	_	_	
1-48	,	O	_	_	
1-49	Germany	B-NC	_	_	
1-50	and	O	_	_	
1-51	Annecy	B-NC	_	_	
1-52	,	O	_	_	
1-53	France	B-NC	_	_	
1-54	after	O	_	_	
1-55	failing	O	_	_	
1-56	in	O	_	_	
1-57	two	O	_	_	
1-58	previous	O	_	_	
1-59	tries	B-NC	_	_	

#id=2
#text=It was an emphatic success for South Korea after its unsuccessful applications for the 2010 and 2014 Winter Olympics . This time its hour - long presentation to the committee focused on the sports with the theme " New Horizons " rather than geopolitical location and included South Korean president Lee Myung - bak and Kim Yu - na , the winner of the 2010 Olympic figure skating gold medal winner . On the first round of secret ballots , cast by the IOC 's 95 voting members from 76 countries , Pyeongchang received 63 votes to Munich 's 25 and 7 for Annecy
2-1	It	O	_	_	
2-2	was	O	_	_	
2-3	an	O	_	_	
2-4	emphatic	O	_	_	
2-5	success	B-NC	_	_	
2-6	for	O	_	_	
2-7	South	B-NC	_	_	
2-8	Korea	B-NC	_	_	
2-9	after	O	_	_	
2-10	its	O	_	_	
2-11	unsuccessful	O	_	_	
2-12	applications	B-NC	_	_	
2-13	for	O	_	_	
2-14	the	O	_	_	
2-15	2010	O	_	_	
2-16	and	O	_	_	
2-17	2014	O	_	_	
2-18	Winter	B-NC	_	_	
2-19	Olympics	B-NC	_	_	
2-20	.	O	_	_	
2-21	This	O	_	_	
2-22	time	B-NC	_	_	
2-23	its	O	_	_	
2-24	hour	B-NC	_	_	
2-25	-	O	_	_	
2-26	long	O	_	_	
2-27	presentation	B-NC	_	_	
2-28	to	O	_	_	
2-29	the	O	_	_	
2-30	committee	B-NC	_	_	
2-31	focused	O	_	_	
2-32	on	O	_	_	
2-33	the	O	_	_	
2-34	sports	B-NC	_	_	
2-35	with	O	_	_	
2-36	the	O	_	_	
2-37	theme	B-NC	Holonym	2-27	
2-38	"	O	_	_	
2-39	New	B-NC	_	_	
2-40	Horizons	B-NC	_	_	
2-41	"	O	_	_	
2-42	rather	O	_	_	
2-43	than	O	_	_	
2-44	geopolitical	O	_	_	
2-45	location	B-NC	_	_	
2-46	and	O	_	_	
2-47	included	O	_	_	
2-48	South	O	_	_	
2-49	Korean	O	_	_	
2-50	president	B-NC	Holonym	2-30	
2-51	Lee	B-NC	_	_	
2-52	Myung	B-NC	_	_	
2-53	-	O	_	_	
2-54	bak	B-NC	_	_	
2-55	and	O	_	_	
2-56	Kim	B-NC	_	_	
2-57	Yu	B-NC	_	_	
2-58	-	O	_	_	
2-59	na	O	_	_	
2-60	,	O	_	_	
2-61	the	O	_	_	
2-62	winner	B-NC	_	_	
2-63	of	O	_	_	
2-64	the	O	_	_	
2-65	2010	O	_	_	
2-66	Olympic	O	_	_	
2-67	figure	B-NC|B-NC	Hypernym	2-62	
2-68	skating	I-NC	_	_	
2-69	gold	I-NC	_	_	
2-70	medal	I-NC|B-NC	_	_	
2-71	winner	I-NC|B-NC	_	_	
2-72	.	O	_	_	
2-73	On	O	_	_	
2-74	the	O	_	_	
2-75	first	O	_	_	
2-76	round	B-NC	_	_	
2-77	of	O	_	_	
2-78	secret	O	_	_	
2-79	ballots	B-NC	_	_	
2-80	,	O	_	_	
2-81	cast	O	_	_	
2-82	by	O	_	_	
2-83	the	O	_	_	
2-84	IOC	B-NC	_	_	
2-85	's	O	_	_	
2-86	95	O	_	_	
2-87	voting	B-NC|B-NC	Holonym|Holonym	2-30|2-91	
2-88	members	I-NC|B-NC	_	_	
2-89	from	O	_	_	
2-90	76	O	_	_	
2-91	countries	B-NC	Hypernym	2-45	
2-92	,	O	_	_	
2-93	Pyeongchang	B-NC	_	_	
2-94	received	O	_	_	
2-95	63	O	_	_	
2-96	votes	B-NC	Holonym	2-79	
2-97	to	O	_	_	
2-98	Munich	B-NC	_	_	
2-99	's	O	_	_	
2-100	25	O	_	_	
2-101	and	O	_	_	
2-102	7	O	_	_	
2-103	for	O	_	_	
2-104	Annecy	B-NC	_	_	

#id=3
#text=IOC President Jacques Rogge opened the sealed envelope and made the announcement in front of the entire IOC membership and the representatives from the three candidate cities . A loud cheer erupted from the Pyeongchang detachment , as they jumped up , hugged each other , and waved South Korean flags
3-1	IOC	B-NC	_	_	
3-2	President	B-NC	Hypernym	3-22	
3-3	Jacques	B-NC	_	_	
3-4	Rogge	B-NC	_	_	
3-5	opened	O	_	_	
3-6	the	O	_	_	
3-7	sealed	O	_	_	
3-8	envelope	B-NC	_	_	
3-9	and	O	_	_	
3-10	made	O	_	_	
3-11	the	O	_	_	
3-12	announcement	B-NC	_	_	
3-13	in	O	_	_	
3-14	front	B-NC	_	_	
3-15	of	O	_	_	
3-16	the	O	_	_	
3-17	entire	O	_	_	
3-18	IOC	B-NC	_	_	
3-19	membership	B-NC	_	_	
3-20	and	O	_	_	
3-21	the	O	_	_	
3-22	representatives	B-NC	Holonym	3-26	
3-23	from	O	_	_	
3-24	the	O	_	_	
3-25	three	O	_	_	
