 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Im Jahr eins nach Michael Schumacher war der Weltmeistertitel so hart umkämpft wie nie . Zahlreiche starke Fahrer stellten die Phalanx der Titelanwärter , allen voran der Weltmeister des letzten Jahres Fernando Alonso . Seine vermutlich stärksten Konkurrenten sah der Spanier in den beiden Ferrari-Piloten Kimi Räikkönen und Felipe Massa . Zum erweiterten Kreis derer , die sich Hoffnungen auf den Gesamtsieg machten , zählten unter anderem Giancarlo Fisichella , Nick Heidfeld sowie Lewis Hamilton . Zwischen den genannten Fahrern entflammte spätestens mit dem Aufleuchten der grünen Ampel der heiße Kampf um den Thron , der mit vollster Spannung erwartet werden durfte
1-1	Im	O	_	_	
1-2	Jahr	B-NC	_	_	
1-3	eins	O	_	_	
1-4	nach	O	_	_	
1-5	Michael	B-NC	_	_	
1-6	Schumacher	B-NC	_	_	
1-7	war	O	_	_	
1-8	der	O	_	_	
1-9	Weltmeistertitel	B-NC	_	_	
1-10	so	O	_	_	
1-11	hart	O	_	_	
1-12	umkämpft	O	_	_	
1-13	wie	O	_	_	
1-14	nie	O	_	_	
1-15	.	O	_	_	
1-16	Zahlreiche	O	_	_	
1-17	starke	O	_	_	
1-18	Fahrer	B-NC	_	_	
1-19	stellten	O	_	_	
1-20	die	O	_	_	
1-21	Phalanx	B-NC	_	_	
1-22	der	O	_	_	
1-23	Titelanwärter	B-NC	Co-Hyponym	1-18	
1-24	,	O	_	_	
1-25	allen	O	_	_	
1-26	voran	O	_	_	
1-27	der	O	_	_	
1-28	Weltmeister	B-NC	Co-Hyponym	1-18	
1-29	des	O	_	_	
1-30	letzten	O	_	_	
1-31	Jahres	B-NC	_	_	
1-32	Fernando	B-NC	_	_	
1-33	Alonso	B-NC	_	_	
1-34	.	O	_	_	
1-35	Seine	O	_	_	
1-36	vermutlich	O	_	_	
1-37	stärksten	O	_	_	
1-38	Konkurrenten	B-NC	Co-Hyponym	1-18	
1-39	sah	O	_	_	
1-40	der	O	_	_	
1-41	Spanier	B-NC	_	_	
1-42	in	O	_	_	
1-43	den	O	_	_	
1-44	beiden	O	_	_	
1-45	Ferrari-Piloten	B-NCpart	webanno.custom.SemanticRelation_	1-18	
1-46	Kimi	B-NC	_	_	
1-47	Räikkönen	B-NC	_	_	
1-48	und	O	_	_	
1-49	Felipe	B-NC	_	_	
1-50	Massa	B-NC	_	_	
1-51	.	O	_	_	
1-52	Zum	O	_	_	
1-53	erweiterten	O	_	_	
1-54	Kreis	B-NC	_	_	
1-55	derer	O	_	_	
1-56	,	O	_	_	
1-57	die	O	_	_	
1-58	sich	O	_	_	
1-59	Hoffnungen	B-NC	_	_	
1-60	auf	O	_	_	
1-61	den	O	_	_	
1-62	Gesamtsieg	B-NC	_	_	
1-63	machten	O	_	_	
1-64	,	O	_	_	
1-65	zählten	O	_	_	
1-66	unter	O	_	_	
1-67	anderem	O	_	_	
1-68	Giancarlo	B-NC	_	_	
1-69	Fisichella	B-NC	_	_	
1-70	,	O	_	_	
1-71	Nick	B-NC	_	_	
1-72	Heidfeld	B-NC	_	_	
1-73	sowie	O	_	_	
1-74	Lewis	B-NC	_	_	
1-75	Hamilton	B-NC	_	_	
1-76	.	O	_	_	
1-77	Zwischen	O	_	_	
1-78	den	O	_	_	
1-79	genannten	O	_	_	
1-80	Fahrern	B-NC	_	_	
1-81	entflammte	O	_	_	
1-82	spätestens	O	_	_	
1-83	mit	O	_	_	
1-84	dem	O	_	_	
1-85	Aufleuchten	B-NC	_	_	
1-86	der	O	_	_	
1-87	grünen	O	_	_	
1-88	Ampel	B-NC	_	_	
1-89	der	O	_	_	
1-90	heiße	O	_	_	
1-91	Kampf	B-NC	_	_	
1-92	um	O	_	_	
1-93	den	O	_	_	
1-94	Thron	B-NC	_	_	
1-95	,	O	_	_	
1-96	der	O	_	_	
1-97	mit	O	_	_	
1-98	vollster	O	_	_	
1-99	Spannung	B-NC	_	_	
1-100	erwartet	O	_	_	
1-101	werden	O	_	_	
1-102	durfte	O	_	_	

#id=2
#text=Um 4:00 Uhr Mitteleuropäischer Zeit war es dann soweit
2-1	Um	O	_	_	
2-2	4:00	O	_	_	
2-3	Uhr	B-NC	_	_	
2-4	Mitteleuropäischer	O	_	_	
2-5	Zeit	B-NC	_	_	
2-6	war	O	_	_	
2-7	es	O	_	_	
2-8	dann	O	_	_	
2-9	soweit	O	_	_	

