 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ferrari driver Kimi Räikkönen won the FIA Formula-1 2007 ING Australian Grand Prix on the Albert Park Circuit in Melbourne . More precisely he made a hat-trick of wins dating back to 2005 
1-1	Ferrari	B-NC	_	_	
1-2	driver	I-NC	_	_	
1-3	Kimi	I-NC	_	_	
1-4	Räikkönen	I-NC	_	_	
1-5	won	O	_	_	
1-6	the	O	_	_	
1-7	FIA	B-NC	_	_	
1-8	Formula-1	I-NC	_	_	
1-9	2007	O	_	_	
1-10	ING	B-NC	_	_	
1-11	Australian	O	_	_	
1-12	Grand	B-NC	_	_	
1-13	Prix	I-NC	_	_	
1-14	on	O	_	_	
1-15	the	O	_	_	
1-16	Albert	B-NC	_	_	
1-17	Park	I-NC	_	_	
1-18	Circuit	I-NC	_	_	
1-19	in	O	_	_	
1-20	Melbourne	B-NC	_	_	
1-21	.	O	_	_	
1-22	More	O	_	_	
1-23	precisely	O	_	_	
1-24	he	O	_	_	
1-25	made	O	_	_	
1-26	a	O	_	_	
1-27	hat-trick	B-NC	_	_	
1-28	of	O	_	_	
1-29	wins	B-NC	_	_	
1-30	dating	O	_	_	
1-31	back	O	_	_	
1-32	to	O	_	_	
1-33	2005	O	_	_	

#id=2
#text=Both McLaren-Mercedes drivers appear to be his major rivals for the new season as Fernando Alonso and Lewis Hamilton made a double finishing 2nd and 3rd consequently , with Hamilton on his debut race 
2-1	Both	O	_	_	
2-2	McLaren-Mercedes	B-NC	_	_	
2-3	drivers	I-NC|B-NC	_	_	
2-4	appear	O	_	_	
2-5	to	O	_	_	
2-6	be	O	_	_	
2-7	his	O	_	_	
2-8	major	O	_	_	
2-9	rivals	B-NC	Co-Hyponym	2-3	
2-10	for	O	_	_	
2-11	the	O	_	_	
2-12	new	O	_	_	
2-13	season	B-NC	_	_	
2-14	as	O	_	_	
2-15	Fernando	B-NC	_	_	
2-16	Alonso	I-NC	_	_	
2-17	and	O	_	_	
2-18	Lewis	B-NC	_	_	
2-19	Hamilton	I-NC	_	_	
2-20	made	O	_	_	
2-21	a	O	_	_	
2-22	double	O	_	_	
2-23	finishing	O	_	_	
2-24	2nd	O	_	_	
2-25	and	O	_	_	
2-26	3rd	O	_	_	
2-27	consequently	O	_	_	
2-28	,	O	_	_	
2-29	with	O	_	_	
2-30	Hamilton	B-NC	_	_	
2-31	on	O	_	_	
2-32	his	O	_	_	
2-33	debut	B-NC	_	_	
2-34	race	I-NC	_	_	

#id=3
#text=Nick Heidfeld , driving for BMW Sauber , had a promising start and stayed with Kimi for the first part of the race , but his early first pit-stop pushed him back to the 4th place , while his Polish teammate Robert Kubica retired due to technical problems towards the end of the race 
3-1	Nick	B-NC	_	_	
3-2	Heidfeld	I-NC	_	_	
3-3	,	O	_	_	
3-4	driving	O	_	_	
3-5	for	O	_	_	
3-6	BMW	B-NC	_	_	
3-7	Sauber	I-NC	_	_	
3-8	,	O	_	_	
3-9	had	O	_	_	
3-10	a	O	_	_	
3-11	promising	O	_	_	
3-12	start	B-NC	Holonym	3-23	
3-13	and	O	_	_	
3-14	stayed	O	_	_	
3-15	with	O	_	_	
3-16	Kimi	B-NC	_	_	
3-17	for	O	_	_	
3-18	the	O	_	_	
3-19	first	O	_	_	
3-20	part	B-NC	_	_	
3-21	of	O	_	_	
3-22	the	O	_	_	
3-23	race	B-NC	_	_	
3-24	,	O	_	_	
3-25	but	O	_	_	
3-26	his	O	_	_	
3-27	early	O	_	_	
3-28	first	O	_	_	
3-29	pit-stop	B-NC	Holonym	3-23	
3-30	pushed	O	_	_	
3-31	him	O	_	_	
3-32	back	O	_	_	
3-33	to	O	_	_	
3-34	the	O	_	_	
3-35	4th	O	_	_	
3-36	place	B-NC	_	_	
3-37	,	O	_	_	
3-38	while	O	_	_	
3-39	his	O	_	_	
3-40	Polish	O	_	_	
3-41	teammate	B-NC	_	_	
3-42	Robert	I-NC	_	_	
3-43	Kubica	I-NC	_	_	
3-44	retired	O	_	_	
3-45	due	O	_	_	
3-46	to	O	_	_	
3-47	technical	O	_	_	
3-48	problems	B-NC	_	_	
3-49	towards	O	_	_	
3-50	the	O	_	_	
3-51	end	B-NC	Holonym	3-54	
3-52	of	O	_	_	
3-53	the	O	_	_	
3-54	race	B-NC|B-NC	_	_	

#id=4
#text=Felipe Massa was penalized for the engine change after his previous engine failed during qualification , but showed a good pace and for the dying laps of the race pushed hard on Renault driver Giancarlo Fisicella . The few overtaking attempts were not successful enough and so Filipe saw the checkered flag behind Giancarlo on the six place 
4-1	Felipe	B-NC	_	_	
4-2	Massa	I-NC	_	_	
4-3	was	O	_	_	
4-4	penalized	O	_	_	
4-5	for	O	_	_	
4-6	the	O	_	_	
4-7	engine	B-NC	_	_	
4-8	change	I-NC	_	_	
4-9	after	O	_	_	
4-10	his	O	_	_	
4-11	previous	O	_	_	
4-12	engine	B-NC	_	_	
4-13	failed	O	_	_	
4-14	during	O	_	_	
4-15	qualification	B-NC	Hypernym	4-29	
4-16	,	O	_	_	
4-17	but	O	_	_	
4-18	showed	O	_	_	
4-19	a	O	_	_	
4-20	good	O	_	_	
4-21	pace	B-NC	_	_	
4-22	and	O	_	_	
4-23	for	O	_	_	
4-24	the	O	_	_	
4-25	dying	O	_	_	
4-26	laps	B-NC	Holonym	4-29	
4-27	of	O	_	_	
4-28	the	O	_	_	
4-29	race	B-NC	_	_	
4-30	pushed	O	_	_	
4-31	hard	O	_	_	
4-32	on	O	_	_	
4-33	Renault	B-NC	_	_	
4-34	driver	I-NC	_	_	
4-35	Giancarlo	I-NC	_	_	
4-36	Fisicella	I-NC	_	_	
4-37	.	O	_	_	
4-38	The	O	_	_	
4-39	few	O	_	_	
4-40	overtaking	O	_	_	
4-41	attempts	B-NC	_	_	
4-42	were	O	_	_	
4-43	not	O	_	_	
4-44	successful	O	_	_	
4-45	enough	O	_	_	
4-46	and	O	_	_	
4-47	so	O	_	_	
4-48	Filipe	B-NC	_	_	
4-49	saw	O	_	_	
4-50	the	O	_	_	
4-51	checkered	O	_	_	
4-52	flag	B-NC	_	_	
4-53	behind	O	_	_	
4-54	Giancarlo	B-NC	_	_	
4-55	on	O	_	_	
4-56	the	O	_	_	
4-57	six	O	_	_	
4-58	place	B-NC	_	_	

#id=5
#text=7th , 8th and 9th places fell to Nico Rosberg driving for Williams with Toyota engines and both Toyota drivers , Ralf Schumacher and Jarno Trulli 
5-1	7th	O	_	_	
5-2	,	O	_	_	
5-3	8th	O	_	_	
5-4	and	O	_	_	
5-5	9th	O	_	_	
5-6	places	B-NC	_	_	
5-7	fell	O	_	_	
5-8	to	O	_	_	
5-9	Nico	B-NC	_	_	
5-10	Rosberg	I-NC	_	_	
5-11	driving	I-NC	_	_	
5-12	for	O	_	_	
5-13	Williams	B-NC	_	_	
5-14	with	O	_	_	
5-15	Toyota	B-NC	_	_	
5-16	engines	I-NC	_	_	
5-17	and	O	_	_	
5-18	both	O	_	_	
5-19	Toyota	B-NC	_	_	
5-20	drivers	I-NC	_	_	
5-21	,	O	_	_	
5-22	Ralf	B-NC	_	_	
5-23	Schumacher	I-NC	_	_	
5-24	and	O	_	_	
5-25	Jarno	B-NC	_	_	
5-26	Trulli	I-NC	_	_	

#id=6
#text=The top 10 was closed by Renault rookie Heikki Kovalainen who made numerous driving errors in the closing stages of the race 
6-1	The	O	_	_	
6-2	top	O	_	_	
6-3	10	O	_	_	
6-4	was	O	_	_	
6-5	closed	O	_	_	
6-6	by	O	_	_	
6-7	Renault	B-NC	_	_	
6-8	rookie	I-NC	_	_	
6-9	Heikki	I-NC	_	_	
6-10	Kovalainen	I-NC	_	_	
6-11	who	O	_	_	
6-12	made	O	_	_	
6-13	numerous	O	_	_	
6-14	driving	O	_	_	
6-15	errors	B-NC	_	_	
6-16	in	O	_	_	
6-17	the	O	_	_	
6-18	closing	O	_	_	
6-19	stages	B-NC	_	_	
6-20	of	O	_	_	
6-21	the	O	_	_	
6-22	race	B-NC	_	_	

#id=7
#text=The 2007 Formula-1 season from now appears to be a highly competitive season after Michael Schumacher retired from the sport at the end of the 2006 season 
7-1	The	O	_	_	
7-2	2007	O	_	_	
7-3	Formula-1	O	_	_	
7-4	season	B-NC	_	_	
7-5	from	O	_	_	
7-6	now	O	_	_	
7-7	appears	O	_	_	
7-8	to	O	_	_	
7-9	be	O	_	_	
7-10	a	O	_	_	
7-11	highly	O	_	_	
7-12	competitive	O	_	_	
7-13	season	B-NC	_	_	
7-14	after	O	_	_	
7-15	Michael	B-NC	_	_	
7-16	Schumacher	I-NC	_	_	
7-17	retired	O	_	_	
7-18	from	O	_	_	
7-19	the	O	_	_	
7-20	sport	B-NC	_	_	
7-21	at	O	_	_	
7-22	the	O	_	_	
7-23	end	B-NC	_	_	
7-24	of	O	_	_	
7-25	the	O	_	_	
7-26	2006	O	_	_	
7-27	season	B-NC	_	_	
