 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=В прошедший уик-энд Кими Райконнен , сменивший Михаэля Шумахера в команде «Феррари» , стартовав с поула , выиграл Гран-при Австралии 2007 года на трассе Альберт-парка в Мельбурне . Показав также лучшее время на круге , Кими показал первый хет-трик с 2005 года
1-1	В	O	_	_	
1-2	прошедший	O	_	_	
1-3	уик-энд	B-NC	_	_	
1-4	Кими	B-NC	_	_	
1-5	Райконнен	B-NC	_	_	
1-6	,	O	_	_	
1-7	сменивший	O	_	_	
1-8	Михаэля	B-NC	_	_	
1-9	Шумахера	B-NC	_	_	
1-10	в	O	_	_	
1-11	команде	B-NC	_	_	
1-12	«Феррари»	O	_	_	
1-13	,	O	_	_	
1-14	стартовав	O	_	_	
1-15	с	O	_	_	
1-16	поула	B-NC	_	_	
1-17	,	O	_	_	
1-18	выиграл	O	_	_	
1-19	Гран-при	O	_	_	
1-20	Австралии	B-NC	_	_	
1-21	2007	O	_	_	
1-22	года	B-NC	_	_	
1-23	на	O	_	_	
1-24	трассе	B-NC	_	_	
1-25	Альберт-парка	B-NC	_	_	
1-26	в	O	_	_	
1-27	Мельбурне	B-NC	_	_	
1-28	.	O	_	_	
1-29	Показав	O	_	_	
1-30	также	O	_	_	
1-31	лучшее	O	_	_	
1-32	время	B-NC	_	_	
1-33	на	O	_	_	
1-34	круге	B-NC	_	_	
1-35	,	O	_	_	
1-36	Кими	B-NC	_	_	
1-37	показал	O	_	_	
1-38	первый	O	_	_	
1-39	хет-трик	B-NC	_	_	
1-40	с	O	_	_	
1-41	2005	O	_	_	
1-42	года	B-NC	_	_	

#id=2
#text=Оба пилота «МакЛарен-Мерседес» , двухкратный чемпион мира Фернандо Алонсо и дебютант чемпионата Льюис Хэмильтон сделали дубль , финишировав на 2-ом и 3-ьем местах и доказав , что команда находится в отличной форме
2-1	Оба	O	_	_	
2-2	пилота	B-NC	Holonym	2-28	
2-3	«МакЛарен-Мерседес»	O	_	_	
2-4	,	O	_	_	
2-5	двухкратный	O	_	_	
2-6	чемпион	B-NC	_	_	
2-7	мира	B-NC	_	_	
2-8	Фернандо	B-NC	_	_	
2-9	Алонсо	B-NC	_	_	
2-10	и	O	_	_	
2-11	дебютант	B-NC	Co-Hyponym	2-6	
2-12	чемпионата	B-NC	_	_	
2-13	Льюис	B-NC	_	_	
2-14	Хэмильтон	B-NC	_	_	
2-15	сделали	O	_	_	
2-16	дубль	B-NC	_	_	
2-17	,	O	_	_	
2-18	финишировав	O	_	_	
2-19	на	O	_	_	
2-20	2-ом	O	_	_	
2-21	и	O	_	_	
2-22	3-ьем	O	_	_	
2-23	местах	B-NC	_	_	
2-24	и	O	_	_	
2-25	доказав	O	_	_	
2-26	,	O	_	_	
2-27	что	O	_	_	
2-28	команда	B-NC	_	_	
2-29	находится	O	_	_	
2-30	в	O	_	_	
2-31	отличной	O	_	_	
2-32	форме	B-NC	_	_	

#id=3
#text=Ник Хайфельд , пилот «БМВ-Заубер» , отлично стартовал , выйдя на второе место , но по ходу гонки уступил ( из-за раннего пит-стопа ) и приехал на финиш лишь четвёртым . Его напарник , поляк Роберт Кубица и вовсе выбыл из гонки ищ-за технических проблем
3-1	Ник	B-NC	_	_	
3-2	Хайфельд	B-NC	_	_	
3-3	,	O	_	_	
3-4	пилот	B-NC	_	_	
3-5	«БМВ-Заубер»	O	_	_	
