 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Miami ( Vereinigte Staaten ) , 01.02.2012 – Mitt Romney hat sich bei den Vorwahlen im bevölkerungsreichen US-Bundesstaat Florida gegen Newt Gingrich durchgesetzt und 50 weitere Delegierte für den Parteitag der Republikaner Ende August hinter sich gebracht . 1.144 Delegiertenstimmen sind notwendig , um die republikanische Kandidatur gegen den demokratischen Amtsinhaber Barack Obama zu gewinnen . Romney erhielt 46,4 Prozent der abgegebenen Stimmen , Gingrich 31,9 Prozent . Auf den dritten Platz in der Gunst der republikanischen Wähler gelangte mit 13,4 Prozent Rick Santorum ; Ron Paul wählten 7,0 Prozent
1-1	Miami	B-NC	_	_	
1-2	(	O	_	_	
1-3	Vereinigte	O	_	_	
1-4	Staaten	B-NC	_	_	
1-5	)	O	_	_	
1-6	,	O	_	_	
1-7	01.02.2012	O	_	_	
1-8	–	B-NC	_	_	
1-9	Mitt	B-NC	_	_	
1-10	Romney	B-NC	_	_	
1-11	hat	O	_	_	
1-12	sich	O	_	_	
1-13	bei	O	_	_	
1-14	den	O	_	_	
1-15	Vorwahlen	B-NC	_	_	
1-16	im	O	_	_	
1-17	bevölkerungsreichen	O	_	_	
1-18	US-Bundesstaat	B-NC	_	_	
1-19	Florida	B-NC	_	_	
1-20	gegen	O	_	_	
1-21	Newt	O	_	_	
1-22	Gingrich	B-NC	_	_	
1-23	durchgesetzt	O	_	_	
1-24	und	O	_	_	
1-25	50	O	_	_	
1-26	weitere	O	_	_	
1-27	Delegierte	B-NC	Holonym	1-30	
1-28	für	O	_	_	
1-29	den	O	_	_	
1-30	Parteitag	B-NC	_	_	
1-31	der	O	_	_	
1-32	Republikaner	B-NC	Co-Hyponym	1-27	
1-33	Ende	B-NC	_	_	
1-34	August	B-NC	_	_	
1-35	hinter	O	_	_	
1-36	sich	O	_	_	
1-37	gebracht	O	_	_	
1-38	.	O	_	_	
1-39	1.144	O	_	_	
1-40	Delegiertenstimmen	B-NC	Hypernym	1-63	
1-41	sind	O	_	_	
1-42	notwendig	O	_	_	
1-43	,	O	_	_	
1-44	um	O	_	_	
1-45	die	O	_	_	
1-46	republikanische	O	_	_	
1-47	Kandidatur	B-NC	Holonym	1-15	
1-48	gegen	O	_	_	
1-49	den	O	_	_	
1-50	demokratischen	O	_	_	
1-51	Amtsinhaber	B-NC	Co-Hyponym|Holonym	1-27|1-30	
1-52	Barack	B-NC	_	_	
1-53	Obama	B-NC	_	_	
1-54	zu	O	_	_	
1-55	gewinnen	O	_	_	
1-56	.	O	_	_	
1-57	Romney	B-NC	_	_	
1-58	erhielt	O	_	_	
1-59	46,4	O	_	_	
1-60	Prozent	B-NC	_	_	
1-61	der	O	_	_	
1-62	abgegebenen	O	_	_	
1-63	Stimmen	B-NC	Holonym	1-15	
1-64	,	O	_	_	
1-65	Gingrich	B-NC	_	_	
1-66	31,9	O	_	_	
1-67	Prozent	B-NC	_	_	
1-68	.	O	_	_	
1-69	Auf	O	_	_	
1-70	den	O	_	_	
1-71	dritten	O	_	_	
1-72	Platz	B-NC	_	_	
1-73	in	O	_	_	
1-74	der	O	_	_	
1-75	Gunst	B-NC	_	_	
1-76	der	O	_	_	
1-77	republikanischen	O	_	_	
1-78	Wähler	B-NC	Holonym|Co-Hyponym	1-15|1-27	
1-79	gelangte	O	_	_	
1-80	mit	O	_	_	
1-81	13,4	O	_	_	
1-82	Prozent	B-NC	_	_	
1-83	Rick	B-NC	_	_	
1-84	Santorum	B-NC	_	_	
1-85	;	O	_	_	
1-86	Ron	B-NC	_	_	
1-87	Paul	B-NC	_	_	
1-88	wählten	O	_	_	
1-89	7,0	O	_	_	
1-90	Prozent	B-NC	_	_	

#id=2
#text=Die nächsten Vorwahlen finden am 4 . Februar in Nevada und am 7 . Februar in Colorado und Minnesota statt
2-1	Die	O	_	_	
2-2	nächsten	O	_	_	
2-3	Vorwahlen	B-NC	_	_	
2-4	finden	O	_	_	
2-5	am	O	_	_	
2-6	4	O	_	_	
2-7	.	O	_	_	
2-8	Februar	B-NC	_	_	
2-9	in	O	_	_	
2-10	Nevada	B-NC	_	_	
2-11	und	O	_	_	
2-12	am	O	_	_	
2-13	7	O	_	_	
2-14	.	O	_	_	
2-15	Februar	B-NC	_	_	
2-16	in	O	_	_	
2-17	Colorado	B-NC	_	_	
2-18	und	O	_	_	
2-19	Minnesota	B-NC	_	_	
2-20	statt	O	_	_	

