 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Former Massachusetts governor Mitt Romney won the Florida Republican Party presidential primary election on Tuesday with over 46 percent of the vote . Former U. S. Speaker of the House Newt Gingrich came in second with 32 percent . As a winner-takes-all state , Florida awarded all fifty of its delegates to Romney , pushing him ahead as the front-runner for the Republican Party nomination
1-1	Former	O	_	_	
1-2	Massachusetts	B-NC	_	_	
1-3	governor	B-NC	_	_	
1-4	Mitt	B-NC	_	_	
1-5	Romney	B-NC	_	_	
1-6	won	O	_	_	
1-7	the	O	_	_	
1-8	Florida	B-NC	_	_	
1-9	Republican	B-NC	_	_	
1-10	Party	B-NC	_	_	
1-11	presidential	O	_	_	
1-12	primary	O	_	_	
1-13	election	B-NC	_	_	
1-14	on	O	_	_	
1-15	Tuesday	B-NC	_	_	
1-16	with	O	_	_	
1-17	over	O	_	_	
1-18	46	O	_	_	
1-19	percent	B-NC	_	_	
1-20	of	O	_	_	
1-21	the	O	_	_	
1-22	vote	B-NC	Holonym	1-13	
1-23	.	O	_	_	
1-24	Former	O	_	_	
1-25	U.	B-NC	_	_	
1-26	S.	B-NC	_	_	
1-27	Speaker	B-NC	_	_	
1-28	of	O	_	_	
1-29	the	O	_	_	
1-30	House	B-NC	_	_	
1-31	Newt	B-NC	_	_	
1-32	Gingrich	B-NC	_	_	
1-33	came	O	_	_	
1-34	in	O	_	_	
1-35	second	O	_	_	
1-36	with	O	_	_	
1-37	32	O	_	_	
1-38	percent	B-NC	_	_	
1-39	.	O	_	_	
1-40	As	O	_	_	
1-41	a	O	_	_	
1-42	winner-takes-all	B-NC	_	_	
1-43	state	B-NC	_	_	
1-44	,	O	_	_	
1-45	Florida	B-NC	_	_	
1-46	awarded	O	_	_	
1-47	all	O	_	_	
1-48	fifty	O	_	_	
1-49	of	O	_	_	
1-50	its	O	_	_	
1-51	delegates	B-NC	_	_	
1-52	to	O	_	_	
1-53	Romney	B-NC	_	_	
1-54	,	O	_	_	
1-55	pushing	O	_	_	
1-56	him	O	_	_	
1-57	ahead	O	_	_	
1-58	as	O	_	_	
1-59	the	O	_	_	
1-60	front-runner	B-NC	_	_	
1-61	for	O	_	_	
1-62	the	O	_	_	
1-63	Republican	O	_	_	
1-64	Party	B-NC	_	_	
1-65	nomination	B-NC	_	_	

#id=2
#text=The win follows what The Wall Street Journal described as " one of the most acrimonious weeks in recent presidential campaign history . " Gingrich briefly led the polls in Florida after his victory in the South Carolina primary on January 21 , and attributed his fall to negative advertisements from the Romney campaign . Romney outspent Gingrich five-to-one on campaign advertisements in the state
2-1	The	O	_	_	
2-2	win	B-NC	_	_	
2-3	follows	O	_	_	
2-4	what	O	_	_	
2-5	The	O	_	_	
2-6	Wall	B-NC	_	_	
2-7	Street	B-NC	_	_	
2-8	Journal	B-NC	_	_	
2-9	described	O	_	_	
2-10	as	O	_	_	
2-11	"	O	_	_	
2-12	one	O	_	_	
2-13	of	O	_	_	
2-14	the	O	_	_	
2-15	most	O	_	_	
2-16	acrimonious	O	_	_	
2-17	weeks	B-NC	_	_	
2-18	in	O	_	_	
2-19	recent	O	_	_	
2-20	presidential	B-NC	_	_	
2-21	campaign	I-NC|B-NC	_	_	
2-22	history	I-NC|B-NC	_	_	
2-23	.	O	_	_	
2-24	"	O	_	_	
2-25	Gingrich	B-NC	_	_	
2-26	briefly	O	_	_	
2-27	led	O	_	_	
2-28	the	O	_	_	
2-29	polls	B-NC	_	_	
2-30	in	O	_	_	
2-31	Florida	B-NC	_	_	
2-32	after	O	_	_	
2-33	his	O	_	_	
2-34	victory	B-NC	Synonym	2-2	
2-35	in	O	_	_	
2-36	the	O	_	_	
2-37	South	B-NC	_	_	
2-38	Carolina	B-NC	_	_	
2-39	primary	B-NC	_	_	
2-40	on	O	_	_	
2-41	January	B-NC	_	_	
2-42	21	O	_	_	
2-43	,	O	_	_	
2-44	and	O	_	_	
2-45	attributed	O	_	_	
2-46	his	O	_	_	
2-47	fall	B-NC	_	_	
2-48	to	O	_	_	
2-49	negative	O	_	_	
2-50	advertisements	B-NC	Holonym	2-54	
2-51	from	O	_	_	
2-52	the	O	_	_	
2-53	Romney	B-NC	_	_	
2-54	campaign	B-NC	Holonym	2-20	
2-55	.	O	_	_	
2-56	Romney	B-NC	_	_	
2-57	outspent	O	_	_	
2-58	Gingrich	B-NC	_	_	
2-59	five-to-one	O	_	_	
2-60	on	O	_	_	
2-61	campaign	B-NC|B-NC	Hypernym	2-50	
2-62	advertisements	I-NC|B-NC	_	_	
2-63	in	O	_	_	
2-64	the	O	_	_	
2-65	state	B-NC	_	_	

#id=3
#text=According to exit polls , Romney won the female vote by a large margin over Gingrich . He also edged him among the Tea Party and conservative voters , and tied him among evangelicals
3-1	According	O	_	_	
3-2	to	O	_	_	
3-3	exit	O	_	_	
3-4	polls	B-NC	Holonym	3-10	
3-5	,	O	_	_	
3-6	Romney	B-NC	_	_	
3-7	won	O	_	_	
3-8	the	O	_	_	
3-9	female	O	_	_	
3-10	vote	B-NC	_	_	
3-11	by	O	_	_	
3-12	a	O	_	_	
3-13	large	O	_	_	
3-14	margin	B-NC	_	_	
3-15	over	O	_	_	
3-16	Gingrich	B-NC	_	_	
3-17	.	O	_	_	
3-18	He	O	_	_	
3-19	also	O	_	_	
3-20	edged	O	_	_	
3-21	him	O	_	_	
3-22	among	O	_	_	
3-23	the	O	_	_	
3-24	Tea	B-NC	_	_	
3-25	Party	B-NC	_	_	
3-26	and	O	_	_	
3-27	conservative	O	_	_	
3-28	voters	B-NC	Holonym	3-10	
3-29	,	O	_	_	
3-30	and	O	_	_	
3-31	tied	O	_	_	
3-32	him	O	_	_	
3-33	among	O	_	_	
3-34	evangelicals	B-NC	_	_	

#id=4
#text=In his victory speech , Romney argued , " A competitive primary does not divide us . It prepares us . And we will win .
4-1	In	O	_	_	
4-2	his	O	_	_	
4-3	victory	B-NC	_	_	
4-4	speech	B-NC	_	_	
4-5	,	O	_	_	
4-6	Romney	B-NC	_	_	
4-7	argued	O	_	_	
4-8	,	O	_	_	
