 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Избиратели-республиканцы в штате Флорида приняли участие в голосовании , которое может стать переломным моментом в борьбе за президентскую номинацию
1-1	Избиратели-республиканцы	B-NC	_	_	
1-2	в	O	_	_	
1-3	штате	B-NC	_	_	
1-4	Флорида	B-NC	_	_	
1-5	приняли	O	_	_	
1-6	участие	B-NC	_	_	
1-7	в	O	_	_	
1-8	голосовании	B-NC	_	_	
1-9	,	O	_	_	
1-10	которое	O	_	_	
1-11	может	O	_	_	
1-12	стать	O	_	_	
1-13	переломным	O	_	_	
1-14	моментом	B-NC	_	_	
1-15	в	O	_	_	
1-16	борьбе	B-NC	_	_	
1-17	за	O	_	_	
1-18	президентскую	O	_	_	
1-19	номинацию	B-NC	_	_	

#id=2
#text=Более 600 тысяч жителей Флориды заранее посетили избирательные участки , воспользовавшись возможностью досрочного голосования . По предварительным данным , победу одержал экс-губернатор Массачусетса Митт Ромни ( 47 процентов ) , опередивший своего ближайшего соперника — бывшего спикера Палаты представителей Ньюта Гингрича ( 32 процента )
2-1	Более	O	_	_	
2-2	600	O	_	_	
2-3	тысяч	B-NC	_	_	
2-4	жителей	B-NC	Holonym	2-14	
2-5	Флориды	B-NC	_	_	
2-6	заранее	O	_	_	
2-7	посетили	O	_	_	
2-8	избирательные	O	_	_	
2-9	участки	B-NC	_	_	
2-10	,	O	_	_	
2-11	воспользовавшись	O	_	_	
2-12	возможностью	B-NC	_	_	
2-13	досрочного	O	_	_	
2-14	голосования	B-NC	_	_	
2-15	.	O	_	_	
2-16	По	O	_	_	
2-17	предварительным	O	_	_	
2-18	данным	B-NC	_	_	
2-19	,	O	_	_	
2-20	победу	B-NC	_	_	
2-21	одержал	O	_	_	
2-22	экс-губернатор	B-NC	_	_	
2-23	Массачусетса	B-NC	_	_	
2-24	Митт	B-NC	_	_	
2-25	Ромни	B-NC	_	_	
2-26	(	O	_	_	
2-27	47	O	_	_	
2-28	процентов	B-NC	_	_	
2-29	)	O	_	_	
2-30	,	O	_	_	
2-31	опередивший	O	_	_	
2-32	своего	O	_	_	
2-33	ближайшего	O	_	_	
2-34	соперника	B-NC	_	_	
2-35	—	O	_	_	
2-36	бывшего	O	_	_	
2-37	спикера	B-NC	Co-Hyponym	2-22	
2-38	Палаты	B-NC	_	_	
2-39	представителей	B-NC	_	_	
2-40	Ньюта	B-NC	_	_	
