 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Nathanael erwachte wie aus schwerem , fürchterlichem Traum , er schlug die Augen auf und fühlte wie ein unbeschreibliches Wonnegefühl mit sanfter himmlischer Wärme ihn durchströmte . Er lag in seinem Zimmer in des Vaters Hause auf dem Bette , Clara hatte sich über ihn hingebeugt und unfern standen die Mutter und Lothar . »Endlich , endlich , o mein herzlieber Nathanael – nun bist du genesen von schwerer Krankheit – nun bist du wieder mein ! « – So sprach Clara recht aus tiefer Seele und faßte den Nathanael in ihre Arme . Aber dem quollen vor lauter Wehmut und Entzücken die hellen glühenden Tränen aus den Augen und er stöhnte tief auf . »Meine – meine Clara ! « – Siegmund , der getreulich ausgeharrt bei dem Freunde in großer Not , trat herein . Nathanael reichte ihm die Hand : »Du treuer Bruder hast mich doch nicht verlassen . « – Jede Spur des Wahnsinns war verschwunden , bald erkräftigte sich Nathanael in der sorglichen Pflege der Mutter , der Geliebten , der Freunde . Das Glück war unterdessen in das Haus eingekehrt ; denn ein alter karger Oheim , von dem niemand etwas gehofft , war gestorben und hatte der Mutter nebst einem nicht unbedeutenden Vermögen ein Gütchen in einer angenehmen Gegend unfern der Stadt hinterlassen . Dort wollten sie hinziehen , die Mutter , Nathanael mit seiner Clara , die er nun zu heiraten gedachte , und Lothar . Nathanael war milder , kindlicher geworden , als er je gewesen und erkannte nun erst recht Claras himmlisch reines , herrliches Gemüt . Niemand erinnerte ihn auch nur durch den leisesten Anklang an die Vergangenheit . Nur , als Siegmund von ihm schied , sprach Nathanael : »Bei Gott Bruder ! ich war auf schlimmen Wege , aber zu rechter Zeit leitete mich ein Engel auf den lichten Pfad ! – Ach es war ja Clara ! – « Siegmund ließ ihn nicht weiter reden , aus Besorgnis , tief verletzende Erinnerungen möchten ihm zu hell und flammend aufgehen . – Es war an der Zeit , daß die vier glücklichen Menschen nach dem Gütchen ziehen wollten . Zur Mittagsstunde gingen sie durch die Straßen der Stadt . Sie hatten manches eingekauft , der hohe Ratsturm warf seinen Riesenschatten über den Markt . »Ei ! « sagte Clara : »steigen wir doch noch einmal herauf und schauen in das ferne Gebirge hinein ! « Gesagt , getan ! Beide , Nathanael und Clara , stiegen herauf , die Mutter ging mit der Dienstmagd nach Hause , und Lothar , nicht geneigt , die vielen Stufen zu erklettern , wollte unten warten . Da standen die beiden Liebenden Arm in Arm auf der höchsten Galerie des Turmes und schauten hinein in die duftigen Waldungen , hinter denen das blaue Gebirge , wie eine Riesenstadt , sich erhob
1-1	Nathanael	B-NC	_	_	
1-2	erwachte	O	_	_	
1-3	wie	O	_	_	
1-4	aus	O	_	_	
1-5	schwerem	O	_	_	
1-6	,	O	_	_	
1-7	fürchterlichem	O	_	_	
1-8	Traum	B-NC	_	_	
1-9	,	O	_	_	
1-10	er	O	_	_	
1-11	schlug	O	_	_	
1-12	die	O	_	_	
1-13	Augen	B-NC	_	_	
1-14	auf	O	_	_	
1-15	und	O	_	_	
1-16	fühlte	O	_	_	
1-17	wie	O	_	_	
1-18	ein	O	_	_	
1-19	unbeschreibliches	O	_	_	
1-20	Wonnegefühl	B-NC	_	_	
1-21	mit	O	_	_	
1-22	sanfter	O	_	_	
1-23	himmlischer	O	_	_	
1-24	Wärme	B-NC	_	_	
1-25	ihn	O	_	_	
1-26	durchströmte	O	_	_	
1-27	.	O	_	_	
1-28	Er	O	_	_	
1-29	lag	O	_	_	
1-30	in	O	_	_	
1-31	seinem	O	_	_	
1-32	Zimmer	B-NC	Holonym	1-36	
1-33	in	O	_	_	
1-34	des	O	_	_	
1-35	Vaters	B-NC	_	_	
1-36	Hause	B-NC	_	_	
1-37	auf	O	_	_	
1-38	dem	O	_	_	
1-39	Bette	B-NC	_	_	
1-40	,	O	_	_	
1-41	Clara	B-NC	_	_	
1-42	hatte	O	_	_	
1-43	sich	O	_	_	
1-44	über	O	_	_	
1-45	ihn	O	_	_	
1-46	hingebeugt	O	_	_	
1-47	und	O	_	_	
1-48	unfern	O	_	_	
1-49	standen	O	_	_	
1-50	die	O	_	_	
1-51	Mutter	B-NC	Co-Hyponym	1-35	
1-52	und	O	_	_	
1-53	Lothar	B-NC	_	_	
1-54	.	O	_	_	
1-55	»Endlich	O	_	_	
1-56	,	O	_	_	
1-57	endlich	O	_	_	
1-58	,	O	_	_	
1-59	o	O	_	_	
1-60	mein	O	_	_	
1-61	herzlieber	B-NC	_	_	
1-62	Nathanael	B-NC	_	_	
1-63	–	B-NC	_	_	
1-64	nun	O	_	_	
1-65	bist	O	_	_	
1-66	du	O	_	_	
1-67	genesen	O	_	_	
1-68	von	O	_	_	
1-69	schwerer	O	_	_	
1-70	Krankheit	B-NC	_	_	
1-71	–	O	_	_	
1-72	nun	O	_	_	
1-73	bist	O	_	_	
1-74	du	O	_	_	
1-75	wieder	O	_	_	
1-76	mein	O	_	_	
1-77	!	O	_	_	
1-78	«	O	_	_	
1-79	–	B-NC	_	_	
1-80	So	O	_	_	
1-81	sprach	O	_	_	
1-82	Clara	B-NC	_	_	
1-83	recht	O	_	_	
1-84	aus	O	_	_	
1-85	tiefer	O	_	_	
1-86	Seele	B-NC	_	_	
1-87	und	O	_	_	
1-88	faßte	O	_	_	
1-89	den	O	_	_	
1-90	Nathanael	B-NC	_	_	
1-91	in	O	_	_	
1-92	ihre	O	_	_	
1-93	Arme	B-NC	_	_	
1-94	.	O	_	_	
1-95	Aber	O	_	_	
1-96	dem	O	_	_	
1-97	quollen	O	_	_	
1-98	vor	O	_	_	
1-99	lauter	O	_	_	
1-100	Wehmut	B-NC	Co-Hyponym	1-20	
1-101	und	O	_	_	
1-102	Entzücken	B-NC	Co-Hyponym	1-20	
1-103	die	O	_	_	
1-104	hellen	O	_	_	
1-105	glühenden	O	_	_	
1-106	Tränen	B-NC	_	_	
1-107	aus	O	_	_	
1-108	den	O	_	_	
1-109	Augen	B-NC	Co-Hyponym	1-93	
1-110	und	O	_	_	
1-111	er	O	_	_	
1-112	stöhnte	O	_	_	
1-113	tief	O	_	_	
1-114	auf	O	_	_	
1-115	.	O	_	_	
1-116	»Meine	O	_	_	
1-117	–	B-NC	_	_	
1-118	meine	O	_	_	
1-119	Clara	B-NC	_	_	
1-120	!	O	_	_	
1-121	«	O	_	_	
1-122	–	B-NC	_	_	
1-123	Siegmund	B-NC	_	_	
1-124	,	O	_	_	
1-125	der	O	_	_	
1-126	getreulich	O	_	_	
1-127	ausgeharrt	O	_	_	
1-128	bei	O	_	_	
1-129	dem	O	_	_	
1-130	Freunde	B-NC	_	_	
1-131	in	O	_	_	
1-132	großer	O	_	_	
1-133	Not	B-NC	_	_	
1-134	,	O	_	_	
1-135	trat	O	_	_	
1-136	herein	O	_	_	
1-137	.	O	_	_	
1-138	Nathanael	B-NC	_	_	
1-139	reichte	O	_	_	
1-140	ihm	O	_	_	
1-141	die	O	_	_	
1-142	Hand	B-NC	Co-Hyponym	1-93	
1-143	:	O	_	_	
1-144	»Du	B-NC	_	_	
1-145	treuer	O	_	_	
1-146	Bruder	B-NC	Co-Hyponym	1-35	
1-147	hast	O	_	_	
1-148	mich	O	_	_	
1-149	doch	O	_	_	
1-150	nicht	O	_	_	
1-151	verlassen	O	_	_	
1-152	.	O	_	_	
1-153	«	O	_	_	
1-154	–	B-NC	_	_	
1-155	Jede	O	_	_	
1-156	Spur	B-NC	_	_	
1-157	des	O	_	_	
1-158	Wahnsinns	B-NC	_	_	
1-159	war	O	_	_	
1-160	verschwunden	O	_	_	
1-161	,	O	_	_	
1-162	bald	O	_	_	
1-163	erkräftigte	O	_	_	
1-164	sich	O	_	_	
1-165	Nathanael	B-NC	_	_	
1-166	in	O	_	_	
1-167	der	O	_	_	
1-168	sorglichen	O	_	_	
1-169	Pflege	B-NC	_	_	
1-170	der	O	_	_	
1-171	Mutter	B-NC	_	_	
1-172	,	O	_	_	
1-173	der	O	_	_	
1-174	Geliebten	B-NC	_	_	
1-175	,	O	_	_	
1-176	der	O	_	_	
1-177	Freunde	B-NC	Co-Hyponym	1-174	
1-178	.	O	_	_	
1-179	Das	O	_	_	
1-180	Glück	B-NC	_	_	
1-181	war	O	_	_	
1-182	unterdessen	O	_	_	
1-183	in	O	_	_	
1-184	das	O	_	_	
1-185	Haus	B-NC	Holonym	1-219	
1-186	eingekehrt	O	_	_	
1-187	;	O	_	_	
1-188	denn	O	_	_	
1-189	ein	O	_	_	
1-190	alter	O	_	_	
1-191	karger	O	_	_	
1-192	Oheim	B-NC	_	_	
1-193	,	O	_	_	
1-194	von	O	_	_	
1-195	dem	O	_	_	
1-196	niemand	O	_	_	
1-197	etwas	O	_	_	
1-198	gehofft	O	_	_	
1-199	,	O	_	_	
1-200	war	O	_	_	
1-201	gestorben	O	_	_	
1-202	und	O	_	_	
1-203	hatte	O	_	_	
1-204	der	O	_	_	
1-205	Mutter	B-NC	Co-Hyponym	1-192	
1-206	nebst	O	_	_	
1-207	einem	O	_	_	
1-208	nicht	O	_	_	
1-209	unbedeutenden	O	_	_	
1-210	Vermögen	B-NC	_	_	
1-211	ein	O	_	_	
1-212	Gütchen	B-NC	Hypernym	1-185	
1-213	in	O	_	_	
1-214	einer	O	_	_	
1-215	angenehmen	O	_	_	
1-216	Gegend	B-NC	Holonym	1-219	
1-217	unfern	O	_	_	
1-218	der	O	_	_	
1-219	Stadt	B-NC	_	_	
1-220	hinterlassen	O	_	_	
1-221	.	O	_	_	
1-222	Dort	O	_	_	
1-223	wollten	O	_	_	
1-224	sie	O	_	_	
1-225	hinziehen	O	_	_	
1-226	,	O	_	_	
1-227	die	O	_	_	
1-228	Mutter	B-NC	_	_	
1-229	,	O	_	_	
1-230	Nathanael	B-NC	_	_	
1-231	mit	O	_	_	
1-232	seiner	O	_	_	
1-233	Clara	B-NC	_	_	
1-234	,	O	_	_	
1-235	die	O	_	_	
1-236	er	O	_	_	
1-237	nun	O	_	_	
1-238	zu	O	_	_	
1-239	heiraten	O	_	_	
1-240	gedachte	O	_	_	
1-241	,	O	_	_	
1-242	und	O	_	_	
1-243	Lothar	B-NC	_	_	
1-244	.	O	_	_	
1-245	Nathanael	B-NC	_	_	
1-246	war	O	_	_	
1-247	milder	O	_	_	
1-248	,	O	_	_	
1-249	kindlicher	O	_	_	
1-250	geworden	O	_	_	
1-251	,	O	_	_	
1-252	als	O	_	_	
1-253	er	O	_	_	
1-254	je	O	_	_	
1-255	gewesen	O	_	_	
1-256	und	O	_	_	
1-257	erkannte	O	_	_	
1-258	nun	O	_	_	
1-259	erst	O	_	_	
1-260	recht	O	_	_	
1-261	Claras	B-NC	_	_	
1-262	himmlisch	O	_	_	
1-263	reines	O	_	_	
1-264	,	O	_	_	
1-265	herrliches	O	_	_	
1-266	Gemüt	B-NC	_	_	
1-267	.	O	_	_	
1-268	Niemand	O	_	_	
1-269	erinnerte	O	_	_	
1-270	ihn	O	_	_	
1-271	auch	O	_	_	
1-272	nur	O	_	_	
1-273	durch	O	_	_	
1-274	den	O	_	_	
1-275	leisesten	O	_	_	
1-276	Anklang	B-NC	_	_	
1-277	an	O	_	_	
1-278	die	O	_	_	
1-279	Vergangenheit	B-NC	Holonym	1-336	
1-280	.	O	_	_	
1-281	Nur	O	_	_	
1-282	,	O	_	_	
1-283	als	O	_	_	
1-284	Siegmund	B-NC	_	_	
1-285	von	O	_	_	
1-286	ihm	O	_	_	
1-287	schied	O	_	_	
1-288	,	O	_	_	
1-289	sprach	O	_	_	
1-290	Nathanael	B-NC	_	_	
1-291	:	O	_	_	
1-292	»Bei	O	_	_	
1-293	Gott	B-NC	_	_	
1-294	Bruder	B-NC	_	_	
1-295	!	O	_	_	
1-296	ich	O	_	_	
1-297	war	O	_	_	
1-298	auf	O	_	_	
1-299	schlimmen	O	_	_	
1-300	Wege	B-NC	_	_	
1-301	,	O	_	_	
1-302	aber	O	_	_	
1-303	zu	O	_	_	
1-304	rechter	O	_	_	
1-305	Zeit	B-NC	_	_	
1-306	leitete	O	_	_	
1-307	mich	O	_	_	
1-308	ein	O	_	_	
1-309	Engel	B-NC	_	_	
1-310	auf	O	_	_	
1-311	den	O	_	_	
1-312	lichten	O	_	_	
1-313	Pfad	B-NC	Synonym	1-300	
1-314	!	O	_	_	
1-315	–	B-NC	_	_	
1-316	Ach	O	_	_	
1-317	es	O	_	_	
1-318	war	O	_	_	
1-319	ja	O	_	_	
1-320	Clara	B-NC	_	_	
1-321	!	O	_	_	
1-322	–	B-NC	_	_	
1-323	«	O	_	_	
1-324	Siegmund	B-NC	_	_	
1-325	ließ	O	_	_	
1-326	ihn	O	_	_	
1-327	nicht	O	_	_	
1-328	weiter	O	_	_	
1-329	reden	O	_	_	
1-330	,	O	_	_	
1-331	aus	O	_	_	
1-332	Besorgnis	B-NC	_	_	
1-333	,	O	_	_	
1-334	tief	O	_	_	
1-335	verletzende	O	_	_	
1-336	Erinnerungen	B-NC	_	_	
1-337	möchten	O	_	_	
1-338	ihm	O	_	_	
1-339	zu	O	_	_	
1-340	hell	O	_	_	
1-341	und	O	_	_	
1-342	flammend	O	_	_	
1-343	aufgehen	O	_	_	
1-344	.	O	_	_	
1-345	–	O	_	_	
1-346	Es	B-NC	_	_	
1-347	war	O	_	_	
1-348	an	O	_	_	
1-349	der	O	_	_	
1-350	Zeit	B-NC	_	_	
1-351	,	O	_	_	
1-352	daß	O	_	_	
1-353	die	O	_	_	
1-354	vier	O	_	_	
1-355	glücklichen	O	_	_	
1-356	Menschen	B-NC	_	_	
1-357	nach	O	_	_	
