 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Натанаэлю казалось , что он пробудился от страшно­го , тяжелого сна . Он открыл глаза и почувствовал , как в душу его небесной теплотой льется неописуемое бла­женство . Он лежал на кровати в своей комнате , в родительском доме , над ним склонилась Клара , а поблизости стояли мать и Лотар
1-1	Натанаэлю	B-NC	_	_	
1-2	казалось	O	_	_	
1-3	,	O	_	_	
1-4	что	O	_	_	
1-5	он	O	_	_	
1-6	пробудился	O	_	_	
1-7	от	O	_	_	
1-8	страшно­го	O	_	_	
1-9	,	O	_	_	
1-10	тяжелого	O	_	_	
1-11	сна	B-NC	_	_	
1-12	.	O	_	_	
1-13	Он	O	_	_	
1-14	открыл	O	_	_	
1-15	глаза	B-NC	_	_	
1-16	и	O	_	_	
1-17	почувствовал	O	_	_	
1-18	,	O	_	_	
1-19	как	O	_	_	
1-20	в	O	_	_	
1-21	душу	B-NC	_	_	
1-22	его	O	_	_	
1-23	небесной	O	_	_	
1-24	теплотой	B-NC	_	_	
1-25	льется	O	_	_	
1-26	неописуемое	O	_	_	
1-27	бла­женство	B-NC	_	_	
1-28	.	O	_	_	
1-29	Он	O	_	_	
1-30	лежал	O	_	_	
1-31	на	O	_	_	
1-32	кровати	B-NC	_	_	
1-33	в	O	_	_	
1-34	своей	O	_	_	
1-35	комнате	B-NC	Holonym	1-39	
1-36	,	O	_	_	
1-37	в	O	_	_	
1-38	родительском	O	_	_	
1-39	доме	B-NC	_	_	
1-40	,	O	_	_	
1-41	над	O	_	_	
1-42	ним	O	_	_	
1-43	склонилась	O	_	_	
1-44	Клара	B-NC	_	_	
1-45	,	O	_	_	
1-46	а	O	_	_	
1-47	поблизости	O	_	_	
1-48	стояли	O	_	_	
1-49	мать	B-NC	_	_	
1-50	и	O	_	_	
1-51	Лотар	B-NC	_	_	

#id=2
#text=-- Наконец-то , наконец , дорогой мой Натанаэль , ты исцелился от этой страшной болезни и теперь снова будешь мой ! -- сказала Клара и обняла Натанаэля . У того от печали и радости полились из глаз слезы , и он громко простонал
2-1	--	O	_	_	
2-2	Наконец-то	O	_	_	
2-3	,	O	_	_	
2-4	наконец	O	_	_	
2-5	,	O	_	_	
2-6	дорогой	O	_	_	
2-7	мой	O	_	_	
2-8	Натанаэль	B-NC	_	_	
2-9	,	O	_	_	
2-10	ты	O	_	_	
2-11	исцелился	O	_	_	
2-12	от	O	_	_	
2-13	этой	O	_	_	
2-14	страшной	O	_	_	
2-15	болезни	B-NC	_	_	
2-16	и	O	_	_	
2-17	теперь	O	_	_	
2-18	снова	O	_	_	
2-19	будешь	O	_	_	
2-20	мой	O	_	_	
2-21	!	O	_	_	
2-22	--	O	_	_	
2-23	сказала	O	_	_	
2-24	Клара	B-NC	_	_	
2-25	и	O	_	_	
2-26	обняла	O	_	_	
2-27	Натанаэля	B-NC	_	_	
2-28	.	O	_	_	
2-29	У	O	_	_	
2-30	того	O	_	_	
2-31	от	O	_	_	
2-32	печали	B-NC	_	_	
2-33	и	O	_	_	
2-34	радости	B-NC	Co-Hyponym	2-32	
2-35	полились	O	_	_	
2-36	из	O	_	_	
2-37	глаз	B-NC	_	_	
2-38	слезы	B-NC	_	_	
2-39	,	O	_	_	
2-40	и	O	_	_	
2-41	он	O	_	_	
2-42	громко	O	_	_	
2-43	простонал	O	_	_	

#id=3
#text=-- О , Клара ! Моя Клара
3-1	--	O	_	_	
3-2	О	O	_	_	
3-3	,	O	_	_	
3-4	Клара	B-NC	_	_	
3-5	!	O	_	_	
3-6	Моя	O	_	_	
3-7	Клара	B-NC	_	_	

#id=4
#text=Тут вошел Зигмунд , который все это время поддерживал друга в его несчастии . Натанаэль протянул ему руку
4-1	Тут	O	_	_	
4-2	вошел	O	_	_	
4-3	Зигмунд	B-NC	_	_	
4-4	,	O	_	_	
4-5	который	O	_	_	
4-6	все	O	_	_	
4-7	это	O	_	_	
4-8	время	B-NC	_	_	
4-9	поддерживал	O	_	_	
4-10	друга	B-NC	_	_	
4-11	в	O	_	_	
4-12	его	O	_	_	
4-13	несчастии	B-NC	_	_	
4-14	.	O	_	_	
4-15	Натанаэль	B-NC	_	_	
4-16	протянул	O	_	_	
4-17	ему	O	_	_	
4-18	руку	B-NC	_	_	

#id=5
#text=-- Ты не оставил меня , верный друг ! Всякий след безумия исчез благодаря забот­ливому уходу матери , возлюбленной и друзей . Скоро Натанаэль совсем поправился
5-1	--	O	_	_	
5-2	Ты	O	_	_	
5-3	не	O	_	_	
5-4	оставил	O	_	_	
5-5	меня	O	_	_	
5-6	,	O	_	_	
5-7	верный	O	_	_	
5-8	друг	B-NC	_	_	
5-9	!	O	_	_	
5-10	Всякий	O	_	_	
5-11	след	B-NC	_	_	
5-12	безумия	B-NC	_	_	
5-13	исчез	O	_	_	
5-14	благодаря	O	_	_	
5-15	забот­ливому	O	_	_	
5-16	уходу	B-NC	_	_	
5-17	матери	B-NC	_	_	
5-18	,	O	_	_	
5-19	возлюбленной	B-NC	Co-Hyponym	5-17	
5-20	и	O	_	_	
5-21	друзей	B-NC	Co-Hyponym	5-17	
5-22	.	O	_	_	
5-23	Скоро	O	_	_	
5-24	Натанаэль	B-NC	_	_	
5-25	совсем	O	_	_	
5-26	поправился	O	_	_	

#id=6
#text=Между тем их дом посетило счастье : умер старый скупой дядюшка , от которого никто ничего не ждал , и оставил матери помимо значительного состоя­ния имение в красивой местности неподалеку от города . Туда решили переселиться мать , Лотар и Натанаэль со своей Кларой , с которой он намеревался теперь вступить в брак . Натанаэль стал удивительно кроток и мягок , как ребенок , теперь только открылась ему дивная , небесно чистая душа Клары . Никто не делал даже отдаленных на­меков на прошлое . Только когда уезжал Зигмунд , Ната­наэль сказал ему
6-1	Между	O	_	_	
6-2	тем	O	_	_	
6-3	их	O	_	_	
6-4	дом	B-NC	Hypernym	6-26	
6-5	посетило	O	_	_	
6-6	счастье	B-NC	_	_	
6-7	:	O	_	_	
6-8	умер	O	_	_	
6-9	старый	O	_	_	
6-10	скупой	O	_	_	
6-11	дядюшка	B-NC	_	_	
6-12	,	O	_	_	
6-13	от	O	_	_	
6-14	которого	O	_	_	
6-15	никто	O	_	_	
6-16	ничего	O	_	_	
6-17	не	O	_	_	
6-18	ждал	O	_	_	
6-19	,	O	_	_	
6-20	и	O	_	_	
6-21	оставил	O	_	_	
