 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=I will honestly confess to you that , according to my opinion , all the terrible things of which you speak , merely occurred in your own mind , and that the actual external world had little to do with them . Old Coppelius may have been repulsive enough , but his hatred of children was what really caused the abhorrence of your children towards him 
1-1	I	O	_	_	
1-2	will	O	_	_	
1-3	honestly	O	_	_	
1-4	confess	O	_	_	
1-5	to	O	_	_	
1-6	you	O	_	_	
1-7	that	O	_	_	
1-8	,	O	_	_	
1-9	according	O	_	_	
1-10	to	O	_	_	
1-11	my	O	_	_	
1-12	opinion	B-NC	_	_	
1-13	,	O	_	_	
1-14	all	O	_	_	
1-15	the	O	_	_	
1-16	terrible	O	_	_	
1-17	things	B-NC	_	_	
1-18	of	O	_	_	
1-19	which	O	_	_	
1-20	you	O	_	_	
1-21	speak	O	_	_	
1-22	,	O	_	_	
1-23	merely	O	_	_	
1-24	occurred	O	_	_	
1-25	in	O	_	_	
1-26	your	O	_	_	
1-27	own	O	_	_	
1-28	mind	B-NC	_	_	
1-29	,	O	_	_	
1-30	and	O	_	_	
1-31	that	O	_	_	
1-32	the	O	_	_	
1-33	actual	O	_	_	
1-34	external	O	_	_	
1-35	world	B-NC	_	_	
1-36	had	O	_	_	
1-37	little	O	_	_	
1-38	to	O	_	_	
1-39	do	O	_	_	
1-40	with	O	_	_	
1-41	them	O	_	_	
1-42	.	O	_	_	
1-43	Old	B-NC	_	_	
1-44	Coppelius	I-NC	_	_	
1-45	may	O	_	_	
1-46	have	O	_	_	
1-47	been	O	_	_	
1-48	repulsive	O	_	_	
1-49	enough	O	_	_	
1-50	,	O	_	_	
1-51	but	O	_	_	
1-52	his	O	_	_	
1-53	hatred	B-NC	_	_	
1-54	of	O	_	_	
1-55	children	B-NC	_	_	
1-56	was	O	_	_	
1-57	what	O	_	_	
1-58	really	O	_	_	
1-59	caused	O	_	_	
1-60	the	O	_	_	
1-61	abhorrence	B-NC	_	_	
1-62	of	O	_	_	
1-63	your	O	_	_	
1-64	children	B-NC	_	_	
1-65	towards	O	_	_	
1-66	him	O	_	_	

#id=2
#text=In your childish mind the frightful sandman in the nurse 's tale was naturally associated with old Coppelius , who , even if you had not believed in the sandman , would still have been a spectral monster , especially dangerous to children . The awful nightly occupation with your father , was no more than this , that both secretly made alchemical experiments , and with these your mother was constantly dissatisfied , since besides a great deal of money being uselessly wasted , your father 's mind being filled with a fallacious desire after higher wisdom was alienated from his family--as they say , is always the case with such experimentalists . Your father no doubt , by some act of carelessness , occasioned his own death , of which Coppelius was completely guiltless . Would you believe it , that I yesterday asked our neighbour , the clever apothecary , whether such a sudden and fatal explosion was possible in such chemical experiments ? " Certainly , " he replied , and in his way told me at great length and very circumstantially how such an event might take place , uttering a number of strange-sounding names , which I am unable to recollect . Now , I know you will be angry with your Clara ; you will say that her cold disposition is impenetrable to every ray of the mysterious , which often embraces man with invisible arms , that she only sees the varigated surface of the world , and has the delight of a silly child , at some gold-glittering fruit , which contains within it a deadly poison 
2-1	In	O	_	_	
2-2	your	O	_	_	
2-3	childish	O	_	_	
2-4	mind	B-NC	_	_	
2-5	the	O	_	_	
2-6	frightful	O	_	_	
2-7	sandman	B-NC	_	_	
2-8	in	O	_	_	
2-9	the	O	_	_	
2-10	nurse	B-NC	Hypernym	2-240	
2-11	's	O	_	_	
2-12	tale	B-NC	_	_	
2-13	was	O	_	_	
2-14	naturally	O	_	_	
2-15	associated	O	_	_	
2-16	with	O	_	_	
2-17	old	O	_	_	
2-18	Coppelius	B-NC	_	_	
2-19	,	O	_	_	
2-20	who	O	_	_	
2-21	,	O	_	_	
2-22	even	O	_	_	
2-23	if	O	_	_	
2-24	you	O	_	_	
2-25	had	O	_	_	
2-26	not	O	_	_	
2-27	believed	O	_	_	
2-28	in	O	_	_	
2-29	the	O	_	_	
2-30	sandman	B-NC	Hypernym	2-240	
2-31	,	O	_	_	
2-32	would	O	_	_	
2-33	still	O	_	_	
2-34	have	O	_	_	
2-35	been	O	_	_	
2-36	a	O	_	_	
2-37	spectral	O	_	_	
2-38	monster	B-NC	_	_	
2-39	,	O	_	_	
2-40	especially	O	_	_	
2-41	dangerous	O	_	_	
2-42	to	O	_	_	
2-43	children	B-NC	Holonym	2-103	
2-44	.	O	_	_	
2-45	The	O	_	_	
2-46	awful	O	_	_	
2-47	nightly	O	_	_	
2-48	occupation	B-NC	_	_	
2-49	with	O	_	_	
2-50	your	O	_	_	
2-51	father	B-NC	Co-Hyponym	2-43	
2-52	,	O	_	_	
2-53	was	O	_	_	
2-54	no	O	_	_	
2-55	more	O	_	_	
2-56	than	O	_	_	
2-57	this	O	_	_	
2-58	,	O	_	_	
2-59	that	O	_	_	
2-60	both	O	_	_	
2-61	secretly	O	_	_	
2-62	made	O	_	_	
2-63	alchemical	O	_	_	
2-64	experiments	B-NC	_	_	
2-65	,	O	_	_	
2-66	and	O	_	_	
2-67	with	O	_	_	
2-68	these	O	_	_	
2-69	your	O	_	_	
2-70	mother	B-NC	Co-Hyponym|Holonym|Holonym	2-43|2-103|2-103	
2-71	was	O	_	_	
2-72	constantly	O	_	_	
2-73	dissatisfied	O	_	_	
2-74	,	O	_	_	
2-75	since	O	_	_	
2-76	besides	O	_	_	
2-77	a	O	_	_	
2-78	great	O	_	_	
2-79	deal	B-NC	_	_	
2-80	of	O	_	_	
2-81	money	B-NC	_	_	
2-82	being	O	_	_	
2-83	uselessly	O	_	_	
2-84	wasted	O	_	_	
2-85	,	O	_	_	
2-86	your	O	_	_	
2-87	father	B-NC	Holonym	2-103	
2-88	's	O	_	_	
2-89	mind	B-NC	Holonym	2-87	
2-90	being	O	_	_	
2-91	filled	O	_	_	
2-92	with	O	_	_	
2-93	a	O	_	_	
2-94	fallacious	O	_	_	
2-95	desire	B-NC	_	_	
2-96	after	O	_	_	
2-97	higher	O	_	_	
2-98	wisdom	B-NC	_	_	
2-99	was	O	_	_	
2-100	alienated	O	_	_	
2-101	from	O	_	_	
2-102	his	O	_	_	
2-103	family--as	B-Text mistake	_	_	
2-104	they	O	_	_	
2-105	say	O	_	_	
2-106	,	O	_	_	
2-107	is	O	_	_	
2-108	always	O	_	_	
2-109	the	O	_	_	
2-110	case	B-NC	_	_	
2-111	with	O	_	_	
2-112	such	O	_	_	
2-113	experimentalists	B-NC	Hypernym	2-240	
2-114	.	O	_	_	
2-115	Your	O	_	_	
2-116	father	B-NC	Holonym|Holonym|Hypernym	2-103|2-103|2-240	
2-117	no	O	_	_	
2-118	doubt	B-NC	_	_	
2-119	,	O	_	_	
2-120	by	O	_	_	
2-121	some	O	_	_	
2-122	act	B-NC	_	_	
2-123	of	O	_	_	
2-124	carelessness	B-NC	_	_	
2-125	,	O	_	_	
2-126	occasioned	O	_	_	
2-127	his	O	_	_	
2-128	own	O	_	_	
2-129	death	B-NC	_	_	
2-130	,	O	_	_	
2-131	of	O	_	_	
2-132	which	O	_	_	
2-133	Coppelius	B-NC	_	_	
2-134	was	O	_	_	
2-135	completely	O	_	_	
2-136	guiltless	O	_	_	
2-137	.	O	_	_	
2-138	Would	O	_	_	
2-139	you	O	_	_	
2-140	believe	O	_	_	
