 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Gewiß seid Ihr alle voll Unruhe , daß ich so lange – lange nicht geschrieben . Mutter zürnt wohl , und Clara mag glauben , ich lebe hier in Saus und Braus und vergesse mein holdes Engelsbild , so tief mir in Herz und Sinn eingeprägt , ganz und gar . – Dem ist aber nicht so ; täglich und stündlich gedenke ich Eurer aller und in süßen Träumen geht meines holden Clärchens freundliche Gestalt vorüber und lächelt mich mit ihren hellen Augen so anmutig an , wie sie wohl pflegte , wenn ich zu Euch hineintrat . – Ach wie vermochte ich denn Euch zu schreiben , in der zerrissenen Stimmung des Geistes , die mir bisher alle Gedanken verstörte ! – Etwas Entsetzliches ist in mein Leben getreten ! – Dunkle Ahnungen eines gräßlichen mir drohenden Geschicks breiten sich wie schwarze Wolkenschatten über mich aus , undurchdringlich jedem freundlichen Sonnenstrahl . – Nun soll ich Dir sagen , was mir widerfuhr . Ich muß es , das sehe ich ein , aber nur es denkend , lacht es wie toll aus mir heraus . – Ach mein herzlieber Lothar ! wie fange ich es denn an , Dich nur einigermaßen empfinden zu lassen , daß das , was mir vor einigen Tagen geschah , denn wirklich mein Leben so feindlich zerstören konnte ! Wärst Du nur hier , so könntest Du selbst schauen ; aber jetzt hältst Du mich gewiß für einen aberwitzigen Geisterseher . – Kurz und gut , das Entsetzliche , was mir geschah , dessen tödlichen Eindruck zu vermeiden ich mich vergebens bemühe , besteht in nichts anderm , als daß vor einigen Tagen , nämlich am 30 . Oktober mittags um 12 Uhr , ein Wetterglashändler in meine Stube trat und mir seine Ware anbot . Ich kaufte nichts und drohte , ihn die Treppe herabzuwerfen , worauf er aber von selbst fortging
1-1	Gewiß	O	_	_	
1-2	seid	O	_	_	
1-3	Ihr	O	_	_	
1-4	alle	O	_	_	
1-5	voll	O	_	_	
1-6	Unruhe	B-NC	_	_	
1-7	,	O	_	_	
1-8	daß	O	_	_	
1-9	ich	O	_	_	
1-10	so	O	_	_	
1-11	lange	O	_	_	
1-12	–	O	_	_	
1-13	lange	O	_	_	
1-14	nicht	O	_	_	
1-15	geschrieben	O	_	_	
1-16	.	O	_	_	
1-17	Mutter	B-NC	Co-Hyponym	1-292	
1-18	zürnt	O	_	_	
1-19	wohl	O	_	_	
1-20	,	O	_	_	
1-21	und	O	_	_	
1-22	Clara	B-NC	_	_	
1-23	mag	O	_	_	
1-24	glauben	O	_	_	
1-25	,	O	_	_	
1-26	ich	O	_	_	
1-27	lebe	O	_	_	
1-28	hier	O	_	_	
1-29	in	O	_	_	
1-30	Saus	B-NC	_	_	
1-31	und	O	_	_	
1-32	Braus	B-NC	_	_	
1-33	und	O	_	_	
1-34	vergesse	O	_	_	
1-35	mein	O	_	_	
1-36	holdes	O	_	_	
1-37	Engelsbild	B-NC	_	_	
1-38	,	O	_	_	
1-39	so	O	_	_	
1-40	tief	O	_	_	
1-41	mir	O	_	_	
1-42	in	O	_	_	
1-43	Herz	B-NC	_	_	
1-44	und	O	_	_	
1-45	Sinn	B-NC	_	_	
1-46	eingeprägt	O	_	_	
1-47	,	O	_	_	
1-48	ganz	O	_	_	
1-49	und	O	_	_	
1-50	gar	O	_	_	
1-51	.	O	_	_	
1-52	–	O	_	_	
1-53	Dem	O	_	_	
1-54	ist	O	_	_	
1-55	aber	O	_	_	
1-56	nicht	O	_	_	
1-57	so	O	_	_	
1-58	;	O	_	_	
1-59	täglich	O	_	_	
1-60	und	O	_	_	
1-61	stündlich	O	_	_	
1-62	gedenke	O	_	_	
1-63	ich	O	_	_	
1-64	Eurer	O	_	_	
1-65	aller	O	_	_	
1-66	und	O	_	_	
1-67	in	O	_	_	
1-68	süßen	O	_	_	
1-69	Träumen	B-NC	_	_	
1-70	geht	O	_	_	
1-71	meines	O	_	_	
1-72	holden	O	_	_	
1-73	Clärchens	B-NC	_	_	
1-74	freundliche	O	_	_	
1-75	Gestalt	B-NC	_	_	
1-76	vorüber	O	_	_	
1-77	und	O	_	_	
1-78	lächelt	O	_	_	
1-79	mich	O	_	_	
1-80	mit	O	_	_	
1-81	ihren	O	_	_	
1-82	hellen	O	_	_	
1-83	Augen	B-NC	Co-Hyponym|Holonym	1-43|1-75	
1-84	so	O	_	_	
1-85	anmutig	O	_	_	
1-86	an	O	_	_	
1-87	,	O	_	_	
1-88	wie	O	_	_	
1-89	sie	O	_	_	
1-90	wohl	O	_	_	
1-91	pflegte	O	_	_	
1-92	,	O	_	_	
1-93	wenn	O	_	_	
1-94	ich	O	_	_	
1-95	zu	O	_	_	
1-96	Euch	O	_	_	
1-97	hineintrat	O	_	_	
1-98	.	O	_	_	
1-99	–	O	_	_	
1-100	Ach	O	_	_	
1-101	wie	O	_	_	
1-102	vermochte	O	_	_	
1-103	ich	O	_	_	
1-104	denn	O	_	_	
1-105	Euch	O	_	_	
1-106	zu	O	_	_	
1-107	schreiben	O	_	_	
1-108	,	O	_	_	
1-109	in	O	_	_	
1-110	der	O	_	_	
1-111	zerrissenen	O	_	_	
1-112	Stimmung	B-NC	Hypernym	1-114	
1-113	des	O	_	_	
1-114	Geistes	B-NC	_	_	
1-115	,	O	_	_	
1-116	die	O	_	_	
1-117	mir	O	_	_	
1-118	bisher	O	_	_	
1-119	alle	O	_	_	
1-120	Gedanken	B-NC	Holonym	1-114	
1-121	verstörte	O	_	_	
1-122	!	O	_	_	
1-123	–	O	_	_	
1-124	Etwas	B-NC	_	_	
1-125	Entsetzliches	B-NC	_	_	
1-126	ist	O	_	_	
1-127	in	O	_	_	
1-128	mein	O	_	_	
1-129	Leben	B-NC	_	_	
1-130	getreten	O	_	_	
1-131	!	O	_	_	
1-132	–	O	_	_	
1-133	Dunkle	O	_	_	
1-134	Ahnungen	B-NC	_	_	
1-135	eines	O	_	_	
1-136	gräßlichen	O	_	_	
1-137	mir	O	_	_	
1-138	drohenden	O	_	_	
1-139	Geschicks	B-NC	_	_	
1-140	breiten	O	_	_	
1-141	sich	O	_	_	
1-142	wie	O	_	_	
1-143	schwarze	O	_	_	
1-144	Wolkenschatten	B-NC	_	_	
1-145	über	O	_	_	
1-146	mich	O	_	_	
1-147	aus	O	_	_	
1-148	,	O	_	_	
1-149	undurchdringlich	O	_	_	
1-150	jedem	O	_	_	
1-151	freundlichen	O	_	_	
1-152	Sonnenstrahl	B-NC	Co-Hyponym	1-144	
1-153	.	O	_	_	
1-154	–	O	_	_	
1-155	Nun	O	_	_	
1-156	soll	O	_	_	
1-157	ich	O	_	_	
1-158	Dir	O	_	_	
1-159	sagen	O	_	_	
1-160	,	O	_	_	
1-161	was	O	_	_	
1-162	mir	O	_	_	
1-163	widerfuhr	O	_	_	
1-164	.	O	_	_	
1-165	Ich	O	_	_	
1-166	muß	O	_	_	
1-167	es	O	_	_	
1-168	,	O	_	_	
1-169	das	O	_	_	
1-170	sehe	O	_	_	
1-171	ich	O	_	_	
1-172	ein	O	_	_	
1-173	,	O	_	_	
1-174	aber	O	_	_	
1-175	nur	O	_	_	
1-176	es	O	_	_	
1-177	denkend	O	_	_	
1-178	,	O	_	_	
1-179	lacht	O	_	_	
1-180	es	O	_	_	
1-181	wie	O	_	_	
1-182	toll	O	_	_	
1-183	aus	O	_	_	
1-184	mir	O	_	_	
1-185	heraus	O	_	_	
1-186	.	O	_	_	
1-187	–	O	_	_	
1-188	Ach	O	_	_	
1-189	mein	O	_	_	
1-190	herzlieber	B-NC	_	_	
1-191	Lothar	B-NC	_	_	
1-192	!	O	_	_	
1-193	wie	O	_	_	
1-194	fange	O	_	_	
1-195	ich	O	_	_	
1-196	es	O	_	_	
1-197	denn	O	_	_	
1-198	an	O	_	_	
1-199	,	O	_	_	
1-200	Dich	O	_	_	
1-201	nur	O	_	_	
1-202	einigermaßen	O	_	_	
1-203	empfinden	O	_	_	
1-204	zu	O	_	_	
1-205	lassen	O	_	_	
1-206	,	O	_	_	
1-207	daß	O	_	_	
1-208	das	O	_	_	
1-209	,	O	_	_	
1-210	was	O	_	_	
1-211	mir	O	_	_	
1-212	vor	O	_	_	
1-213	einigen	O	_	_	
1-214	Tagen	B-NC	_	_	
1-215	geschah	O	_	_	
1-216	,	O	_	_	
1-217	denn	O	_	_	
1-218	wirklich	O	_	_	
1-219	mein	O	_	_	
1-220	Leben	B-NC	_	_	
1-221	so	O	_	_	
1-222	feindlich	O	_	_	
1-223	zerstören	O	_	_	
1-224	konnte	O	_	_	
1-225	!	O	_	_	
1-226	Wärst	O	_	_	
1-227	Du	O	_	_	
1-228	nur	O	_	_	
1-229	hier	O	_	_	
1-230	,	O	_	_	
1-231	so	O	_	_	
1-232	könntest	O	_	_	
1-233	Du	O	_	_	
1-234	selbst	O	_	_	
1-235	schauen	O	_	_	
1-236	;	O	_	_	
1-237	aber	O	_	_	
1-238	jetzt	O	_	_	
1-239	hältst	O	_	_	
1-240	Du	O	_	_	
1-241	mich	O	_	_	
1-242	gewiß	O	_	_	
1-243	für	O	_	_	
1-244	einen	O	_	_	
1-245	aberwitzigen	O	_	_	
1-246	Geisterseher	B-NC	_	_	
1-247	.	O	_	_	
1-248	–	B-NC	_	_	
1-249	Kurz	B-NC	_	_	
1-250	und	O	_	_	
1-251	gut	O	_	_	
1-252	,	O	_	_	
1-253	das	O	_	_	
1-254	Entsetzliche	B-NC	_	_	
1-255	,	O	_	_	
1-256	was	O	_	_	
1-257	mir	O	_	_	
1-258	geschah	O	_	_	
1-259	,	O	_	_	
1-260	dessen	O	_	_	
1-261	tödlichen	O	_	_	
1-262	Eindruck	B-NC	_	_	
1-263	zu	O	_	_	
1-264	vermeiden	O	_	_	
1-265	ich	O	_	_	
1-266	mich	O	_	_	
1-267	vergebens	O	_	_	
1-268	bemühe	O	_	_	
1-269	,	O	_	_	
1-270	besteht	O	_	_	
1-271	in	O	_	_	
1-272	nichts	O	_	_	
1-273	anderm	O	_	_	
1-274	,	O	_	_	
1-275	als	O	_	_	
1-276	daß	O	_	_	
1-277	vor	O	_	_	
1-278	einigen	O	_	_	
1-279	Tagen	B-NC	_	_	
1-280	,	O	_	_	
1-281	nämlich	O	_	_	
1-282	am	O	_	_	
1-283	30	O	_	_	
1-284	.	O	_	_	
1-285	Oktober	B-NC	_	_	
1-286	mittags	O	_	_	
1-287	um	O	_	_	
1-288	12	O	_	_	
1-289	Uhr	B-NC	_	_	
1-290	,	O	_	_	
1-291	ein	O	_	_	
1-292	Wetterglashändler	B-NC	_	_	
1-293	in	O	_	_	
1-294	meine	O	_	_	
1-295	Stube	B-NC	_	_	
1-296	trat	O	_	_	
1-297	und	O	_	_	
1-298	mir	O	_	_	
1-299	seine	O	_	_	
1-300	Ware	B-NC	_	_	
1-301	anbot	O	_	_	
1-302	.	O	_	_	
1-303	Ich	O	_	_	
1-304	kaufte	O	_	_	
1-305	nichts	O	_	_	
1-306	und	O	_	_	
1-307	drohte	O	_	_	
1-308	,	O	_	_	
1-309	ihn	O	_	_	
1-310	die	O	_	_	
1-311	Treppe	B-NC	Holonym	1-295	
1-312	herabzuwerfen	O	_	_	
1-313	,	O	_	_	
1-314	worauf	O	_	_	
1-315	er	O	_	_	
1-316	aber	O	_	_	
1-317	von	O	_	_	
1-318	selbst	O	_	_	
1-319	fortging	O	_	_	

#id=2
