 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Вы все , наверное , в большом беспокой­стве от того , что я так ужасно долго не писал . Матушка , пожалуй , сердится , а Клара могла подумать , что я катаюсь здесь как сыр в масле , развлекаюсь и совсем позабыл ее ангельское личи­ко , так глубоко запечатленное в моем уме и сердце . Но это совсем не так . Ежедневно и ежечасно вспоминаю я всех вас , и в сладких снах является мне приветливый образ моей милой Клэрхен и ясные глаза ее улыбаются мне так пленительно , как это бывало , когда я приходил к вам . Ах , разве я мог писать вам в том растерзанном , смятенном состоянии духа , которое до сих пор еще пу­тает все мои мысли ? ! В жизнь мою вошло нечто ужас­ное ! Смутное предчувствие грозящей мне страшной беды надвигается на меня , как черные тени облаков , сквозь которые не проникнет уже ни один приветливый солнеч­ный луч . Но надо же наконец сказать тебе , что со мной случилось . Я знаю , что должен это сделать , но , думая об этом , тут же слышу , как внутри меня раздается безум­ный хохот
1-1	Вы	O	_	_	
1-2	все	O	_	_	
1-3	,	O	_	_	
1-4	наверное	O	_	_	
1-5	,	O	_	_	
1-6	в	O	_	_	
1-7	большом	O	_	_	
1-8	беспокой­стве	B-NC	_	_	
1-9	от	O	_	_	
1-10	того	O	_	_	
1-11	,	O	_	_	
1-12	что	O	_	_	
1-13	я	O	_	_	
1-14	так	O	_	_	
1-15	ужасно	O	_	_	
1-16	долго	O	_	_	
1-17	не	O	_	_	
1-18	писал	O	_	_	
1-19	.	O	_	_	
1-20	Матушка	B-NC	_	_	
1-21	,	O	_	_	
1-22	пожалуй	O	_	_	
1-23	,	O	_	_	
1-24	сердится	O	_	_	
1-25	,	O	_	_	
1-26	а	O	_	_	
1-27	Клара	B-NC	_	_	
1-28	могла	O	_	_	
1-29	подумать	O	_	_	
1-30	,	O	_	_	
1-31	что	O	_	_	
1-32	я	O	_	_	
1-33	катаюсь	O	_	_	
1-34	здесь	O	_	_	
1-35	как	O	_	_	
1-36	сыр	B-NC	_	_	
1-37	в	O	_	_	
1-38	масле	B-NC	Co-Hyponym	1-36	
1-39	,	O	_	_	
1-40	развлекаюсь	O	_	_	
1-41	и	O	_	_	
1-42	совсем	O	_	_	
1-43	позабыл	O	_	_	
1-44	ее	O	_	_	
1-45	ангельское	O	_	_	
1-46	личи­ко	B-NC	Holonym	1-78	
1-47	,	O	_	_	
1-48	так	O	_	_	
1-49	глубоко	O	_	_	
1-50	запечатленное	O	_	_	
1-51	в	O	_	_	
1-52	моем	O	_	_	
1-53	уме	B-NC	_	_	
1-54	и	O	_	_	
1-55	сердце	B-NC	_	_	
1-56	.	O	_	_	
1-57	Но	O	_	_	
1-58	это	O	_	_	
1-59	совсем	O	_	_	
1-60	не	O	_	_	
1-61	так	O	_	_	
1-62	.	O	_	_	
1-63	Ежедневно	O	_	_	
1-64	и	O	_	_	
1-65	ежечасно	O	_	_	
1-66	вспоминаю	O	_	_	
1-67	я	O	_	_	
1-68	всех	O	_	_	
1-69	вас	O	_	_	
1-70	,	O	_	_	
1-71	и	O	_	_	
1-72	в	O	_	_	
1-73	сладких	O	_	_	
1-74	снах	B-NC	_	_	
1-75	является	O	_	_	
1-76	мне	O	_	_	
1-77	приветливый	O	_	_	
1-78	образ	B-NC	_	_	
1-79	моей	O	_	_	
1-80	милой	B-NC	_	_	
1-81	Клэрхен	B-NC	_	_	
1-82	и	O	_	_	
1-83	ясные	O	_	_	
1-84	глаза	B-NC	Holonym	1-46	
1-85	ее	O	_	_	
1-86	улыбаются	O	_	_	
1-87	мне	O	_	_	
1-88	так	O	_	_	
1-89	пленительно	O	_	_	
1-90	,	O	_	_	
1-91	как	O	_	_	
1-92	это	O	_	_	
1-93	бывало	O	_	_	
1-94	,	O	_	_	
1-95	когда	O	_	_	
1-96	я	O	_	_	
1-97	приходил	O	_	_	
1-98	к	O	_	_	
1-99	вам	O	_	_	
1-100	.	O	_	_	
1-101	Ах	O	_	_	
1-102	,	O	_	_	
1-103	разве	O	_	_	
1-104	я	O	_	_	
1-105	мог	O	_	_	
1-106	писать	O	_	_	
1-107	вам	O	_	_	
1-108	в	O	_	_	
1-109	том	O	_	_	
1-110	растерзанном	O	_	_	
1-111	,	O	_	_	
1-112	смятенном	O	_	_	
1-113	состоянии	B-NC	_	_	
1-114	духа	B-NC	_	_	
1-115	,	O	_	_	
1-116	которое	O	_	_	
1-117	до	O	_	_	
1-118	сих	O	_	_	
1-119	пор	B-NC	_	_	
1-120	еще	O	_	_	
1-121	пу­тает	O	_	_	
1-122	все	O	_	_	
1-123	мои	O	_	_	
1-124	мысли	B-NC	Holonym	1-53	
1-125	?	O	_	_	
1-126	!	O	_	_	
1-127	В	O	_	_	
1-128	жизнь	B-NC	_	_	
1-129	мою	O	_	_	
1-130	вошло	O	_	_	
1-131	нечто	O	_	_	
1-132	ужас­ное	O	_	_	
1-133	!	O	_	_	
1-134	Смутное	O	_	_	
1-135	предчувствие	B-NC	Co-Hyponym	1-8	
1-136	грозящей	O	_	_	
1-137	мне	O	_	_	
1-138	страшной	O	_	_	
1-139	беды	B-NC	_	_	
1-140	надвигается	O	_	_	
1-141	на	O	_	_	
1-142	меня	O	_	_	
1-143	,	O	_	_	
1-144	как	O	_	_	
1-145	черные	O	_	_	
1-146	тени	B-NC	_	_	
1-147	облаков	B-NC	_	_	
1-148	,	O	_	_	
1-149	сквозь	O	_	_	
1-150	которые	O	_	_	
1-151	не	O	_	_	
1-152	проникнет	O	_	_	
1-153	уже	O	_	_	
1-154	ни	O	_	_	
1-155	один	O	_	_	
1-156	приветливый	O	_	_	
1-157	солнеч­ный	O	_	_	
1-158	луч	B-NC	_	_	
1-159	.	O	_	_	
1-160	Но	O	_	_	
1-161	надо	O	_	_	
1-162	же	O	_	_	
1-163	наконец	O	_	_	
1-164	сказать	O	_	_	
1-165	тебе	O	_	_	
