 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=San Francisco ( Vereinigte Staaten ) , 08.07.2013 – Eine aus Seoul in Südkorea kommende Boeing 777-200ER der Asiana Airlines ist bei der Landung auf dem internationalen Flughafen von San Francisco verunglückt . Die Maschine war offenbar bei der Landung mit dem Heck aufgeschlagen und ist dann teilweise in Flammen aufgegangen . Erste Informationen , nach denen keine Menschen ums Leben gekommen seien , mussten inzwischen berichtigt werden , denn es sind mindestens zwei Menschen gestorben . Nach dem Unglück waren neben dem Flugzeug zwei chinesische Teenager tot auf der Landebahn gefunden worden . Acht Erwachsene und zwei Kinder wurden mit schweren Verletzungen ins Krankenhaus gebracht , eine Reihe weiterer Passagiere erlitt leichte Verletzungen , insgesamt 181 Menschen wurden verletzt . An Bord des Flugzeuges befanden sich 291 Passagiere ( 141 Chinesen , 77 Südkoreaner und 61 US-Amerikaner ) und 16 Besatzungsmitglieder
1-1	San	B-NC	_	_	
1-2	Francisco	B-NC	_	_	
1-3	(	O	_	_	
1-4	Vereinigte	O	_	_	
1-5	Staaten	B-NC	_	_	
1-6	)	O	_	_	
1-7	,	O	_	_	
1-8	08.07.2013	O	_	_	
1-9	–	B-NC	_	_	
1-10	Eine	O	_	_	
1-11	aus	O	_	_	
1-12	Seoul	B-NC	_	_	
1-13	in	O	_	_	
1-14	Südkorea	B-NC	_	_	
1-15	kommende	O	_	_	
1-16	Boeing	B-NC	_	_	
1-17	777-200ER	B-NC	_	_	
1-18	der	O	_	_	
1-19	Asiana	B-NC	_	_	
1-20	Airlines	B-NC	_	_	
1-21	ist	O	_	_	
1-22	bei	O	_	_	
1-23	der	O	_	_	
1-24	Landung	B-NC	_	_	
1-25	auf	O	_	_	
1-26	dem	O	_	_	
1-27	internationalen	O	_	_	
1-28	Flughafen	B-NC	_	_	
1-29	von	O	_	_	
1-30	San	B-NC	_	_	
1-31	Francisco	B-NC	_	_	
1-32	verunglückt	O	_	_	
1-33	.	O	_	_	
1-34	Die	O	_	_	
1-35	Maschine	B-NC	_	_	
1-36	war	O	_	_	
1-37	offenbar	O	_	_	
1-38	bei	O	_	_	
1-39	der	O	_	_	
1-40	Landung	B-NC	_	_	
1-41	mit	O	_	_	
1-42	dem	O	_	_	
1-43	Heck	B-NC	Holonym	1-35	
1-44	aufgeschlagen	O	_	_	
1-45	und	O	_	_	
1-46	ist	O	_	_	
1-47	dann	O	_	_	
1-48	teilweise	O	_	_	
1-49	in	O	_	_	
1-50	Flammen	B-NC	_	_	
1-51	aufgegangen	O	_	_	
1-52	.	O	_	_	
1-53	Erste	O	_	_	
1-54	Informationen	B-NC	_	_	
1-55	,	O	_	_	
1-56	nach	O	_	_	
1-57	denen	O	_	_	
1-58	keine	O	_	_	
1-59	Menschen	B-NC	_	_	
1-60	ums	O	_	_	
1-61	Leben	B-NC	_	_	
1-62	gekommen	O	_	_	
1-63	seien	O	_	_	
1-64	,	O	_	_	
1-65	mussten	O	_	_	
1-66	inzwischen	O	_	_	
1-67	berichtigt	O	_	_	
1-68	werden	O	_	_	
1-69	,	O	_	_	
1-70	denn	O	_	_	
1-71	es	O	_	_	
1-72	sind	O	_	_	
1-73	mindestens	O	_	_	
1-74	zwei	O	_	_	
1-75	Menschen	B-NC	_	_	
1-76	gestorben	O	_	_	
1-77	.	O	_	_	
1-78	Nach	O	_	_	
1-79	dem	O	_	_	
1-80	Unglück	B-NC	_	_	
1-81	waren	O	_	_	
1-82	neben	O	_	_	
1-83	dem	O	_	_	
1-84	Flugzeug	B-NC	Hypernym	1-35	
1-85	zwei	O	_	_	
1-86	chinesische	O	_	_	
1-87	Teenager	B-NC	Hypernym	1-75	
1-88	tot	O	_	_	
1-89	auf	O	_	_	
1-90	der	O	_	_	
1-91	Landebahn	B-NC	_	_	
1-92	gefunden	O	_	_	
1-93	worden	O	_	_	
1-94	.	O	_	_	
1-95	Acht	O	_	_	
1-96	Erwachsene	B-NC	Hypernym	1-75	
1-97	und	O	_	_	
1-98	zwei	O	_	_	
1-99	Kinder	B-NC	Hypernym	1-75	
1-100	wurden	O	_	_	
1-101	mit	O	_	_	
1-102	schweren	O	_	_	
1-103	Verletzungen	B-NC	_	_	
1-104	ins	O	_	_	
1-105	Krankenhaus	B-NC	_	_	
1-106	gebracht	O	_	_	
1-107	,	O	_	_	
1-108	eine	O	_	_	
1-109	Reihe	B-NC	_	_	
1-110	weiterer	O	_	_	
1-111	Passagiere	B-NC	_	_	
1-112	erlitt	O	_	_	
1-113	leichte	O	_	_	
1-114	Verletzungen	B-NC	_	_	
1-115	,	O	_	_	
1-116	insgesamt	O	_	_	
1-117	181	O	_	_	
1-118	Menschen	B-NC	_	_	
1-119	wurden	O	_	_	
1-120	verletzt	O	_	_	
1-121	.	O	_	_	
1-122	An	O	_	_	
1-123	Bord	B-NC	Holonym	1-125	
1-124	des	O	_	_	
1-125	Flugzeuges	B-NC	_	_	
1-126	befanden	O	_	_	
1-127	sich	O	_	_	
1-128	291	O	_	_	
1-129	Passagiere	B-NC	Hypernym	1-118	
1-130	(	O	_	_	
1-131	141	O	_	_	
1-132	Chinesen	B-NC	_	_	
1-133	,	O	_	_	
1-134	77	O	_	_	
1-135	Südkoreaner	B-NC	_	_	
1-136	und	O	_	_	
1-137	61	O	_	_	
1-138	US-Amerikaner	B-NC	_	_	
1-139	)	O	_	_	
1-140	und	O	_	_	
1-141	16	O	_	_	
1-142	Besatzungsmitglieder	B-NC	Hypernym	1-118	

#id=2
#text=Das Flugzeug war am Sonnabend den 6 . Juli um kurz nach 17:00 Uhr ( Ortszeit ) in Seoul gestartet und erreichte nach etwas mehr als 10 Stunden Flugzeit kurz vor 11:30 Uhr ( Ortszeit ) den Flughafen von San Francisco . Die Ursache des Unglücks ist unklar . Das Wetter in San Francisco war zum Unglückszeitpunkt gut , es wehte nur ein ganz leichter Wind . Ein Sprecher des FBI sagte , es gebe keine Hinweise auf einen Terroranschlag . Erste Vermutungen deuten darauf hin , dass das Flugzeug die Landebahn verfehlte und den Befestigungswall der in das Wasser ragenden Landebahn berührte . Aber eine Sprecherin der amerikanischen Bundesluftfahrtbehörde sagte , auch wenn der Ablauf noch unklar sei , sehe es aus , als wenn das Flugzeug gelandet und dann außer Kontrolle geraten sei . Ein Sprecher der Fluglinie schloss Triebwerksversagen oder ein anderes mechanisches Versagen als Ursache aus . Der Flugzeughersteller Boeing sicherte seine Unterstüzung bei der Suche nach der Ursache zu
2-1	Das	O	_	_	
2-2	Flugzeug	B-NC	_	_	
2-3	war	O	_	_	
2-4	am	O	_	_	
2-5	Sonnabend	B-NC	_	_	
2-6	den	O	_	_	
2-7	6	O	_	_	
2-8	.	O	_	_	
2-9	Juli	B-NC	_	_	
2-10	um	O	_	_	
2-11	kurz	O	_	_	
2-12	nach	O	_	_	
2-13	17:00	O	_	_	
2-14	Uhr	B-NC	_	_	
2-15	(	O	_	_	
2-16	Ortszeit	B-NC	_	_	
2-17	)	O	_	_	
2-18	in	O	_	_	
2-19	Seoul	B-NC	_	_	
2-20	gestartet	O	_	_	
2-21	und	O	_	_	
2-22	erreichte	O	_	_	
2-23	nach	O	_	_	
2-24	etwas	O	_	_	
2-25	mehr	O	_	_	
2-26	als	O	_	_	
2-27	10	O	_	_	
2-28	Stunden	B-NC	_	_	
2-29	Flugzeit	B-NC	_	_	
2-30	kurz	O	_	_	
2-31	vor	O	_	_	
2-32	11:30	O	_	_	
2-33	Uhr	B-NC	_	_	
2-34	(	O	_	_	
2-35	Ortszeit	B-NC	_	_	
2-36	)	O	_	_	
2-37	den	O	_	_	
2-38	Flughafen	B-NC	_	_	
2-39	von	O	_	_	
2-40	San	B-NC	_	_	
2-41	Francisco	B-NC	_	_	
2-42	.	O	_	_	
2-43	Die	O	_	_	
2-44	Ursache	B-NC	_	_	
2-45	des	O	_	_	
2-46	Unglücks	B-NC	_	_	
2-47	ist	O	_	_	
2-48	unklar	O	_	_	
2-49	.	O	_	_	
2-50	Das	O	_	_	
2-51	Wetter	B-NC	_	_	
2-52	in	O	_	_	
2-53	San	B-NC	_	_	
2-54	Francisco	B-NC	_	_	
2-55	war	O	_	_	
2-56	zum	O	_	_	
2-57	Unglückszeitpunkt	B-NC	_	_	
2-58	gut	O	_	_	
2-59	,	O	_	_	
2-60	es	O	_	_	
2-61	wehte	O	_	_	
2-62	nur	O	_	_	
2-63	ein	O	_	_	
2-64	ganz	O	_	_	
2-65	leichter	O	_	_	
2-66	Wind	B-NC	Holonym	2-51	
2-67	.	O	_	_	
2-68	Ein	O	_	_	
2-69	Sprecher	B-NC	Holonym	2-71	
2-70	des	O	_	_	
2-71	FBI	B-NC	_	_	
2-72	sagte	O	_	_	
2-73	,	O	_	_	
2-74	es	O	_	_	
2-75	gebe	O	_	_	
2-76	keine	O	_	_	
2-77	Hinweise	B-NC	_	_	
2-78	auf	O	_	_	
2-79	einen	O	_	_	
2-80	Terroranschlag	B-NC	_	_	
2-81	.	O	_	_	
2-82	Erste	O	_	_	
2-83	Vermutungen	B-NC	_	_	
2-84	deuten	O	_	_	
2-85	darauf	O	_	_	
2-86	hin	O	_	_	
2-87	,	O	_	_	
2-88	dass	O	_	_	
2-89	das	O	_	_	
2-90	Flugzeug	B-NC	_	_	
2-91	die	O	_	_	
2-92	Landebahn	B-NC	_	_	
2-93	verfehlte	O	_	_	
2-94	und	O	_	_	
2-95	den	O	_	_	
2-96	Befestigungswall	B-NC	Holonym	2-92	
2-97	der	O	_	_	
2-98	in	O	_	_	
2-99	das	O	_	_	
2-100	Wasser	B-NC	_	_	
2-101	ragenden	O	_	_	
2-102	Landebahn	B-NC	_	_	
2-103	berührte	O	_	_	
2-104	.	O	_	_	
2-105	Aber	O	_	_	
2-106	eine	O	_	_	
2-107	Sprecherin	B-NC	Holonym	2-110	
2-108	der	O	_	_	
2-109	amerikanischen	O	_	_	
2-110	Bundesluftfahrtbehörde	B-NC	_	_	
2-111	sagte	O	_	_	
2-112	,	O	_	_	
2-113	auch	O	_	_	
2-114	wenn	O	_	_	
2-115	der	O	_	_	
2-116	Ablauf	B-NC	_	_	
2-117	noch	O	_	_	
2-118	unklar	O	_	_	
2-119	sei	O	_	_	
2-120	,	O	_	_	
2-121	sehe	O	_	_	
2-122	es	O	_	_	
2-123	aus	O	_	_	
2-124	,	O	_	_	
2-125	als	O	_	_	
2-126	wenn	O	_	_	
2-127	das	O	_	_	
2-128	Flugzeug	B-NC	_	_	
2-129	gelandet	O	_	_	
2-130	und	O	_	_	
2-131	dann	O	_	_	
2-132	außer	O	_	_	
2-133	Kontrolle	B-NC	_	_	
2-134	geraten	O	_	_	
2-135	sei	O	_	_	
2-136	.	O	_	_	
2-137	Ein	O	_	_	
2-138	Sprecher	B-NC	Holonym	2-140	
2-139	der	O	_	_	
2-140	Fluglinie	B-NC	_	_	
2-141	schloss	O	_	_	
2-142	Triebwerksversagen	B-NC	Hypernym	2-147	
2-143	oder	O	_	_	
2-144	ein	O	_	_	
2-145	anderes	O	_	_	
2-146	mechanisches	O	_	_	
2-147	Versagen	B-NC	_	_	
2-148	als	O	_	_	
2-149	Ursache	B-NC	_	_	
2-150	aus	O	_	_	
2-151	.	O	_	_	
2-152	Der	O	_	_	
2-153	Flugzeughersteller	B-NC	_	_	
2-154	Boeing	B-NC	_	_	
2-155	sicherte	O	_	_	
2-156	seine	O	_	_	
2-157	Unterstüzung	B-NC	_	_	
2-158	bei	O	_	_	
2-159	der	O	_	_	
2-160	Suche	B-NC	_	_	
2-161	nach	O	_	_	
2-162	der	O	_	_	
2-163	Ursache	B-NC	_	_	
2-164	zu	O	_	_	

#id=3
#text=Asiana Airlines ist die zweitgrößte koreanische Fluglinie und betreibt zwölf Maschinen des Typs Boeing 777-200ER . Dieser Flugzeugtyp hat eine gute Sicherheitsbilanz und ist regelmäßig auf Langstreckenflügen mit zwölf Stunden und mehr Flugzeit im Einsatz . Der Flughafen von San Francisco wurde nach dem Unglück zunächst bis auf Weiteres für den Flugverkehr gesperrt , er ist inzwischen aber wieder geöffnet worden
3-1	Asiana	B-NC	_	_	
3-2	Airlines	B-NC	_	_	
3-3	ist	O	_	_	
3-4	die	O	_	_	
3-5	zweitgrößte	O	_	_	
3-6	koreanische	O	_	_	
3-7	Fluglinie	B-NC	_	_	
3-8	und	O	_	_	
3-9	betreibt	O	_	_	
3-10	zwölf	O	_	_	
3-11	Maschinen	B-NC	Holonym	3-7	
3-12	des	O	_	_	
3-13	Typs	B-NC	_	_	
3-14	Boeing	B-NC	_	_	
3-15	777-200ER	B-NC	_	_	
3-16	.	O	_	_	
3-17	Dieser	O	_	_	
3-18	Flugzeugtyp	B-NC	Hypernym	3-13	
3-19	hat	O	_	_	
3-20	eine	O	_	_	
3-21	gute	O	_	_	
3-22	Sicherheitsbilanz	B-NC	_	_	
3-23	und	O	_	_	
3-24	ist	O	_	_	
3-25	regelmäßig	O	_	_	
3-26	auf	O	_	_	
3-27	Langstreckenflügen	B-NC	_	_	
3-28	mit	O	_	_	
3-29	zwölf	O	_	_	
3-30	Stunden	B-NC	_	_	
3-31	und	O	_	_	
3-32	mehr	O	_	_	
3-33	Flugzeit	B-NC	_	_	
3-34	im	O	_	_	
3-35	Einsatz	B-NC	_	_	
3-36	.	O	_	_	
3-37	Der	O	_	_	
3-38	Flughafen	B-NC	_	_	
3-39	von	O	_	_	
3-40	San	B-NC	_	_	
3-41	Francisco	B-NC	_	_	
3-42	wurde	O	_	_	
3-43	nach	O	_	_	
3-44	dem	O	_	_	
3-45	Unglück	B-NC	_	_	
3-46	zunächst	O	_	_	
3-47	bis	O	_	_	
3-48	auf	O	_	_	
3-49	Weiteres	B-NC	_	_	
3-50	für	O	_	_	
3-51	den	O	_	_	
3-52	Flugverkehr	B-NC	_	_	
3-53	gesperrt	O	_	_	
3-54	,	O	_	_	
3-55	er	O	_	_	
3-56	ist	O	_	_	
3-57	inzwischen	O	_	_	
3-58	aber	O	_	_	
3-59	wieder	O	_	_	
3-60	geöffnet	O	_	_	
3-61	worden	O	_	_	

