 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=An Asiana Airlines Boeing 777 airplane crashed upon landing at San Francisco International Airport around 11:30 AM local time today . Flight #214 , coming from Seoul , carrying 291 passengers — including one infant , and 16 crew members — crashed on runway 28L . Two deaths are reported and 10 passengers were taken to San Francisco General Hospital critically injured . In total , officials report 181 people were hospitalized and one person remains unaccounted for
1-1	An	O	_	_	
1-2	Asiana	B-NC	_	_	
1-3	Airlines	B-NC	_	_	
1-4	Boeing	B-NC	_	_	
1-5	777	O	_	_	
1-6	airplane	B-NC	_	_	
1-7	crashed	O	_	_	
1-8	upon	O	_	_	
1-9	landing	B-NC	_	_	
1-10	at	O	_	_	
1-11	San	B-NC	_	_	
1-12	Francisco	B-NC	_	_	
1-13	International	B-NC	_	_	
1-14	Airport	B-NC	_	_	
1-15	around	O	_	_	
1-16	11:30	O	_	_	
1-17	AM	B-NC	_	_	
1-18	local	O	_	_	
1-19	time	B-NC	_	_	
1-20	today	B-NC	_	_	
1-21	.	O	_	_	
1-22	Flight	B-NC	_	_	
1-23	#214	B-NC	_	_	
1-24	,	O	_	_	
1-25	coming	O	_	_	
1-26	from	O	_	_	
1-27	Seoul	B-NC	_	_	
1-28	,	O	_	_	
1-29	carrying	O	_	_	
1-30	291	O	_	_	
1-31	passengers	B-NC	_	_	
1-32	—	B-NC	_	_	
1-33	including	O	_	_	
1-34	one	O	_	_	
1-35	infant	B-NC	Hypernym	1-70	
1-36	,	O	_	_	
1-37	and	O	_	_	
1-38	16	O	_	_	
1-39	crew	B-NC|B-NC	Hypernym	1-70	
1-40	members	I-NC|B-NC	_	_	
1-41	—	B-NC	_	_	
1-42	crashed	O	_	_	
1-43	on	O	_	_	
1-44	runway	B-NC	Holonym	1-14	
1-45	28L	O	_	_	
1-46	.	O	_	_	
1-47	Two	O	_	_	
1-48	deaths	B-NC	_	_	
1-49	are	O	_	_	
1-50	reported	O	_	_	
1-51	and	O	_	_	
1-52	10	O	_	_	
1-53	passengers	B-NC	Hypernym	1-70	
1-54	were	O	_	_	
1-55	taken	O	_	_	
1-56	to	O	_	_	
1-57	San	B-NC	_	_	
1-58	Francisco	B-NC	_	_	
1-59	General	B-NC	_	_	
1-60	Hospital	B-NC	_	_	
1-61	critically	O	_	_	
1-62	injured	O	_	_	
1-63	.	O	_	_	
1-64	In	O	_	_	
1-65	total	B-NC	_	_	
1-66	,	O	_	_	
1-67	officials	B-NC	Hypernym	1-70	
1-68	report	O	_	_	
1-69	181	O	_	_	
1-70	people	B-NC	_	_	
1-71	were	O	_	_	
1-72	hospitalized	O	_	_	
1-73	and	O	_	_	
1-74	one	O	_	_	
1-75	person	B-NC	Synonym	1-70	
1-76	remains	O	_	_	
1-77	unaccounted	O	_	_	
1-78	for	O	_	_	

#id=2
#text=It is reported that when the airplane took off from Seoul , smoke was coming from the airplane . The weather was good as the plane was landing in San Francisco . According to David Eun , a passenger on the airplane and the executive vice president of Samsung , the tail came off of the plane upon landing . A non-passenger witness , Anthony Castorani , has reported that a fireball formed upon the plane landing and that the plane flipped over . A large portion of the passenger area of the plane was on fire and has burned out . Most of the plane 's tail is gone . Passengers were seen using emergency slides to escape the wreckage
2-1	It	O	_	_	
2-2	is	O	_	_	
2-3	reported	O	_	_	
2-4	that	O	_	_	
2-5	when	O	_	_	
2-6	the	O	_	_	
2-7	airplane	B-NC	_	_	
2-8	took	O	_	_	
2-9	off	O	_	_	
2-10	from	O	_	_	
2-11	Seoul	B-NC	_	_	
2-12	,	O	_	_	
2-13	smoke	B-NC	_	_	
2-14	was	O	_	_	
2-15	coming	O	_	_	
2-16	from	O	_	_	
2-17	the	O	_	_	
2-18	airplane	B-NC	_	_	
2-19	.	O	_	_	
2-20	The	O	_	_	
2-21	weather	B-NC	_	_	
2-22	was	O	_	_	
2-23	good	O	_	_	
2-24	as	O	_	_	
2-25	the	O	_	_	
2-26	plane	B-NC	_	_	
2-27	was	O	_	_	
2-28	landing	O	_	_	
2-29	in	O	_	_	
2-30	San	B-NC	_	_	
2-31	Francisco	B-NC	_	_	
2-32	.	O	_	_	
2-33	According	O	_	_	
2-34	to	O	_	_	
2-35	David	B-NC	_	_	
