 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Два человека погибли в результате жёсткой посадки Boeing 777-28EER[уточнить ] ( бортовой номер HL7742 ; заводской — 29171 ; серийный — 553 ) южнокорейской авиакомпании Asiana Airlines , выполнявшего рейс AAR214 ( OZ-214[уточнить ] ) из Международного аэропорта Инчхон , который расположен в 70 километрах от Сеула в Сан-Франциско ( Калифорния , США ) . 181 человека доставили в городские больницы . Восемь взрослых и двое детей находятся в критическом состоянии . Всего на борту широкофюзеляжного дальнемагистрального самолета находились 291 пассажир и 16 членов экипажа
1-1	Два	O	_	_	
1-2	человека	B-NC	_	_	
1-3	погибли	O	_	_	
1-4	в	O	_	_	
1-5	результате	B-NC	_	_	
1-6	жёсткой	O	_	_	
1-7	посадки	B-NC	_	_	
1-8	Boeing	O	_	_	
1-9	777-28EER[уточнить	O	_	_	
1-10	]	O	_	_	
1-11	(	O	_	_	
1-12	бортовой	O	_	_	
1-13	номер	B-NC	_	_	
1-14	HL7742	O	_	_	
1-15	;	O	_	_	
1-16	заводской	O	_	_	
1-17	—	O	_	_	
1-18	29171	O	_	_	
1-19	;	O	_	_	
1-20	серийный	O	_	_	
1-21	—	O	_	_	
1-22	553	O	_	_	
1-23	)	O	_	_	
1-24	южнокорейской	O	_	_	
1-25	авиакомпании	B-NC	_	_	
1-26	Asiana	O	_	_	
1-27	Airlines	O	_	_	
1-28	,	O	_	_	
1-29	выполнявшего	O	_	_	
1-30	рейс	B-NC	_	_	
1-31	AAR214	O	_	_	
1-32	(	O	_	_	
1-33	OZ-214[уточнить	O	_	_	
1-34	]	O	_	_	
1-35	)	O	_	_	
1-36	из	O	_	_	
1-37	Международного	O	_	_	
1-38	аэропорта	B-NC	_	_	
1-39	Инчхон	B-NC	_	_	
1-40	,	O	_	_	
1-41	который	O	_	_	
1-42	расположен	O	_	_	
1-43	в	O	_	_	
1-44	70	O	_	_	
1-45	километрах	B-NC	_	_	
1-46	от	O	_	_	
1-47	Сеула	B-NC	_	_	
1-48	в	O	_	_	
1-49	Сан-Франциско	B-NC	_	_	
1-50	(	O	_	_	
1-51	Калифорния	B-NC	_	_	
1-52	,	O	_	_	
1-53	США	B-NC	_	_	
1-54	)	O	_	_	
1-55	.	O	_	_	
1-56	181	O	_	_	
1-57	человека	B-NC	_	_	
1-58	доставили	O	_	_	
1-59	в	O	_	_	
1-60	городские	O	_	_	
1-61	больницы	B-NC	_	_	
1-62	.	O	_	_	
1-63	Восемь	O	_	_	
1-64	взрослых	B-NC	Hypernym	1-57	
1-65	и	O	_	_	
1-66	двое	O	_	_	
1-67	детей	B-NC	Hypernym	1-57	
1-68	находятся	O	_	_	
1-69	в	O	_	_	
1-70	критическом	O	_	_	
1-71	состоянии	B-NC	_	_	
1-72	.	O	_	_	
1-73	Всего	O	_	_	
1-74	на	O	_	_	
1-75	борту	B-NC	Holonym	1-78	
1-76	широкофюзеляжного	O	_	_	
1-77	дальнемагистрального	O	_	_	
1-78	самолета	B-NC	_	_	
1-79	находились	O	_	_	
1-80	291	O	_	_	
1-81	пассажир	B-NC	Hypernym	1-57	
1-82	и	O	_	_	
1-83	16	O	_	_	
1-84	членов	B-NC|B-NC	Hypernym	1-57	
1-85	экипажа	I-NC|B-NC	_	_	

#id=2
#text=По последним данным самолёт вылетел из Шанхая , совершил промежуточную посадку в Сеуле , а затем взял курс на Сан-Франциско
2-1	По	O	_	_	
