 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Belgrad ( Serbien ) , 27.05.2011 – Der mutmaßliche Kriegsverbrecher Ratko Mladić wurde gestern auf serbischem Gebiet festgenommen . Das verkündete gestern Serbiens Staatschef Boris Tadić . Einen genauen Ort nannte Tadić nicht
1-1	Belgrad	B-NC	_	_	
1-2	(	O	_	_	
1-3	Serbien	B-NC	_	_	
1-4	)	O	_	_	
1-5	,	O	_	_	
1-6	27.05.2011	O	_	_	
1-7	–	B-NC	_	_	
1-8	Der	O	_	_	
1-9	mutmaßliche	O	_	_	
1-10	Kriegsverbrecher	B-NC	_	_	
1-11	Ratko	B-NC	_	_	
1-12	Mladić	B-NC	_	_	
1-13	wurde	O	_	_	
1-14	gestern	O	_	_	
1-15	auf	O	_	_	
1-16	serbischem	O	_	_	
1-17	Gebiet	B-NC	_	_	
1-18	festgenommen	O	_	_	
1-19	.	O	_	_	
1-20	Das	O	_	_	
1-21	verkündete	O	_	_	
1-22	gestern	O	_	_	
1-23	Serbiens	B-NC	_	_	
1-24	Staatschef	B-NC	_	_	
1-25	Boris	B-NC	_	_	
1-26	Tadić	B-NC	_	_	
1-27	.	O	_	_	
1-28	Einen	O	_	_	
1-29	genauen	O	_	_	
1-30	Ort	B-NC	Holonym	1-17	
1-31	nannte	O	_	_	
1-32	Tadić	B-NC	_	_	
1-33	nicht	O	_	_	

#id=2
#text=Nach mehr als zehn Jahren auf der Flucht muss sich der frühere Kommandeur der bosnischen Serben nun vor dem UN - Kriegsverbrechertribunal in Den Haag wegen Völkermords , Kriegsverbrechen und Verbrechen gegen die Menschlichkeit verantworten . Das UN - Sondertribunal für Jugoslawien hatte ihn unter anderem wegen der Belagerung Sarajevos , bei der etwa 10.000 Menschen zu Tode kamen , und wegen des Massakers in der bosnischen Stadt Srebrenica im Jahre 1995 angeklagt
2-1	Nach	O	_	_	
2-2	mehr	O	_	_	
2-3	als	O	_	_	
2-4	zehn	O	_	_	
2-5	Jahren	B-NC	_	_	
2-6	auf	O	_	_	
2-7	der	O	_	_	
2-8	Flucht	B-NC	_	_	
2-9	muss	O	_	_	
2-10	sich	O	_	_	
2-11	der	O	_	_	
2-12	frühere	O	_	_	
2-13	Kommandeur	B-NC	Hypernym	2-56	
2-14	der	O	_	_	
2-15	bosnischen	O	_	_	
2-16	Serben	B-NC	_	_	
2-17	nun	O	_	_	
2-18	vor	O	_	_	
2-19	dem	O	_	_	
2-20	UN	B-NC	_	_	
2-21	-	O	_	_	
2-22	Kriegsverbrechertribunal	B-NC	_	_	
2-23	in	O	_	_	
2-24	Den	O	_	_	
2-25	Haag	B-NC	_	_	
2-26	wegen	O	_	_	
2-27	Völkermords	B-NC	Hypernym	2-31	
2-28	,	O	_	_	
2-29	Kriegsverbrechen	B-NC	Hypernym	2-31	
2-30	und	O	_	_	
2-31	Verbrechen	B-NC	_	_	
2-32	gegen	O	_	_	
2-33	die	O	_	_	
2-34	Menschlichkeit	B-NC	_	_	
2-35	verantworten	O	_	_	
2-36	.	O	_	_	
2-37	Das	O	_	_	
2-38	UN	B-NC	_	_	
2-39	-	O	_	_	
2-40	Sondertribunal	B-NC	_	_	
2-41	für	O	_	_	
2-42	Jugoslawien	B-NC	_	_	
2-43	hatte	O	_	_	
2-44	ihn	O	_	_	
2-45	unter	O	_	_	
2-46	anderem	O	_	_	
2-47	wegen	O	_	_	
2-48	der	O	_	_	
2-49	Belagerung	B-NC	Hypernym	2-31	
2-50	Sarajevos	B-NC	_	_	
2-51	,	O	_	_	
2-52	bei	O	_	_	
2-53	der	O	_	_	
2-54	etwa	O	_	_	
2-55	10.000	O	_	_	
2-56	Menschen	B-NC	_	_	
2-57	zu	O	_	_	
2-58	Tode	B-NC	Holonym	2-64	
2-59	kamen	O	_	_	
2-60	,	O	_	_	
2-61	und	O	_	_	
2-62	wegen	O	_	_	
2-63	des	O	_	_	
2-64	Massakers	B-NC	Hypernym	2-31	
2-65	in	O	_	_	
2-66	der	O	_	_	
2-67	bosnischen	O	_	_	
2-68	Stadt	B-NC	_	_	
2-69	Srebrenica	B-NC	_	_	
2-70	im	O	_	_	
2-71	Jahre	B-NC	_	_	
2-72	1995	O	_	_	
2-73	angeklagt	O	_	_	

