 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Ratko Mladić , otherwise known as " The Butcher of Bosnia , " has been arrested after being sought for over a decade . The 69 - year - old former Serbian general and war crimes suspect was arrested on May 26 by Serbian special police in Lazarevo , Serbia . Mladić was accused of war crimes shortly after the 1992 – 1995 Bosnian War . He was wanted for genocide and crimes against humanity , including the orchestration of a massacre of over 8000 Muslim Bosniak men and boys in Srebrenica
1-1	Ratko	B-NC	_	_	
1-2	Mladić	B-NC	_	_	
1-3	,	O	_	_	
1-4	otherwise	O	_	_	
1-5	known	O	_	_	
1-6	as	O	_	_	
1-7	"	O	_	_	
1-8	The	O	_	_	
1-9	Butcher	B-NC	Hypernym	1-88	
1-10	of	O	_	_	
1-11	Bosnia	B-NC	_	_	
1-12	,	O	_	_	
1-13	"	O	_	_	
1-14	has	O	_	_	
1-15	been	O	_	_	
1-16	arrested	O	_	_	
1-17	after	O	_	_	
1-18	being	O	_	_	
1-19	sought	O	_	_	
1-20	for	O	_	_	
1-21	over	O	_	_	
1-22	a	O	_	_	
1-23	decade	B-NC	_	_	
1-24	.	O	_	_	
1-25	The	O	_	_	
1-26	69	O	_	_	
1-27	-	O	_	_	
1-28	year	B-NC	_	_	
1-29	-	O	_	_	
1-30	old	O	_	_	
1-31	former	O	_	_	
1-32	Serbian	O	_	_	
1-33	general	B-NC	Holonym	1-46	
1-34	and	O	_	_	
1-35	war	B-NC	_	_	
1-36	crimes	B-NC	_	_	
1-37	suspect	O	_	_	
1-38	was	O	_	_	
1-39	arrested	O	_	_	
1-40	on	O	_	_	
1-41	May	B-NC	_	_	
1-42	26	O	_	_	
1-43	by	O	_	_	
1-44	Serbian	O	_	_	
1-45	special	O	_	_	
1-46	police	B-NC	_	_	
1-47	in	O	_	_	
1-48	Lazarevo	B-NC	_	_	
1-49	,	O	_	_	
1-50	Serbia	B-NC	_	_	
1-51	.	O	_	_	
1-52	Mladić	B-NC	_	_	
1-53	was	O	_	_	
1-54	accused	O	_	_	
1-55	of	O	_	_	
1-56	war	B-NC|B-NC	Hypernym	1-73	
1-57	crimes	I-NC|B-NC	_	_	
1-58	shortly	O	_	_	
1-59	after	O	_	_	
1-60	the	O	_	_	
1-61	1992	O	_	_	
1-62	–	B-NC	_	_	
1-63	1995	O	_	_	
1-64	Bosnian	O	_	_	
1-65	War	B-NC	_	_	
1-66	.	O	_	_	
1-67	He	O	_	_	
1-68	was	O	_	_	
1-69	wanted	O	_	_	
1-70	for	O	_	_	
1-71	genocide	B-NC	Hypernym|Hypernym	1-73|1-73	
1-72	and	O	_	_	
1-73	crimes	B-NC	_	_	
1-74	against	O	_	_	
1-75	humanity	B-NC	_	_	
1-76	,	O	_	_	
1-77	including	O	_	_	
1-78	the	O	_	_	
1-79	orchestration	B-NC	_	_	
1-80	of	O	_	_	
1-81	a	O	_	_	
1-82	massacre	B-NC	Hypernym	1-73	
1-83	of	O	_	_	
1-84	over	O	_	_	
1-85	8000	O	_	_	
1-86	Muslim	O	_	_	
1-87	Bosniak	B-NC	_	_	
1-88	men	B-NC	_	_	
1-89	and	O	_	_	
1-90	boys	B-NC	Hypernym	1-88	
1-91	in	O	_	_	
1-92	Srebrenica	B-NC	_	_	

#id=2
#text=The arrest has prompted protests from Serbian nationalists , who herald Mladić as a national hero and patriot . However , the international reaction to Mladić 's capture is more positive . French President Nicolas Sarkozy praised Serbia 's actions , saying it is another step for Serbia on the path to joining the European Union . Swedish foreign minister Carl Bildt gave similar praise , saying that the Serbia 's prospects of joining the EU are " brighter than ever .
2-1	The	O	_	_	
2-2	arrest	B-NC	_	_	
2-3	has	O	_	_	
2-4	prompted	O	_	_	
2-5	protests	B-NC	Hypernym|Hypernym	2-40|2-24	
2-6	from	O	_	_	
2-7	Serbian	O	_	_	
2-8	nationalists	B-NC	_	_	
2-9	,	O	_	_	
2-10	who	O	_	_	
2-11	herald	O	_	_	
2-12	Mladić	B-NC	_	_	
2-13	as	O	_	_	
2-14	a	O	_	_	
2-15	national	O	_	_	
2-16	hero	B-NC	_	_	
2-17	and	O	_	_	
2-18	patriot	B-NC	_	_	
2-19	.	O	_	_	
2-20	However	O	_	_	
2-21	,	O	_	_	
2-22	the	O	_	_	
2-23	international	O	_	_	
2-24	reaction	B-NC	_	_	
2-25	to	O	_	_	
2-26	Mladić	B-NC	_	_	
2-27	's	O	_	_	
2-28	capture	B-NC	_	_	
2-29	is	O	_	_	
2-30	more	O	_	_	
2-31	positive	O	_	_	
2-32	.	O	_	_	
2-33	French	B-NC	_	_	
2-34	President	B-NC	_	_	
2-35	Nicolas	B-NC	_	_	
2-36	Sarkozy	B-NC	_	_	
2-37	praised	O	_	_	
2-38	Serbia	B-NC	_	_	
2-39	's	O	_	_	
2-40	actions	B-NC	_	_	
2-41	,	O	_	_	
2-42	saying	O	_	_	
2-43	it	O	_	_	
2-44	is	O	_	_	
2-45	another	O	_	_	
2-46	step	B-NC	_	_	
2-47	for	O	_	_	
2-48	Serbia	B-NC	_	_	
2-49	on	O	_	_	
2-50	the	O	_	_	
2-51	path	B-NC	_	_	
2-52	to	O	_	_	
2-53	joining	O	_	_	
2-54	the	O	_	_	
2-55	European	O	_	_	
2-56	Union	B-NC	_	_	
2-57	.	O	_	_	
2-58	Swedish	O	_	_	
2-59	foreign	O	_	_	
2-60	minister	B-NC	_	_	
2-61	Carl	B-NC	_	_	
2-62	Bildt	B-NC	_	_	
2-63	gave	O	_	_	
2-64	similar	O	_	_	
2-65	praise	B-NC	_	_	
2-66	,	O	_	_	
2-67	saying	O	_	_	
2-68	that	O	_	_	
2-69	the	O	_	_	
2-70	Serbia	B-NC	_	_	
2-71	's	O	_	_	
2-72	prospects	B-NC	_	_	
2-73	of	O	_	_	
2-74	joining	O	_	_	
2-75	the	O	_	_	
2-76	EU	B-NC	_	_	
2-77	are	O	_	_	
2-78	"	O	_	_	
2-79	brighter	O	_	_	
2-80	than	O	_	_	
2-81	ever	O	_	_	
2-82	.	O	_	_	

#id=3
#text=Serbia 's war crimes court ruled that Mladić is fit for trial , despite claims from family and supporters to the contrary . Ratko Mladić 's son Darko claims that his father is too weak to face extradition to The Hague for trial . Mladić could face extradition within a matter of
3-1	Serbia	B-NC	_	_	
3-2	's	O	_	_	
3-3	war	B-NC	_	_	
3-4	crimes	B-NC	_	_	
3-5	court	B-NC	_	_	
3-6	ruled	O	_	_	
3-7	that	O	_	_	
3-8	Mladić	B-NC	_	_	
3-9	is	O	_	_	
3-10	fit	O	_	_	
3-11	for	O	_	_	
3-12	trial	B-NC	_	_	
3-13	,	O	_	_	
3-14	despite	O	_	_	
3-15	claims	B-NC	_	_	
3-16	from	O	_	_	
3-17	family	B-NC	_	_	
3-18	and	O	_	_	
3-19	supporters	B-NC	_	_	
3-20	to	O	_	_	
3-21	the	O	_	_	
3-22	contrary	B-NC	_	_	
3-23	.	O	_	_	
3-24	Ratko	B-NC	_	_	
3-25	Mladić	B-NC	_	_	
3-26	's	O	_	_	
3-27	son	B-NC	Holonym	3-17	
3-28	Darko	B-NC	_	_	
3-29	claims	O	_	_	
3-30	that	O	_	_	
3-31	his	O	_	_	
3-32	father	B-NC	Holonym	3-17	
3-33	is	O	_	_	
3-34	too	O	_	_	
3-35	weak	O	_	_	
3-36	to	O	_	_	
3-37	face	O	_	_	
3-38	extradition	B-NC	_	_	
3-39	to	O	_	_	
3-40	The	O	_	_	
3-41	Hague	B-NC	_	_	
3-42	for	O	_	_	
3-43	trial	B-NC	_	_	
3-44	.	O	_	_	
3-45	Mladić	B-NC	_	_	
3-46	could	O	_	_	
3-47	face	O	_	_	
3-48	extradition	B-NC	_	_	
3-49	within	O	_	_	
3-50	a	O	_	_	
3-51	matter	B-NC	_	_	
3-52	of	O	_	_	

