 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Сегодня прошла экстренная пресс - конференция президента Сербии Бориса Тадича , на которой было сообщено о поимке бывшего командира армии боснийских сербов Ратко Младича
1-1	Сегодня	O	_	_	
1-2	прошла	O	_	_	
1-3	экстренная	O	_	_	
1-4	пресс	B-NC	_	_	
1-5	-	O	_	_	
1-6	конференция	B-NC	_	_	
1-7	президента	B-NC	_	_	
1-8	Сербии	B-NC	_	_	
1-9	Бориса	B-NC	_	_	
1-10	Тадича	B-NC	_	_	
1-11	,	O	_	_	
1-12	на	O	_	_	
1-13	которой	O	_	_	
1-14	было	O	_	_	
1-15	сообщено	O	_	_	
1-16	о	O	_	_	
1-17	поимке	B-NC	_	_	
1-18	бывшего	O	_	_	
1-19	командира	B-NC|B-NC	Co-Hyponym	1-7	
1-20	армии	I-NC|B-NC	_	_	
1-21	боснийских	O	_	_	
1-22	сербов	B-NC	_	_	
1-23	Ратко	B-NC	_	_	
1-24	Младича	B-NC	_	_	

#id=2
#text=69 - летний Младич , скрывается с 1995 года , тогда Международный трибунал ООН по бывшей Югославии предьявил ему обвинение за геноцид , в связи с резнёй в Сребренице . Кроме этого Младич обвиняется и в других преступлениях , которые произошли во время конфликта в Боснии в 90 - ых годах
2-1	69	O	_	_	
2-2	-	O	_	_	
2-3	летний	O	_	_	
2-4	Младич	B-NC	_	_	
2-5	,	O	_	_	
2-6	скрывается	O	_	_	
2-7	с	O	_	_	
2-8	1995	O	_	_	
2-9	года	B-NC	_	_	
2-10	,	O	_	_	
2-11	тогда	O	_	_	
2-12	Международный	O	_	_	
2-13	трибунал	B-NC	_	_	
2-14	ООН	B-NC	_	_	
2-15	по	O	_	_	
2-16	бывшей	O	_	_	
2-17	Югославии	B-NC	_	_	
2-18	предьявил	O	_	_	
2-19	ему	O	_	_	
2-20	обвинение	B-NC	_	_	
2-21	за	O	_	_	
2-22	геноцид	B-NC	Hypernym	2-38	
2-23	,	O	_	_	
2-24	в	O	_	_	
2-25	связи	B-NC	_	_	
2-26	с	O	_	_	
2-27	резнёй	B-NC	_	_	
2-28	в	O	_	_	
2-29	Сребренице	B-NC	_	_	
2-30	.	O	_	_	
2-31	Кроме	O	_	_	
2-32	этого	O	_	_	
2-33	Младич	B-NC	_	_	
2-34	обвиняется	O	_	_	
2-35	и	O	_	_	
2-36	в	O	_	_	
2-37	других	O	_	_	
2-38	преступлениях	B-NC	_	_	
2-39	,	O	_	_	
2-40	которые	O	_	_	
