 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Arlington ( USA ) , 08.03.2006 – Der 34-jährige Japaner Daisuke Enomoto wird der vierte Weltraum-Tourist . Am 7 . März gab das US-amerikanische Unternehmen „ Space Adventures “ aus Arlington , Virginia diese Information an die Presse . Space Adventures hat sich auf die Vermittlung von Weltraumflügen spezialisiert
1-1	Arlington	B-NC	_	_	
1-2	(	O	_	_	
1-3	USA	B-NC	_	_	
1-4	)	O	_	_	
1-5	,	O	_	_	
1-6	08.03.2006	O	_	_	
1-7	–	B-NC	_	_	
1-8	Der	O	_	_	
1-9	34-jährige	O	_	_	
1-10	Japaner	B-NC	_	_	
1-11	Daisuke	B-NC	_	_	
1-12	Enomoto	B-NC	_	_	
1-13	wird	O	_	_	
1-14	der	O	_	_	
1-15	vierte	O	_	_	
1-16	Weltraum-Tourist	B-NC	_	_	
1-17	.	O	_	_	
1-18	Am	O	_	_	
1-19	7	O	_	_	
1-20	.	O	_	_	
1-21	März	B-NC	_	_	
1-22	gab	O	_	_	
1-23	das	O	_	_	
1-24	US-amerikanische	O	_	_	
1-25	Unternehmen	B-NC	_	_	
1-26	„	O	_	_	
1-27	Space	B-NC	_	_	
1-28	Adventures	B-NC	_	_	
1-29	“	B-NC	_	_	
1-30	aus	O	_	_	
1-31	Arlington	B-NC	_	_	
1-32	,	O	_	_	
1-33	Virginia	B-NC	_	_	
1-34	diese	O	_	_	
1-35	Information	B-NC	Holonym	1-38	
1-36	an	O	_	_	
1-37	die	O	_	_	
1-38	Presse	B-NC	_	_	
1-39	.	O	_	_	
1-40	Space	B-NC	_	_	
1-41	Adventures	B-NC	_	_	
1-42	hat	O	_	_	
1-43	sich	O	_	_	
1-44	auf	O	_	_	
1-45	die	O	_	_	
1-46	Vermittlung	B-NC	_	_	
1-47	von	O	_	_	
1-48	Weltraumflügen	B-NC	_	_	
1-49	spezialisiert	O	_	_	

#id=2
#text=Der Unternehmer Enomoto hat bereits die für die Aufnahme des bevorstehenden Weltraumtrainings erforderlichen Tests erfolgreich bestanden . Absolviert hat er diese medizinischen Vorbereitungen bei der russischen Raumfahrtagentur . Danach wurde der Vertrag für den Flug unterschrieben
2-1	Der	O	_	_	
2-2	Unternehmer	B-NC	_	_	
2-3	Enomoto	B-NC	_	_	
2-4	hat	O	_	_	
2-5	bereits	O	_	_	
2-6	die	O	_	_	
2-7	für	O	_	_	
2-8	die	O	_	_	
2-9	Aufnahme	B-NC	_	_	
2-10	des	O	_	_	
