 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Friday , March 10 , 2006 Japanese entrepreneur Daisuke " Dice-K " Enomoto , 34 , is set to become the fourth private citizen in space . The Arlington , Virginia-based company " Space Adventures " , which specializes in spaceflight-related travel , announced on March 7 that Enomoto was approved by the Russian space agency as a flight candidate
1-1	Friday	B-NC	_	_	
1-2	,	O	_	_	
1-3	March	B-NC	_	_	
1-4	10	O	_	_	
1-5	,	O	_	_	
1-6	2006	O	_	_	
1-7	Japanese	O	_	_	
1-8	entrepreneur	B-NC	Holonym	1-32	
1-9	Daisuke	B-NC	_	_	
1-10	"	O	_	_	
1-11	Dice-K	B-NC	_	_	
1-12	"	O	_	_	
1-13	Enomoto	B-NC	_	_	
1-14	,	O	_	_	
1-15	34	O	_	_	
1-16	,	O	_	_	
1-17	is	O	_	_	
1-18	set	O	_	_	
1-19	to	O	_	_	
1-20	become	O	_	_	
1-21	the	O	_	_	
1-22	fourth	O	_	_	
1-23	private	O	_	_	
1-24	citizen	B-NC	Co-Hyponym	1-8	
1-25	in	O	_	_	
1-26	space	B-NC	_	_	
1-27	.	O	_	_	
1-28	The	O	_	_	
1-29	Arlington	B-NC	_	_	
1-30	,	O	_	_	
1-31	Virginia-based	O	_	_	
1-32	company	B-NC	_	_	
1-33	"	O	_	_	
1-34	Space	B-NC	_	_	
1-35	Adventures	B-NC	_	_	
1-36	"	O	_	_	
1-37	,	O	_	_	
1-38	which	O	_	_	
1-39	specializes	O	_	_	
1-40	in	O	_	_	
1-41	spaceflight-related	O	_	_	
1-42	travel	B-NC	_	_	
1-43	,	O	_	_	
1-44	announced	O	_	_	
1-45	on	O	_	_	
1-46	March	B-NC	_	_	
1-47	7	O	_	_	
1-48	that	O	_	_	
1-49	Enomoto	B-NC	_	_	
1-50	was	O	_	_	
1-51	approved	O	_	_	
1-52	by	O	_	_	
1-53	the	O	_	_	
1-54	Russian	O	_	_	
1-55	space	B-NC|B-NC	Hypernym	1-32	
1-56	agency	I-NC|B-NC	_	_	
1-57	as	O	_	_	
1-58	a	O	_	_	
1-59	flight	B-NC|B-NC	Co-Hyponym	1-8	
1-60	candidate	I-NC|B-NC	_	_	

#id=2
#text=Enomoto has now passed the physical examinations necessary to be cleared for training , finished the medical preparation , and signed the contract for the flight . His training with the Russian Federal Space Agency will include physical and aeronautical preparation as well as Russian language instruction
2-1	Enomoto	B-NC	_	_	
2-2	has	O	_	_	
2-3	now	O	_	_	
2-4	passed	O	_	_	
2-5	the	O	_	_	
2-6	physical	O	_	_	
2-7	examinations	B-NC	_	_	
2-8	necessary	O	_	_	
2-9	to	O	_	_	
2-10	be	O	_	_	
2-11	cleared	O	_	_	
2-12	for	O	_	_	
2-13	training	B-NC	Hypernym	2-18	
2-14	,	O	_	_	
2-15	finished	O	_	_	
2-16	the	O	_	_	
2-17	medical	O	_	_	
2-18	preparation	B-NC	_	_	
2-19	,	O	_	_	
2-20	and	O	_	_	
2-21	signed	O	_	_	
2-22	the	O	_	_	
2-23	contract	B-NC	_	_	
2-24	for	O	_	_	
2-25	the	O	_	_	
2-26	flight	B-NC	_	_	
2-27	.	O	_	_	
2-28	His	O	_	_	
2-29	training	B-NC	_	_	
2-30	with	O	_	_	
2-31	the	O	_	_	
2-32	Russian	B-NC	_	_	
2-33	Federal	B-NC	_	_	
2-34	Space	B-NC	_	_	
2-35	Agency	B-NC	_	_	
2-36	will	O	_	_	
2-37	include	O	_	_	
2-38	physical	O	_	_	
2-39	and	O	_	_	
2-40	aeronautical	O	_	_	
2-41	preparation	B-NC	_	_	
2-42	as	O	_	_	
2-43	well	O	_	_	
2-44	as	O	_	_	
2-45	Russian	O	_	_	
2-46	language	B-NC	_	_	
2-47	instruction	B-NC	_	_	

#id=3
#text=Enomoto will be the first Japanese person to fly to the International Space Station ( ISS ) . His trip , to take place in a Soyuz TMA-9 rocket , is scheduled for September , with a ticket price of US$20 million
3-1	Enomoto	B-NC	_	_	
3-2	will	O	_	_	
3-3	be	O	_	_	
3-4	the	O	_	_	
3-5	first	O	_	_	
3-6	Japanese	O	_	_	
3-7	person	B-NC	_	_	
3-8	to	O	_	_	
3-9	fly	O	_	_	
3-10	to	O	_	_	
3-11	the	O	_	_	
3-12	International	B-NC	_	_	
3-13	Space	B-NC	_	_	
3-14	Station	B-NC	_	_	
3-15	(	O	_	_	
3-16	ISS	B-NC	_	_	
3-17	)	O	_	_	
3-18	.	O	_	_	
3-19	His	O	_	_	
3-20	trip	B-NC	_	_	
3-21	,	O	_	_	
3-22	to	O	_	_	
3-23	take	O	_	_	
3-24	place	B-NC	_	_	
3-25	in	O	_	_	
3-26	a	O	_	_	
3-27	Soyuz	B-NC	_	_	
3-28	TMA-9	B-NC	_	_	
3-29	rocket	B-NC	_	_	
3-30	,	O	_	_	
3-31	is	O	_	_	
3-32	scheduled	O	_	_	
3-33	for	O	_	_	
3-34	September	B-NC	_	_	
3-35	,	O	_	_	
3-36	with	O	_	_	
3-37	a	O	_	_	
3-38	ticket	B-NC	_	_	
3-39	price	B-NC	_	_	
3-40	of	O	_	_	
3-41	US$20	B-NC	_	_	
3-42	million	O	_	_	

#id=4
#text=United States entrepreneur Gregory Olsen returned from the ISS in October 2005 ; previous space vacationers were American Dennis Tito in 2001 and South African Mark Shuttleworth in 2002
4-1	United	B-NC	_	_	
4-2	States	B-NC	_	_	
4-3	entrepreneur	B-NC	_	_	
4-4	Gregory	B-NC	_	_	
4-5	Olsen	B-NC	_	_	
4-6	returned	O	_	_	
4-7	from	O	_	_	
4-8	the	O	_	_	
4-9	ISS	B-NC	_	_	
4-10	in	O	_	_	
4-11	October	B-NC	_	_	
4-12	2005	O	_	_	
4-13	;	O	_	_	
4-14	previous	O	_	_	
4-15	space	B-NC|B-NC	Co-Hyponym	4-3	
4-16	vacationers	I-NC|B-NC	_	_	
4-17	were	O	_	_	
4-18	American	B-NC	_	_	
4-19	Dennis	B-NC	_	_	
4-20	Tito	B-NC	_	_	
4-21	in	O	_	_	
4-22	2001	O	_	_	
4-23	and	O	_	_	
4-24	South	B-NC	_	_	
4-25	African	B-NC	_	_	
4-26	Mark	B-NC	_	_	
4-27	Shuttleworth	B-NC	_	_	
4-28	in	O	_	_	
4-29	2002	O	_	_	

