 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Тридцатичетырёхлетний японский предприниматель Дайсуке Эномото ( Daisuke Enomoto ) будет четвёртым космическим туристом . Об этом сообщило американская фирма «Спейс адвентчерс» ( Space Adventures ) из Арлингтона , штат Вирджиния . Фирма «Спейс адвентчерс» специализируется на организации космических путешествий
1-1	Тридцатичетырёхлетний	O	_	_	
1-2	японский	O	_	_	
1-3	предприниматель	B-NC	_	_	
1-4	Дайсуке	B-NC	_	_	
1-5	Эномото	B-NC	_	_	
1-6	(	O	_	_	
1-7	Daisuke	O	_	_	
1-8	Enomoto	O	_	_	
1-9	)	O	_	_	
1-10	будет	O	_	_	
1-11	четвёртым	O	_	_	
1-12	космическим	O	_	_	
1-13	туристом	B-NC	Co-Hyponym	1-3	
1-14	.	O	_	_	
1-15	Об	O	_	_	
1-16	этом	O	_	_	
1-17	сообщило	O	_	_	
1-18	американская	O	_	_	
1-19	фирма	B-NC	_	_	
1-20	«Спейс	O	_	_	
1-21	адвентчерс»	B-NC	_	_	
1-22	(	O	_	_	
1-23	Space	O	_	_	
1-24	Adventures	O	_	_	
1-25	)	O	_	_	
1-26	из	O	_	_	
1-27	Арлингтона	B-NC	_	_	
1-28	,	O	_	_	
1-29	штат	B-NC	_	_	
1-30	Вирджиния	B-NC	_	_	
1-31	.	O	_	_	
1-32	Фирма	B-NC	Hypernym	1-37	
1-33	«Спейс	O	_	_	
1-34	адвентчерс»	B-NC	_	_	
1-35	специализируется	O	_	_	
1-36	на	O	_	_	
1-37	организации	B-NC	_	_	
1-38	космических	O	_	_	
1-39	путешествий	B-NC	_	_	

#id=2
#text=Эномото успешно прошёл необходимые тесты перед началом непосредственных тренировок к космическому полёту . Он также выдержал медицинские обследования в Российском космическом агентстве . После этого был подписан договор о космическом полёте
2-1	Эномото	B-NC	_	_	
2-2	успешно	O	_	_	
2-3	прошёл	O	_	_	
2-4	необходимые	O	_	_	
2-5	тесты	B-NC	_	_	
2-6	перед	O	_	_	
2-7	началом	B-NC	_	_	
2-8	непосредственных	O	_	_	
2-9	тренировок	B-NC	_	_	
2-10	к	O	_	_	
2-11	космическому	O	_	_	
2-12	полёту	B-NC	_	_	
2-13	.	O	_	_	
2-14	Он	O	_	_	
2-15	также	O	_	_	
2-16	выдержал	O	_	_	
2-17	медицинские	O	_	_	
2-18	обследования	B-NC	Co-Hyponym	2-5	
2-19	в	O	_	_	
2-20	Российском	O	_	_	
2-21	космическом	O	_	_	
2-22	агентстве	B-NC	_	_	
2-23	.	O	_	_	
2-24	После	O	_	_	
2-25	этого	O	_	_	
2-26	был	O	_	_	
2-27	подписан	O	_	_	
2-28	договор	B-NC	_	_	
2-29	о	O	_	_	
2-30	космическом	O	_	_	
2-31	полёте	B-NC	_	_	

#id=3
#text=После прохождения программы тренировок , Эномото станет первым японцем , который отправится на Международную космическую станцию . Предположительно , Эномото отправится в космос в сентябре текущего ( 2006 ) года на корабле «Союз ТМА-9» . За свое космическое путешествие он должен заплатить 20 млн . долларов
3-1	После	O	_	_	
3-2	прохождения	B-NC	_	_	
3-3	программы	B-NC	_	_	
3-4	тренировок	B-NC	_	_	
3-5	,	O	_	_	
3-6	Эномото	B-NC	_	_	
3-7	станет	O	_	_	
3-8	первым	O	_	_	
3-9	японцем	B-NC	_	_	
3-10	,	O	_	_	
3-11	который	O	_	_	
3-12	отправится	O	_	_	
3-13	на	O	_	_	
3-14	Международную	O	_	_	
3-15	космическую	O	_	_	
3-16	станцию	B-NC	_	_	
3-17	.	O	_	_	
3-18	Предположительно	O	_	_	
3-19	,	O	_	_	
3-20	Эномото	B-NC	_	_	
3-21	отправится	O	_	_	
3-22	в	O	_	_	
3-23	космос	B-NC	_	_	
3-24	в	O	_	_	
3-25	сентябре	B-NC	_	_	
3-26	текущего	O	_	_	
3-27	(	O	_	_	
3-28	2006	O	_	_	
3-29	)	O	_	_	
3-30	года	B-NC	_	_	
3-31	на	O	_	_	
3-32	корабле	B-NC	Co-Hyponym	3-16	
3-33	«Союз	B-NC	_	_	
3-34	ТМА-9»	B-NC	_	_	
3-35	.	O	_	_	
3-36	За	O	_	_	
3-37	свое	O	_	_	
3-38	космическое	O	_	_	
3-39	путешествие	B-NC	_	_	
3-40	он	O	_	_	
3-41	должен	O	_	_	
3-42	заплатить	O	_	_	
3-43	20	O	_	_	
3-44	млн	B-NC	_	_	
3-45	.	O	_	_	
3-46	долларов	B-NC	_	_	

#id=4
#text=Если полёт Дайсуке Эномото состоится , то он станет седьмым японским космонавтом и одновременно , вторым японским космонавтом , отправляющимся в космос на советско-российском корабле «Союз» . Первым японским космонавтом стал Тойехиро Акияма , который в декабре 1990 года совершил восьмисуточный полёт на корабле «Союз ТМ-11» на станцию «Мир»
4-1	Если	O	_	_	
4-2	полёт	O	_	_	
4-3	Дайсуке	O	_	_	
4-4	Эномото	B-NC	_	_	
4-5	состоится	O	_	_	
4-6	,	O	_	_	
4-7	то	O	_	_	
4-8	он	O	_	_	
4-9	станет	O	_	_	
4-10	седьмым	O	_	_	
4-11	японским	O	_	_	
4-12	космонавтом	B-NC	_	_	
4-13	и	O	_	_	
4-14	одновременно	O	_	_	
4-15	,	O	_	_	
4-16	вторым	O	_	_	
4-17	японским	O	_	_	
4-18	космонавтом	B-NC	_	_	
4-19	,	O	_	_	
4-20	отправляющимся	O	_	_	
4-21	в	O	_	_	
4-22	космос	B-NC	_	_	
4-23	на	O	_	_	
4-24	советско-российском	O	_	_	
4-25	корабле	B-NC	_	_	
4-26	«Союз»	O	_	_	
