 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Juba ( Südsudan ) / Khartum ( Sudan ) , 13.07.2011 – Südsudan ist seit dem 9 . Juli um 0:00 Uhr Ortszeit unabhängig und somit der 54 . Staat Afrikas . Mit dem Läuten von Kirchenglocken und mit Trommeln begrüßten die Südsudanesen die Sezession vom Norden . Die Unabhängigkeitserklärung vom Sudan , zu der in einem Referendum im Januar 2011 von einer sehr großen Mehrheit der Grundstein gelegt worden war , wurde einige Stunden später in einer Zeremonie verlesen , an der außer UN-Generalsekretär Ban Ki-moon rund 30 Staatsoberhäupter , vor allem aus Afrika , teilnahmen . Unter ihnen war auch der sudanesische Staatspräsident Umar al-Baschir , dessen Land den nun unabhängigen Süden bereits am Freitag ( 8 . Juli ) anerkannte . Zu weiteren Staaten , die den 193 . Staat der Erde bereits anerkannt haben , gehören Deutschland , Indien und die Vereinigten Staaten
1-1	Juba	B-NC	_	_	
1-2	(	O	_	_	
1-3	Südsudan	B-NC	_	_	
1-4	)	O	_	_	
1-5	/	O	_	_	
1-6	Khartum	B-NC	_	_	
1-7	(	O	_	_	
1-8	Sudan	B-NC	_	_	
1-9	)	O	_	_	
1-10	,	O	_	_	
1-11	13.07.2011	O	_	_	
1-12	–	B-NC	_	_	
1-13	Südsudan	B-NC	_	_	
1-14	ist	O	_	_	
1-15	seit	O	_	_	
1-16	dem	O	_	_	
1-17	9	O	_	_	
1-18	.	O	_	_	
1-19	Juli	B-NC	_	_	
1-20	um	O	_	_	
1-21	0:00	O	_	_	
1-22	Uhr	B-NC	_	_	
1-23	Ortszeit	B-NC	_	_	
1-24	unabhängig	O	_	_	
1-25	und	O	_	_	
1-26	somit	O	_	_	
1-27	der	O	_	_	
1-28	54	O	_	_	
1-29	.	O	_	_	
1-30	Staat	B-NC	_	_	
1-31	Afrikas	B-NC	_	_	
1-32	.	O	_	_	
1-33	Mit	O	_	_	
1-34	dem	O	_	_	
1-35	Läuten	B-NC	_	_	
1-36	von	O	_	_	
1-37	Kirchenglocken	B-NC	_	_	
1-38	und	O	_	_	
1-39	mit	O	_	_	
1-40	Trommeln	B-NC	Co-Hyponym	1-37	
1-41	begrüßten	O	_	_	
1-42	die	O	_	_	
1-43	Südsudanesen	B-NC	_	_	
1-44	die	O	_	_	
1-45	Sezession	B-NC	_	_	
1-46	vom	O	_	_	
1-47	Norden	B-NC	_	_	
1-48	.	O	_	_	
1-49	Die	O	_	_	
1-50	Unabhängigkeitserklärung	B-NC	_	_	
1-51	vom	O	_	_	
1-52	Sudan	B-NC	_	_	
1-53	,	O	_	_	
1-54	zu	O	_	_	
1-55	der	O	_	_	
1-56	in	O	_	_	
1-57	einem	O	_	_	
1-58	Referendum	B-NC	_	_	
1-59	im	O	_	_	
1-60	Januar	B-NC	_	_	
1-61	2011	O	_	_	
1-62	von	O	_	_	
1-63	einer	O	_	_	
1-64	sehr	O	_	_	
1-65	großen	O	_	_	
1-66	Mehrheit	B-NC	_	_	
1-67	der	O	_	_	
1-68	Grundstein	B-NC	_	_	
1-69	gelegt	O	_	_	
1-70	worden	O	_	_	
1-71	war	O	_	_	
1-72	,	O	_	_	
1-73	wurde	O	_	_	
1-74	einige	O	_	_	
1-75	Stunden	B-NC	_	_	
1-76	später	O	_	_	
1-77	in	O	_	_	
1-78	einer	O	_	_	
1-79	Zeremonie	B-NC	_	_	
1-80	verlesen	O	_	_	
1-81	,	O	_	_	
1-82	an	O	_	_	
1-83	der	O	_	_	
1-84	außer	O	_	_	
1-85	UN-Generalsekretär	B-NC	_	_	
1-86	Ban	B-NC	_	_	
1-87	Ki-moon	B-NC	_	_	
1-88	rund	O	_	_	
1-89	30	O	_	_	
1-90	Staatsoberhäupter	B-NC	Holonym	1-30	
1-91	,	O	_	_	
1-92	vor	O	_	_	
1-93	allem	O	_	_	
1-94	aus	O	_	_	
1-95	Afrika	B-NC	_	_	
1-96	,	O	_	_	
1-97	teilnahmen	O	_	_	
1-98	.	O	_	_	
1-99	Unter	O	_	_	
1-100	ihnen	O	_	_	
1-101	war	O	_	_	
1-102	auch	O	_	_	
1-103	der	O	_	_	
1-104	sudanesische	O	_	_	
1-105	Staatspräsident	B-NC	Hypernym	1-90	
1-106	Umar	B-NC	_	_	
1-107	al-Baschir	B-NC	_	_	
1-108	,	O	_	_	
1-109	dessen	O	_	_	
1-110	Land	B-NC	Holonym|Holonym	1-135|1-127	
1-111	den	O	_	_	
1-112	nun	O	_	_	
1-113	unabhängigen	O	_	_	
1-114	Süden	B-NC	_	_	
1-115	bereits	O	_	_	
1-116	am	O	_	_	
1-117	Freitag	B-NC	_	_	
1-118	(	O	_	_	
1-119	8	O	_	_	
1-120	.	O	_	_	
1-121	Juli	B-NC	_	_	
1-122	)	O	_	_	
1-123	anerkannte	O	_	_	
1-124	.	O	_	_	
1-125	Zu	O	_	_	
1-126	weiteren	O	_	_	
1-127	Staaten	B-NC	_	_	
1-128	,	O	_	_	
1-129	die	O	_	_	
1-130	den	O	_	_	
1-131	193	O	_	_	
1-132	.	O	_	_	
1-133	Staat	B-NC	_	_	
1-134	der	O	_	_	
1-135	Erde	B-NC	_	_	
1-136	bereits	O	_	_	
1-137	anerkannt	O	_	_	
1-138	haben	O	_	_	
1-139	,	O	_	_	
1-140	gehören	O	_	_	
1-141	Deutschland	B-NC	_	_	
1-142	,	O	_	_	
1-143	Indien	B-NC	_	_	
1-144	und	O	_	_	
1-145	die	O	_	_	
1-146	Vereinigten	O	_	_	
1-147	Staaten	B-NC	_	_	

#id=2
#text=„ Wir , die demokratisch gewählten Vertreter des Volkes , erklären den Südsudan auf der Grundlage des Willens der Bevölkerung und des Ausgangs des Referendums zur Unabhängigkeit hiermit zu einer unabhängigen und souveränen Nation “ , hieß es in der Erklärung , die von Parlamentspräsident James Wani Igga verlesen wurde . Bei der Feierlichkeit wurde die sudanische Flagge eingeholt und die Flagge des Südsudan gehisst
2-1	„	O	_	_	
2-2	Wir	O	_	_	
2-3	,	O	_	_	
2-4	die	O	_	_	
2-5	demokratisch	O	_	_	
2-6	gewählten	O	_	_	
2-7	Vertreter	B-NC	Holonym	2-9	
2-8	des	O	_	_	
2-9	Volkes	B-NC	_	_	
2-10	,	O	_	_	
2-11	erklären	O	_	_	
2-12	den	O	_	_	
2-13	Südsudan	B-NC	_	_	
2-14	auf	O	_	_	
2-15	der	O	_	_	
2-16	Grundlage	B-NC	_	_	
2-17	des	O	_	_	
2-18	Willens	B-NC	_	_	
2-19	der	O	_	_	
2-20	Bevölkerung	B-NC	Synonym|Holonym	2-9|2-25	
2-21	und	O	_	_	
2-22	des	O	_	_	
2-23	Ausgangs	B-NC	_	_	
2-24	des	O	_	_	
2-25	Referendums	B-NC	_	_	
2-26	zur	O	_	_	
2-27	Unabhängigkeit	B-NC	_	_	
2-28	hiermit	O	_	_	
2-29	zu	O	_	_	
2-30	einer	O	_	_	
2-31	unabhängigen	O	_	_	
2-32	und	O	_	_	
2-33	souveränen	O	_	_	
2-34	Nation	B-NC	Synonym	2-9	
2-35	“	O	_	_	
2-36	,	O	_	_	
2-37	hieß	O	_	_	
2-38	es	O	_	_	
2-39	in	O	_	_	
2-40	der	O	_	_	
2-41	Erklärung	B-NC	_	_	
2-42	,	O	_	_	
2-43	die	O	_	_	
2-44	von	O	_	_	
2-45	Parlamentspräsident	B-NC	Hypernym	2-7	
2-46	James	B-NC	_	_	
2-47	Wani	B-NC	_	_	
2-48	Igga	B-NC	_	_	
2-49	verlesen	O	_	_	
2-50	wurde	O	_	_	
2-51	.	O	_	_	
2-52	Bei	O	_	_	
2-53	der	O	_	_	
2-54	Feierlichkeit	B-NC	_	_	
2-55	wurde	O	_	_	
2-56	die	O	_	_	
2-57	sudanische	O	_	_	
2-58	Flagge	B-NC	_	_	
2-59	eingeholt	O	_	_	
2-60	und	O	_	_	
2-61	die	O	_	_	
2-62	Flagge	B-NC	_	_	
2-63	des	O	_	_	
2-64	Südsudan	B-NC	_	_	
2-65	gehisst	O	_	_	

#id=3
#text=Im Norden , in Khartoum war die Reaktion gemischt . Manche unterstützen den Staatspräsidenten al-Baschir , manche empfinden die Sezession des Südens als „ Schande “ , wie der Händler Bahar Abakar . Viele Mütter dürften die Sezession genauso pragmatisch sehen wie Amina Mohammed , die froh darüber ist , dass ihre Söhne nicht in den Krieg ziehen müssen
3-1	Im	O	_	_	
3-2	Norden	B-NC	_	_	
3-3	,	O	_	_	
3-4	in	O	_	_	
3-5	Khartoum	B-NC	_	_	
3-6	war	O	_	_	
3-7	die	O	_	_	
3-8	Reaktion	B-NC	_	_	
3-9	gemischt	O	_	_	
3-10	.	O	_	_	
3-11	Manche	O	_	_	
3-12	unterstützen	O	_	_	
3-13	den	O	_	_	
3-14	Staatspräsidenten	B-NC	_	_	
3-15	al-Baschir	B-NC	_	_	
3-16	,	O	_	_	
3-17	manche	O	_	_	
3-18	empfinden	O	_	_	
3-19	die	O	_	_	
3-20	Sezession	B-NC	_	_	
3-21	des	O	_	_	
3-22	Südens	B-NC	_	_	
3-23	als	O	_	_	
3-24	„	O	_	_	
3-25	Schande	B-NC	_	_	
3-26	“	O	_	_	
3-27	,	O	_	_	
3-28	wie	O	_	_	
3-29	der	O	_	_	
3-30	Händler	B-NC	Co-Hyponym	3-14	
3-31	Bahar	B-NC	_	_	
3-32	Abakar	B-NC	_	_	
3-33	.	O	_	_	
3-34	Viele	O	_	_	
3-35	Mütter	B-NC	_	_	
3-36	dürften	O	_	_	
3-37	die	O	_	_	
3-38	Sezession	B-NC	_	_	
3-39	genauso	O	_	_	
3-40	pragmatisch	O	_	_	
3-41	sehen	O	_	_	
3-42	wie	O	_	_	
3-43	Amina	B-NC	_	_	
3-44	Mohammed	B-NC	_	_	
3-45	,	O	_	_	
3-46	die	O	_	_	
3-47	froh	O	_	_	
3-48	darüber	O	_	_	
3-49	ist	O	_	_	
3-50	,	O	_	_	
3-51	dass	O	_	_	
3-52	ihre	O	_	_	
3-53	Söhne	B-NC	Co-Hyponym	3-35	
3-54	nicht	O	_	_	
3-55	in	O	_	_	
3-56	den	O	_	_	
3-57	Krieg	B-NC	_	_	
3-58	ziehen	O	_	_	
3-59	müssen	O	_	_	

#id=4
#text=Viele Bewohner des neuen Staates hoffen , dass mit der Unabhängigkeit ein endgültiger Schlussstrich unter den 30-jährigen Bürgerkrieg gezogen wird , bei dem rund zwei Millionen Menschen getötet wurden . Der Bürgerkrieg war 2005 mit einem Waffenstillstand beendet worden . Der Grenzverlauf zwischen Sudan und Südsudan beruht weitgehend auf der Grenzlinie von 1956 . Strittig ist der Grenzverlauf allerdings im Westen bezüglich der Enklave um Kafia Kingi , einem Gebiet , das 1960 dem sudanischen Bundesstaat Dschanab Darfur angegliedert wurde , und in der Mitte des Grenzverlaufes mit dem ölreichen Abyei-Gebiet , wo ein gesondertes Referendum über die Zugehörigkeit entscheiden soll . Dieses Referendum im Abyei-Gebiet hat bislang jedoch wegen Meinungsunterschieden über den Kreis der Stimmberechtigten noch nicht stattgefunden
4-1	Viele	O	_	_	
4-2	Bewohner	B-NC	Hypernym|Holonym	4-27|4-5	
4-3	des	O	_	_	
4-4	neuen	O	_	_	
4-5	Staates	B-NC	_	_	
4-6	hoffen	O	_	_	
4-7	,	O	_	_	
4-8	dass	O	_	_	
4-9	mit	O	_	_	
4-10	der	O	_	_	
4-11	Unabhängigkeit	B-NC	_	_	
4-12	ein	O	_	_	
4-13	endgültiger	O	_	_	
4-14	Schlussstrich	B-NC	_	_	
4-15	unter	O	_	_	
4-16	den	O	_	_	
4-17	30-jährigen	O	_	_	
4-18	Bürgerkrieg	B-NC	_	_	
4-19	gezogen	O	_	_	
4-20	wird	O	_	_	
4-21	,	O	_	_	
4-22	bei	O	_	_	
4-23	dem	O	_	_	
4-24	rund	O	_	_	
4-25	zwei	O	_	_	
4-26	Millionen	B-NC	_	_	
4-27	Menschen	B-NC	Holonym	4-5	
4-28	getötet	O	_	_	
4-29	wurden	O	_	_	
4-30	.	O	_	_	
4-31	Der	O	_	_	
4-32	Bürgerkrieg	B-NC	_	_	
4-33	war	O	_	_	
4-34	2005	O	_	_	
4-35	mit	O	_	_	
4-36	einem	O	_	_	
4-37	Waffenstillstand	B-NC	_	_	
4-38	beendet	O	_	_	
4-39	worden	O	_	_	
4-40	.	O	_	_	
4-41	Der	O	_	_	
4-42	Grenzverlauf	B-NC	_	_	
4-43	zwischen	O	_	_	
4-44	Sudan	B-NC	_	_	
4-45	und	O	_	_	
4-46	Südsudan	B-NC	_	_	
4-47	beruht	O	_	_	
4-48	weitgehend	O	_	_	
4-49	auf	O	_	_	
4-50	der	O	_	_	
4-51	Grenzlinie	B-NC	_	_	
4-52	von	O	_	_	
4-53	1956	O	_	_	
4-54	.	O	_	_	
4-55	Strittig	O	_	_	
4-56	ist	O	_	_	
4-57	der	O	_	_	
4-58	Grenzverlauf	B-NC	_	_	
4-59	allerdings	O	_	_	
4-60	im	O	_	_	
4-61	Westen	B-NC	_	_	
4-62	bezüglich	O	_	_	
4-63	der	O	_	_	
4-64	Enklave	B-NC	Hypernym	4-70	
4-65	um	O	_	_	
4-66	Kafia	B-NC	_	_	
4-67	Kingi	B-NC	_	_	
4-68	,	O	_	_	
4-69	einem	O	_	_	
4-70	Gebiet	B-NC	_	_	
4-71	,	O	_	_	
4-72	das	O	_	_	
4-73	1960	O	_	_	
4-74	dem	O	_	_	
4-75	sudanischen	O	_	_	
4-76	Bundesstaat	B-NC	Holonym	4-5	
4-77	Dschanab	B-NC	_	_	
4-78	Darfur	B-NC	_	_	
4-79	angegliedert	O	_	_	
4-80	wurde	O	_	_	
4-81	,	O	_	_	
4-82	und	O	_	_	
4-83	in	O	_	_	
4-84	der	O	_	_	
4-85	Mitte	B-NC	_	_	
4-86	des	O	_	_	
4-87	Grenzverlaufes	B-NC	_	_	
4-88	mit	O	_	_	
4-89	dem	O	_	_	
4-90	ölreichen	O	_	_	
4-91	Abyei-Gebiet	B-NC	_	_	
4-92	,	O	_	_	
4-93	wo	O	_	_	
4-94	ein	O	_	_	
