 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=At 0000 EAT Saturday ( 2100 UTC Friday ) , the Republic of South Sudan achieved independent recognition , becoming the newest country on the planet . The parliament speaker for the new country recited a formal independence declaration . After independence was declared , the South Sudanese flag was lifted for all to see , with Sudan People 's Liberation Army/Movement secretary general Pagan Amum stating : " Today we shall raise the flag of South Sudan to join the nations of the world "
1-1	At	O	_	_	
1-2	0000	O	_	_	
1-3	EAT	B-NC	_	_	
1-4	Saturday	B-NC	_	_	
1-5	(	O	_	_	
1-6	2100	O	_	_	
1-7	UTC	B-NC	_	_	
1-8	Friday	B-NC	_	_	
1-9	)	O	_	_	
1-10	,	O	_	_	
1-11	the	O	_	_	
1-12	Republic	B-NC	Hypernym	1-23	
1-13	of	O	_	_	
1-14	South	B-NC	_	_	
1-15	Sudan	B-NC	_	_	
1-16	achieved	O	_	_	
1-17	independent	O	_	_	
1-18	recognition	B-NC	_	_	
1-19	,	O	_	_	
1-20	becoming	O	_	_	
1-21	the	O	_	_	
1-22	newest	O	_	_	
1-23	country	B-NC	Holonym	1-26	
1-24	on	O	_	_	
1-25	the	O	_	_	
1-26	planet	B-NC	_	_	
1-27	.	O	_	_	
1-28	The	O	_	_	
1-29	parliament	B-NC|B-NC	_	_	
1-30	speaker	I-NC|B-NC	_	_	
1-31	for	O	_	_	
1-32	the	O	_	_	
1-33	new	O	_	_	
1-34	country	B-NC	_	_	
1-35	recited	O	_	_	
1-36	a	O	_	_	
1-37	formal	O	_	_	
1-38	independence	B-NC	_	_	
1-39	declaration	B-NC	_	_	
1-40	.	O	_	_	
1-41	After	O	_	_	
1-42	independence	B-NC	_	_	
1-43	was	O	_	_	
1-44	declared	O	_	_	
1-45	,	O	_	_	
1-46	the	O	_	_	
1-47	South	O	_	_	
1-48	Sudanese	O	_	_	
1-49	flag	B-NC	_	_	
1-50	was	O	_	_	
1-51	lifted	O	_	_	
