 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Южный Судан официально отделился от Республики Судан и стал независимым государством . Спикер парламента Южного Судана Джеймс Ванни Игга зачитал текст декларации независимости , выступая перед сотнями тысяч собравшихся в новой столице — городе Джубе
1-1	Южный	O	_	_	
1-2	Судан	B-NC	_	_	
1-3	официально	O	_	_	
1-4	отделился	O	_	_	
1-5	от	O	_	_	
1-6	Республики	B-NC	_	_	
1-7	Судан	B-NC	_	_	
1-8	и	O	_	_	
1-9	стал	O	_	_	
1-10	независимым	O	_	_	
1-11	государством	B-NC	_	_	
1-12	.	O	_	_	
1-13	Спикер	B-NC	_	_	
1-14	парламента	B-NC	Holonym	1-11	
1-15	Южного	O	_	_	
1-16	Судана	B-NC	_	_	
1-17	Джеймс	B-NC	_	_	
1-18	Ванни	B-NC	_	_	
1-19	Игга	B-NC	_	_	
1-20	зачитал	O	_	_	
1-21	текст	B-NC	_	_	
1-22	декларации	B-NC	_	_	
1-23	независимости	B-NC	_	_	
1-24	,	O	_	_	
1-25	выступая	O	_	_	
1-26	перед	O	_	_	
1-27	сотнями	B-NC	_	_	
1-28	тысяч	B-NC	_	_	
1-29	собравшихся	O	_	_	
1-30	в	O	_	_	
1-31	новой	O	_	_	
1-32	столице	B-NC	Holonym|Hypernym	1-11|1-34	
1-33	—	O	_	_	
1-34	городе	B-NC	Holonym	1-11	
1-35	Джубе	B-NC	_	_	

#id=2
#text=Толпа ликовала во время церемонии поднятия флага нового государства . Президент Салва Киир принял присягу , поклявшись строго следовать принципам , изложенным в конституции , и трудиться на благо народа , способствуя скорейшему развитию страны и приумножению народного достояния
2-1	Толпа	B-NC	_	_	
2-2	ликовала	O	_	_	
2-3	во	O	_	_	
2-4	время	B-NC	_	_	
2-5	церемонии	B-NC	_	_	
2-6	поднятия	B-NC	_	_	
2-7	флага	B-NC	_	_	
2-8	нового	O	_	_	
2-9	государства	B-NC	_	_	
2-10	.	O	_	_	
2-11	Президент	B-NC	Holonym	2-9	
2-12	Салва	B-NC	_	_	
2-13	Киир	B-NC	_	_	
2-14	принял	O	_	_	
2-15	присягу	B-NC	Hypernym	2-5	
2-16	,	O	_	_	
2-17	поклявшись	O	_	_	
2-18	строго	O	_	_	
2-19	следовать	O	_	_	
2-20	принципам	B-NC	_	_	
2-21	,	O	_	_	
2-22	изложенным	O	_	_	
2-23	в	O	_	_	
2-24	конституции	B-NC	Holonym	2-9	
2-25	,	O	_	_	
2-26	и	O	_	_	
2-27	трудиться	O	_	_	
2-28	на	O	_	_	
2-29	благо	B-NC	_	_	
2-30	народа	B-NC	Hypernym|Holonym	2-1|2-9	
2-31	,	O	_	_	
2-32	способствуя	O	_	_	
2-33	скорейшему	O	_	_	
2-34	развитию	B-NC	_	_	
2-35	страны	B-NC	Synonym	2-9	
2-36	и	O	_	_	
2-37	приумножению	B-NC	_	_	
2-38	народного	O	_	_	
2-39	достояния	B-NC	_	_	

#id=3
#text=Генеральный секретарь ООН Пан Ги Мун , выступивший в Джубе , отметил , что народ Южного Судана создал новое государство , которое базируется на принципах свободы и защиты человеческого достоинства
3-1	Генеральный	O	_	_	
3-2	секретарь	B-NC	_	_	
3-3	ООН	B-NC	_	_	
3-4	Пан	B-NC	_	_	
3-5	Ги	B-NC	_	_	
3-6	Мун	B-NC	_	_	
3-7	,	O	_	_	
3-8	выступивший	O	_	_	
3-9	в	O	_	_	
3-10	Джубе	B-NC	_	_	
3-11	,	O	_	_	
3-12	отметил	O	_	_	
3-13	,	O	_	_	
3-14	что	O	_	_	
3-15	народ	B-NC	Holonym	3-20	
3-16	Южного	O	_	_	
3-17	Судана	B-NC	_	_	
3-18	создал	O	_	_	
3-19	новое	O	_	_	
3-20	государство	B-NC	_	_	
3-21	,	O	_	_	
3-22	которое	O	_	_	
3-23	базируется	O	_	_	
3-24	на	O	_	_	
3-25	принципах	B-NC	_	_	
3-26	свободы	B-NC	_	_	
3-27	и	O	_	_	
3-28	защиты	B-NC	_	_	
3-29	человеческого	O	_	_	
3-30	достоинства	B-NC	_	_	

#id=4
#text=Глава делегации США , посол Сюзан Райс заявила , что будущее Южного Судана зависит от сильных государственных институтов , свободных от коррупции
4-1	Глава	B-NC	_	_	
4-2	делегации	B-NC	_	_	
4-3	США	B-NC	_	_	
4-4	,	O	_	_	
4-5	посол	B-NC	_	_	
4-6	Сюзан	B-NC	_	_	
4-7	Райс	B-NC	_	_	
4-8	заявила	O	_	_	
4-9	,	O	_	_	
4-10	что	O	_	_	
4-11	будущее	B-NC	_	_	
4-12	Южного	O	_	_	
4-13	Судана	B-NC	_	_	
4-14	зависит	O	_	_	
4-15	от	O	_	_	
4-16	сильных	O	_	_	
4-17	государственных	O	_	_	
4-18	институтов	B-NC	_	_	
4-19	,	O	_	_	
4-20	свободных	O	_	_	
4-21	от	O	_	_	
4-22	коррупции	B-NC	_	_	

#id=5
#text=Президет США Барак Обама приветствовал народ Южного Судана . В его заявлении , в частности , говорится : «Я горд объявить , что сегодня , 9 июля 2011 года , Соединенные Штаты формально признали Республику Южный Судан , как суверенное и независимое государство . После столь долгой борьбы народа Южного Судана Соединенные Штаты приветствуют рождение новой нации»
5-1	Президет	O	_	_	
5-2	США	B-NC	_	_	
5-3	Барак	B-NC	_	_	
5-4	Обама	B-NC	_	_	
5-5	приветствовал	O	_	_	
