 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=London ( Vereinigtes Königreich ) , 09.08.2011 – Massive Ausschreitungen in London , Liverpool , Birmingham und Bristol . Die Polizei scheint die Kontrolle verloren zu haben . Flammeninfernos und Plünderungen . Premierminister Cameron unterbricht seinen Urlaub . Der nationalen Sicherheitsrat kommt zusammen und will heute Gegenmaßnahmen erörtern
1-1	London	B-NC	_	_	
1-2	(	O	_	_	
1-3	Vereinigtes	O	_	_	
1-4	Königreich	B-NC	_	_	
1-5	)	O	_	_	
1-6	,	O	_	_	
1-7	09.08.2011	O	_	_	
1-8	–	B-NC	_	_	
1-9	Massive	O	_	_	
1-10	Ausschreitungen	B-NC	_	_	
1-11	in	O	_	_	
1-12	London	B-NC	_	_	
1-13	,	O	_	_	
1-14	Liverpool	B-NC	_	_	
1-15	,	O	_	_	
1-16	Birmingham	B-NC	_	_	
1-17	und	O	_	_	
1-18	Bristol	B-NC	_	_	
1-19	.	O	_	_	
1-20	Die	O	_	_	
1-21	Polizei	B-NC	Holonym	1-4	
1-22	scheint	O	_	_	
1-23	die	O	_	_	
1-24	Kontrolle	B-NC	_	_	
1-25	verloren	O	_	_	
1-26	zu	O	_	_	
1-27	haben	O	_	_	
1-28	.	O	_	_	
1-29	Flammeninfernos	B-NC	_	_	
1-30	und	O	_	_	
1-31	Plünderungen	B-NC	Hypernym	1-10	
1-32	.	O	_	_	
1-33	Premierminister	B-NC	Holonym	1-4	
1-34	Cameron	B-NC	_	_	
1-35	unterbricht	O	_	_	
1-36	seinen	O	_	_	
1-37	Urlaub	B-NC	_	_	
1-38	.	O	_	_	
1-39	Der	O	_	_	
1-40	nationalen	O	_	_	
1-41	Sicherheitsrat	B-NC	Holonym	1-4	
1-42	kommt	O	_	_	
1-43	zusammen	O	_	_	
1-44	und	O	_	_	
1-45	will	O	_	_	
1-46	heute	O	_	_	
1-47	Gegenmaßnahmen	B-NC	_	_	
1-48	erörtern	O	_	_	

#id=2
#text=Seit drei Tagen kommt die Hauptstadt nicht zur Ruhe . Viele Stadtteile sind betroffen , Von Hackney , Clapham , Croydon , Peckham , Lewisham , Camden und Ealing . Ein Funke aus dem Ortsteil Tottenham hat den Flächenbrand ausgelöst . Am Wochenende war dort ein junger Mann bei einem Polizeieinsatz getötet worden
2-1	Seit	O	_	_	
2-2	drei	O	_	_	
2-3	Tagen	B-NC	Holonym	2-43	
2-4	kommt	O	_	_	
2-5	die	O	_	_	
2-6	Hauptstadt	B-NC	_	_	
2-7	nicht	O	_	_	
2-8	zur	O	_	_	
2-9	Ruhe	B-NC	_	_	
2-10	.	O	_	_	
2-11	Viele	O	_	_	
2-12	Stadtteile	B-NC	Holonym|Hypernym	2-6|2-35	
2-13	sind	O	_	_	
2-14	betroffen	O	_	_	
2-15	,	O	_	_	
2-16	Von	O	_	_	
2-17	Hackney	B-NC	_	_	
2-18	,	O	_	_	
2-19	Clapham	B-NC	_	_	
2-20	,	O	_	_	
2-21	Croydon	B-NC	_	_	
2-22	,	O	_	_	
2-23	Peckham	B-NC	_	_	
2-24	,	O	_	_	
2-25	Lewisham	B-NC	_	_	
2-26	,	O	_	_	
2-27	Camden	B-NC	_	_	
2-28	und	O	_	_	
2-29	Ealing	B-NC	_	_	
2-30	.	O	_	_	
2-31	Ein	O	_	_	
2-32	Funke	B-NC	_	_	
2-33	aus	O	_	_	
2-34	dem	O	_	_	
2-35	Ortsteil	B-NC	_	_	
2-36	Tottenham	B-NC	_	_	
2-37	hat	O	_	_	
2-38	den	O	_	_	
2-39	Flächenbrand	B-NC	_	_	
2-40	ausgelöst	O	_	_	
2-41	.	O	_	_	
2-42	Am	O	_	_	
2-43	Wochenende	B-NC	_	_	
2-44	war	O	_	_	
2-45	dort	O	_	_	
2-46	ein	O	_	_	
2-47	junger	O	_	_	
2-48	Mann	B-NC	_	_	
2-49	bei	O	_	_	
2-50	einem	O	_	_	
2-51	Polizeieinsatz	B-NC	_	_	
2-52	getötet	O	_	_	
2-53	worden	O	_	_	

#id=3
#text=Augenzeugen beschreiben die Lage : „ Es ist wie im Krieg “ . Die Feuerwehr konnte sich ihren Weg nicht durch die Menge bahnen . Familien flüchteten aus ihren brennenden Häusern . Die britische Presse schreibt von der „ Schlacht um London “ . Beim Versuch ein Auto anzuhalten , dessen Insassen verdächtig waren , geplündert zu haben , wurde ein Polizist angefahren und schwer verletzt . Drei Personen wurden deshalb wegen versuchtem Mord an dem Polizisten festgenommen . Ein 26 - jähriger Mann wurde im Stadtteil Croydon mit mehreren Schusswunden aufgefunden , schwer verletzt wurde er in ein Krankenhaus eingeliefert . Unter den Randalierern sind auch Gruppen von Kindern im Alter zwischen zehn und vierzehn Jahren . Nach London wurden zusätzlich 1.700 Beamte entsandt . Neuste Meldungen sprechen von 10.000 zusätzlichen Beamten . Die Bevölkerung wurde sensibilisiert , die Polizei zu unterstützen . Das für Mittwoch geplante Fußballspiel England gegen Niederlande wurde abgesagt , es steht keine Polizei für das Sportereignis zur Verfügung . Weitere nationale Fußballspiele werden ebenfalls nicht stattfinden . Englands Nationalstürmer Wayne Rooney rief über Twitter zur Beendigung der Gewalt auf : „ Das ist eine Schande für unser Land . Hört auf damit ! “
3-1	Augenzeugen	B-NC	Hypernym	3-69	
3-2	beschreiben	O	_	_	
3-3	die	O	_	_	
3-4	Lage	B-NC	_	_	
3-5	:	O	_	_	
3-6	„	O	_	_	
3-7	Es	B-NC	_	_	
3-8	ist	O	_	_	
3-9	wie	O	_	_	
3-10	im	O	_	_	
3-11	Krieg	B-NC	Hypernym|Hypernym	3-4|3-184	
