 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Несколько полицейских получили ранения , десятки человек были задержаны в результате беспорядков , начавшихся в субботу в одном из районов Лондона
1-1	Несколько	O	_	_	
1-2	полицейских	B-NC	Hypernym	1-7	
1-3	получили	O	_	_	
1-4	ранения	B-NC	_	_	
1-5	,	O	_	_	
1-6	десятки	B-NC	_	_	
1-7	человек	B-NC	_	_	
1-8	были	O	_	_	
1-9	задержаны	O	_	_	
1-10	в	O	_	_	
1-11	результате	B-NC	_	_	
1-12	беспорядков	B-NC	_	_	
1-13	,	O	_	_	
1-14	начавшихся	O	_	_	
1-15	в	O	_	_	
1-16	субботу	B-NC	_	_	
1-17	в	O	_	_	
1-18	одном	O	_	_	
1-19	из	O	_	_	
1-20	районов	B-NC	_	_	
1-21	Лондона	B-NC	_	_	

#id=2
#text=Протесты начались после того , как в четверг полицейские застрелили 29 - ти - летнего мужчину , жившего в районе Тоттенхэм . Подробности этого инцидента неизвестны , но сообщается , что убитый также стрелял в полицейского , но попал в его рацию . Сперва демонстрация проходила мирно , однако позднее участники акции прибегли к насилию
2-1	Протесты	B-NC	Hypernym	2-45	
2-2	начались	O	_	_	
2-3	после	O	_	_	
2-4	того	O	_	_	
2-5	,	O	_	_	
2-6	как	O	_	_	
2-7	в	O	_	_	
2-8	четверг	B-NC	_	_	
2-9	полицейские	B-NC	_	_	
2-10	застрелили	O	_	_	
2-11	29	O	_	_	
2-12	-	O	_	_	
2-13	ти	O	_	_	
2-14	-	O	_	_	
2-15	летнего	O	_	_	
2-16	мужчину	B-NC	_	_	
2-17	,	O	_	_	
2-18	жившего	O	_	_	
2-19	в	O	_	_	
2-20	районе	B-NC	_	_	
2-21	Тоттенхэм	B-NC	_	_	
2-22	.	O	_	_	
2-23	Подробности	B-NC	_	_	
2-24	этого	O	_	_	
2-25	инцидента	B-NC	_	_	
2-26	неизвестны	O	_	_	
2-27	,	O	_	_	
2-28	но	O	_	_	
2-29	сообщается	O	_	_	
2-30	,	O	_	_	
2-31	что	O	_	_	
2-32	убитый	B-NC	_	_	
2-33	также	O	_	_	
2-34	стрелял	O	_	_	
2-35	в	O	_	_	
2-36	полицейского	B-NC	_	_	
2-37	,	O	_	_	
2-38	но	O	_	_	
2-39	попал	O	_	_	
2-40	в	O	_	_	
2-41	его	O	_	_	
2-42	рацию	B-NC	_	_	
2-43	.	O	_	_	
2-44	Сперва	O	_	_	
2-45	демонстрация	B-NC	_	_	
2-46	проходила	O	_	_	
2-47	мирно	O	_	_	
2-48	,	O	_	_	
2-49	однако	O	_	_	
2-50	позднее	O	_	_	
2-51	участники	B-NC	_	_	
2-52	акции	B-NC	_	_	
2-53	прибегли	O	_	_	
2-54	к	O	_	_	
2-55	насилию	B-NC	_	_	

#id=3
#text=Толпа из нескольких сот человек разбивала окна и грабила магазины , вывозя украденное имущество на машинах . Перед тем , как порядок был восстановлен , они подожгли несколько домов , автомобилей и двухэтажный автобус
3-1	Толпа	B-NC	_	_	
3-2	из	O	_	_	
3-3	нескольких	O	_	_	
3-4	сот	B-NC	_	_	
3-5	человек	B-NC	Holonym	3-1	
3-6	разбивала	O	_	_	
3-7	окна	B-NC	Holonym	3-10	
3-8	и	O	_	_	
3-9	грабила	O	_	_	
3-10	магазины	B-NC	Hypernym	3-29	
3-11	,	O	_	_	
3-12	вывозя	O	_	_	
3-13	украденное	O	_	_	
3-14	имущество	B-NC	_	_	
3-15	на	O	_	_	
3-16	машинах	B-NC	_	_	
3-17	.	O	_	_	
3-18	Перед	O	_	_	
3-19	тем	O	_	_	
3-20	,	O	_	_	
3-21	как	O	_	_	
3-22	порядок	B-NC	_	_	
3-23	был	O	_	_	
3-24	восстановлен	O	_	_	
3-25	,	O	_	_	
3-26	они	O	_	_	
3-27	подожгли	O	_	_	
3-28	несколько	O	_	_	
3-29	домов	B-NC	_	_	
3-30	,	O	_	_	
3-31	автомобилей	B-NC	Synonym	3-16	
3-32	и	O	_	_	
3-33	двухэтажный	O	_	_	
3-34	автобус	B-NC	Co-Hyponym	3-31	

#id=4
#text=Как сообщает телеканал Sky News , пострадало 26 стражей правопорядка , восемь из которых госпитализированы . Арестованы 46 человек , но по сведения полиции в акции принимало участие около 300 человек , поэтому количество арестов будет расти . По данным канала , зачинщиками беспорядков стали члены семьи убитого полицейским . По словам друга семьи , представившегося Никки , цель акции — справедливое выяснение всех обстоятельств случившегося
4-1	Как	O	_	_	
4-2	сообщает	O	_	_	
4-3	телеканал	B-NC	Hypernym	4-41	
4-4	Sky	O	_	_	
4-5	News	O	_	_	
4-6	,	O	_	_	
4-7	пострадало	O	_	_	
4-8	26	O	_	_	
4-9	стражей	B-NC|B-NC	Hypernym	4-19	
4-10	правопорядка	I-NC|B-NC	_	_	
4-11	,	O	_	_	
4-12	восемь	O	_	_	
4-13	из	O	_	_	
4-14	которых	O	_	_	
4-15	госпитализированы	O	_	_	
4-16	.	O	_	_	
4-17	Арестованы	O	_	_	
4-18	46	O	_	_	
4-19	человек	B-NC	_	_	
4-20	,	O	_	_	
4-21	но	O	_	_	
4-22	по	O	_	_	
4-23	сведения	B-NC	_	_	
4-24	полиции	B-NC	_	_	
4-25	в	O	_	_	
4-26	акции	B-NC	_	_	
4-27	принимало	O	_	_	
4-28	участие	B-NC	_	_	
4-29	около	O	_	_	
4-30	300	O	_	_	
4-31	человек	B-NC	_	_	
4-32	,	O	_	_	
4-33	поэтому	O	_	_	
4-34	количество	B-NC	_	_	
4-35	арестов	B-NC	_	_	
4-36	будет	O	_	_	
4-37	расти	O	_	_	
4-38	.	O	_	_	
4-39	По	O	_	_	
4-40	данным	B-NC	Synonym	4-23	
4-41	канала	B-NC	_	_	
4-42	,	O	_	_	
4-43	зачинщиками	B-NC	Hypernym	4-31	
4-44	беспорядков	B-NC	_	_	
4-45	стали	O	_	_	
4-46	члены	B-NC	Holonym	4-47	
4-47	семьи	B-NC	_	_	
4-48	убитого	O	_	_	
4-49	полицейским	B-NC	Hypernym	4-9	
4-50	.	O	_	_	
4-51	По	O	_	_	
4-52	словам	B-NC	_	_	
4-53	друга	B-NC	_	_	
4-54	семьи	B-NC	_	_	
4-55	,	O	_	_	
4-56	представившегося	O	_	_	
4-57	Никки	B-NC	_	_	
4-58	,	O	_	_	
4-59	цель	B-NC	_	_	
4-60	акции	B-NC	_	_	
4-61	—	O	_	_	
4-62	справедливое	O	_	_	
