 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Die Erweiterung des menschlichen Gesichtsstreites , welche der Marseinfall zur Folge gehabt hat , kann kaum überschätzt werden . Ehe die Cylinder niederfielen , herrschte allgemein die Ueberzeugung , daß es in den ungeheuren Tiefen des Weltraumes außerhalb der winzigen Oberfläche unseres kleinen Sternes kein Leben gebe . Heute aber sehen wir weiter . Wenn die Marsleute auf die Venus gelangen können , so ist jeder Grund für die Annahme , daß das den Menschen unmöglich sei , hinfällig . Und wenn die langsame Abkühlung der Sonne unsere Erde unbewohnbar gemacht haben wird , wie es schließlich nicht ausbleiben wird , dann mag es kommen , daß der Faden des Lebens , der hier seinen Ausgang nahm , sich ausdehnen und unfern Schwesterplaneten in sein Netz ziehen wird . Würden wir fliegen
1-1	Die	O	_	_	
1-2	Erweiterung	B-NC	_	_	
1-3	des	O	_	_	
1-4	menschlichen	O	_	_	
1-5	Gesichtsstreites	B-NC	_	_	
1-6	,	O	_	_	
1-7	welche	O	_	_	
1-8	der	O	_	_	
1-9	Marseinfall	B-NC	_	_	
1-10	zur	O	_	_	
1-11	Folge	B-NC	_	_	
1-12	gehabt	O	_	_	
1-13	hat	O	_	_	
1-14	,	O	_	_	
1-15	kann	O	_	_	
1-16	kaum	O	_	_	
1-17	überschätzt	O	_	_	
1-18	werden	O	_	_	
1-19	.	O	_	_	
1-20	Ehe	O	_	_	
1-21	die	O	_	_	
1-22	Cylinder	B-NC	_	_	
1-23	niederfielen	O	_	_	
1-24	,	O	_	_	
1-25	herrschte	O	_	_	
1-26	allgemein	O	_	_	
1-27	die	O	_	_	
1-28	Ueberzeugung	B-NC	_	_	
1-29	,	O	_	_	
1-30	daß	O	_	_	
1-31	es	O	_	_	
1-32	in	O	_	_	
1-33	den	O	_	_	
1-34	ungeheuren	O	_	_	
1-35	Tiefen	B-NC	_	_	
1-36	des	O	_	_	
1-37	Weltraumes	B-NC	_	_	
1-38	außerhalb	O	_	_	
1-39	der	O	_	_	
1-40	winzigen	O	_	_	
1-41	Oberfläche	B-NC	_	_	
1-42	unseres	O	_	_	
1-43	kleinen	O	_	_	
1-44	Sternes	B-NC	_	_	
1-45	kein	O	_	_	
1-46	Leben	B-NC	_	_	
1-47	gebe	O	_	_	
1-48	.	O	_	_	
1-49	Heute	O	_	_	
1-50	aber	O	_	_	
1-51	sehen	O	_	_	
1-52	wir	O	_	_	
1-53	weiter	O	_	_	
1-54	.	O	_	_	
1-55	Wenn	O	_	_	
1-56	die	O	_	_	
1-57	Marsleute	B-NC	_	_	
1-58	auf	O	_	_	
1-59	die	O	_	_	
1-60	Venus	B-NC	_	_	
1-61	gelangen	O	_	_	
1-62	können	O	_	_	
1-63	,	O	_	_	
1-64	so	O	_	_	
1-65	ist	O	_	_	
1-66	jeder	O	_	_	
1-67	Grund	B-NC	_	_	
1-68	für	O	_	_	
1-69	die	O	_	_	
1-70	Annahme	B-NC	_	_	
1-71	,	O	_	_	
1-72	daß	O	_	_	
1-73	das	O	_	_	
1-74	den	O	_	_	
1-75	Menschen	B-NC	_	_	
1-76	unmöglich	O	_	_	
1-77	sei	O	_	_	
1-78	,	O	_	_	
1-79	hinfällig	O	_	_	
1-80	.	O	_	_	
1-81	Und	O	_	_	
1-82	wenn	O	_	_	
1-83	die	O	_	_	
1-84	langsame	O	_	_	
1-85	Abkühlung	B-NC	_	_	
1-86	der	O	_	_	
1-87	Sonne	B-NC	_	_	
1-88	unsere	O	_	_	
1-89	Erde	B-NC	_	_	
1-90	unbewohnbar	O	_	_	
1-91	gemacht	O	_	_	
1-92	haben	O	_	_	
1-93	wird	O	_	_	
1-94	,	O	_	_	
1-95	wie	O	_	_	
1-96	es	O	_	_	
1-97	schließlich	O	_	_	
1-98	nicht	O	_	_	
1-99	ausbleiben	O	_	_	
1-100	wird	O	_	_	
