 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=The broadening of men 's views that has resulted can scarcely be exaggerated . Before the cylinder fell there was a general persuasion that through all the deep of space no life existed beyond the petty surface of our minute sphere . Now we see further . If the Martians can reach Venus , there is no reason to suppose that the thing is impossible for men , and when the slow cooling of the sun makes this earth uninhabitable , as at last it must do , it may be that the thread of life that has begun here will have streamed out and caught our sister planet within its toils 
1-1	The	O	_	_	
1-2	broadening	O	_	_	
1-3	of	O	_	_	
1-4	men	B-NC	_	_	
1-5	's	O	_	_	
1-6	views	B-NC	_	_	
1-7	that	O	_	_	
1-8	has	O	_	_	
1-9	resulted	O	_	_	
1-10	can	O	_	_	
1-11	scarcely	O	_	_	
1-12	be	O	_	_	
1-13	exaggerated	O	_	_	
1-14	.	O	_	_	
1-15	Before	O	_	_	
1-16	the	O	_	_	
1-17	cylinder	B-NC	_	_	
1-18	fell	O	_	_	
1-19	there	O	_	_	
1-20	was	O	_	_	
1-21	a	O	_	_	
1-22	general	O	_	_	
1-23	persuasion	B-NC	Hypernym	1-6	
1-24	that	O	_	_	
1-25	through	O	_	_	
1-26	all	O	_	_	
1-27	the	O	_	_	
1-28	deep	O	_	_	
1-29	of	O	_	_	
1-30	space	B-NC	_	_	
1-31	no	O	_	_	
1-32	life	B-NC	_	_	
1-33	existed	O	_	_	
1-34	beyond	O	_	_	
1-35	the	O	_	_	
1-36	petty	O	_	_	
1-37	surface	B-NC	_	_	
1-38	of	O	_	_	
1-39	our	O	_	_	
1-40	minute	B-NC	_	_	
1-41	sphere	I-NC	_	_	
1-42	.	O	_	_	
1-43	Now	O	_	_	
1-44	we	O	_	_	
1-45	see	O	_	_	
1-46	further	O	_	_	
1-47	.	O	_	_	
1-48	If	O	_	_	
1-49	the	O	_	_	
1-50	Martians	B-NC	_	_	
1-51	can	O	_	_	
1-52	reach	O	_	_	
1-53	Venus	B-NC	_	_	
1-54	,	O	_	_	
1-55	there	O	_	_	
1-56	is	O	_	_	
1-57	no	O	_	_	
1-58	reason	B-NC	_	_	
1-59	to	O	_	_	
1-60	suppose	O	_	_	
1-61	that	O	_	_	
1-62	the	O	_	_	
1-63	thing	B-NC	_	_	
1-64	is	O	_	_	
1-65	impossible	O	_	_	
1-66	for	O	_	_	
1-67	men	B-NC	_	_	
1-68	,	O	_	_	
1-69	and	O	_	_	
1-70	when	O	_	_	
1-71	the	O	_	_	
1-72	slow	O	_	_	
1-73	cooling	B-NC	_	_	
1-74	of	O	_	_	
1-75	the	O	_	_	
1-76	sun	B-NC	_	_	
1-77	makes	O	_	_	
1-78	this	O	_	_	
1-79	earth	B-NC	_	_	
1-80	uninhabitable	O	_	_	
1-81	,	O	_	_	
1-82	as	O	_	_	
1-83	at	O	_	_	
1-84	last	O	_	_	
1-85	it	O	_	_	
1-86	must	O	_	_	
1-87	do	O	_	_	
1-88	,	O	_	_	
1-89	it	O	_	_	
1-90	may	O	_	_	
1-91	be	O	_	_	
1-92	that	O	_	_	
1-93	the	O	_	_	
1-94	thread	B-NC	_	_	
1-95	of	O	_	_	
1-96	life	B-NC	_	_	
1-97	that	O	_	_	
1-98	has	O	_	_	
1-99	begun	O	_	_	
1-100	here	O	_	_	
1-101	will	O	_	_	
1-102	have	O	_	_	
1-103	streamed	O	_	_	
1-104	out	O	_	_	
1-105	and	O	_	_	
1-106	caught	O	_	_	
1-107	our	O	_	_	
1-108	sister	O	_	_	
1-109	planet	B-NC	_	_	
1-110	within	O	_	_	
1-111	its	O	_	_	
1-112	toils	B-NC	_	_	

#id=2
#text=Dim and wonderful is the vision I have conjured up in my mind of life spreading slowly from this little seed bed of the solar system throughout the inanimate vastness of sidereal space . But that is a remote dream . It may be , on the other hand , that the destruction of the Martians is only a reprieve . To them , and not to us , perhaps , is the future ordained 
2-1	Dim	B-NC	_	_	
2-2	and	O	_	_	
2-3	wonderful	O	_	_	
2-4	is	O	_	_	
2-5	the	O	_	_	
2-6	vision	B-NC	_	_	
2-7	I	O	_	_	
2-8	have	O	_	_	
2-9	conjured	O	_	_	
2-10	up	O	_	_	
2-11	in	O	_	_	
2-12	my	O	_	_	
2-13	mind	B-NC	_	_	
2-14	of	O	_	_	
2-15	life	B-NC	_	_	
2-16	spreading	O	_	_	
2-17	slowly	O	_	_	
2-18	from	O	_	_	
2-19	this	O	_	_	
2-20	little	O	_	_	
2-21	seed	B-NC	_	_	
2-22	bed	I-NC	_	_	
2-23	of	O	_	_	
2-24	the	O	_	_	
2-25	solar	O	_	_	
2-26	system	B-NC	_	_	
2-27	throughout	O	_	_	
2-28	the	O	_	_	
2-29	inanimate	O	_	_	
2-30	vastness	B-NC	_	_	
2-31	of	O	_	_	
2-32	sidereal	O	_	_	
2-33	space	B-NC	_	_	
2-34	.	O	_	_	
2-35	But	O	_	_	
2-36	that	O	_	_	
2-37	is	O	_	_	
2-38	a	O	_	_	
2-39	remote	O	_	_	
2-40	dream	B-NC	Hypernym	2-6	
2-41	.	O	_	_	
2-42	It	O	_	_	
2-43	may	O	_	_	
2-44	be	O	_	_	
2-45	,	O	_	_	
2-46	on	O	_	_	
2-47	the	O	_	_	
2-48	other	O	_	_	
2-49	hand	B-NC	_	_	
2-50	,	O	_	_	
2-51	that	O	_	_	
2-52	the	O	_	_	
2-53	destruction	B-NC	_	_	
2-54	of	O	_	_	
2-55	the	O	_	_	
2-56	Martians	B-NC	_	_	
2-57	is	O	_	_	
2-58	only	O	_	_	
2-59	a	O	_	_	
2-60	reprieve	B-NC	_	_	
2-61	.	O	_	_	
2-62	To	O	_	_	
2-63	them	O	_	_	
2-64	,	O	_	_	
2-65	and	O	_	_	
2-66	not	O	_	_	
2-67	to	O	_	_	
2-68	us	O	_	_	
2-69	,	O	_	_	
2-70	perhaps	O	_	_	
2-71	,	O	_	_	
2-72	is	O	_	_	
2-73	the	O	_	_	
2-74	future	B-NC	_	_	
2-75	ordained	O	_	_	

#id=3
#text=I must confess the stress and danger of the time have left an abiding sense of doubt and insecurity in my mind . I sit in my study writing by lamplight , and suddenly I see again the healing valley below set with writhing flames , and feel the house behind and about me empty and desolate . I go out into the Byfleet Road , and vehicles pass me , a butcher boy in a cart , a cabful of visitors , a workman on a bicycle , children going to school , and suddenly they become vague and unreal , and I hurry again with the artilleryman through the hot , brooding silence . Of a night I see the black powder darkening the silent streets , and the contorted bodies shrouded in that layer ; they rise upon me tattered and dog-bitten . They gibber and grow fiercer , paler , uglier , mad distortions of humanity at last , and I wake , cold and wretched , in the darkness of the night 
3-1	I	O	_	_	
3-2	must	O	_	_	
3-3	confess	O	_	_	
3-4	the	O	_	_	
3-5	stress	B-NC	_	_	
3-6	and	O	_	_	
3-7	danger	B-NC	Co-Hyponym	3-5	
3-8	of	O	_	_	
3-9	the	O	_	_	
3-10	time	B-NC	_	_	
3-11	have	O	_	_	
3-12	left	O	_	_	
3-13	an	O	_	_	
3-14	abiding	O	_	_	
3-15	sense	B-NC	_	_	
3-16	of	O	_	_	
3-17	doubt	B-NC	_	_	
3-18	and	O	_	_	
3-19	insecurity	B-NC	_	_	
3-20	in	O	_	_	
3-21	my	O	_	_	
3-22	mind	B-NC	_	_	
3-23	.	O	_	_	
3-24	I	O	_	_	
3-25	sit	O	_	_	
3-26	in	O	_	_	
3-27	my	O	_	_	
3-28	study	B-NC	_	_	
3-29	writing	I-NC	_	_	
3-30	by	O	_	_	
3-31	lamplight	B-NC	_	_	
3-32	,	O	_	_	
3-33	and	O	_	_	
3-34	suddenly	O	_	_	
3-35	I	O	_	_	
3-36	see	O	_	_	
3-37	again	O	_	_	
3-38	the	O	_	_	
3-39	healing	B-NC	_	_	
3-40	valley	I-NC	_	_	
3-41	below	O	_	_	
3-42	set	B-NC	_	_	
3-43	with	O	_	_	
3-44	writhing	O	_	_	
3-45	flames	B-NC	_	_	
3-46	,	O	_	_	
3-47	and	O	_	_	
3-48	feel	O	_	_	
3-49	the	O	_	_	
3-50	house	B-NC	_	_	
3-51	behind	O	_	_	
3-52	and	O	_	_	
3-53	about	O	_	_	
3-54	me	O	_	_	
3-55	empty	O	_	_	
3-56	and	O	_	_	
3-57	desolate	O	_	_	
3-58	.	O	_	_	
3-59	I	O	_	_	
3-60	go	O	_	_	
3-61	out	O	_	_	
3-62	into	O	_	_	
3-63	the	O	_	_	
3-64	Byfleet	B-NC	_	_	
3-65	Road	I-NC	_	_	
3-66	,	O	_	_	
3-67	and	O	_	_	
3-68	vehicles	B-NC	_	_	
3-69	pass	O	_	_	
3-70	me	O	_	_	
3-71	,	O	_	_	
3-72	a	O	_	_	
3-73	butcher	B-NC	Hypernym	3-90	
3-74	boy	I-NC	_	_	
3-75	in	O	_	_	
3-76	a	O	_	_	
3-77	cart	B-NC	Co-Hyponym	3-68	
3-78	,	O	_	_	
3-79	a	O	_	_	
3-80	cabful	B-NC	_	_	
3-81	of	O	_	_	
3-82	visitors	B-NC	Holonym	3-160	
3-83	,	O	_	_	
3-84	a	O	_	_	
3-85	workman	B-NC	Co-Hyponym|Holonym	3-82|3-160	
3-86	on	O	_	_	
3-87	a	O	_	_	
3-88	bicycle	B-NC	Co-Hyponym	3-68	
3-89	,	O	_	_	
3-90	children	B-NC	Co-Hyponym|Holonym	3-82|3-160	
3-91	going	O	_	_	
3-92	to	O	_	_	
3-93	school	B-NC	Co-Hyponym	3-50	
3-94	,	O	_	_	
3-95	and	O	_	_	
3-96	suddenly	O	_	_	
3-97	they	O	_	_	
3-98	become	O	_	_	
3-99	vague	O	_	_	
3-100	and	O	_	_	
3-101	unreal	O	_	_	
3-102	,	O	_	_	
3-103	and	O	_	_	
3-104	I	O	_	_	
3-105	hurry	O	_	_	
3-106	again	O	_	_	
3-107	with	O	_	_	
3-108	the	O	_	_	
3-109	artilleryman	B-NC	Co-Hyponym|Holonym	3-82|3-160	
3-110	through	O	_	_	
3-111	the	O	_	_	
3-112	hot	O	_	_	
3-113	,	O	_	_	
3-114	brooding	O	_	_	
3-115	silence	B-NC	_	_	
3-116	.	O	_	_	
3-117	Of	O	_	_	
3-118	a	O	_	_	
3-119	night	B-NC	_	_	
3-120	I	O	_	_	
3-121	see	O	_	_	
3-122	the	O	_	_	
3-123	black	O	_	_	
3-124	powder	B-NC	_	_	
3-125	darkening	O	_	_	
3-126	the	O	_	_	
3-127	silent	O	_	_	
3-128	streets	B-NC	_	_	
3-129	,	O	_	_	
3-130	and	O	_	_	
3-131	the	O	_	_	
3-132	contorted	O	_	_	
3-133	bodies	B-NC	_	_	
3-134	shrouded	O	_	_	
3-135	in	O	_	_	
3-136	that	O	_	_	
3-137	layer	B-NC	_	_	
3-138	;	O	_	_	
3-139	they	O	_	_	
3-140	rise	O	_	_	
3-141	upon	O	_	_	
3-142	me	O	_	_	
3-143	tattered	O	_	_	
3-144	and	O	_	_	
3-145	dog-bitten	B-NC	_	_	
3-146	.	O	_	_	
3-147	They	O	_	_	
3-148	gibber	O	_	_	
3-149	and	O	_	_	
3-150	grow	O	_	_	
3-151	fiercer	O	_	_	
3-152	,	O	_	_	
3-153	paler	O	_	_	
3-154	,	O	_	_	
3-155	uglier	O	_	_	
3-156	,	O	_	_	
3-157	mad	O	_	_	
3-158	distortions	B-NC	_	_	
3-159	of	O	_	_	
3-160	humanity	B-NC	_	_	
3-161	at	O	_	_	
3-162	last	O	_	_	
3-163	,	O	_	_	
3-164	and	O	_	_	
3-165	I	O	_	_	
3-166	wake	O	_	_	
3-167	,	O	_	_	
3-168	cold	O	_	_	
3-169	and	O	_	_	
3-170	wretched	O	_	_	
3-171	,	O	_	_	
3-172	in	O	_	_	
3-173	the	O	_	_	
3-174	darkness	B-NC	_	_	
3-175	of	O	_	_	
3-176	the	O	_	_	
3-177	night	B-NC	_	_	

#id=4
#text=I go to London and see the busy multitudes in Fleet Street and the Strand , and it comes across my mind that they are but the ghosts of the past , haunting the streets that I have seen silent and wretched , going to and fro , phantasms in a dead city , the mockery of life in a galvanised body . And strange , too , it is to stand on Primrose Hill , as I did but a day before writing this last chapter , to see the great province of houses , dim and blue through the haze of the smoke and mist , vanishing at last into the vague lower sky , to see the people walking to and fro among the flower beds on the hill , to see the sight-seers about the Martian machine that stands there still , to hear the tumult of playing children , and to recall the time when I saw it all bright and clear-cut , hard and silent , under the dawn of that last great day . . . 
4-1	I	O	_	_	
4-2	go	O	_	_	
4-3	to	O	_	_	
4-4	London	B-NC	_	_	
4-5	and	O	_	_	
4-6	see	O	_	_	
4-7	the	O	_	_	
4-8	busy	O	_	_	
4-9	multitudes	B-NC	_	_	
4-10	in	O	_	_	
4-11	Fleet	B-NC	_	_	
4-12	Street	I-NC	_	_	
4-13	and	O	_	_	
4-14	the	O	_	_	
4-15	Strand	B-NC	_	_	
4-16	,	O	_	_	
4-17	and	O	_	_	
4-18	it	O	_	_	
4-19	comes	O	_	_	
4-20	across	O	_	_	
4-21	my	O	_	_	
4-22	mind	B-NC	_	_	
4-23	that	O	_	_	
4-24	they	O	_	_	
4-25	are	O	_	_	
4-26	but	O	_	_	
4-27	the	O	_	_	
4-28	ghosts	B-NC	Hypernym	4-49	
4-29	of	O	_	_	
4-30	the	O	_	_	
4-31	past	B-NC	_	_	
4-32	,	O	_	_	
4-33	haunting	O	_	_	
4-34	the	O	_	_	
4-35	streets	B-NC	Holonym	4-53	
4-36	that	O	_	_	
4-37	I	O	_	_	
4-38	have	O	_	_	
4-39	seen	O	_	_	
4-40	silent	O	_	_	
4-41	and	O	_	_	
4-42	wretched	O	_	_	
4-43	,	O	_	_	
4-44	going	O	_	_	
4-45	to	O	_	_	
4-46	and	O	_	_	
4-47	fro	O	_	_	
4-48	,	O	_	_	
4-49	phantasms	B-NC	_	_	
4-50	in	O	_	_	
4-51	a	O	_	_	
4-52	dead	O	_	_	
4-53	city	B-NC	_	_	
