 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Нельзя вполне оценить , насколько расширился умственный кругозор человека после нашествия марсиан . До падения их цилиндров держалось общераспространенное мнение , что во всем громадном мировом пространстве жизнь существует только на поверхности нашей крошечной планеты . Но теперь мы смотрим шире . Если марсиане могли перелететь на Венеру , то нет оснований думать , что это невозможно для людей , и , когда , вследствие постепенного охлаждения Солнца , Земля станет необитаемой , -- что неизбежно случится когда-нибудь , тогда возможно , что нить жизни , взявшая свое начало на Земле , растянется и обовьет своею сетью родственные нам планеты . Будет ли за нами победа
1-1	Нельзя	O	_	_	
1-2	вполне	O	_	_	
1-3	оценить	O	_	_	
1-4	,	O	_	_	
1-5	насколько	O	_	_	
1-6	расширился	O	_	_	
1-7	умственный	O	_	_	
1-8	кругозор	B-NC	_	_	
1-9	человека	B-NC	_	_	
1-10	после	O	_	_	
1-11	нашествия	B-NC	_	_	
1-12	марсиан	B-NC	_	_	
1-13	.	O	_	_	
1-14	До	O	_	_	
1-15	падения	B-NC	_	_	
1-16	их	O	_	_	
1-17	цилиндров	B-NC	_	_	
1-18	держалось	O	_	_	
1-19	общераспространенное	O	_	_	
1-20	мнение	B-NC	_	_	
1-21	,	O	_	_	
1-22	что	O	_	_	
1-23	во	O	_	_	
1-24	всем	O	_	_	
1-25	громадном	O	_	_	
1-26	мировом	O	_	_	
1-27	пространстве	B-NC	_	_	
1-28	жизнь	B-NC	_	_	
1-29	существует	O	_	_	
1-30	только	O	_	_	
1-31	на	O	_	_	
1-32	поверхности	B-NC	_	_	
1-33	нашей	O	_	_	
1-34	крошечной	O	_	_	
1-35	планеты	B-NC	_	_	
1-36	.	O	_	_	
1-37	Но	O	_	_	
1-38	теперь	O	_	_	
1-39	мы	O	_	_	
1-40	смотрим	O	_	_	
1-41	шире	O	_	_	
1-42	.	O	_	_	
1-43	Если	O	_	_	
1-44	марсиане	B-NC	_	_	
1-45	могли	O	_	_	
1-46	перелететь	O	_	_	
1-47	на	O	_	_	
1-48	Венеру	B-NC	_	_	
1-49	,	O	_	_	
1-50	то	O	_	_	
1-51	нет	O	_	_	
1-52	оснований	B-NC	_	_	
1-53	думать	O	_	_	
1-54	,	O	_	_	
1-55	что	O	_	_	
1-56	это	O	_	_	
1-57	невозможно	O	_	_	
1-58	для	O	_	_	
1-59	людей	B-NC	Synonym	1-9	
1-60	,	O	_	_	
1-61	и	O	_	_	
1-62	,	O	_	_	
1-63	когда	O	_	_	
1-64	,	O	_	_	
1-65	вследствие	O	_	_	
1-66	постепенного	O	_	_	
1-67	охлаждения	B-NC	_	_	
1-68	Солнца	B-NC	_	_	
1-69	,	O	_	_	
1-70	Земля	B-NC	_	_	
1-71	станет	O	_	_	
1-72	необитаемой	O	_	_	
1-73	,	O	_	_	
1-74	--	O	_	_	
1-75	что	O	_	_	
1-76	неизбежно	O	_	_	
1-77	случится	O	_	_	
1-78	когда-нибудь	B-NC	_	_	
1-79	,	O	_	_	
1-80	тогда	O	_	_	
1-81	возможно	O	_	_	
1-82	,	O	_	_	
1-83	что	O	_	_	
1-84	нить	B-NC	Hypernym	1-97	
1-85	жизни	B-NC	_	_	
1-86	,	O	_	_	
1-87	взявшая	O	_	_	
1-88	свое	O	_	_	
1-89	начало	B-NC	_	_	
1-90	на	O	_	_	
1-91	Земле	B-NC	_	_	
1-92	,	O	_	_	
1-93	растянется	O	_	_	
1-94	и	O	_	_	
1-95	обовьет	O	_	_	
1-96	своею	O	_	_	
1-97	сетью	B-NC	_	_	
1-98	родственные	O	_	_	
1-99	нам	O	_	_	
1-100	планеты	B-NC	_	_	
1-101	.	O	_	_	
1-102	Будет	O	_	_	
1-103	ли	O	_	_	
1-104	за	O	_	_	
1-105	нами	O	_	_	
1-106	победа	B-NC	_	_	

#id=2
#text=Туманно и поразительно видение , родившееся в моем мозгу , как жизнь постепенно , из маленького рассадника солнечной системы , распространится по всему безжизненному , необъятному звездному пространству . Но это только отдаленная мечта ! И , кто знает , может быть , уничтожение марсиан -- лишь только временная отсрочка нашей окончательной гибели ? Может быть , им , а не нам , принадлежит будущее
2-1	Туманно	O	_	_	
2-2	и	O	_	_	
2-3	поразительно	O	_	_	
2-4	видение	B-NC	_	_	
2-5	,	O	_	_	
2-6	родившееся	O	_	_	
2-7	в	O	_	_	
2-8	моем	O	_	_	
2-9	мозгу	B-NC	_	_	
2-10	,	O	_	_	
2-11	как	O	_	_	
2-12	жизнь	B-NC	_	_	
2-13	постепенно	O	_	_	
2-14	,	O	_	_	
2-15	из	O	_	_	
2-16	маленького	O	_	_	
2-17	рассадника	B-NC	_	_	
2-18	солнечной	O	_	_	
2-19	системы	B-NC	_	_	
2-20	,	O	_	_	
2-21	распространится	O	_	_	
