 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=No one would have believed in the last years of the nineteenth century that this world was being watched keenly and closely by intelligences greater than man 's and yet as mortal as his own ; that as men busied themselves about their various concerns they were scrutinised and studied , perhaps almost as narrowly as a man with a microscope might scrutinise the transient creatures that swarm and multiply in a drop of water . With infinite complacency men went to and fro over this globe about their little affairs , serene in their assurance of their empire over matter . It is possible that the infusoria under the microscope do the same . No one gave a thought to the older worlds of space as sources of human danger , or thought of them only to dismiss the idea of life upon them as impossible or improbable . It is curious to recall some of the mental habits of those departed days. At most terrestrial men fancied there might be other men upon Mars , perhaps inferior to themselves and ready to welcome a missionary enterprise . Yet across the gulf of space , minds that are to our minds as ours are to those of the beasts that perish , intellects vast and cool and unsympathetic , regarded this earth with envious eyes , and slowly and surely drew their plans against us . And early in the twentieth century came the great disillusionment
1-1	No	O	_	_	
1-2	one	O	_	_	
1-3	would	O	_	_	
1-4	have	O	_	_	
1-5	believed	O	_	_	
1-6	in	O	_	_	
1-7	the	O	_	_	
1-8	last	O	_	_	
1-9	years	B-NC	_	_	
1-10	of	O	_	_	
1-11	the	O	_	_	
1-12	nineteenth	O	_	_	
1-13	century	B-NC	_	_	
1-14	that	O	_	_	
1-15	this	O	_	_	
1-16	world	B-NC	_	_	
1-17	was	O	_	_	
1-18	being	O	_	_	
1-19	watched	O	_	_	
1-20	keenly	O	_	_	
1-21	and	O	_	_	
1-22	closely	O	_	_	
1-23	by	O	_	_	
1-24	intelligences	B-NC	Holonym	1-27	
1-25	greater	O	_	_	
1-26	than	O	_	_	
1-27	man	B-NC	_	_	
1-28	's	O	_	_	
1-29	and	O	_	_	
1-30	yet	O	_	_	
1-31	as	O	_	_	
1-32	mortal	O	_	_	
1-33	as	O	_	_	
1-34	his	O	_	_	
1-35	own	O	_	_	
1-36	;	O	_	_	
1-37	that	O	_	_	
1-38	as	O	_	_	
1-39	men	B-NC	_	_	
1-40	busied	O	_	_	
1-41	themselves	O	_	_	
1-42	about	O	_	_	
1-43	their	O	_	_	
1-44	various	O	_	_	
1-45	concerns	B-NC	_	_	
1-46	they	O	_	_	
1-47	were	O	_	_	
1-48	scrutinised	O	_	_	
1-49	and	O	_	_	
1-50	studied	O	_	_	
1-51	,	O	_	_	
