 # webanno.custom.Entity | NC # webanno.custom.SemanticRelation | SemRelation | AttachTo=webanno.custom.Entity
#id=1
#text=Никто не поверил бы , даже в последние годы девятнадцатого столетия , что за человеческой жизнью на земле зорко и тщательно наблюдали разумные существа , такие же смертные , как человек , но стоящие на более высокой ступени развития , и что в то время , когда люди занимались своими повседневными делами , за ними следили и изучали их так же подробно , как человек изучает в микроскопе кратковременную жизнь существ , живущих и размножающихся в капле воды . С безграничным самодовольством сновали люди взад и вперед по земному шару , занимаясь своими маленькими делами , в счастливой уверенности в своем господстве над материей . Возможно , что и инфузории , видимые в микроскоп , ведут такое же суетливое существование
1-1	Никто	O	_	_	
1-2	не	O	_	_	
1-3	поверил	O	_	_	
1-4	бы	O	_	_	
1-5	,	O	_	_	
1-6	даже	O	_	_	
1-7	в	O	_	_	
1-8	последние	O	_	_	
1-9	годы	B-NC	_	_	
1-10	девятнадцатого	O	_	_	
1-11	столетия	B-NC	_	_	
1-12	,	O	_	_	
1-13	что	O	_	_	
1-14	за	O	_	_	
1-15	человеческой	O	_	_	
1-16	жизнью	B-NC	_	_	
1-17	на	O	_	_	
1-18	земле	B-NC	_	_	
1-19	зорко	O	_	_	
1-20	и	O	_	_	
1-21	тщательно	O	_	_	
1-22	наблюдали	O	_	_	
1-23	разумные	O	_	_	
1-24	существа	B-NC	_	_	
1-25	,	O	_	_	
1-26	такие	O	_	_	
1-27	же	O	_	_	
1-28	смертные	B-NC	_	_	
1-29	,	O	_	_	
1-30	как	O	_	_	
1-31	человек	B-NC	Hypernym|Synonym	1-24|1-48	
1-32	,	O	_	_	
1-33	но	O	_	_	
1-34	стоящие	O	_	_	
1-35	на	O	_	_	
1-36	более	O	_	_	
1-37	высокой	O	_	_	
1-38	ступени	B-NC	_	_	
1-39	развития	B-NC	_	_	
1-40	,	O	_	_	
1-41	и	O	_	_	
1-42	что	O	_	_	
1-43	в	O	_	_	
1-44	то	O	_	_	
1-45	время	B-NC	_	_	
1-46	,	O	_	_	
1-47	когда	O	_	_	
1-48	люди	B-NC	_	_	
1-49	занимались	O	_	_	
1-50	своими	O	_	_	
1-51	повседневными	O	_	_	
1-52	делами	B-NC	_	_	
1-53	,	O	_	_	
1-54	за	O	_	_	
1-55	ними	O	_	_	
1-56	следили	O	_	_	
1-57	и	O	_	_	
1-58	изучали	O	_	_	
1-59	их	O	_	_	
1-60	так	O	_	_	
1-61	же	O	_	_	
1-62	подробно	O	_	_	
1-63	,	O	_	_	
1-64	как	O	_	_	
1-65	человек	B-NC	_	_	
1-66	изучает	O	_	_	
1-67	в	O	_	_	
1-68	микроскопе	B-NC	_	_	
1-69	кратковременную	O	_	_	
1-70	жизнь	B-NC	Hypernym	1-120	
1-71	существ	B-NC	_	_	
1-72	,	O	_	_	
1-73	живущих	O	_	_	
1-74	и	O	_	_	
1-75	размножающихся	O	_	_	
1-76	в	O	_	_	
1-77	капле	B-NC	Holonym	1-78	
1-78	воды	B-NC	_	_	
1-79	.	O	_	_	
1-80	С	O	_	_	
1-81	безграничным	O	_	_	
1-82	самодовольством	B-NC	_	_	
1-83	сновали	O	_	_	
1-84	люди	B-NC	_	_	
1-85	взад	O	_	_	
1-86	и	O	_	_	
1-87	вперед	O	_	_	
1-88	по	O	_	_	
1-89	земному	O	_	_	
1-90	шару	B-NC	_	_	
1-91	,	O	_	_	
1-92	занимаясь	O	_	_	
1-93	своими	O	_	_	
1-94	маленькими	O	_	_	
1-95	делами	B-NC	_	_	
1-96	,	O	_	_	
1-97	в	O	_	_	
1-98	счастливой	O	_	_	
1-99	уверенности	B-NC	Co-Hyponym	1-82	
1-100	в	O	_	_	
1-101	своем	O	_	_	
1-102	господстве	B-NC	_	_	
1-103	над	O	_	_	
1-104	материей	B-NC	_	_	
1-105	.	O	_	_	
1-106	Возможно	O	_	_	
1-107	,	O	_	_	
1-108	что	O	_	_	
1-109	и	O	_	_	
1-110	инфузории	B-NC	_	_	
1-111	,	O	_	_	
1-112	видимые	O	_	_	
1-113	в	O	_	_	
1-114	микроскоп	B-NC	_	_	
1-115	,	O	_	_	
1-116	ведут	O	_	_	
1-117	такое	O	_	_	
1-118	же	O	_	_	
1-119	суетливое	O	_	_	
1-120	существование	B-NC	_	_	

#id=2
#text=Никому не приходило в голову , что человечеству может грозить опасность со стороны старых миров , и даже самое предположение о возможности жизни на них отвергалось , как нечто неправдоподобное . Любопытно припомнить теперь некоторое из ходячих мнений минувших уже дней
2-1	Никому	O	_	_	
2-2	не	O	_	_	
2-3	приходило	O	_	_	
2-4	в	O	_	_	
2-5	голову	B-NC	_	_	
2-6	,	O	_	_	
2-7	что	O	_	_	
2-8	человечеству	B-NC	_	_	
2-9	может	O	_	_	
2-10	грозить	O	_	_	
2-11	опасность	B-NC	_	_	
2-12	со	O	_	_	
2-13	стороны	B-NC	_	_	
2-14	старых	O	_	_	
2-15	миров	B-NC	_	_	
2-16	,	O	_	_	
2-17	и	O	_	_	
2-18	даже	O	_	_	
2-19	самое	O	_	_	
2-20	предположение	B-NC	_	_	
2-21	о	O	_	_	
2-22	возможности	B-NC	_	_	
2-23	жизни	B-NC	_	_	
2-24	на	O	_	_	
2-25	них	O	_	_	
2-26	отвергалось	O	_	_	
2-27	,	O	_	_	
2-28	как	O	_	_	
2-29	нечто	O	_	_	
2-30	неправдоподобное	O	_	_	
2-31	.	O	_	_	
2-32	Любопытно	O	_	_	
2-33	припомнить	O	_	_	
2-34	теперь	O	_	_	
2-35	некоторое	O	_	_	
2-36	из	O	_	_	
2-37	ходячих	O	_	_	
2-38	мнений	B-NC	Co-Hyponym	2-20	
2-39	минувших	O	_	_	
2-40	уже	O	_	_	
2-41	дней	B-NC	_	_	

#id=3
#text=Обитатели Земли допускали , что на Марсе могли жить живые существа , низшие по своему развитию , которые с радостью приветствовали бы нашу попытку исследовать их планету . А между тем по ту сторону зияющего мирового пространства за нами наблюдали умы , превосходящие нас так же , как ум человека превосходит ум животного , и завистливыми , враждебными глазами смотрели на нашу Землю . Они обдуманно и с верным расчетом ковали планы против нас , и вот в начале двадцатого века настал для людей момент великого разочарования
3-1	Обитатели	B-NC	Hypernym	3-11	
3-2	Земли	B-NC	_	_	
3-3	допускали	O	_	_	
3-4	,	O	_	_	
3-5	что	O	_	_	
3-6	на	O	_	_	
3-7	Марсе	B-NC	_	_	
3-8	могли	O	_	_	
3-9	жить	O	_	_	
3-10	живые	O	_	_	
3-11	существа	B-NC	_	_	
3-12	,	O	_	_	
3-13	низшие	O	_	_	
3-14	по	O	_	_	
3-15	своему	O	_	_	
3-16	развитию	B-NC	_	_	
3-17	,	O	_	_	
3-18	которые	O	_	_	
3-19	с	O	_	_	
3-20	радостью	B-NC	_	_	
3-21	приветствовали	O	_	_	
3-22	бы	O	_	_	
3-23	нашу	O	_	_	
3-24	попытку	B-NC	_	_	
3-25	исследовать	O	_	_	
3-26	их	O	_	_	
3-27	планету	B-NC	Holonym	3-36	
3-28	.	O	_	_	
3-29	А	O	_	_	
3-30	между	O	_	_	
3-31	тем	O	_	_	
3-32	по	O	_	_	
3-33	ту	O	_	_	
3-34	сторону	B-NC	_	_	
3-35	зияющего	O	_	_	
3-36	мирового	B-NC	_	_	
3-37	пространства	I-NC|B-NC	_	_	
3-38	за	O	_	_	
3-39	нами	O	_	_	
3-40	наблюдали	O	_	_	
3-41	умы	B-NC	_	_	
3-42	,	O	_	_	
3-43	превосходящие	O	_	_	
3-44	нас	O	_	_	
3-45	так	O	_	_	
3-46	же	O	_	_	
3-47	,	O	_	_	
3-48	как	O	_	_	
3-49	ум	B-NC	Holonym	3-50	
3-50	человека	B-NC	_	_	
3-51	превосходит	O	_	_	
3-52	ум	B-NC	Holonym	3-53	
3-53	животного	B-NC	Co-Hyponym	3-50	
3-54	,	O	_	_	
3-55	и	O	_	_	
3-56	завистливыми	O	_	_	
3-57	,	O	_	_	
3-58	враждебными	O	_	_	
3-59	глазами	B-NC	_	_	
3-60	смотрели	O	_	_	
3-61	на	O	_	_	
3-62	нашу	O	_	_	
3-63	Землю	B-NC	_	_	
3-64	.	O	_	_	
3-65	Они	O	_	_	
3-66	обдуманно	O	_	_	
3-67	и	O	_	_	
3-68	с	O	_	_	
3-69	верным	O	_	_	
3-70	расчетом	B-NC	_	_	
3-71	ковали	O	_	_	
3-72	планы	B-NC	_	_	
3-73	против	O	_	_	
3-74	нас	O	_	_	
3-75	,	O	_	_	
3-76	и	O	_	_	
3-77	вот	O	_	_	
3-78	в	O	_	_	
3-79	начале	B-NC	_	_	
3-80	двадцатого	O	_	_	
3-81	века	B-NC	_	_	
3-82	настал	O	_	_	
3-83	для	O	_	_	
3-84	людей	B-NC	_	_	
3-85	момент	B-NC	_	_	
3-86	великого	O	_	_	
3-87	разочарования	B-NC	Co-Hyponym	3-20	

#id=4
#text=Мне едва ли нужно напоминать читателю , что планета Марс вращается вокруг Солнца на расстоянии приблизительно 140 000 000 миль и получает от него лишь половину того количества тепла и света , какое получает Земля . Если гипотеза туманного образования имеет хоть какое - нибудь основание , то Марс должен быть старше нашей Земли , и задолго до того , как застыла земная кора , на поверхности Марса уже началась жизнь . Тот факт , что он едва достигает объема земли , должен был ускорить его охлаждение до той температуры , при которой могла возникнуть жизнь . Не нужно также забывать , что Марс обладает водой и воздухом и всем необходимым для поддержания животного организма
4-1	Мне	O	_	_	
4-2	едва	O	_	_	
4-3	ли	O	_	_	
4-4	нужно	O	_	_	
4-5	напоминать	O	_	_	
4-6	читателю	B-NC	_	_	
4-7	,	O	_	_	
4-8	что	O	_	_	
4-9	планета	B-NC	_	_	
4-10	Марс	B-NC	_	_	
4-11	вращается	O	_	_	
4-12	вокруг	O	_	_	
4-13	Солнца	B-NC	_	_	
4-14	на	O	_	_	
4-15	расстоянии	B-NC	_	_	
4-16	приблизительно	O	_	_	
4-17	140	O	_	_	
4-18	000	O	_	_	
4-19	000	O	_	_	
4-20	миль	B-NC	_	_	
4-21	и	O	_	_	
4-22	получает	O	_	_	
4-23	от	O	_	_	
4-24	него	O	_	_	
4-25	лишь	O	_	_	
4-26	половину	B-NC	_	_	
4-27	того	O	_	_	
4-28	количества	B-NC	_	_	
4-29	тепла	B-NC	_	_	
4-30	и	O	_	_	
4-31	света	B-NC	Co-Hyponym	4-29	
4-32	,	O	_	_	
4-33	какое	O	_	_	
4-34	получает	O	_	_	
4-35	Земля	B-NC	_	_	
4-36	.	O	_	_	
4-37	Если	O	_	_	
4-38	гипотеза	B-NC	_	_	
4-39	туманного	O	_	_	
4-40	образования	B-NC	_	_	
4-41	имеет	O	_	_	
4-42	хоть	O	_	_	
4-43	какое	O	_	_	
4-44	-	O	_	_	
4-45	нибудь	O	_	_	
4-46	основание	B-NC	Holonym	4-38	
4-47	,	O	_	_	
4-48	то	O	_	_	
4-49	Марс	B-NC	_	_	
4-50	должен	O	_	_	
4-51	быть	O	_	_	
4-52	старше	O	_	_	
4-53	нашей	O	_	_	
4-54	Земли	B-NC	_	_	
4-55	,	O	_	_	
4-56	и	O	_	_	
4-57	задолго	O	_	_	
4-58	до	O	_	_	
4-59	того	O	_	_	
4-60	,	O	_	_	
